,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Away,W 1–0,Chelsea,Everton,Y*,CB,90,0,0,0,0,0,0,0,0,78,4,1,1,0.0,0.0,0.1,2,0,60,68,5,44,3,1,1,831,267,36,38,21,26,1,2,0.1,2,1,1,0,64,4,2,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,3,3,0,0,1,0,0,3,24,35,19,1,300.0,196.0,3,0,0,0,53,2,1,30,1,25.9,4.7,19.0,2022-08-06 16:30:00+00:00,90,0,1,0,106633,2.0,7,0,0,0,50,2022-08-06
1,2022-08-14,Sun,2,Home,D 2–2,Chelsea,Tottenham,N,CB,18,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,11,14,1,6,0,0,0,176,83,6,7,5,5,0,2,0.0,0,1,0,0,11,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,5,1,0,25.0,7.0,0,0,0,0,9,0,0,3,0,0.3,0.3,2.6,2022-08-14 15:30:00+00:00,17,0,2,0,187388,0.0,1,24469,39865,15396,50,2022-08-14
2,2022-08-21,Sun,3,Away,L 0–3,Chelsea,Leeds United,N,CB,4,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,7,7,0,3,1,1,1,113,47,3,3,4,4,0,0,0.0,0,0,0,0,4,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,25.0,20.0,0,0,0,0,4,1,0,2,0,0.3,0.1,0.4,2022-08-21 13:00:00+00:00,3,0,3,0,189481,0.0,1,-10577,23183,33760,50,2022-08-21
3,2022-08-27,Sat,4,Home,W 2–1,Chelsea,Leicester City,N,CB,45,0,0,0,0,0,0,0,0,19,0,2,0,0.0,0.0,0.0,0,0,8,12,1,3,0,0,0,112,28,6,6,2,3,0,2,0.0,0,0,0,0,9,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,12,4,3,0,11.0,1.0,0,0,0,0,6,0,0,7,0,0.6,1.3,12.6,2022-08-27 14:00:00+00:00,45,0,4,0,175940,0.0,1,-23210,8869,32079,50,2022-08-27
4,2022-08-30,Tue,5,Away,L 1–2,Chelsea,Southampton,Y*,RB,65,0,0,0,0,0,0,0,0,73,2,2,3,0.0,0.0,0.2,2,0,49,64,4,24,2,0,0,700,277,32,37,15,18,2,5,0.3,1,3,3,0,47,17,4,0,0,1,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,3,5,0,5,30,27,16,0,118.0,64.0,0,0,0,0,34,9,0,12,0,13.8,3.0,16.2,2022-08-30 18:45:00+00:00,66,0,5,0,165355,0.0,1,-15994,7267,23261,50,2022-08-30
5,2022-10-08,Sat,10,Home,W 3–0,Chelsea,Wolves,Y*,"RB,CB",90,0,0,0,0,1,0,1,0,97,2,2,3,0.1,0.1,0.3,5,0,65,84,7,57,1,0,0,888,333,41,44,24,32,0,6,0.2,3,1,7,2,74,10,3,0,0,2,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,3,2,0,5,22,33,42,7,243.0,169.0,3,0,0,2,64,15,0,27,1,45.5,9.5,19.8,2022-10-08 14:00:00+00:00,90,0,10,0,140417,30.0,5,-5002,4506,9508,48,2022-10-08
6,2022-10-16,Sun,11,Away,W 2–0,Chelsea,Aston Villa,N,WB,45,0,0,0,0,0,0,0,0,32,1,0,1,0.0,0.0,0.2,3,0,26,28,4,15,0,0,0,351,141,17,18,9,9,0,1,0.0,2,1,0,0,24,4,1,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,10,14,8,1,48.0,33.0,0,0,1,0,20,2,0,9,0,21.9,3.6,11.6,2022-10-16 13:00:00+00:00,45,0,11,0,164264,2.0,1,21117,25180,4063,48,2022-10-16
7,2022-10-19,Wed,12,Away,D 0–0,Chelsea,Brentford,Y*,CB,90,0,0,0,0,2,1,0,0,117,1,0,1,0.1,0.1,0.0,1,0,93,106,10,43,3,1,0,1321,328,51,53,37,45,1,4,0.0,0,5,0,0,96,10,3,0,0,3,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,5,0,8,32,50,37,0,209.0,166.0,3,0,1,0,86,5,3,33,1,14.3,5.1,21.2,2022-10-19 18:30:00+00:00,90,0,12,0,172507,15.0,9,5024,11277,6253,48,2022-10-19
8,2022-10-22,Sat,13,Home,D 1–1,Chelsea,Manchester Utd,Y*,"RB,WB",90,0,0,0,0,0,0,0,0,62,1,2,2,0.0,0.0,0.0,1,1,40,54,3,30,0,1,0,545,217,31,34,8,14,1,6,0.0,0,3,0,0,44,10,1,0,0,1,9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,2,1,0,1,20,23,20,1,119.0,44.0,0,0,2,0,34,4,0,7,0,2.4,0.9,4.8,2022-10-22 16:30:00+00:00,90,0,13,0,172333,2.0,2,1800,8934,7134,48,2022-10-22
9,2022-11-06,Sun,15,Home,L 0–1,Chelsea,Arsenal,Y*,RB,90,0,0,0,0,0,0,1,0,70,4,2,3,0.0,0.0,0.0,0,0,36,55,1,32,1,2,1,620,277,13,16,20,24,2,11,0.0,0,0,0,0,41,13,0,0,0,2,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,3,1,1,2,4,0,9,37,24,10,0,121.0,59.0,0,0,0,0,32,1,0,11,0,0.8,2.1,20.0,2022-11-06 12:00:00+00:00,90,0,15,0,170858,0.0,1,-12364,3163,15527,48,2022-11-06
