,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-11-06,Sat,11,Home,L 0–2,Manchester Utd,Manchester City,Y,CB,45,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.0,0,0,16,22,2,15,1,1,0,252,92,7,9,9,11,0,2,0.0,0,2,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,3,0,5,14,13,1,0,124.0,59.0,0,0,0,0,19,0,0,-1,0,0.6,0.2,1.8,2021-11-06 12:30:00+00:00,45,1,11,0,10421,0.0,-2,1746,2139,393,49,2021-11-06
1,2021-11-28,Sun,13,Away,D 1–1,Manchester Utd,Chelsea,Y,CB,90,0,0,0,0,0,0,1,0,39,2,1,1,0.0,0.0,0.0,0,0,24,26,1,20,0,0,0,431,151,11,11,11,11,2,4,0.0,0,0,0,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,6,0,14,30,9,0,0,116.0,48.0,0,0,1,0,19,0,0,5,0,0.0,1.4,13.8,2021-11-28 16:30:00+00:00,90,0,13,0,10658,0.0,1,-319,575,894,49,2021-11-28
2,2021-12-11,Sat,16,Away,W 1–0,Manchester Utd,Norwich City,N,CB,17,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,1,3,0,0,0,0,0,12,12,1,1,0,1,0,1,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,0,0,0.0,0.0,0,0,0,0,0,0,0,4,0,0.0,0.6,6.2,2021-12-11 17:30:00+00:00,16,0,16,0,11642,0.0,1,-15,686,701,49,2021-12-11
3,2021-12-30,Thu,20,Home,W 3–1,Manchester Utd,Burnley,Y,CB,65,0,0,0,0,0,0,0,0,42,2,2,2,0.0,0.0,0.0,1,0,27,34,2,20,0,0,0,534,229,9,10,16,17,2,6,0.0,0,1,0,0,32,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,1,1,1,1,0,5,26,14,2,0,100.0,48.0,0,0,2,1,21,0,0,14,0,0.4,1.5,14.2,2021-12-30 20:15:00+00:00,65,0,20,0,12488,0.0,2,-88,188,276,49,2021-12-30
4,2020-09-26,Sat,3,Away,W 3–2,Manchester Utd,Brighton,N,RW,8,0,0,0,0,0,0,0,0,5,0,1,1,0.0,0.0,0.0,0,0,2,3,0,2,0,0,0,19,7,2,3,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,1,0,0,11.0,8.0,0,0,0,0,2,0,0,3,0,0.0,0.1,1.2,2020-09-26 11:30:00+00:00,8,0,3,0,20150,0.0,1,-758,3237,3995,50,2020-09-26
5,2020-10-04,Sun,4,Home,L 1–6,Manchester Utd,Tottenham,Y,CB,90,0,0,0,0,0,0,1,0,46,0,1,4,0.0,0.0,0.0,0,0,30,35,3,26,0,1,1,455,163,18,19,10,13,1,1,0.0,0,0,0,0,34,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,9,30,15,1,0,153.0,85.0,0,0,2,0,25,0,0,8,0,0.1,2.4,23.8,2020-10-04 15:30:00+00:00,90,0,4,0,20485,0.0,-2,-1157,1599,2756,50,2020-10-04
6,2020-12-26,Sat,15,Away,D 2–2,Manchester Utd,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,76,1,0,0,0.0,0.0,0.0,1,1,61,70,4,51,2,0,0,997,408,31,33,25,30,5,6,0.0,0,1,0,0,68,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,5,0,12,35,42,1,0,392.0,250.0,0,0,1,0,53,0,0,16,0,0.5,1.5,14.2,2020-12-26 12:30:00+00:00,90,0,15,0,13179,0.0,1,-3,346,349,49,2020-12-26
7,2020-12-29,Tue,16,Home,W 1–0,Manchester Utd,Wolves,Y,CB,90,0,0,0,0,1,0,0,0,58,1,4,0,0.0,0.0,0.0,0,0,44,48,6,37,0,0,0,788,302,14,14,27,28,2,3,0.0,0,4,0,0,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,4,25,30,3,2,117.0,49.0,0,0,1,0,31,0,3,30,1,0.9,3.3,12.2,2020-12-29 20:00:00+00:00,90,0,16,0,14740,20.0,9,1314,1562,248,49,2020-12-29
8,2021-01-01,Fri,17,Home,W 2–1,Manchester Utd,Aston Villa,Y,CB,90,0,0,0,0,0,0,1,0,53,0,1,2,0.0,0.0,0.0,0,0,36,44,3,30,0,0,0,654,273,16,18,15,19,4,4,0.0,0,3,0,0,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,12,35,17,1,0,160.0,115.0,0,0,0,0,28,0,0,13,0,0.6,1.9,18.4,2021-01-01 20:00:00+00:00,90,0,17,0,23891,0.0,1,8533,9641,1108,49,2021-01-01
9,2021-01-12,Tue,1,Away,W 1–0,Manchester Utd,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,67,0,2,3,0.0,0.0,0.0,0,0,46,56,3,40,1,0,0,782,292,17,20,26,29,3,7,0.0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,9,38,29,1,0,241.0,142.0,2,0,1,0,38,0,1,27,1,0.5,2.8,27.2,2021-01-12 20:15:00+00:00,90,0,18,0,38193,0.0,7,11280,22607,11327,49,2021-01-12
