,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-11-01,Sun,7,Away,L 1–2,Brighton,Tottenham,N,WB,26,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,12,16,0,10,0,1,0,199,23,6,8,6,6,0,0,0.0,0,0,0,0,12,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,5,8,9,1,27.0,3.0,0,0,1,1,12,4,0,3,0,1.1,0.7,4.2,2020-11-01 19:15:00+00:00,25,0,7,0,604138,2.0,1,-21501,8272,29773,40,2020-11-01
1,2020-12-29,Tue,16,Home,L 0–1,Brighton,Arsenal,Y,"WB,DM",90,0,0,0,0,4,0,0,0,51,3,0,1,0.4,0.4,0.1,5,0,30,38,6,27,0,2,0,409,112,23,25,6,9,1,2,0.1,2,3,2,1,37,1,0,0,0,2,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0,0,1,0,0,1,6,20,25,5,125.0,53.0,1,0,0,1,43,6,0,14,0,28.7,10.4,8.4,2020-12-29 18:00:00+00:00,90,0,16,0,594143,67.0,2,-11771,4133,15904,39,2020-12-29
2,2021-01-13,Wed,18,Away,L 0–1,Brighton,Manchester City,Y,"LM,WB",90,0,0,0,0,0,0,0,0,40,6,1,1,0.0,0.0,0.0,0,0,19,31,3,26,2,0,0,270,116,9,12,5,7,1,2,0.0,0,0,1,0,29,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,1,3,5,2,0,1,0,0,3,13,8,19,0,82.0,48.0,1,0,0,2,24,5,0,13,0,2.6,1.7,14.6,2021-01-13 18:00:00+00:00,90,0,18,0,623941,0.0,2,-15863,15333,31196,39,2021-01-13
3,2019-08-10,Sat,1,Away,W 3–0,Brighton,Watford,N,LB,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,0,2,0,0,0,47,0,2,2,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,12.0,9.0,0,0,0,0,3,1,0,3,0,0.4,0.0,0.0,2019-08-10 14:00:00+00:00,1,0,1,0,9572,0.0,1,0,0,0,45,2019-08-10
4,2019-08-31,Sat,4,Away,L 0–4,Brighton,Manchester City,Y,LM,66,0,0,0,0,0,0,0,0,24,2,1,0,0.0,0.0,0.3,1,0,11,15,2,14,2,1,0,200,51,4,6,5,6,2,2,0.0,1,0,1,0,14,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,0,1,0,1,5,10,9,1,86.0,62.0,1,0,3,0,15,6,0,11,0,15.8,2.9,10.8,2019-08-31 14:00:00+00:00,66,0,4,0,9835,2.0,1,-719,188,907,45,2019-08-31
5,2019-12-16,Mon,17,Away,D 1–1,Brighton,Crystal Palace,N,CM,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2019-12-16 19:45:00+00:00,1,0,17,0,6305,0.0,1,5,90,85,43,2019-12-16
6,2019-12-26,Thu,19,Away,L 1–2,Brighton,Tottenham,Y,WB,75,0,0,0,0,1,1,0,0,52,6,1,0,0.0,0.0,0.4,2,0,22,35,4,21,1,1,1,321,154,13,16,9,15,0,3,0.1,1,1,1,1,31,4,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,2,2,3,3,0,0,0,4,0,5,18,19,15,3,64.0,24.0,0,1,4,0,23,3,0,19,0,15.6,6.4,27.0,2019-12-26 12:30:00+00:00,75,0,19,0,6379,21.0,1,-33,50,83,43,2019-12-26
7,2020-01-01,Wed,21,Home,D 1–1,Brighton,Chelsea,N,LB,69,0,0,0,0,0,0,0,0,63,1,0,1,0.0,0.0,0.0,1,0,45,54,12,27,1,1,1,728,354,20,23,23,27,1,3,0.0,0,3,3,0,45,9,0,0,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,4,0,5,22,23,18,0,168.0,112.0,2,0,0,1,33,1,2,28,1,3.3,1.8,14.8,2020-01-01 12:30:00+00:00,68,0,21,0,6581,0.0,8,-24,129,153,43,2020-01-01
8,2020-01-11,Sat,22,Away,L 0–1,Brighton,Everton,Y,"LM,LB,DM",90,0,0,0,0,0,0,0,0,63,3,1,1,0.0,0.0,0.0,0,0,31,50,7,29,3,1,1,489,258,16,22,14,23,1,2,0.0,0,2,1,0,46,4,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,3,1,0,1,3,0,4,16,27,20,2,156.0,105.0,0,0,2,1,34,6,0,6,0,3.1,2.0,12.8,2020-01-11 15:00:00+00:00,90,0,22,0,7836,4.0,2,1101,1510,409,43,2020-01-11
9,2020-01-18,Sat,23,Home,D 1–1,Brighton,Aston Villa,Y,LB,90,0,0,0,0,0,0,0,0,90,5,2,2,0.0,0.0,0.4,2,0,52,73,8,36,2,3,3,762,331,33,36,18,25,0,7,0.1,1,4,0,0,58,15,1,0,0,2,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2,2,2,0,0,2,3,0,2,31,41,18,2,185.0,120.0,0,0,4,4,45,4,1,19,0,16.7,4.9,28.0,2020-01-18 15:00:00+00:00,90,0,23,0,8823,4.0,3,912,1383,471,43,2020-01-18
10,2020-01-21,Tue,24,Away,L 1–3,Brighton,Bournemouth,Y,LB,59,0,0,0,0,2,0,1,0,39,2,0,1,0.1,0.1,0.0,0,0,24,34,3,19,2,1,1,371,104,14,20,9,10,1,3,0.0,0,2,0,0,28,6,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,1,12,20,9,2,126.0,68.0,0,0,1,0,23,6,0,1,0,0.9,2.9,6.2,2020-01-21 19:30:00+00:00,59,0,24,0,9628,22.0,-1,619,1022,403,43,2020-01-21
11,2020-02-01,Sat,25,Away,D 3–3,Brighton,West Ham,Y,LB,90,0,0,0,0,3,1,0,0,72,6,0,1,0.3,0.3,0.0,1,0,50,59,11,41,6,3,1,830,299,20,22,22,23,6,9,0.0,0,6,1,0,52,7,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0,3,4,1,1,0,0,0,1,19,43,11,2,283.0,158.0,3,0,0,4,44,6,0,9,0,2.8,5.5,23.0,2020-02-01 15:00:00+00:00,90,0,25,0,9733,29.0,1,158,814,656,43,2020-02-01
12,2020-02-22,Sat,27,Away,D 1–1,Brighton,Sheffield Utd,N,FW,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.0,2020-02-22 15:00:00+00:00,1,0,27,0,9261,0.0,1,-595,112,707,43,2020-02-22
13,2020-06-30,Tue,32,Home,L 0–3,Brighton,Manchester Utd,N,CB,10,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,5,1,3,0,0,0,113,11,1,1,4,4,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,4,3,0,0,13.0,4.0,0,0,0,0,3,0,0,4,0,0.1,0.4,4.2,2020-06-30 19:15:00+00:00,9,0,41,0,8064,0.0,1,-44,35,79,43,2020-06-30
14,2020-07-04,Sat,33,Away,W 1–0,Brighton,Norwich City,N,AM,19,0,0,0,0,1,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,5,11,1,8,0,0,0,60,42,3,6,1,4,0,0,0.0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,5,7,1,18.0,5.0,0,0,1,0,12,2,0,3,0,0.8,1.3,2.4,2020-07-04 11:30:00+00:00,18,0,42,0,8120,10.0,1,6,90,84,43,2020-07-04
15,2020-07-11,Sat,35,Home,L 0–5,Brighton,Manchester City,Y,LB,90,0,0,0,0,0,0,0,0,50,1,1,1,0.0,0.0,0.1,2,0,26,41,5,24,4,1,0,340,123,12,17,9,16,1,4,0.0,1,2,1,0,38,3,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,0,5,0,7,20,21,9,0,108.0,79.0,0,0,0,0,30,5,0,9,0,11.9,3.1,19.0,2020-07-11 19:00:00+00:00,90,0,44,0,8063,0.0,0,-49,54,103,43,2020-07-11
16,2020-07-26,Sun,38,Away,W 2–1,Brighton,Burnley,N,WB,18,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,12,13,2,13,1,0,0,154,100,9,9,3,3,0,1,0.0,0,1,0,0,13,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,8,6,0,55.0,20.0,0,0,1,1,12,1,0,3,0,1.2,0.7,5.8,2020-07-26 15:00:00+00:00,17,0,47,0,8119,0.0,1,-25,76,101,43,2020-07-26
17,2018-08-11,Sat,1,Away,L 0–2,Brighton,Watford,Y,"RB,LB",90,0,0,0,0,0,0,1,0,66,4,3,3,0.0,0.0,0.0,1,0,40,51,5,29,0,0,0,614,269,24,25,12,18,3,5,0.0,0,2,0,0,42,8,0,0,1,1,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,1,3,2,0,3,3,0,5,36,24,6,0,101.0,39.0,0,0,1,0,29,3,0,11,0,1.8,2.0,18.0,2018-08-11 14:00:00+00:00,90,0,1,0,10711,0.0,0,0,0,0,45,2018-08-11
18,2018-10-20,Sat,9,Away,W 1–0,Brighton,Newcastle Utd,N,RB,23,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,5,8,0,3,0,0,0,100,35,1,1,4,5,0,1,0.0,0,0,1,1,4,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,6,4,1,0,5.0,1.0,0,0,0,0,3,0,0,8,0,14.0,2.7,13.0,2018-10-20 14:00:00+00:00,22,0,9,0,5600,0.0,1,-223,103,326,42,2018-10-20
19,2018-11-24,Sat,13,Home,D 1–1,Brighton,Leicester City,Y,LB,90,0,0,0,0,0,0,0,0,80,5,2,3,0.0,0.0,0.1,1,0,43,63,5,40,2,1,0,671,272,23,27,17,26,2,7,0.0,1,2,1,0,49,14,0,0,0,3,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,5,5,0,0,3,3,0,6,30,36,14,0,167.0,108.0,2,0,1,0,38,2,0,13,0,12.6,3.4,21.0,2018-11-24 15:00:00+00:00,90,0,13,0,5238,0.0,2,-117,50,167,42,2018-11-24
20,2018-12-01,Sat,14,Away,W 2–1,Brighton,Huddersfield,Y,LB,90,0,0,0,0,0,0,0,0,80,3,4,0,0.0,0.0,0.0,1,0,54,67,9,42,4,0,0,815,336,33,35,18,23,3,7,0.0,0,5,0,0,52,14,2,0,0,2,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,3,1,0,0,6,0,3,25,41,14,0,170.0,121.0,0,0,3,0,42,5,0,18,0,2.8,2.6,23.4,2018-12-01 15:00:00+00:00,90,0,14,0,5305,0.0,2,46,118,72,42,2018-12-01
21,2018-12-04,Tue,15,Home,W 3–1,Brighton,Crystal Palace,Y,LB,90,0,0,0,0,0,0,1,0,57,2,2,3,0.0,0.0,0.0,1,0,26,41,4,23,2,2,1,337,170,18,21,7,13,0,3,0.0,0,1,0,0,30,11,0,0,0,1,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,2,2,0,2,1,5,0,4,17,26,14,0,122.0,78.0,0,0,1,1,24,1,0,6,0,1.2,2.3,21.6,2018-12-04 19:45:00+00:00,90,0,15,0,5454,0.0,1,108,226,118,42,2018-12-04
22,2018-12-08,Sat,16,Away,L 0–1,Brighton,Burnley,Y,LB,90,0,0,0,0,1,0,0,0,68,2,2,1,0.0,0.0,0.0,3,0,36,56,5,33,0,1,1,556,250,18,21,15,25,2,6,0.0,1,4,0,0,47,9,3,0,0,2,6,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,1,4,0,2,26,33,9,1,146.0,75.0,1,0,1,2,37,3,0,8,0,11.7,3.2,16.0,2018-12-08 15:00:00+00:00,90,0,16,0,5569,4.0,2,76,194,118,42,2018-12-08
23,2018-12-16,Sun,17,Home,L 1–2,Brighton,Chelsea,Y,LB,90,0,1,0,0,0,0,0,0,76,6,1,1,0.0,0.0,0.2,1,1,47,64,6,33,2,0,0,673,317,29,34,17,20,1,5,0.1,1,1,0,0,50,13,0,0,0,1,13,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,4,2,0,2,3,1,0,1,1,0,1,26,34,16,1,137.0,68.0,2,0,2,2,40,5,0,19,0,11.8,5.1,37.0,2018-12-16 13:30:00+00:00,90,0,17,0,5859,2.0,4,211,419,208,42,2018-12-16
24,2018-12-22,Sat,18,Away,L 0–2,Brighton,Bournemouth,Y,"LB,CB",90,0,0,0,0,0,0,0,0,67,3,3,1,0.0,0.0,0.0,3,0,39,52,3,21,4,3,2,726,208,20,24,11,15,7,9,0.0,1,3,1,0,41,11,2,0,0,2,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,1,0,0,1,4,0,3,15,37,15,0,161.0,108.0,5,0,1,0,32,4,0,13,0,15.7,3.4,18.4,2018-12-22 15:00:00+00:00,90,0,18,0,7415,0.0,1,1316,1603,287,42,2018-12-22
25,2018-12-26,Wed,19,Home,D 1–1,Brighton,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,54,2,1,2,0.0,0.0,0.0,1,0,26,40,3,23,4,1,0,385,205,14,17,12,17,0,5,0.1,1,2,1,0,36,4,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,5,0,10,24,25,7,0,200.0,134.0,2,0,2,0,24,3,0,14,0,15.6,4.6,30.0,2018-12-26 17:15:00+00:00,90,0,19,0,7821,0.0,2,441,840,399,42,2018-12-26
