,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-09-11,Sat,4,Home,L 0–1,Leicester City,Manchester City,Y,LB,90,0,0,0,0,0,0,0,0,39,4,0,4,0.0,0.0,0.0,0,0,21,24,3,12,0,0,0,298,100,13,14,7,9,1,1,0.0,0,0,0,0,17,7,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,2,3,1,1,3,1,0,8,17,18,4,0,53.0,20.0,0,0,1,3,15,1,0,8,0,0.3,1.7,16.2,2021-09-11 14:00:00+00:00,90,0,4,0,57109,0.0,2,-20287,1268,21555,49,2021-09-11
1,2021-09-19,Sun,5,Away,L 1–2,Leicester City,Brighton,Y,LB,67,0,0,0,0,0,0,0,0,52,0,1,0,0.0,0.0,0.0,0,0,38,49,3,24,0,0,0,525,185,23,24,10,14,2,4,0.1,0,4,0,0,36,13,1,0,0,3,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,11,30,11,0,108.0,49.0,1,0,0,1,32,0,0,7,0,9.8,1.4,3.8,2021-09-19 13:00:00+00:00,67,0,5,0,56812,0.0,1,-1844,6258,8102,49,2021-09-19
2,2021-09-25,Sat,6,Home,D 2–2,Leicester City,Burnley,Y,LB,90,0,0,0,0,0,0,0,0,97,1,0,1,0.0,0.0,0.0,2,0,69,89,9,53,1,0,0,994,345,42,47,25,28,2,9,0.1,0,5,1,0,69,20,1,0,0,9,13,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,18,48,31,4,205.0,96.0,1,1,1,0,63,5,0,12,0,3.9,2.0,8.0,2021-09-25 14:00:00+00:00,90,0,6,0,56019,8.0,1,-1519,3164,4683,49,2021-09-25
3,2021-10-03,Sun,7,Away,D 2–2,Leicester City,Crystal Palace,Y,LB,90,0,0,0,0,0,0,1,0,41,3,0,3,0.0,0.0,0.0,0,0,23,29,2,12,1,0,0,395,198,10,12,9,12,3,4,0.0,0,3,0,0,20,9,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,2,1,3,0,7,19,17,7,0,46.0,27.0,0,0,4,0,14,2,0,5,0,0.8,2.1,20.0,2021-10-03 13:00:00+00:00,90,0,7,0,52524,0.0,0,-3711,1502,5213,49,2021-10-03
4,2020-09-12,Sat,1,Away,L 0–1,Southampton,Crystal Palace,Y,LB,90,0,0,0,0,0,0,0,0,84,4,0,0,0.0,0.0,0.1,2,0,56,71,4,43,1,1,1,1007,241,26,30,22,26,5,10,0.1,1,2,1,0,58,13,5,0,3,4,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,1,1,0,0,3,0,2,20,41,23,1,182.0,100.0,2,0,1,0,48,10,0,15,0,18.5,3.7,16.8,2020-09-12 14:00:00+00:00,90,0,1,0,87171,2.0,2,0,0,0,50,2020-09-12
5,2020-09-20,Sun,2,Home,L 2–5,Southampton,Tottenham,Y,LB,90,0,0,0,0,0,0,1,0,67,1,0,1,0.0,0.0,0.0,2,0,43,65,8,17,1,0,0,651,236,23,33,19,22,1,7,0.0,0,5,0,0,51,14,5,0,0,3,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,1,2,0,0,9,43,18,2,61.0,25.0,1,0,0,0,35,4,0,7,0,2.8,1.2,5.4,2020-09-20 11:00:00+00:00,90,0,2,0,88465,4.0,-1,-8986,2873,11859,50,2020-09-20
6,2020-09-26,Sat,3,Away,W 1–0,Southampton,Burnley,Y,LB,90,0,0,0,0,0,0,0,0,77,0,2,2,0.0,0.0,0.2,2,0,58,70,4,41,2,0,0,700,336,37,39,17,22,1,5,0.3,2,2,1,1,53,17,0,0,0,3,15,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,17,42,19,1,135.0,64.0,1,0,0,0,46,3,2,28,1,32.3,5.3,19.0,2020-09-26 19:00:00+00:00,90,0,3,0,80480,2.0,8,-10378,3818,14196,50,2020-09-26
7,2020-10-04,Sun,4,Home,W 2–0,Southampton,West Brom,Y,LB,90,0,0,0,0,1,1,0,0,76,3,3,0,0.1,0.1,0.0,0,0,50,68,4,40,1,0,0,704,258,36,41,12,16,2,6,0.0,1,2,0,0,46,22,3,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,2,19,37,20,4,184.0,107.0,1,1,0,0,41,4,0,20,1,12.7,4.9,13.4,2020-10-04 11:00:00+00:00,90,0,4,0,94806,23.0,6,8694,14565,5871,50,2020-10-04
8,2020-10-17,Sat,5,Away,D 3–3,Southampton,Chelsea,Y,LB,90,0,0,0,0,0,0,0,0,77,2,1,1,0.0,0.0,0.0,2,0,47,67,5,31,2,1,0,717,265,24,31,18,23,2,5,0.0,0,3,1,0,48,19,2,0,0,3,17,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,1,0,0,0,8,41,28,1,153.0,66.0,1,0,1,1,45,10,0,5,0,2.7,1.1,6.4,2020-10-17 14:00:00+00:00,90,0,5,0,95509,2.0,1,-28,8793,8821,50,2020-10-17
9,2020-10-25,Sun,6,Home,W 2–0,Southampton,Everton,Y,LB,90,0,0,0,0,0,0,0,0,70,1,0,0,0.0,0.0,0.2,3,0,58,64,4,34,1,2,1,845,288,32,33,22,24,2,4,0.3,3,1,2,0,57,7,0,0,0,4,6,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,11,40,19,1,186.0,86.0,2,1,1,0,55,2,0,25,1,36.9,5.2,11.0,2020-10-25 14:00:00+00:00,90,0,6,0,94027,4.0,6,-2293,4720,7013,50,2020-10-25
