,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2024-02-24,Sat,26,Home,W 4–2,Aston Villa,Nott'ham Forest,N,CB,45,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,34,36,2,27,0,0,0,600,273,13,13,21,21,0,2,0.0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,27,13,0,0,143.0,98.0,0,0,0,0,31,0,0,11,0,0.2,1.0,9.4,2024-02-24 15:00:00+00:00,45,0,26,0,177145,0.0,1,10835,21447,10612,38,2024-02-24
1,2024-04-03,Wed,31,Away,L 1–4,Aston Villa,Manchester City,N,DM,28,0,0,0,0,0,0,1,0,22,0,0,2,0.0,0.0,0.0,0,0,16,19,0,7,0,1,1,311,92,5,6,7,7,4,4,0.0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,12,9,1,0,23.0,7.0,0,0,0,0,15,0,0,0,0,0.3,0.5,5.0,2024-04-03 19:15:00+00:00,26,0,31,0,185965,0.0,0,9680,13260,3580,38,2024-04-03
2,2024-05-05,Sun,36,Away,L 0–1,Aston Villa,Brighton,N,CM,1,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,2,3,1,2,0,0,0,35,17,0,0,2,2,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,3,0,0,4.0,2.0,0,0,0,0,2,0,0,3,0,0.0,0.1,1.4,2024-05-05 13:00:00+00:00,1,0,36,0,214707,0.0,1,5218,11262,6044,38,2024-05-05
3,2024-05-13,Mon,37,Home,D 3–3,Aston Villa,Liverpool,N,DM,11,0,1,0,0,0,0,0,0,8,1,1,0,0.0,0.0,0.1,1,0,3,6,0,4,0,0,0,46,8,2,2,1,2,0,1,0.0,1,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,5,0,18.0,4.0,0,0,0,0,3,1,0,13,0,10.3,3.1,20.2,2024-05-13 19:00:00+00:00,10,0,37,0,235976,0.0,4,11801,25027,13226,38,2024-05-13
4,2024-05-19,Sun,38,Away,L 0–5,Aston Villa,Crystal Palace,Y,CM,67,0,0,0,0,0,0,0,0,54,2,0,0,0.0,0.0,0.0,0,0,45,49,2,38,0,0,0,713,122,27,29,14,15,2,3,0.0,0,2,0,0,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,25,23,6,0,161.0,47.0,0,0,0,1,48,0,0,10,0,1.4,0.4,3.0,2024-05-19 15:00:00+00:00,67,0,38,0,254740,0.0,0,17793,27096,9303,38,2024-05-19
5,2022-08-13,Sat,2,Home,W 2–1,Aston Villa,Everton,N,CB,1,0,0,0,0,0,0,0,0,2,0,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,4,0,0.0,1.0,10.0,2022-08-13 11:30:00+00:00,1,0,2,0,25480,0.0,1,-2659,1228,3887,45,2022-08-13
6,2022-08-28,Sun,4,Home,L 0–1,Aston Villa,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,80,2,3,1,0.0,0.0,0.0,1,0,63,73,4,62,2,0,0,1146,506,28,29,31,34,4,7,0.0,0,3,0,0,69,2,1,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,1,2,1,1,0,1,0,9,47,32,2,0,327.0,229.0,0,0,0,0,58,0,0,16,0,0.6,2.1,20.0,2022-08-28 13:00:00+00:00,90,0,4,0,23895,0.0,2,-2730,645,3375,44,2022-08-28
7,2022-10-23,Sun,13,Home,W 4–0,Aston Villa,Brentford,N,RB,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,0,2,0,0,0,22,11,2,2,0,1,0,0,0.0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,10.0,9.0,0,0,1,0,1,0,0,2,0,0.0,0.0,0.0,2022-10-23 13:00:00+00:00,9,0,13,0,18754,0.0,1,-236,222,458,43,2022-10-23
8,2023-01-01,Sun,18,Away,W 2–0,Aston Villa,Tottenham,N,"CM,AM",9,0,0,0,0,1,0,1,0,8,0,0,0,0.0,0.0,0.0,0,0,4,7,1,3,0,0,0,91,26,1,3,2,2,1,2,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,8.0,0.0,0,0,0,0,4,0,0,-3,0,0.3,0.0,0.0,2023-01-01 14:00:00+00:00,8,0,18,0,18198,1.0,0,-155,119,274,42,2023-01-01
9,2023-02-12,Sun,23,Away,L 1–3,Aston Villa,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,44,0,3,1,0.0,0.0,0.0,0,0,29,38,0,27,0,0,0,674,317,8,8,14,15,7,14,0.0,0,2,0,0,37,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,11,35,9,0,0,174.0,118.0,0,0,0,0,30,0,0,10,0,0.3,0.9,8.8,2023-02-12 16:30:00+00:00,90,0,23,0,17772,0.0,1,-141,65,206,42,2023-02-12
