,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2018-08-11,Sat,1,Home,L 0–2,Fulham,Crystal Palace,Y,RB,90,0,0,0,0,1,1,0,0,94,1,1,1,0.0,0.0,0.1,3,0,64,84,9,61,6,1,0,1044,335,29,32,30,37,4,12,0.1,1,6,2,1,77,7,1,0,1,12,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,1,3,0,3,13,47,34,1,408.0,234.0,5,1,1,2,77,16,0,12,0,19.3,4.6,17.8,2018-08-11 14:00:00+00:00,90,0,1,0,14289,9.0,1,0,0,0,45,2018-08-11
1,2018-08-18,Sat,2,Away,L 1–3,Fulham,Tottenham,N,LB,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,0,0,0,0,0,12,0,1,2,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.1,1.0,2018-08-18 14:00:00+00:00,5,0,2,0,14640,0.0,1,-890,564,1454,45,2018-08-18
2,2018-09-15,Sat,5,Away,L 0–3,Fulham,Manchester City,Y,RB,90,0,0,0,0,0,0,0,0,60,2,3,2,0.0,0.0,0.1,3,0,38,49,2,30,3,3,2,548,179,23,24,15,21,0,3,0.1,2,1,0,0,41,8,0,0,0,5,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,2,2,0,2,0,7,21,23,17,1,223.0,108.0,2,1,1,2,32,6,0,15,0,22.5,5.2,27.0,2018-09-15 14:00:00+00:00,90,0,5,0,10676,2.0,1,-1337,66,1403,44,2018-09-15
3,2018-09-29,Sat,7,Away,L 0–3,Fulham,Everton,N,RB,83,0,0,0,0,0,0,1,0,67,4,1,3,0.0,0.0,0.0,0,0,38,52,4,27,3,2,1,661,224,18,21,13,18,4,9,0.0,0,1,0,0,38,14,1,0,1,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,2,1,7,0,8,22,31,15,1,213.0,93.0,2,1,2,2,34,5,0,7,0,6.0,3.8,30.4,2018-09-29 14:00:00+00:00,82,0,7,0,9657,2.0,0,-576,45,621,43,2018-09-29
4,2018-10-07,Sun,8,Home,L 1–5,Fulham,Arsenal,Y,"RM,RB",90,0,0,0,0,1,0,0,0,63,2,1,0,0.0,0.0,0.5,7,0,37,52,5,33,3,1,0,586,207,19,20,17,21,1,9,0.2,5,1,4,2,47,5,0,0,1,6,5,0,0,5,1,0,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,6,30,27,1,243.0,127.0,3,1,2,0,46,11,0,20,0,63.3,9.5,21.6,2018-10-07 11:00:00+00:00,90,0,8,0,9318,10.0,0,-367,63,430,43,2018-10-07
5,2018-11-05,Mon,11,Away,L 0–1,Fulham,Huddersfield,N,RB,45,0,0,0,0,0,0,0,0,52,0,0,0,0.0,0.0,0.0,0,0,37,50,3,21,5,2,0,565,215,18,22,15,17,2,5,0.0,0,4,0,0,35,15,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7,31,14,1,239.0,99.0,1,1,1,0,27,2,0,2,0,2.6,0.6,1.8,2018-11-05 20:00:00+00:00,45,0,11,0,8299,2.0,1,-354,32,386,42,2018-11-05
6,2018-11-11,Sun,12,Away,L 0–2,Fulham,Liverpool,Y,RB,90,0,0,0,0,0,0,0,0,58,0,2,0,0.0,0.0,0.0,3,0,24,45,4,17,4,2,1,337,171,16,21,6,13,1,6,0.0,1,3,0,0,31,13,0,0,0,3,13,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,6,18,30,12,0,195.0,140.0,1,0,2,0,29,3,0,13,0,11.2,2.8,17.2,2018-11-11 12:00:00+00:00,90,0,12,0,8181,0.0,1,-149,96,245,42,2018-11-11
7,2018-11-24,Sat,13,Home,W 3–2,Fulham,Southampton,Y,RB,90,0,0,0,0,1,0,0,0,68,4,2,0,0.1,0.1,0.0,2,1,36,50,1,26,3,5,5,513,185,19,20,16,19,0,8,0.0,0,2,1,1,37,13,2,0,0,2,11,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,2,2,0,2,3,1,0,0,9,0,7,29,26,15,1,197.0,119.0,1,1,0,3,30,2,0,15,0,6.0,4.2,32.4,2018-11-24 15:00:00+00:00,90,0,13,0,8166,4.0,1,-59,172,231,42,2018-11-24
8,2018-12-02,Sun,14,Away,L 0–2,Fulham,Chelsea,Y,RB,90,0,0,0,0,2,0,0,0,64,4,1,2,0.1,0.1,0.0,0,0,31,51,2,26,0,1,0,609,252,13,17,13,20,5,10,0.0,0,1,1,1,36,15,0,0,1,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,2,3,1,2,0,4,1,6,22,27,15,1,150.0,50.0,0,0,0,2,34,4,0,2,0,5.0,3.3,17.0,2018-12-02 12:00:00+00:00,90,0,14,0,8153,11.0,1,-4,121,125,42,2018-12-02
9,2018-12-05,Wed,15,Home,D 1–1,Fulham,Leicester City,Y,RB,83,0,0,0,0,1,1,0,0,66,1,0,0,0.0,0.0,0.0,0,0,31,58,5,18,1,1,1,561,338,10,14,20,36,0,4,0.0,0,4,0,0,37,21,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,2,18,35,13,0,164.0,74.0,0,0,0,2,21,3,0,8,0,1.5,1.7,8.2,2018-12-05 19:45:00+00:00,83,0,15,0,8156,7.0,2,-15,133,148,42,2018-12-05
10,2018-12-15,Sat,17,Home,L 0–2,Fulham,West Ham,N,RB,45,0,0,0,0,0,0,0,0,35,1,0,0,0.0,0.0,0.0,0,0,23,29,3,22,2,5,3,345,85,15,16,6,8,1,2,0.0,0,0,2,1,22,6,1,0,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,12,21,2,194.0,103.0,4,0,1,1,25,9,0,1,0,6.3,1.7,7.0,2018-12-15 17:30:00+00:00,45,0,17,0,8146,4.0,1,-80,132,212,42,2018-12-15
11,2018-12-22,Sat,18,Away,D 0–0,Fulham,Newcastle Utd,Y,RM,90,0,0,0,0,0,0,0,0,61,0,2,3,0.0,0.0,0.0,0,0,31,45,2,19,1,1,0,416,173,22,27,8,11,1,4,0.0,0,0,0,0,31,12,0,0,0,1,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,0,9,22,23,17,1,136.0,40.0,0,0,2,1,27,8,0,24,1,1.8,2.6,21.8,2018-12-22 15:00:00+00:00,90,0,18,0,8107,2.0,6,-63,121,184,42,2018-12-22
12,2018-12-26,Wed,19,Home,D 1–1,Fulham,Wolves,Y,RM,90,0,0,0,0,1,0,1,0,48,1,3,1,0.1,0.1,0.1,2,0,21,34,0,21,1,4,1,397,185,8,9,11,18,2,6,0.1,1,1,1,1,19,15,1,0,1,2,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,1,0,0,0,18,16,15,1,212.0,68.0,2,0,2,2,18,1,0,0,0,14.8,2.3,4.6,2018-12-26 12:30:00+00:00,90,0,19,0,8755,4.0,1,485,702,217,42,2018-12-26
13,2018-12-29,Sat,20,Home,W 1–0,Fulham,Huddersfield,Y,"RM,WB",90,0,0,0,0,1,0,1,0,60,2,1,0,0.0,0.0,0.1,3,0,38,49,5,21,5,0,0,615,252,18,18,16,19,3,8,0.2,2,2,3,2,36,13,1,0,0,4,12,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,4,0,4,12,24,25,2,147.0,60.0,1,1,2,2,34,5,0,23,1,32.3,5.5,16.6,2018-12-29 15:00:00+00:00,90,0,20,0,9380,6.0,5,504,815,311,42,2018-12-29
14,2019-01-01,Tue,21,Away,L 1–4,Fulham,Arsenal,Y,RM,55,0,0,0,0,0,0,0,0,40,1,1,1,0.0,0.0,0.0,0,0,14,27,2,19,2,2,0,234,113,8,10,1,6,4,6,0.0,0,1,0,0,24,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,5,0,6,12,16,12,2,117.0,53.0,1,0,1,0,20,3,0,4,0,0.6,1.7,12.2,2019-01-01 15:00:00+00:00,55,0,21,0,9971,4.0,0,588,1391,803,42,2019-01-01
15,2019-01-12,Sat,22,Away,L 1–2,Fulham,Burnley,Y,"RM,RB",90,0,0,0,0,1,1,1,0,90,2,1,1,0.0,0.0,0.0,3,0,58,79,12,42,3,5,3,801,259,35,39,21,31,1,7,0.0,1,4,0,0,70,9,0,0,0,6,9,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,1,0,1,0,3,20,41,30,0,316.0,128.0,1,0,2,2,54,15,0,11,0,15.7,4.6,22.8,2019-01-12 15:00:00+00:00,90,0,22,0,10012,7.0,0,-41,588,629,42,2019-01-12
16,2019-01-20,Sun,23,Home,L 1–2,Fulham,Tottenham,Y,RM,90,0,0,0,0,0,0,0,0,48,3,1,1,0.0,0.0,0.1,1,0,20,32,1,19,3,3,2,343,175,10,12,8,15,2,5,0.2,1,0,1,1,25,7,0,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,2,0,0,1,8,0,5,24,19,7,0,183.0,91.0,3,0,2,0,16,1,0,10,0,14.4,3.3,18.2,2019-01-20 16:00:00+00:00,90,0,23,0,9694,0.0,1,-366,285,651,42,2019-01-20
17,2019-01-29,Tue,24,Home,W 4–2,Fulham,Brighton,Y,"RB,RM",90,0,0,0,0,1,0,0,0,73,0,0,2,0.0,0.0,0.0,3,0,41,59,3,33,5,0,0,649,206,21,26,17,23,2,6,0.1,0,1,3,1,49,10,0,0,0,9,10,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,7,19,22,32,3,284.0,163.0,4,1,3,3,47,11,0,10,0,7.1,3.1,16.2,2019-01-29 19:45:00+00:00,90,0,24,0,9958,8.0,1,175,568,393,42,2019-01-29
18,2019-02-02,Sat,25,Away,L 0–2,Fulham,Crystal Palace,Y,"RM,RB",61,0,0,0,0,0,0,0,0,71,1,0,0,0.0,0.0,0.0,1,0,53,68,3,32,3,1,1,727,160,32,35,19,22,2,7,0.0,0,4,1,0,59,9,0,0,0,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,9,43,19,0,168.0,83.0,1,0,0,1,51,8,0,10,0,7.9,1.1,2.8,2019-02-02 15:00:00+00:00,61,0,25,0,9805,0.0,2,-124,145,269,42,2019-02-02
19,2019-02-09,Sat,26,Home,L 0–3,Fulham,Manchester Utd,N,RM,38,0,0,0,0,0,0,0,0,32,0,2,1,0.0,0.0,0.1,1,0,20,25,1,15,3,1,0,291,68,13,13,7,8,0,2,0.1,1,1,1,1,23,2,0,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,5,11,17,1,88.0,51.0,2,0,1,1,19,5,0,3,0,16.7,2.4,5.6,2019-02-09 12:30:00+00:00,37,0,26,0,9386,2.0,1,-421,63,484,42,2019-02-09
