,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Away,L 1–5,Leeds United,Manchester Utd,Y,"CM,LB",90,0,1,0,0,0,0,0,0,44,1,1,2,0.0,0.0,0.0,2,1,32,39,3,28,4,1,1,534,163,13,14,11,14,5,5,0.0,1,2,1,0,32,6,1,0,1,0,5,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,3,2,1,1,1,0,3,15,18,12,0,203.0,99.0,3,0,0,0,29,1,0,25,0,13.1,4.3,29.6,2021-08-14 11:30:00+00:00,90,0,1,0,1045606,0.0,5,0,0,0,55,2021-08-14
1,2021-08-21,Sat,2,Home,D 2–2,Leeds United,Everton,Y,CM,90,0,0,0,0,0,0,0,0,77,4,3,0,0.0,0.0,0.1,5,0,54,66,7,38,2,3,3,726,292,37,41,14,15,2,9,0.1,2,6,1,0,55,11,3,0,0,6,6,2,0,2,2,0,0,1,0,0,0,0,0,0,0,3,2,2,0,3,5,2,0,0,0,0,2,19,33,26,1,201.0,108.0,3,0,1,0,39,4,0,23,0,27.8,5.2,22.6,2021-08-21 14:00:00+00:00,90,0,2,0,1075755,2.0,2,-17385,54731,72116,55,2021-08-21
2,2021-08-29,Sun,3,Away,D 1–1,Leeds United,Burnley,Y,CM,90,0,0,0,0,1,0,0,0,73,1,0,0,0.0,0.0,0.0,1,0,55,65,4,33,4,0,0,901,247,26,30,26,27,3,7,0.0,0,5,0,0,51,14,3,0,0,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,2,0,2,21,36,16,1,162.0,97.0,2,1,1,3,43,5,0,11,0,2.1,2.0,7.4,2021-08-29 13:00:00+00:00,90,0,3,0,984820,10.0,2,-96116,36656,132772,55,2021-08-29
3,2021-09-12,Sun,4,Home,L 0–3,Leeds United,Liverpool,Y,"CM,RB",90,0,0,0,0,0,0,0,0,31,2,0,1,0.0,0.0,0.0,1,0,18,27,1,22,2,1,1,259,66,11,16,7,7,0,2,0.0,0,0,1,0,25,2,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,2,5,3,0,1,0,0,1,8,18,6,1,78.0,50.0,1,0,1,0,20,2,0,12,0,4.3,1.4,6.0,2021-09-12 15:30:00+00:00,90,0,4,0,817782,4.0,2,-170248,40612,210860,55,2021-09-12
4,2021-09-17,Fri,5,Away,D 1–1,Leeds United,Newcastle Utd,Y,RB,90,0,0,0,0,0,0,0,0,65,0,1,0,0.0,0.0,0.0,2,0,49,63,5,32,2,0,0,691,216,30,33,16,20,1,5,0.0,1,3,1,1,46,17,1,0,0,6,14,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,14,38,13,0,137.0,82.0,2,0,1,0,42,4,0,11,0,15.4,2.6,10.2,2021-09-17 19:00:00+00:00,90,0,5,0,738888,0.0,2,-87524,36928,124452,54,2021-09-17
5,2021-09-25,Sat,6,Home,L 1–2,Leeds United,West Ham,Y,"CM,RB",90,0,0,0,0,3,1,0,0,33,1,0,0,0.2,0.2,0.1,2,0,17,26,2,14,4,0,0,280,54,7,10,6,8,2,5,0.1,1,0,1,1,22,3,2,1,1,4,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,0,0,0,0,1,7,14,13,1,139.0,103.0,3,0,1,1,19,1,0,8,0,19.6,5.4,8.0,2021-09-25 14:00:00+00:00,90,0,6,0,651985,26.0,2,-89376,12967,102343,54,2021-09-25
6,2021-10-02,Sat,7,Home,W 1–0,Leeds United,Watford,Y,CM,77,0,0,0,0,5,1,0,0,51,2,0,2,0.5,0.5,0.1,5,0,29,38,8,29,2,0,0,400,132,16,18,12,14,0,3,0.1,2,1,2,0,35,3,1,0,0,5,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,1,5,18,28,4,146.0,55.0,1,1,0,1,29,3,0,14,1,24.3,8.3,9.4,2021-10-02 14:00:00+00:00,77,0,7,0,592359,49.0,3,-62009,11443,73452,53,2021-10-02
7,2021-10-16,Sat,8,Away,L 0–1,Leeds United,Southampton,Y,"CM,LM",90,0,0,0,0,0,0,0,0,60,2,2,2,0.0,0.0,0.0,0,0,35,46,6,24,0,3,2,557,202,23,26,9,13,3,5,0.0,0,4,0,0,37,8,1,0,1,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,4,4,1,1,4,0,5,18,31,11,0,177.0,75.0,1,0,1,1,35,3,0,15,0,1.9,2.2,19.6,2021-10-16 14:00:00+00:00,90,0,8,0,526484,0.0,2,-66928,7730,74658,53,2021-10-16
8,2021-10-23,Sat,9,Home,D 1–1,Leeds United,Wolves,Y,LB,90,0,0,0,0,1,0,0,0,74,3,4,0,0.0,0.0,0.0,4,0,53,61,8,36,5,1,1,934,291,25,26,23,25,5,8,0.1,2,6,1,0,51,9,4,0,1,3,5,0,1,1,3,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,1,1,0,0,2,0,2,19,39,17,0,244.0,144.0,3,0,5,0,44,1,1,22,0,31.4,6.4,24.2,2021-10-23 14:00:00+00:00,90,0,9,0,492237,8.0,3,-35157,6209,41366,52,2021-10-23
9,2021-10-31,Sun,10,Away,W 2–1,Leeds United,Norwich City,Y,CM,90,0,0,0,0,2,0,0,0,44,2,1,3,0.1,0.1,0.2,1,0,30,32,5,21,1,0,0,513,187,18,18,9,10,3,4,0.2,1,4,1,0,25,7,2,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,1,2,3,0,2,12,26,8,0,161.0,82.0,3,0,0,1,29,1,0,11,0,14.7,4.9,18.4,2021-10-31 14:00:00+00:00,90,0,10,0,464396,16.0,2,-29366,13033,42399,52,2021-10-31
