,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–5,Aston Villa,Newcastle Utd,N,CB,27,0,0,0,0,2,1,0,0,21,2,0,0,0.3,0.3,0.0,0,0,15,15,0,10,0,0,0,234,156,6,6,8,8,0,0,0.0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,1,0,3,9,10,2,2,51.0,23.0,0,0,0,0,15,0,0,6,0,0.4,4.7,9.4,2023-08-12 16:30:00+00:00,26,0,1,0,36482,37.0,0,0,0,0,45,2023-08-12
1,2023-08-20,Sun,2,Home,W 4–0,Aston Villa,Everton,N,CB,27,0,0,0,0,0,0,0,0,31,2,0,1,0.0,0.0,0.0,0,0,23,26,0,24,0,1,0,412,158,7,8,16,17,0,1,0.0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,2,0,5,19,12,0,0,134.0,56.0,0,0,0,0,24,0,0,8,0,0.2,1.5,15.2,2023-08-20 13:00:00+00:00,26,0,2,0,44605,0.0,1,-1562,4081,5643,45,2023-08-20
2,2023-08-27,Sun,3,Away,W 3–1,Aston Villa,Burnley,Y,CB,90,0,0,0,0,1,0,0,0,80,2,2,0,0.1,0.1,0.0,0,0,53,69,2,45,0,2,1,1130,490,12,12,36,40,5,15,0.0,0,3,0,0,65,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,4,0,16,52,25,3,3,227.0,119.0,0,0,0,0,57,0,0,10,0,0.7,2.3,14.4,2023-08-27 13:00:00+00:00,90,0,3,0,44528,8.0,2,-2464,2472,4936,45,2023-08-27
3,2023-09-03,Sun,4,Away,L 0–3,Aston Villa,Liverpool,Y,CB,18,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,10,10,1,9,0,0,0,222,111,4,4,3,3,3,3,0.0,0,2,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,2,0,0,72.0,18.0,0,0,0,0,9,0,0,3,0,0.2,0.2,1.6,2023-09-03 13:00:00+00:00,18,0,4,0,44857,0.0,1,-1653,2268,3921,45,2023-09-03
4,2023-10-08,Sun,8,Away,D 1–1,Aston Villa,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,69,0,1,0,0.0,0.0,0.0,0,0,60,66,6,44,0,0,0,1202,520,16,16,38,39,6,11,0.0,0,2,0,0,64,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,8,37,31,1,0,260.0,187.0,0,0,0,0,50,0,0,13,0,10.8,2.2,11.2,2023-10-08 13:00:00+00:00,90,0,8,0,30087,0.0,2,559,1615,1056,44,2023-10-08
5,2023-10-29,Sun,10,Home,W 3–1,Aston Villa,Luton Town,N,CB,12,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,10,11,0,10,0,0,0,172,58,5,5,5,6,0,0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,6,0,0,51.0,13.0,0,0,0,0,11,0,0,3,0,0.1,0.2,2.0,2023-10-29 14:00:00+00:00,11,0,10,0,32681,0.0,1,723,2163,1440,44,2023-10-29
6,2023-11-05,Sun,11,Away,L 0–2,Aston Villa,Nott'ham Forest,N,CB,13,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,21,23,3,22,0,0,0,435,196,7,7,9,10,5,6,0.0,0,5,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,16,1,0,92.0,69.0,0,0,0,0,19,0,0,4,0,1.1,0.4,3.0,2023-11-05 14:00:00+00:00,12,0,11,0,33215,0.0,1,357,1616,1259,44,2023-11-05
7,2023-11-26,Sun,13,Away,W 2–1,Aston Villa,Tottenham,Y,CB,90,0,0,0,0,1,0,0,0,43,1,1,1,0.1,0.1,0.0,0,0,30,33,1,19,0,0,0,550,302,10,10,20,21,0,2,0.0,0,1,0,0,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,4,0,14,29,13,1,1,68.0,46.0,0,0,0,0,28,0,0,14,0,0.3,1.9,14.8,2023-11-26 14:00:00+00:00,90,0,13,0,30416,4.0,2,-2044,98,2142,44,2023-11-26
8,2023-12-03,Sun,14,Away,D 2–2,Aston Villa,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,93,1,1,2,0.0,0.0,0.0,0,0,70,83,5,51,0,0,0,1235,732,37,39,29,32,4,12,0.0,0,5,0,0,80,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,7,1,17,62,31,0,0,196.0,102.0,0,0,0,0,67,0,0,13,0,0.7,2.3,21.8,2023-12-03 14:00:00+00:00,90,0,14,0,31479,0.0,1,735,1245,510,44,2023-12-03
9,2023-12-06,Wed,15,Home,W 1–0,Aston Villa,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,63,0,0,0,0.0,0.0,0.0,1,1,54,60,3,46,0,0,0,1280,646,14,16,27,28,13,16,0.0,1,4,1,0,57,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,43,18,2,1,156.0,83.0,0,0,0,0,53,0,0,24,1,10.6,2.0,7.8,2023-12-06 20:15:00+00:00,90,0,15,0,31903,2.0,6,348,879,531,44,2023-12-06
