,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-09-13,Sun,1,Home,L 0–3,West Brom,Leicester City,Y,LB,90,0,0,0,0,0,0,0,0,47,0,1,0,0.0,0.0,0.0,1,0,32,43,2,22,1,0,0,482,158,19,22,12,15,1,5,0.0,0,1,0,0,38,4,0,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,13,24,10,0,81.0,38.0,0,0,1,0,27,3,0,12,0,1.7,0.8,6.4,2020-09-13 13:00:00+00:00,90,0,1,0,48768,0.0,1,0,0,0,45,2020-09-13
1,2020-09-19,Sat,2,Away,L 2–5,West Brom,Everton,Y,LB,44,0,0,0,0,0,0,0,1,39,0,1,0,0.0,0.0,0.0,0,0,27,33,3,23,4,0,0,339,139,21,25,6,7,0,1,0.0,1,3,0,0,31,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,9,24,6,1,163.0,123.0,0,1,2,0,29,0,0,-1,0,11.5,1.5,1.0,2020-09-19 11:30:00+00:00,45,0,2,0,46922,2.0,-4,-5596,2252,7848,45,2020-09-19
2,2020-12-12,Sat,12,Away,L 1–2,West Brom,Newcastle Utd,N,"WB,LB",45,0,0,0,0,0,0,0,0,33,2,0,0,0.0,0.0,0.0,0,0,23,28,0,16,1,0,0,330,105,13,15,8,9,1,1,0.0,0,1,0,0,25,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,4,9,14,10,1,70.0,19.0,0,0,1,0,19,3,0,9,0,1.7,1.1,7.2,2020-12-12 15:00:00+00:00,45,0,12,0,14916,2.0,1,-289,283,572,43,2020-12-12
3,2020-12-15,Tue,13,Away,D 1–1,West Brom,Manchester City,Y,LB,90,0,0,0,0,0,0,1,0,26,2,1,3,0.0,0.0,0.0,0,0,13,19,0,6,0,0,0,172,101,9,10,3,5,1,4,0.0,0,3,0,0,17,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,2,1,1,0,6,15,11,1,0,46.0,22.0,0,0,0,0,8,0,0,10,0,0.6,1.7,16.2,2020-12-15 20:00:00+00:00,90,0,13,0,14927,0.0,1,-86,271,357,43,2020-12-15
4,2020-12-20,Sun,14,Home,L 0–3,West Brom,Aston Villa,Y,LB,90,0,0,0,0,0,0,0,0,41,2,4,1,0.0,0.0,0.0,0,0,16,30,1,21,2,1,1,229,47,11,11,5,12,0,6,0.0,0,0,0,0,26,3,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,1,3,0,3,24,13,4,0,114.0,67.0,2,0,1,0,17,0,0,12,0,0.7,1.5,13.8,2020-12-20 19:15:00+00:00,90,0,14,0,15155,0.0,1,126,492,366,43,2020-12-20
5,2020-12-27,Sun,15,Away,D 1–1,West Brom,Liverpool,Y,LB,90,0,0,0,0,0,0,0,0,21,1,1,1,0.0,0.0,0.0,0,0,4,8,1,2,0,0,0,104,77,0,0,2,4,2,4,0.0,0,1,0,0,6,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,8,0,10,16,5,0,0,3.0,1.0,0,0,0,0,4,0,0,13,0,0.1,2.1,20.6,2020-12-27 16:30:00+00:00,90,0,15,0,15202,0.0,2,-68,556,624,43,2020-12-27
6,2021-01-16,Sat,19,Away,W 3–2,West Brom,Wolves,Y,LB,90,0,0,0,0,1,0,0,0,44,3,1,2,0.1,0.1,0.0,1,1,18,30,3,11,0,0,0,228,128,10,13,6,11,0,4,0.0,0,2,1,0,18,12,1,0,0,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,3,5,2,2,0,4,0,7,23,14,7,1,48.0,22.0,0,0,0,0,11,1,0,8,0,1.1,2.3,17.8,2021-01-16 12:30:00+00:00,90,0,19,0,14518,4.0,1,-278,241,519,43,2021-01-16
7,2021-01-19,Tue,18,Away,L 1–2,West Brom,West Ham,Y,"LB,WB",90,0,0,0,0,0,0,0,0,59,1,1,0,0.0,0.0,0.3,2,0,44,56,4,33,3,0,0,746,208,17,19,23,26,3,7,0.1,2,4,1,1,52,4,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,3,15,34,11,1,220.0,133.0,2,0,0,0,37,5,0,20,0,27.2,4.3,14.2,2021-01-19 18:00:00+00:00,90,0,19,0,14518,2.0,1,-278,241,519,43,2021-01-19
8,2021-01-26,Tue,20,Home,L 0–5,West Brom,Manchester City,Y,LB,90,0,0,0,0,0,0,0,0,30,2,3,1,0.0,0.0,0.0,0,0,19,23,2,16,0,0,0,306,108,10,11,7,7,1,4,0.0,0,2,0,0,21,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,3,0,7,17,10,3,0,65.0,20.0,0,0,1,0,12,1,0,11,0,0.8,1.9,18.2,2021-01-26 20:15:00+00:00,90,0,20,0,14489,0.0,0,-142,436,578,43,2021-01-26
9,2021-01-30,Sat,21,Home,D 2–2,West Brom,Fulham,Y,"LB,WB",90,0,0,0,0,0,0,0,0,54,2,3,0,0.0,0.0,0.0,1,0,26,43,3,26,0,1,1,452,207,15,18,8,14,3,8,0.1,1,1,2,2,39,4,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,3,1,5,15,23,16,0,214.0,48.0,2,0,3,1,28,4,0,13,0,19.7,3.6,16.6,2021-01-30 15:00:00+00:00,90,0,21,0,14410,0.0,1,-94,391,485,43,2021-01-30
10,2017-09-09,Sat,4,Away,L 1–3,West Brom,Brighton,N,LB,34,0,0,0,0,1,0,0,0,26,0,0,0,0.0,0.0,0.0,4,1,21,21,5,11,2,1,1,427,149,10,10,7,7,4,4,0.0,1,3,1,1,17,4,1,0,1,1,3,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,4,16,7,1,83.0,77.0,2,0,0,0,13,2,0,7,0,15.8,3.0,10.6,2017-09-09 14:00:00+00:00,33,0,4,0,13720,4.0,1,5229,7527,2298,50,2017-09-09
11,2017-09-16,Sat,5,Home,D 0–0,West Brom,West Ham,Y,LB,84,0,0,0,0,1,0,0,0,35,1,1,0,0.1,0.1,0.0,3,0,26,32,3,18,3,2,2,377,121,14,17,11,13,0,1,0.0,0,3,0,0,26,6,0,0,0,1,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,9,19,7,1,168.0,98.0,4,0,2,0,20,1,0,19,1,1.4,2.2,2.4,2017-09-16 14:00:00+00:00,84,0,5,0,14373,18.0,6,123,1323,1200,50,2017-09-16
12,2017-09-25,Mon,6,Away,L 0–2,West Brom,Arsenal,Y,"WB,LB",90,0,0,0,0,1,0,0,0,49,2,2,3,0.0,0.0,0.0,1,0,13,29,1,11,0,1,0,246,60,6,9,5,10,2,8,0.0,1,0,0,0,19,10,2,0,0,6,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,1,2,6,0,7,17,14,18,1,68.0,5.0,1,0,1,2,12,3,0,10,0,18.9,4.2,20.2,2017-09-25 19:00:00+00:00,90,0,6,0,15809,3.0,1,787,2020,1233,50,2017-09-25
13,2017-09-30,Sat,7,Home,D 2–2,West Brom,Watford,Y,LB,90,0,0,0,0,0,0,0,0,50,4,0,1,0.0,0.0,0.0,0,0,21,32,5,21,1,5,4,366,137,11,15,7,8,3,8,0.0,0,1,1,0,27,5,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,2,0,0,1,12,0,7,26,12,12,2,220.0,26.0,1,0,0,2,19,3,0,14,0,1.5,3.9,31.6,2017-09-30 14:00:00+00:00,90,0,7,0,19373,6.0,1,2909,4362,1453,50,2017-09-30
14,2017-10-16,Mon,8,Away,D 1–1,West Brom,Leicester City,Y,LB,90,0,0,0,0,0,0,0,0,53,0,2,1,0.0,0.0,0.1,1,0,26,45,1,27,4,3,1,371,157,16,18,8,21,2,6,0.1,1,1,1,1,31,14,2,0,0,5,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,3,14,20,23,1,231.0,148.0,7,0,1,0,24,5,0,12,0,16.2,3.2,13.8,2017-10-16 19:00:00+00:00,90,0,8,0,19461,2.0,2,-447,1305,1752,50,2017-10-16
15,2017-10-21,Sat,9,Away,L 0–1,West Brom,Southampton,Y,"LB,WB",90,0,0,0,0,1,1,0,0,46,0,2,0,0.1,0.1,0.0,0,0,29,40,3,25,2,0,0,378,186,16,18,10,13,1,6,0.1,0,3,1,1,35,5,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,12,20,14,1,94.0,43.0,0,0,0,0,29,3,0,12,0,6.3,3.7,13.2,2017-10-21 16:30:00+00:00,90,0,9,0,19854,17.0,2,131,1030,899,50,2017-10-21
16,2017-10-28,Sat,10,Home,L 2–3,West Brom,Manchester City,Y,"WB,LB",90,0,0,0,0,0,0,0,0,45,1,1,3,0.0,0.0,0.0,0,0,19,35,0,20,1,0,0,281,140,12,16,6,12,1,7,0.0,0,1,0,0,25,10,0,0,0,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,3,2,0,1,14,20,11,0,92.0,34.0,0,0,1,2,23,2,0,4,0,0.8,0.5,4.0,2017-10-28 14:00:00+00:00,90,0,10,0,19573,0.0,1,-545,1027,1572,50,2017-10-28
17,2017-11-04,Sat,11,Away,L 0–1,West Brom,Huddersfield,Y,"WB,LB",90,0,0,0,0,1,0,0,0,65,2,1,1,0.0,0.0,0.0,4,0,46,56,5,33,4,2,1,802,245,23,24,17,21,6,10,0.0,1,2,2,1,46,9,0,0,1,2,9,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,2,0,3,15,28,22,1,172.0,107.0,1,1,1,0,38,4,0,16,0,18.3,4.3,14.8,2017-11-04 15:00:00+00:00,90,0,11,0,20202,10.0,2,359,1313,954,50,2017-11-04
18,2017-11-18,Sat,12,Home,L 0–4,West Brom,Chelsea,Y,"WB,LB",90,0,0,0,0,0,0,0,0,66,5,2,2,0.0,0.0,0.0,1,0,39,53,5,31,3,1,0,613,299,22,25,14,17,3,7,0.0,0,7,1,0,45,6,0,0,0,3,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,4,4,0,1,1,4,0,6,25,26,15,0,167.0,84.0,1,0,0,2,36,3,0,12,0,2.1,2.8,25.8,2017-11-18 15:00:00+00:00,90,0,12,0,19535,0.0,0,-921,545,1466,50,2017-11-18
