,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-11,Sat,1,Home,L 0–3,Huddersfield,Chelsea,Y,WB,90,0,0,0,0,0,0,0,0,58,2,0,1,0.0,0.0,0.1,1,0,35,52,4,30,1,1,0,641,263,16,18,15,21,4,10,0.0,1,3,2,1,45,7,0,1,0,7,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,5,4,0,1,1,0,0,15,23,20,0,73.0,32.0,1,0,1,0,33,8,38,0,0,0,12,0,1,27,19.0,0,0,0,0,0,3.0,197,11.4,1,2018-08-11 14:00:00+00:00,11 Aug 15:00,0,0,90,0,1,0,0,11,1,0,4294,1,0,0,0.0,1,0,0,0,45,0,2018-08-11
1,2018-08-19,Sun,2,Away,L 1–6,Huddersfield,Manchester City,Y,LM,90,0,0,0,0,1,0,0,0,17,1,0,0,0.0,0.0,0.0,1,0,10,14,3,8,0,0,0,219,74,4,4,4,4,2,5,0.0,0,1,0,0,11,2,2,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,0,0,0,0,6,7,4,0,32.0,17.0,0,0,0,0,8,0,14,0,0,0,9,0,0,11,1.0,0,0,0,0,0,1.2,722,3.2,0,2018-08-19 12:30:00+00:00,19 Aug 13:30,0,0,90,0,0,0,0,4,2,0,4660,0,1,0,8.0,-1,-226,174,400,45,0,2018-08-19
2,2018-08-25,Sat,3,Home,D 0–0,Huddersfield,Cardiff City,Y,RB,90,0,0,0,0,0,0,0,0,43,3,1,1,0.0,0.0,0.0,1,0,21,34,1,21,1,0,0,335,95,11,13,5,12,4,6,0.0,0,1,0,0,28,6,0,0,0,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,0,0,1,2,0,3,10,17,16,0,84.0,28.0,1,0,1,0,22,4,21,0,0,0,20,1,3,17,5.9,0,0,0,0,2,1.8,1249,12.0,0,2018-08-25 14:00:00+00:00,25 Aug 15:00,0,0,90,0,1,0,0,1,3,0,5421,0,1,0,0.0,6,482,1200,718,45,0,2018-08-25
3,2018-09-01,Sat,4,Away,D 1–1,Huddersfield,Everton,Y,RB,75,0,0,0,0,0,0,1,0,30,2,0,0,0.0,0.0,0.0,1,0,13,24,3,17,2,1,0,277,143,6,7,4,8,3,6,0.0,1,0,0,0,18,6,1,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,1,0,0,10,14,7,0,74.0,46.0,2,0,1,0,19,5,15,0,0,0,3,0,0,11,15.0,0,0,0,0,1,2.0,1780,5.2,1,2018-09-01 14:00:00+00:00,01 Sep 15:00,0,0,75,0,1,0,0,1,4,0,5436,1,0,0,0.0,1,-171,373,544,45,0,2018-09-01
4,2018-09-15,Sat,5,Home,L 0–1,Huddersfield,Crystal Palace,Y,"RM,RB",90,0,0,0,0,1,1,0,0,56,2,0,0,0.1,0.1,0.0,1,0,38,51,3,36,4,1,0,579,220,24,25,11,18,3,8,0.0,0,3,0,0,43,8,0,0,0,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,1,0,1,12,19,27,1,249.0,115.0,5,0,1,0,39,6,38,0,0,0,14,0,1,32,4.9,0,0,0,0,0,3.3,2317,11.4,0,2018-09-15 14:00:00+00:00,15 Sep 15:00,0,0,90,0,0,0,0,5,5,0,5239,1,2,0,17.0,2,-300,163,463,45,0,2018-09-15
5,2018-09-29,Sat,7,Home,L 0–2,Huddersfield,Tottenham,N,"WB,RB",62,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.0,3,0,12,23,0,13,2,1,1,196,53,5,5,5,7,1,5,0.0,1,0,1,1,16,6,0,0,0,1,6,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,9,9,0,61.0,41.0,1,0,1,0,15,4,15,0,0,0,6,0,0,6,15.0,1,0,0,0,1,1.4,3392,0.0,1,2018-09-29 14:00:00+00:00,29 Sep 15:00,0,0,61,0,1,0,1,4,7,0,4731,0,0,0,0.0,2,-352,31,383,45,0,2018-09-29
6,2018-10-06,Sat,8,Away,D 1–1,Huddersfield,Burnley,N,RB,5,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,6,10,1,7,0,0,0,108,4,3,3,3,4,0,3,0.0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,30.0,3.0,0,0,0,0,7,2,10,0,0,0,3,0,0,6,0.7,0,0,0,0,0,0.1,3931,0.2,0,2018-10-06 14:00:00+00:00,06 Oct 15:00,0,0,4,0,0,0,0,1,8,0,4628,0,0,0,0.0,1,-160,63,223,45,0,2018-10-06
7,2018-10-20,Sat,9,Home,L 0–1,Huddersfield,Liverpool,Y,WB,68,0,0,0,0,0,0,0,0,62,1,0,1,0.0,0.0,0.1,3,0,36,56,2,29,2,0,0,640,207,14,17,17,25,4,10,0.1,2,0,2,2,44,12,0,0,0,5,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,3,18,30,15,0,102.0,47.0,2,0,1,0,38,6,39,0,0,0,12,0,3,27,31.1,0,0,0,0,1,4.9,4473,18.2,2,2018-10-20 16:30:00+00:00,20 Oct 17:30,0,0,68,0,2,0,0,7,9,0,4326,0,0,0,0.0,2,-327,44,371,44,0,2018-10-20
8,2018-11-05,Mon,11,Home,W 1–0,Huddersfield,Fulham,Y,"WB,RB",90,0,0,0,0,0,0,0,0,75,2,3,1,0.0,0.0,0.0,1,0,36,61,2,35,3,3,2,482,184,22,32,5,13,3,7,0.0,1,2,1,0,47,14,0,0,1,5,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,3,2,0,1,2,0,1,5,40,30,1,260.0,82.0,4,1,4,0,38,4,42,0,0,0,23,1,4,28,14.2,1,0,0,0,0,3.0,5567,13.8,1,2018-11-05 20:00:00+00:00,05 Nov 20:00,0,0,90,0,0,0,0,6,11,0,4086,1,0,0,2.0,6,-174,37,211,44,0,2018-11-05
9,2018-11-10,Sat,12,Home,D 1–1,Huddersfield,West Ham,Y,WB,90,0,0,0,0,0,0,0,0,44,1,0,1,0.0,0.0,0.3,2,0,24,35,4,18,0,1,1,358,151,17,21,5,9,2,2,0.2,1,3,1,1,29,6,0,1,0,4,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,4,0,1,10,18,17,2,88.0,41.0,2,0,3,0,23,4,25,1,0,0,13,0,3,18,20.8,1,0,0,0,1,3.8,6117,13.0,1,2018-11-10 15:00:00+00:00,10 Nov 15:00,0,0,90,0,1,0,0,4,12,0,4081,0,0,0,4.0,2,-42,90,132,44,0,2018-11-10
