,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Home,L 0–3,Norwich City,Liverpool,Y*,CB,90,0,0,0,0,1,0,0,0,67,1,1,1,0.4,0.4,0.5,1,0,47,53,0,43,0,0,0,921,229,13,13,28,31,5,8,0.0,1,0,0,0,52,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,1,0,8,0,15,47,19,1,1,155.0,64.0,1,0,1,0,48,0,0,20,0,10.1,7.0,25.6,2021-08-14 16:30:00+00:00,90,0,1,0,12650,34.0,1,0,0,0,45,2021-08-14
1,2021-08-21,Sat,2,Away,L 0–5,Norwich City,Manchester City,Y*,CB,90,0,0,0,0,0,0,0,0,51,0,1,2,0.0,0.0,0.0,0,0,42,43,0,28,0,0,0,655,202,20,20,19,19,1,2,0.0,0,0,0,0,39,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,13,44,7,0,0,62.0,26.0,0,0,0,0,38,0,0,13,0,0.1,1.3,13.0,2021-08-21 14:00:00+00:00,90,0,2,0,13273,0.0,0,-1010,462,1472,45,2021-08-21
2,2021-08-28,Sat,3,Home,L 1–2,Norwich City,Leicester City,Y*,CB,90,0,0,0,0,0,0,0,0,47,1,0,0,0.0,0.0,0.0,0,0,31,40,2,25,0,0,0,674,129,7,11,22,25,2,4,0.0,0,0,0,0,38,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,5,0,7,35,11,1,1,102.0,60.0,0,0,2,0,27,0,0,11,0,0.2,1.5,12.4,2021-08-28 14:00:00+00:00,90,0,3,0,12072,2.0,1,-1600,285,1885,45,2021-08-28
3,2021-09-11,Sat,4,Away,L 0–1,Norwich City,Arsenal,Y*,CB,90,0,0,0,0,0,0,1,0,66,0,1,3,0.0,0.0,0.1,1,0,48,54,2,39,0,1,0,747,235,25,26,20,23,3,5,0.0,1,1,1,0,52,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,13,40,24,2,1,181.0,73.0,0,0,0,0,44,0,0,13,0,11.2,4.3,30.0,2021-09-11 14:00:00+00:00,90,0,4,0,11589,2.0,1,-1016,755,1771,44,2021-09-11
4,2021-09-18,Sat,5,Home,L 1–3,Norwich City,Watford,Y*,CB,90,0,0,0,0,0,0,0,0,58,3,4,0,0.0,0.0,0.1,1,0,40,42,3,37,0,0,0,863,300,12,13,22,23,6,6,0.0,1,3,0,0,41,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,6,0,7,29,29,0,0,188.0,106.0,0,0,0,1,36,0,0,16,0,10.3,3.5,25.0,2021-09-18 14:00:00+00:00,90,0,5,0,11228,0.0,1,-645,702,1347,44,2021-09-18
5,2021-09-25,Sat,6,Away,L 0–2,Norwich City,Everton,Y*,CB,90,0,0,0,0,0,0,0,0,72,2,5,3,0.0,0.0,0.0,0,0,51,58,1,44,0,2,1,1120,316,11,14,33,34,7,9,0.0,0,1,0,0,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,2,1,4,0,10,49,23,0,0,131.0,69.0,0,0,0,0,46,0,0,16,0,0.3,3.4,33.4,2021-09-25 14:00:00+00:00,90,0,6,0,11334,0.0,1,-74,1075,1149,44,2021-09-25
6,2021-10-02,Sat,7,Away,D 0–0,Norwich City,Burnley,Y*,CB,90,0,0,0,0,1,0,0,0,50,1,5,1,0.0,0.0,0.0,0,0,21,26,0,17,0,0,0,352,58,9,9,10,13,1,2,0.0,0,0,0,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,15,0,17,41,8,1,1,44.0,17.0,0,0,1,0,16,0,1,31,1,0.0,5.8,40.2,2021-10-02 14:00:00+00:00,90,0,7,0,11393,18.0,7,-169,1064,1233,44,2021-10-02
7,2021-10-16,Sat,8,Home,D 0–0,Norwich City,Brighton,Y*,CB,90,0,0,0,0,2,1,0,0,39,0,2,1,0.1,0.1,0.0,1,0,19,26,0,7,0,0,0,326,129,9,11,8,12,2,3,0.0,0,2,0,0,25,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,6,20,15,4,2,52.0,29.0,0,0,1,0,10,1,0,22,1,0.6,4.1,19.8,2021-10-16 14:00:00+00:00,90,0,8,0,11580,21.0,6,-87,1089,1176,44,2021-10-16
8,2021-10-23,Sat,9,Away,L 0–7,Norwich City,Chelsea,Y*,CB,90,0,0,0,0,0,0,0,0,49,2,1,1,0.0,0.0,0.0,1,0,37,41,1,17,0,0,0,718,187,11,12,22,22,4,6,0.0,0,0,0,0,37,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0,10,35,14,0,0,58.0,15.0,0,0,0,0,26,1,0,14,0,1.2,1.7,15.6,2021-10-23 11:30:00+00:00,90,0,9,0,13213,0.0,-1,1319,2283,964,44,2021-10-23
9,2021-10-31,Sun,10,Home,L 1–2,Norwich City,Leeds United,Y*,CB,87,0,0,0,0,0,0,0,0,51,0,0,3,0.0,0.0,0.1,1,0,33,47,1,22,1,0,0,653,222,12,15,18,21,3,11,0.0,1,1,0,0,43,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,5,35,15,2,0,162.0,120.0,0,0,0,0,28,0,0,11,0,13.2,2.8,14.8,2021-10-31 14:00:00+00:00,87,0,10,0,12542,0.0,1,-847,1153,2000,44,2021-10-31
