,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-10-19,Mon,5,Home,D 0–0,West Brom,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,70,0,1,2,0.0,0.0,0.0,1,0,38,57,2,28,0,0,0,742,399,13,18,19,26,6,11,0.0,0,1,0,0,55,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,15,52,19,0,0,102.0,33.0,0,0,3,0,32,0,0,24,1,0.3,2.0,19.6,2020-10-19 16:30:00+00:00,90,0,5,0,30490,0.0,6,-4102,1208,5310,43,2020-10-19
1,2017-08-12,Sat,1,Home,W 1–0,West Brom,Bournemouth,Y,CB,90,1,0,0,0,3,2,0,0,43,0,3,1,0.2,0.2,0.2,2,0,18,26,1,14,0,0,0,330,129,8,8,8,13,1,3,0.4,1,1,0,0,26,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,11,22,17,4,3,47.0,7.0,0,0,0,0,17,1,3,39,1,10.3,12.1,57.8,2017-08-12 14:00:00+00:00,90,0,1,0,90370,53.0,15,0,0,0,45,2017-08-12
2,2017-08-19,Sat,2,Away,W 1–0,West Brom,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,25,1,1,0,0.0,0.0,0.0,0,0,6,11,0,4,0,0,0,75,47,3,3,2,3,0,3,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11,0,10,22,3,0,0,36.0,15.0,0,0,0,0,2,0,2,24,1,0.1,2.5,24.4,2017-08-19 14:00:00+00:00,90,0,2,0,551757,0.0,8,276618,290411,13793,46,2017-08-19
3,2017-08-27,Sun,3,Home,D 1–1,West Brom,Stoke City,Y,CB,90,0,0,0,0,1,1,0,0,42,1,0,1,0.1,0.1,0.0,1,0,26,32,2,21,0,0,0,648,243,4,6,13,16,9,10,0.0,0,2,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,6,1,8,26,14,2,1,118.0,74.0,0,0,1,0,23,0,0,11,0,0.5,3.1,13.0,2017-08-27 12:30:00+00:00,90,0,3,0,1144010,17.0,2,485699,504558,18859,48,2017-08-27
4,2017-09-09,Sat,4,Away,L 1–3,West Brom,Brighton,Y,CB,56,0,0,0,0,0,0,0,0,39,1,0,1,0.0,0.0,0.0,0,0,24,31,0,22,0,0,0,493,278,5,5,14,18,5,8,0.0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,1,0,6,0,6,28,10,1,1,69.0,26.0,0,0,1,0,27,0,0,10,0,0.0,1.9,16.8,2017-09-09 14:00:00+00:00,56,0,4,0,1412948,2.0,0,189879,237462,47583,49,2017-09-09
5,2017-09-16,Sat,5,Home,D 0–0,West Brom,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,29,1,0,1,0.0,0.0,0.0,0,0,12,21,1,8,0,0,0,242,128,4,4,7,11,1,5,0.0,0,0,0,0,19,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,6,0,7,22,6,1,0,44.0,30.0,0,0,0,0,12,0,0,22,1,0.3,1.7,17.0,2017-09-16 14:00:00+00:00,90,0,5,0,1403626,0.0,6,-31882,56753,88635,49,2017-09-16
6,2017-09-25,Mon,6,Away,L 0–2,West Brom,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,37,2,4,0,0.0,0.0,0.0,0,0,25,28,3,23,0,1,1,540,300,7,7,8,8,7,10,0.0,0,1,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,5,0,6,18,15,4,2,143.0,66.0,0,0,0,0,20,1,0,16,0,1.3,2.4,18.2,2017-09-25 19:00:00+00:00,90,0,6,0,1411407,4.0,1,-10588,60308,70896,49,2017-09-25
7,2017-09-30,Sat,7,Home,D 2–2,West Brom,Watford,Y,CB,90,0,0,0,0,1,0,0,0,31,0,1,2,0.3,0.3,0.0,0,0,11,18,0,11,0,0,0,233,134,3,5,6,6,2,7,0.0,0,0,0,0,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,9,23,6,2,2,52.0,19.0,0,0,0,0,12,0,0,8,0,0.0,3.4,25.4,2017-09-30 14:00:00+00:00,90,0,7,0,1410314,9.0,1,-11751,50132,61883,49,2017-09-30
8,2017-10-16,Mon,8,Away,D 1–1,West Brom,Leicester City,Y,CB,90,0,0,0,0,0,0,1,0,47,1,2,1,0.0,0.0,0.0,0,0,24,34,0,20,0,0,0,442,279,11,13,7,11,5,8,0.0,0,0,0,0,31,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,10,0,11,29,17,1,0,56.0,9.0,0,0,0,0,18,0,0,11,0,0.3,2.4,24.0,2017-10-16 19:00:00+00:00,90,0,8,0,1313987,0.0,1,-103770,13907,117677,48,2017-10-16
9,2017-10-21,Sat,9,Away,L 0–1,West Brom,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,46,0,3,1,0.0,0.0,0.0,0,0,17,26,1,13,0,2,0,298,141,7,10,9,10,0,5,0.0,0,1,0,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,11,0,14,29,14,3,1,43.0,25.0,0,0,0,0,11,0,0,11,0,0.2,2.3,20.8,2017-10-21 16:30:00+00:00,90,0,9,0,1276474,2.0,2,-41455,13133,54588,48,2017-10-21
