,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-09-12,Sat,1,Home,L 0–3,Fulham,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,69,0,4,0,0.0,0.0,0.0,2,0,50,63,4,33,2,0,0,846,375,25,29,18,20,6,12,0.0,0,7,0,0,50,12,3,0,0,4,8,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,20,27,22,0,204.0,106.0,3,0,0,0,45,5,0,12,0,4.3,1.5,10.6,2020-09-12 11:30:00+00:00,90,0,1,0,60330,0.0,1,0,0,0,50,2020-09-12
1,2020-09-19,Sat,2,Away,L 3–4,Fulham,Leeds United,Y,LB,90,0,0,0,0,1,0,0,0,59,5,2,1,0.0,0.0,0.0,2,1,31,42,1,32,1,3,3,419,176,20,21,8,11,1,7,0.0,0,1,0,0,31,11,4,0,1,2,5,2,0,1,0,0,0,1,0,0,0,0,0,1,0,3,2,3,0,2,3,1,0,1,5,0,4,22,28,12,0,151.0,70.0,2,1,3,1,26,1,0,20,0,1.8,2.1,14.0,2020-09-19 14:00:00+00:00,90,0,2,0,58925,5.0,3,-9330,2246,11576,50,2020-09-19
2,2020-09-28,Mon,3,Home,L 0–3,Fulham,Aston Villa,Y,LM,90,0,0,0,0,2,1,1,0,75,0,1,1,0.1,0.1,0.1,6,0,51,71,5,30,4,5,5,887,416,25,31,20,27,4,7,0.1,1,4,1,1,55,16,2,0,0,12,14,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,2,13,33,30,2,219.0,137.0,2,0,1,0,44,11,0,15,0,25.4,6.7,21.4,2020-09-28 16:45:00+00:00,90,0,3,0,58092,20.0,0,-4217,5221,9438,50,2020-09-28
3,2020-10-04,Sun,4,Away,L 0–1,Fulham,Wolves,Y,LW,66,0,0,0,0,0,0,0,0,30,2,2,2,0.0,0.0,0.1,1,0,12,20,4,10,0,0,0,221,112,5,6,5,8,2,5,0.1,1,2,2,1,17,3,1,0,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,2,2,0,3,7,9,14,0,62.0,39.0,0,0,1,0,14,3,0,14,0,19.1,3.3,14.2,2020-10-04 13:00:00+00:00,66,0,4,0,49217,0.0,2,-8834,1182,10016,49,2020-10-04
4,2020-11-02,Mon,7,Home,W 2–0,Fulham,West Brom,N,LW,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.2,2.0,2020-11-02 17:30:00+00:00,1,0,7,0,37473,0.0,1,-4015,659,4674,48,2020-11-02
5,2020-11-30,Mon,10,Away,W 2–1,Fulham,Leicester City,N,LM,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2020-11-30 17:30:00+00:00,1,0,10,0,30471,0.0,1,-1634,166,1800,47,2020-11-30
6,2020-12-13,Sun,12,Home,D 1–1,Fulham,Liverpool,N,AM,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,2,2,6,4,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5.0,5.0,0,0,0,0,0,0,0,5,0,0.0,0.2,2.2,2020-12-13 16:30:00+00:00,2,0,12,0,28308,0.0,1,-1169,103,1272,47,2020-12-13
7,2020-12-19,Sat,14,Away,D 1–1,Fulham,Newcastle Utd,N,LW,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2020-12-19 20:00:00+00:00,1,0,14,0,27152,0.0,1,-688,152,840,46,2020-12-19
8,2021-01-16,Sat,19,Home,L 0–1,Fulham,Chelsea,N,LB,8,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,9,16,1,5,0,0,0,160,85,4,4,4,6,1,3,0.0,0,0,0,0,9,7,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,7,0,7.0,3.0,0,0,0,1,7,0,0,2,0,4.3,0.4,0.0,2021-01-16 17:30:00+00:00,7,0,19,0,24742,0.0,1,-307,167,474,46,2021-01-16
9,2021-01-20,Wed,18,Home,L 1–2,Fulham,Manchester Utd,Y,"WB,LB",90,0,0,0,0,1,0,1,0,58,1,0,0,0.1,0.1,0.0,2,0,26,52,1,33,0,1,1,426,239,13,19,13,17,0,12,0.0,0,2,0,0,42,10,2,0,0,4,6,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,5,25,23,10,1,111.0,62.0,1,0,0,0,33,3,0,6,0,0.8,2.8,7.4,2021-01-20 20:15:00+00:00,90,0,19,0,24742,20.0,0,-307,167,474,46,2021-01-20
