,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Home,W 2–1,Leeds United,Wolves,Y,CB,90,0,0,0,0,1,0,0,0,52,3,1,2,0.1,0.1,0.0,1,0,34,39,2,24,0,0,0,674,320,8,8,23,25,3,5,0.0,0,1,0,0,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,4,2,2,0,5,0,13,30,21,1,1,65.0,38.0,0,0,0,0,31,0,0,19,0,0.3,3.0,25.4,2022-08-06 14:00:00+00:00,90,0,1,0,9288,4.0,2,0,0,0,45,2022-08-06
1,2022-08-13,Sat,2,Away,D 2–2,Leeds United,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,74,0,1,2,0.0,0.0,0.0,0,0,47,64,4,34,0,0,0,914,493,13,16,30,36,4,10,0.0,0,1,0,0,62,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,18,56,18,1,0,110.0,54.0,0,0,0,0,40,0,0,15,0,0.2,2.8,28.2,2022-08-13 14:00:00+00:00,90,0,2,0,11920,0.0,1,-226,945,1171,45,2022-08-13
2,2022-08-21,Sun,3,Home,W 3–0,Leeds United,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,37,4,2,0,0.0,0.0,0.0,0,0,21,31,1,16,0,0,0,471,144,4,4,11,14,6,13,0.0,0,1,0,0,28,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,3,1,0,0,1,0,10,30,7,0,0,35.0,11.0,0,0,0,0,20,0,0,21,1,0.4,1.5,14.2,2022-08-21 13:00:00+00:00,90,0,3,0,12002,0.0,6,-900,486,1386,45,2022-08-21
3,2022-08-27,Sat,4,Away,L 0–1,Leeds United,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,74,2,3,0,0.0,0.0,0.0,0,0,49,65,2,42,0,0,0,1084,451,10,13,29,34,9,15,0.0,0,4,0,0,65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,3,0,8,44,29,1,0,247.0,138.0,0,0,0,0,52,0,0,13,0,0.8,1.9,18.0,2022-08-27 14:00:00+00:00,90,0,4,0,15950,0.0,2,1675,2688,1013,45,2022-08-27
4,2022-08-30,Tue,5,Home,D 1–1,Leeds United,Everton,Y,CB,90,0,0,0,0,2,1,0,0,101,1,1,0,0.0,0.0,0.0,0,0,77,94,14,67,3,0,0,1452,670,31,36,37,39,8,16,0.0,0,11,1,0,93,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,2,35,59,8,2,321.0,201.0,0,0,1,1,78,1,0,11,0,5.4,4.1,15.6,2022-08-30 19:00:00+00:00,90,0,5,0,17196,20.0,2,326,1765,1439,45,2022-08-30
5,2022-09-03,Sat,6,Away,L 2–5,Leeds United,Brentford,Y*,CB,90,0,0,0,0,0,0,0,0,62,1,0,2,0.0,0.0,0.0,1,0,40,51,1,27,0,0,0,797,303,12,14,24,29,3,7,0.0,0,3,0,0,51,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,1,2,1,9,35,23,4,1,153.0,84.0,1,0,1,0,40,0,0,8,0,0.9,1.0,7.4,2022-09-03 14:00:00+00:00,90,0,6,0,17796,2.0,0,-442,1365,1807,45,2022-09-03
6,2022-10-02,Sun,9,Home,D 0–0,Leeds United,Aston Villa,Y,CB,90,0,0,0,0,0,0,1,0,58,0,1,1,0.0,0.0,0.0,0,0,37,49,2,29,0,0,0,795,310,7,9,25,30,5,10,0.0,0,1,0,0,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,0,9,36,21,1,0,75.0,35.0,0,0,0,0,32,0,0,19,1,0.3,1.5,14.4,2022-10-02 15:30:00+00:00,90,0,9,0,16828,0.0,5,-337,469,806,45,2022-10-02
7,2022-10-09,Sun,10,Away,L 1–2,Leeds United,Crystal Palace,Y,CB,90,0,0,0,0,0,0,1,0,46,1,2,1,0.0,0.0,0.0,0,0,22,35,2,20,0,0,0,486,272,3,6,14,16,4,9,0.0,0,1,0,0,33,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,6,30,13,3,1,118.0,53.0,0,0,0,0,19,1,0,6,0,0.5,1.5,12.0,2022-10-09 13:00:00+00:00,90,0,10,0,18033,2.0,0,732,1421,689,45,2022-10-09
8,2022-10-16,Sun,11,Home,L 0–1,Leeds United,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,59,2,1,2,0.0,0.0,0.0,0,0,38,50,5,39,2,0,0,688,252,14,15,23,26,1,6,0.0,0,5,0,0,47,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,1,1,1,0,5,24,31,4,0,275.0,185.0,3,0,2,0,42,1,0,12,0,1.7,1.7,15.0,2022-10-16 13:00:00+00:00,90,0,11,0,17709,0.0,2,-521,426,947,45,2022-10-16
9,2022-10-20,Thu,12,Away,L 0–2,Leeds United,Leicester City,Y,CB,45,0,0,0,0,0,0,1,0,44,0,0,0,0.0,0.0,0.0,0,0,33,43,2,39,0,0,0,587,239,13,14,19,21,1,7,0.0,0,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,28,0,0,118.0,64.0,0,0,0,0,40,0,0,-6,0,0.8,0.0,0.0,2022-10-20 19:15:00+00:00,45,1,12,0,18305,0.0,-3,116,583,467,45,2022-10-20
10,2022-10-23,Sun,13,Home,L 2–3,Leeds United,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,74,1,1,1,0.0,0.0,0.0,0,0,55,66,4,45,1,0,0,1087,439,17,20,30,31,8,12,0.0,0,6,0,0,63,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,1,4,0,8,43,30,1,0,193.0,108.0,0,0,0,0,46,0,0,15,0,1.0,1.4,13.4,2022-10-23 13:00:00+00:00,90,0,13,0,17643,0.0,1,-498,393,891,45,2022-10-23
11,2022-10-29,Sat,14,Away,W 2–1,Leeds United,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,39,2,1,7,0.0,0.0,0.0,0,0,15,21,1,9,0,0,0,296,112,5,6,8,9,2,5,0.0,0,3,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,3,4,8,0,14,31,8,0,0,42.0,8.0,0,0,0,0,10,0,0,12,0,3.3,3.9,35.4,2022-10-29 18:45:00+00:00,90,0,14,0,17096,0.0,2,-729,190,919,45,2022-10-29
12,2022-11-05,Sat,15,Home,W 4–3,Leeds United,Bournemouth,Y,CB,90,0,0,0,0,2,0,0,0,66,2,1,2,0.1,0.1,0.0,1,0,52,59,12,50,0,0,0,1054,460,13,14,32,36,6,7,0.1,0,14,0,0,58,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,2,2,0,5,19,42,6,3,173.0,63.0,0,0,0,0,47,1,0,11,0,2.6,3.6,9.8,2022-11-05 15:00:00+00:00,90,0,15,0,18743,24.0,1,1319,2025,706,45,2022-11-05
13,2022-11-12,Sat,16,Away,L 3–4,Leeds United,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,55,1,3,1,0.0,0.0,0.0,0,0,31,44,0,28,0,0,0,596,228,12,13,15,23,3,5,0.0,0,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,4,0,8,25,28,3,0,112.0,34.0,0,0,1,0,26,0,0,13,0,1.0,2.1,19.8,2022-11-12 15:00:00+00:00,90,0,16,0,17094,0.0,0,-1710,154,1864,45,2022-11-12
14,2022-12-28,Wed,17,Home,L 1–3,Leeds United,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,38,1,1,0,0.0,0.0,0.0,1,0,18,29,0,11,0,0,0,267,147,10,14,6,9,1,5,0.0,0,2,0,0,28,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0,4,23,12,3,1,41.0,24.0,0,0,1,0,16,0,0,9,0,0.3,1.3,10.6,2022-12-28 20:00:00+00:00,90,0,17,0,16305,2.0,1,-1133,486,1619,45,2022-12-28
15,2022-12-31,Sat,18,Away,D 0–0,Leeds United,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,37,3,1,0,0.0,0.0,0.0,0,0,19,27,1,15,0,0,0,419,301,6,6,9,13,4,6,0.0,0,1,0,0,24,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,3,1,0,0,5,0,5,22,15,0,0,58.0,32.0,0,0,0,0,13,0,0,20,1,0.2,1.6,16.2,2022-12-31 15:00:00+00:00,90,0,18,0,16272,0.0,6,-192,147,339,45,2022-12-31
16,2023-01-04,Wed,19,Home,D 2–2,Leeds United,West Ham,Y,CB,90,0,0,0,0,1,0,0,0,64,1,2,1,0.1,0.1,0.0,1,0,43,51,4,26,0,0,0,751,461,17,21,21,23,3,4,0.0,0,2,0,0,47,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,6,0,11,32,30,2,2,100.0,66.0,0,0,0,0,32,0,0,16,0,0.3,6.1,24.6,2023-01-04 19:45:00+00:00,90,0,19,0,17040,36.0,1,610,870,260,45,2023-01-04
17,2023-01-13,Fri,20,Away,L 1–2,Leeds United,Aston Villa,Y,CB,87,0,0,0,0,0,0,1,0,47,3,4,1,0.0,0.0,0.1,1,0,26,38,1,23,0,0,0,418,246,14,18,10,14,2,5,0.0,1,0,0,0,37,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,2,1,0,1,1,0,3,20,26,2,0,123.0,83.0,1,0,0,0,23,0,0,8,0,10.6,2.5,14.4,2023-01-13 20:00:00+00:00,87,0,20,0,17864,0.0,0,665,1397,732,45,2023-01-13
18,2023-01-22,Sun,21,Home,D 0–0,Leeds United,Brentford,Y,CB,90,0,0,0,0,0,0,1,0,54,3,1,2,0.0,0.0,0.0,0,0,28,42,3,11,1,0,0,429,232,15,19,11,15,2,8,0.0,0,5,0,0,37,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,1,1,3,0,5,26,26,3,0,80.0,46.0,0,0,0,0,15,0,0,18,1,0.9,1.8,17.4,2023-01-22 14:00:00+00:00,90,0,21,0,16444,0.0,5,-1467,128,1595,45,2023-01-22
19,2023-02-08,Wed,8,Away,D 2–2,Leeds United,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,35,0,2,2,0.0,0.0,0.0,0,0,16,23,2,12,0,0,0,312,228,6,7,7,9,2,5,0.1,0,2,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,9,21,15,2,0,71.0,39.0,0,0,1,0,5,0,0,12,0,0.5,1.3,12.0,2023-02-08 20:00:00+00:00,90,0,22,0,15303,0.0,1,-1150,110,1260,45,2023-02-08
20,2023-02-12,Sun,23,Home,L 0–2,Leeds United,Manchester Utd,Y,CB,90,0,0,0,0,1,0,0,0,37,1,1,0,0.2,0.2,0.0,0,0,20,28,2,16,1,0,0,422,209,7,9,9,12,4,6,0.0,0,1,0,0,26,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,0,6,0,4,18,17,3,1,107.0,54.0,0,0,0,0,17,1,0,10,0,0.3,2.3,14.6,2023-02-12 14:00:00+00:00,90,0,23,0,15302,8.0,1,-91,210,301,45,2023-02-12
21,2023-02-18,Sat,24,Away,L 0–1,Leeds United,Everton,Y,CB,90,0,0,0,0,0,0,0,0,58,3,3,2,0.0,0.0,0.0,0,0,34,43,1,27,0,0,0,663,224,11,11,18,21,5,11,0.0,0,3,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,2,1,1,1,5,0,8,43,15,0,0,160.0,115.0,0,0,0,0,30,0,0,13,0,0.3,2.5,25.0,2023-02-18 15:00:00+00:00,90,0,24,0,15584,0.0,2,148,354,206,45,2023-02-18
22,2023-02-25,Sat,25,Home,W 1–0,Leeds United,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,74,2,1,1,0.0,0.0,0.0,1,0,61,67,3,47,0,0,0,1208,361,16,20,40,40,5,6,0.0,0,3,0,0,65,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,3,0,5,39,33,2,0,226.0,99.0,0,0,0,0,51,0,2,30,1,1.0,1.7,16.2,2023-02-25 15:00:00+00:00,90,0,25,0,21098,0.0,8,3419,3968,549,45,2023-02-25
23,2023-03-04,Sat,26,Away,L 0–1,Leeds United,Chelsea,Y,CB,90,0,0,0,0,1,0,0,0,59,2,2,0,0.1,0.1,0.0,0,0,40,50,4,34,1,0,0,725,412,13,15,23,25,4,7,0.0,0,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,1,0,0,4,0,12,38,21,1,1,185.0,101.0,0,0,0,0,37,0,0,10,0,0.4,2.3,15.8,2023-03-04 15:00:00+00:00,90,0,26,0,17793,7.0,2,-1526,689,2215,45,2023-03-04
24,2023-03-11,Sat,27,Home,D 2–2,Leeds United,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,57,1,1,0,0.0,0.0,0.0,0,0,37,45,1,35,0,0,0,646,296,16,16,18,24,3,5,0.0,0,1,0,0,44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,9,0,15,42,15,0,0,148.0,86.0,0,0,0,0,38,0,0,15,0,0.3,1.7,17.0,2023-03-11 15:00:00+00:00,90,0,27,0,18609,0.0,1,607,1411,804,45,2023-03-11
25,2023-03-18,Sat,28,Away,W 4–2,Leeds United,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,1,13,22,2,11,0,0,0,225,143,5,9,6,7,1,5,0.0,0,1,0,0,20,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11,0,14,28,7,0,0,54.0,27.0,0,0,0,0,10,0,0,12,0,0.3,1.9,19.0,2023-03-18 15:00:00+00:00,90,0,28,0,18623,0.0,1,-342,966,1308,45,2023-03-18
26,2023-04-01,Sat,29,Away,L 1–4,Leeds United,Arsenal,Y,CB,73,0,0,0,0,0,0,1,0,38,1,3,3,0.0,0.0,0.0,0,0,23,28,0,22,0,0,0,401,136,8,8,12,14,2,5,0.0,0,3,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,3,0,5,19,19,0,0,110.0,35.0,1,0,0,0,21,0,0,7,0,0.5,1.9,18.4,2023-04-01 14:00:00+00:00,73,0,29,0,18933,0.0,0,362,1012,650,45,2023-04-01
27,2023-04-04,Tue,7,Home,W 2–1,Leeds United,Nott'ham Forest,Y,CB,90,0,0,0,0,1,0,0,0,69,0,0,1,0.0,0.0,0.0,0,0,54,64,5,36,0,0,0,1186,543,9,11,37,40,8,13,0.0,0,8,1,0,62,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,37,30,2,1,209.0,110.0,0,0,0,0,46,0,0,11,0,1.5,1.7,11.2,2023-04-04 18:45:00+00:00,90,0,29,0,18933,4.0,2,362,1012,650,45,2023-04-04
