,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Home,W 2–1,Leeds United,Wolves,Y,RB,90,0,0,0,0,0,0,0,0,50,1,2,0,0.0,0.0,0.0,3,0,31,45,7,24,0,1,0,647,280,8,13,18,22,4,9,0.0,1,6,2,0,38,7,1,0,0,1,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,4,0,4,16,24,10,2,30.0,11.0,0,0,0,0,27,3,0,13,0,15.8,3.5,15.2,2022-08-06 14:00:00+00:00,90,0,1,0,46085,4.0,2,0,0,0,50,2022-08-06
1,2022-08-13,Sat,2,Away,D 2–2,Leeds United,Southampton,Y,RB,90,0,0,0,0,1,1,1,0,65,1,2,1,0.1,0.1,0.0,0,0,34,57,1,31,1,0,0,584,297,13,18,19,29,2,8,0.0,0,1,0,0,46,11,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,3,34,26,6,1,90.0,35.0,0,0,0,0,36,3,0,2,0,0.8,4.1,7.2,2022-08-13 14:00:00+00:00,90,0,2,0,50309,33.0,0,-2594,2862,5456,50,2022-08-13
2,2022-08-21,Sun,3,Home,W 3–0,Leeds United,Chelsea,Y,RB,90,0,0,0,0,0,0,0,0,58,2,2,3,0.0,0.0,0.0,1,0,35,45,6,17,0,2,0,517,285,23,25,10,14,2,4,0.0,1,6,0,0,36,9,1,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,1,1,2,4,0,3,25,24,9,0,47.0,24.0,0,0,0,0,34,2,0,21,1,11.9,3.0,18.4,2022-08-21 13:00:00+00:00,90,0,3,0,43249,0.0,6,-9098,1465,10563,49,2022-08-21
3,2022-08-27,Sat,4,Away,L 0–1,Leeds United,Brighton,Y,RB,90,0,0,0,0,0,0,0,0,59,2,2,2,0.0,0.0,0.0,1,0,36,52,3,22,2,0,0,686,216,14,16,19,23,3,12,0.0,0,0,1,0,39,13,0,0,0,2,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,1,1,1,0,4,24,24,11,0,104.0,33.0,0,0,0,0,25,7,0,10,0,2.2,1.6,14.0,2022-08-27 14:00:00+00:00,90,0,4,0,53779,0.0,2,4557,9854,5297,49,2022-08-27
4,2022-08-30,Tue,5,Home,D 1–1,Leeds United,Everton,Y,RB,90,0,0,0,0,0,0,1,0,76,4,2,1,0.0,0.0,0.1,3,0,55,69,4,28,1,1,1,942,307,22,29,30,36,2,2,0.0,1,6,0,0,52,17,0,0,0,3,17,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,3,4,1,1,0,0,0,1,13,41,22,2,68.0,31.0,1,1,0,0,34,3,0,9,0,17.0,4.2,20.8,2022-08-30 19:00:00+00:00,90,0,5,0,56767,4.0,1,588,6717,6129,49,2022-08-30
5,2022-10-02,Sun,9,Home,D 0–0,Leeds United,Aston Villa,Y,RB,67,0,0,0,0,0,0,0,0,56,2,2,0,0.0,0.0,0.0,1,0,33,47,5,22,1,1,1,573,230,12,14,19,28,2,5,0.1,0,2,3,0,35,12,0,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,1,0,0,3,0,3,20,25,11,1,48.0,20.0,0,1,0,1,28,3,0,19,1,1.6,1.4,10.0,2022-10-02 15:30:00+00:00,67,0,9,0,38227,2.0,6,-2129,1118,3247,48,2022-10-02
6,2022-10-09,Sun,10,Away,L 1–2,Leeds United,Crystal Palace,Y,RB,83,0,0,0,0,0,0,1,0,52,4,4,4,0.0,0.0,0.0,0,0,25,36,1,8,0,0,0,359,221,14,18,11,16,0,0,0.0,0,1,0,0,21,14,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,2,1,2,2,2,0,4,21,23,9,0,19.0,5.0,0,0,0,0,10,0,0,6,0,0.7,2.4,23.0,2022-10-09 13:00:00+00:00,83,0,10,0,44939,0.0,0,5187,7119,1932,48,2022-10-09
7,2022-10-16,Sun,11,Home,L 0–1,Leeds United,Arsenal,Y,RB,90,0,0,0,0,0,0,0,0,58,6,3,0,0.0,0.0,0.0,1,0,37,48,3,34,1,0,0,580,225,21,22,12,19,3,5,0.0,0,2,1,0,40,8,1,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,3,3,0,0,0,1,0,2,16,24,19,0,78.0,35.0,0,0,1,0,35,7,0,8,0,3.7,2.1,17.0,2022-10-16 13:00:00+00:00,90,0,11,0,43601,0.0,2,-1489,1690,3179,48,2022-10-16
8,2022-10-20,Thu,12,Away,L 0–2,Leeds United,Leicester City,Y,RB,90,0,0,0,0,1,0,0,0,72,6,0,0,0.0,0.0,0.3,1,0,39,60,2,22,1,2,1,703,194,15,20,23,27,1,8,0.3,1,1,2,1,46,13,2,0,0,4,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,2,1,3,3,0,0,0,4,0,4,21,38,14,1,86.0,54.0,0,0,1,0,36,5,0,15,0,19.7,4.8,25.6,2022-10-20 19:15:00+00:00,90,0,12,0,50114,3.0,1,2247,3736,1489,48,2022-10-20
9,2022-10-29,Sat,14,Away,W 2–1,Leeds United,Liverpool,Y,RB,90,0,0,0,0,2,0,0,0,73,1,2,0,0.1,0.1,0.2,3,0,41,60,1,27,1,0,0,625,374,25,28,12,20,3,8,0.1,1,2,1,1,44,16,1,0,0,2,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,6,0,4,35,22,16,3,82.0,32.0,0,0,1,0,33,4,0,17,0,15.7,4.0,14.0,2022-10-29 18:45:00+00:00,90,0,14,0,43068,10.0,2,-2632,791,3423,48,2022-10-29
