,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-11,Fri,1,Away,W 3–0,Manchester City,Burnley,Y,RB,89,0,0,0,0,0,0,0,0,81,0,0,0,0.0,0.0,0.0,2,1,66,72,2,48,1,3,0,1198,179,22,23,36,37,6,9,0.0,1,3,0,0,64,8,0,0,0,0,8,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,22,42,17,1,218.0,71.0,0,1,1,0,55,3,0,26,1,14.5,2.0,3.6,2023-08-11 19:00:00+00:00,90,0,1,0,266642,2.0,6,0,0,0,50,2023-08-11
1,2023-08-19,Sat,2,Home,W 1–0,Manchester City,Newcastle Utd,Y*,RB,90,0,0,0,0,0,0,0,0,76,1,0,0,0.0,0.0,0.1,2,0,65,73,3,35,2,2,2,1052,153,34,36,28,32,3,5,0.0,1,1,1,0,65,8,3,0,1,1,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15,38,24,2,208.0,133.0,2,0,1,1,56,9,0,25,1,16.3,2.8,7.2,2023-08-19 19:00:00+00:00,90,0,2,0,477500,4.0,6,87981,107637,19656,50,2023-08-19
2,2023-08-27,Sun,3,Away,W 2–1,Manchester City,Sheffield Utd,Y*,RB,90,0,0,0,0,2,0,0,0,95,1,0,1,0.0,0.0,0.3,7,1,72,86,12,68,5,3,2,1227,277,31,33,36,40,5,10,0.4,3,9,6,0,83,3,0,0,0,8,3,0,0,7,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,4,9,44,42,4,357.0,191.0,7,0,0,0,75,12,0,20,0,46.3,7.5,17.2,2023-08-27 13:00:00+00:00,90,0,3,0,816739,11.0,2,282609,315193,32584,51,2023-08-27
3,2023-09-02,Sat,4,Home,W 5–1,Manchester City,Fulham,Y*,RB,90,0,0,0,0,0,0,0,0,109,1,0,0,0.0,0.0,0.0,1,1,86,106,5,51,3,1,1,1529,241,35,42,37,42,12,17,0.0,0,6,1,0,98,8,1,0,0,1,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,4,22,67,20,2,208.0,111.0,0,0,0,0,89,9,0,14,0,5.5,1.9,9.6,2023-09-02 14:00:00+00:00,90,0,4,0,1114826,4.0,2,245379,285979,40600,52,2023-09-02
4,2023-09-16,Sat,5,Away,W 3–1,Manchester City,West Ham,Y*,RB,90,0,0,0,0,0,0,0,0,102,3,1,1,0.0,0.0,0.4,2,0,87,94,9,79,2,0,0,1373,248,43,45,40,43,3,4,0.1,2,6,2,1,88,6,1,0,0,3,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,1,3,0,3,14,53,36,2,269.0,143.0,4,0,0,2,77,13,0,20,0,34.2,5.8,20.2,2023-09-16 14:00:00+00:00,90,0,5,0,1205129,4.0,2,64591,135320,70729,52,2023-09-16
5,2023-09-23,Sat,6,Home,W 2–0,Manchester City,Nott'ham Forest,Y*,RB,90,0,1,0,0,0,0,0,0,66,0,0,1,0.0,0.0,0.1,2,1,53,62,0,31,2,1,0,1014,129,18,19,30,35,5,6,0.1,1,2,0,0,49,13,3,1,1,1,10,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,2,11,33,24,1,164.0,98.0,3,0,1,0,46,6,2,31,1,18.2,3.9,18.8,2023-09-23 14:00:00+00:00,90,0,6,0,1283915,2.0,11,60192,124981,64789,52,2023-09-23
6,2023-09-30,Sat,7,Away,L 1–2,Manchester City,Wolves,Y*,"RB,CB",90,0,0,0,0,1,1,1,0,74,0,1,1,0.0,0.0,0.0,3,0,58,68,9,50,2,0,0,1149,137,19,23,31,34,7,10,0.1,1,7,1,0,61,7,0,0,1,1,7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,14,30,31,0,252.0,182.0,2,0,1,0,57,4,0,9,0,22.0,3.7,8.4,2023-09-30 14:00:00+00:00,90,0,7,0,1691717,7.0,0,354323,391545,37222,53,2023-09-30
7,2023-10-08,Sun,8,Away,L 0–1,Manchester City,Arsenal,Y*,RB,90,0,0,0,0,0,0,0,0,57,2,1,0,0.0,0.0,0.0,0,0,45,52,3,27,4,1,1,753,123,24,25,17,20,4,7,0.0,0,1,1,0,46,6,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,2,14,32,13,0,166.0,122.0,3,0,0,0,40,7,0,17,0,6.1,1.4,8.2,2023-10-08 15:30:00+00:00,90,0,8,0,1618757,0.0,2,-44486,96655,141141,53,2023-10-08
8,2023-10-21,Sat,9,Home,W 2–1,Manchester City,Brighton,Y*,RB,90,0,0,0,0,0,0,0,0,76,1,2,1,0.0,0.0,0.0,0,0,62,69,2,30,0,0,0,1192,283,18,19,40,42,3,5,0.0,0,6,0,0,61,8,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,1,1,0,2,27,40,10,0,89.0,19.0,0,0,1,0,51,0,0,11,0,3.1,1.2,8.6,2023-10-21 14:00:00+00:00,90,0,9,0,1669338,0.0,2,20093,85548,65455,53,2023-10-21
9,2023-10-29,Sun,10,Away,W 3–0,Manchester City,Manchester Utd,Y*,RB,90,0,0,0,0,0,0,0,0,87,3,1,1,0.0,0.0,0.3,5,0,75,81,11,47,7,1,1,1261,366,35,39,29,30,7,8,0.1,2,11,0,0,77,4,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,0,1,0,1,0,3,12,56,19,2,380.0,237.0,4,0,0,0,63,3,2,39,1,26.6,5.5,24.4,2023-10-29 15:30:00+00:00,90,0,10,0,1590033,4.0,8,-80597,39634,120231,53,2023-10-29
10,2023-11-04,Sat,11,Home,W 6–1,Manchester City,Bournemouth,Y*,"WB,CB",90,0,0,0,0,1,0,0,0,90,0,0,0,0.0,0.0,0.0,1,1,73,85,3,67,1,0,0,1259,205,31,34,32,36,8,10,0.1,0,3,1,1,80,5,2,0,0,5,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,18,40,32,1,200.0,74.0,2,0,2,0,65,11,0,12,0,11.5,2.1,5.6,2023-11-04 15:00:00+00:00,90,0,11,0,1723858,4.0,2,106238,138660,32422,53,2023-11-04
11,2023-11-12,Sun,12,Away,D 4–4,Manchester City,Chelsea,Y*,RB,90,0,0,0,0,1,0,0,0,70,3,0,3,0.1,0.1,0.0,3,0,44,55,1,36,1,3,0,746,155,15,16,27,32,2,4,0.0,1,3,0,0,46,9,1,0,1,1,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,4,1,1,2,2,0,5,20,32,19,1,124.0,63.0,0,0,1,0,42,4,0,7,0,13.8,3.0,13.0,2023-11-12 16:30:00+00:00,90,0,12,0,1713739,3.0,0,-7181,74277,81458,53,2023-11-12
12,2023-11-25,Sat,13,Home,D 1–1,Manchester City,Liverpool,Y*,RB,90,0,0,0,0,0,0,0,0,64,0,3,0,0.0,0.0,0.1,1,0,53,58,6,40,1,0,0,971,253,20,20,27,28,5,8,0.0,1,8,0,0,54,4,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,21,33,11,1,166.0,74.0,1,0,1,0,42,3,0,15,0,13.6,2.7,11.4,2023-11-25 12:30:00+00:00,90,0,13,0,1685700,2.0,2,-33692,52273,85965,53,2023-11-25
13,2023-12-03,Sun,14,Home,D 3–3,Manchester City,Tottenham,Y*,RB,90,0,0,0,0,0,0,0,0,80,1,3,0,0.0,0.0,0.0,0,0,72,76,4,55,2,1,1,1424,512,27,29,31,32,12,13,0.0,0,11,0,0,70,6,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4,26,43,12,0,217.0,74.0,2,0,0,0,62,0,0,15,0,6.3,1.9,13.0,2023-12-03 16:30:00+00:00,90,0,14,0,1674426,0.0,1,-22710,34468,57178,53,2023-12-03
14,2023-12-06,Wed,15,Away,L 0–1,Manchester City,Aston Villa,Y*,RB,90,0,0,0,0,0,0,0,0,86,1,1,0,0.0,0.0,0.0,0,0,63,74,5,58,2,1,0,1075,438,28,30,27,30,6,9,0.0,0,6,2,1,65,9,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,0,4,0,5,28,42,16,1,389.0,288.0,1,0,3,0,61,3,0,11,0,8.0,2.4,14.0,2023-12-06 20:15:00+00:00,90,0,15,0,1638981,2.0,2,-38688,23341,62029,53,2023-12-06
15,2023-12-10,Sun,16,Away,W 2–1,Manchester City,Luton Town,Y*,RB,90,0,0,0,0,1,0,0,0,63,2,0,1,0.0,0.0,0.1,4,1,43,56,3,40,0,1,1,727,172,19,23,18,21,6,10,0.1,1,0,3,2,44,12,1,0,0,3,11,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,2,2,0,1,1,0,0,20,28,16,0,141.0,62.0,0,0,1,1,37,4,0,12,0,20.4,3.3,11.8,2023-12-10 14:00:00+00:00,90,0,16,0,1697627,1.0,2,48514,87788,39274,53,2023-12-10
16,2023-12-16,Sat,17,Home,D 2–2,Manchester City,Crystal Palace,Y*,RB,90,0,0,0,0,1,0,0,0,137,1,1,2,0.0,0.0,0.1,5,0,119,128,8,69,3,2,1,1942,304,64,66,47,50,7,11,0.2,1,13,3,3,118,10,3,1,1,7,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,2,0,5,16,68,54,2,258.0,120.0,2,0,0,1,109,7,0,23,0,47.1,8.6,32.6,2023-12-16 15:00:00+00:00,90,0,17,0,1723317,6.0,1,13335,59180,45845,53,2023-12-16
17,2023-12-27,Wed,19,Away,W 3–1,Manchester City,Everton,Y*,RB,90,0,0,0,0,1,0,0,0,117,2,0,0,0.0,0.0,0.0,1,0,98,111,9,56,4,1,1,1806,492,39,41,48,52,10,13,0.1,0,8,1,0,101,9,1,0,2,2,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,0,1,25,72,21,0,411.0,252.0,3,0,3,0,92,3,0,18,0,5.3,2.1,13.6,2023-12-27 20:15:00+00:00,90,0,19,0,1615015,2.0,2,37571,66164,28593,53,2023-12-27
18,2023-12-30,Sat,20,Home,W 2–0,Manchester City,Sheffield Utd,Y*,RB,67,0,0,0,0,2,0,0,0,72,0,0,0,0.0,0.0,0.0,0,0,61,66,1,39,0,0,0,951,103,34,35,22,23,3,5,0.0,0,5,0,0,61,5,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,40,25,1,112.0,30.0,3,0,1,1,60,5,0,21,1,10.4,1.7,2.0,2023-12-30 15:00:00+00:00,67,0,20,0,1730373,5.0,6,105096,142466,37370,53,2023-12-30
19,2024-01-13,Sat,21,Away,W 3–2,Manchester City,Newcastle Utd,Y*,RB,90,0,1,0,0,1,0,0,0,80,1,2,1,0.0,0.0,0.1,1,1,67,73,4,44,4,3,3,1060,165,33,35,30,30,3,7,0.8,1,11,1,1,67,6,1,0,2,3,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,2,8,39,33,5,236.0,103.0,2,2,1,1,62,9,2,26,0,22.3,6.5,31.4,2024-01-13 17:30:00+00:00,90,0,21,0,1827791,11.0,6,82895,217595,134700,54,2024-01-13
20,2024-02-05,Mon,23,Away,W 3–1,Manchester City,Brentford,Y*,RB,90,0,0,0,0,1,1,0,0,102,0,0,0,0.0,0.0,0.1,4,0,81,97,11,68,5,2,2,1394,462,45,49,25,32,10,12,0.1,2,14,2,1,86,11,1,1,0,3,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,4,18,46,39,1,418.0,296.0,7,0,1,1,74,2,0,16,0,36.5,6.6,20.6,2024-02-05 20:00:00+00:00,90,0,23,0,1898779,9.0,2,-86560,26799,113359,55,2024-02-05
21,2024-02-10,Sat,24,Home,W 2–0,Manchester City,Everton,N,RB,34,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.2,2,0,33,40,1,31,1,0,0,531,178,17,19,14,15,2,5,0.0,2,3,0,0,38,2,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,8,0,140.0,64.0,1,0,0,0,32,4,0,11,0,22.5,2.7,4.4,2024-02-10 12:30:00+00:00,33,0,24,0,1878433,0.0,1,-25628,76904,102532,55,2024-02-10
22,2024-02-17,Sat,25,Home,D 1–1,Manchester City,Chelsea,Y*,RB,90,0,0,0,0,2,0,0,0,80,1,2,0,0.1,0.1,0.0,3,1,64,71,5,42,6,1,1,1038,287,31,33,26,28,5,8,0.0,1,13,1,0,61,10,2,0,0,3,8,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2,1,0,0,3,0,3,15,47,20,1,370.0,173.0,2,0,0,0,57,4,2,23,0,15.0,3.5,14.4,2024-02-17 17:30:00+00:00,90,0,25,0,1779792,6.0,7,-73863,65483,139346,55,2024-02-17
23,2024-02-20,Tue,18,Home,W 1–0,Manchester City,Brentford,Y*,RB,90,0,0,0,0,0,0,1,0,83,0,0,0,0.0,0.0,0.2,5,0,64,81,3,45,1,1,0,949,212,34,35,22,30,3,4,0.2,1,2,2,1,70,11,0,0,0,8,11,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,12,21,50,2,242.0,75.0,0,0,0,0,60,20,0,22,1,23.5,3.4,6.8,2024-02-20 19:30:00+00:00,90,0,25,0,1779792,4.0,5,-73863,65483,139346,55,2024-02-20
24,2024-03-03,Sun,27,Home,W 3–1,Manchester City,Manchester Utd,Y*,RB,90,0,0,0,0,2,1,0,0,119,1,1,0,0.1,0.1,0.0,4,0,107,113,14,80,4,0,0,1833,486,55,56,46,48,6,9,0.1,0,13,1,0,102,11,2,0,2,1,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,13,66,41,3,499.0,315.0,4,0,0,1,89,3,0,18,0,14.7,5.0,19.8,2024-03-03 15:30:00+00:00,90,0,27,0,1822528,15.0,2,-72077,19317,91394,55,2024-03-03
25,2024-03-10,Sun,28,Away,D 1–1,Manchester City,Liverpool,Y*,RB,90,0,0,0,0,0,0,0,0,72,3,3,3,0.0,0.0,0.0,0,0,48,56,5,34,2,2,1,844,395,23,25,21,22,4,8,0.0,0,5,0,0,46,10,1,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,5,3,0,3,3,0,5,23,39,11,1,168.0,79.0,2,1,2,1,36,3,0,17,0,1.2,2.1,17.4,2024-03-10 15:45:00+00:00,90,0,28,0,1743645,2.0,2,-80983,17933,98916,54,2024-03-10
26,2024-04-25,Thu,29,Away,W 4–0,Manchester City,Brighton,Y*,RB,78,0,2,0,0,0,0,0,0,50,0,0,1,0.0,0.0,0.2,2,2,37,44,0,28,2,2,1,600,76,20,24,14,15,3,4,0.0,2,1,1,1,39,5,0,0,0,1,5,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9,23,18,4,141.0,85.0,0,2,2,2,37,9,2,44,1,28.0,8.0,42.0,2024-04-25 19:00:00+00:00,78,0,34,0,1071802,10.0,14,3997,22626,18629,53,2024-04-25
27,2024-04-28,Sun,35,Away,W 2–0,Manchester City,Nott'ham Forest,Y*,RB,90,0,0,0,0,0,0,0,0,82,3,1,0,0.0,0.0,0.0,0,0,68,76,3,33,2,1,1,1118,231,33,33,33,39,2,4,0.1,0,2,1,1,65,11,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,3,3,0,0,0,0,1,19,40,24,0,144.0,75.0,1,0,0,0,60,4,2,31,1,10.3,2.4,13.8,2024-04-28 15:30:00+00:00,90,0,35,0,1248533,0.0,8,166585,189809,23224,53,2024-04-28
28,2024-05-04,Sat,36,Home,W 5–1,Manchester City,Wolves,Y*,RB,90,0,0,0,0,0,0,0,0,69,2,0,1,0.0,0.0,0.0,0,0,62,65,4,36,1,0,0,1131,329,28,29,26,27,8,9,0.0,0,6,0,0,57,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,1,0,0,0,1,14,42,13,0,223.0,87.0,1,0,0,0,52,1,0,12,0,4.7,1.9,14.0,2024-05-04 16:30:00+00:00,90,0,36,0,1479833,0.0,2,231204,245813,14609,54,2024-05-04
29,2024-05-11,Sat,37,Away,W 4–0,Manchester City,Fulham,N,RB,69,0,0,0,0,0,0,0,0,51,0,0,1,0.0,0.0,0.0,1,1,45,49,3,28,0,0,0,782,177,21,21,20,21,3,6,0.0,0,5,0,0,46,3,0,0,1,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,35,7,0,111.0,26.0,0,0,0,0,41,2,0,25,1,2.1,0.5,2.8,2024-05-11 11:30:00+00:00,68,0,37,0,1652835,0.0,6,163403,215256,51853,55,2024-05-11
30,2024-05-14,Tue,34,Away,W 2–0,Manchester City,Tottenham,Y*,RB,90,0,0,0,0,0,0,0,0,59,3,0,0,0.0,0.0,0.1,1,0,46,53,2,27,2,2,1,743,206,23,27,18,19,2,3,0.0,1,3,1,0,43,10,2,0,1,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0,1,0,2,17,31,11,3,148.0,107.0,1,1,1,0,43,5,1,27,1,12.5,3.3,14.2,2024-05-14 19:00:00+00:00,90,0,37,0,1652835,6.0,7,163403,215256,51853,55,2024-05-14
31,2024-05-19,Sun,38,Home,W 3–1,Manchester City,West Ham,Y*,RB,90,0,0,0,0,0,0,0,0,123,2,4,0,0.0,0.0,0.0,0,0,111,114,6,87,2,0,0,1419,332,73,73,34,35,1,3,0.1,0,12,0,0,111,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,0,2,17,74,32,0,345.0,186.0,7,0,0,1,103,0,0,15,0,11.6,3.2,20.6,2024-05-19 15:00:00+00:00,90,0,38,0,1638831,0.0,2,-3560,44071,47631,55,2024-05-19
32,2022-08-07,Sun,1,Away,W 2–0,Manchester City,West Ham,Y,RB,90,0,0,0,0,0,0,0,0,97,0,0,0,0.0,0.0,0.0,1,0,87,96,6,45,1,0,0,1281,314,50,52,31,33,4,7,0.0,0,9,0,0,87,9,2,0,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,13,68,16,0,241.0,125.0,1,0,0,1,81,1,0,24,1,7.7,1.4,6.6,2022-08-07 15:30:00+00:00,90,0,1,0,733920,0.0,6,0,0,0,50,2022-08-07
33,2022-08-13,Sat,2,Home,W 4–0,Manchester City,Bournemouth,Y,RB,81,0,0,0,0,0,0,0,0,88,0,1,1,0.0,0.0,0.0,4,1,76,83,14,60,1,0,0,1310,374,34,34,35,38,5,9,0.0,1,15,0,0,80,3,1,0,0,1,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,7,56,25,0,155.0,78.0,0,0,1,0,76,4,0,25,1,18.2,2.9,11.0,2022-08-13 14:00:00+00:00,81,0,2,0,1010716,0.0,6,136743,189051,52308,50,2022-08-13
34,2022-08-21,Sun,3,Away,D 3–3,Manchester City,Newcastle Utd,Y,RB,90,0,0,0,0,0,0,0,0,66,1,0,0,0.0,0.0,0.0,1,0,46,62,8,26,2,4,3,923,186,18,26,19,22,9,13,0.0,0,6,0,0,53,9,2,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,1,0,1,19,41,7,0,202.0,114.0,2,0,0,1,40,0,0,11,0,1.9,1.1,8.6,2022-08-21 15:30:00+00:00,90,0,3,0,1227445,0.0,1,158507,273138,114631,51,2022-08-21
35,2022-08-27,Sat,4,Home,W 4–2,Manchester City,Crystal Palace,Y,RB,90,0,0,0,0,0,0,0,0,118,0,0,0,0.0,0.0,0.1,1,0,108,117,19,77,0,1,1,2133,616,41,43,45,49,21,23,0.1,1,27,1,0,114,3,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,14,80,26,0,316.0,170.0,2,0,0,0,102,0,0,15,0,20.4,3.3,13.0,2022-08-27 14:00:00+00:00,90,0,4,0,1257914,0.0,1,-6799,125686,132485,51,2022-08-27
36,2022-08-31,Wed,5,Home,W 6–0,Manchester City,Nott'ham Forest,Y,"RB,CB",90,0,0,0,0,0,0,0,0,126,1,2,0,0.0,0.0,0.0,0,0,113,121,11,66,3,0,0,1942,717,50,51,53,56,8,11,0.0,0,11,0,0,117,4,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,3,21,95,10,1,341.0,217.0,0,0,0,0,107,1,0,30,1,4.3,2.7,20.4,2022-08-31 18:30:00+00:00,90,0,5,0,1272702,2.0,6,-10765,123092,133857,51,2022-08-31
