,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-14,Mon,1,Home,W 1–0,Manchester Utd,Wolves,N,CB,45,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,11,15,0,10,0,0,0,172,51,4,7,7,8,0,0,0.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,11,6,1,1,42.0,15.0,0,0,0,0,11,1,0,5,0,0.1,0.5,3.0,2023-08-14 19:00:00+00:00,45,0,1,0,14245,2.0,1,0,0,0,45,2023-08-14
1,2023-08-26,Sat,3,Home,W 3–2,Manchester Utd,Nott'ham Forest,N,CB,45,0,0,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.1,2,0,19,20,2,15,1,0,0,260,81,14,15,3,3,2,2,0.0,2,1,0,0,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,9,14,1,1,63.0,26.0,0,0,0,0,15,1,0,6,0,20.7,3.8,15.0,2023-08-26 14:00:00+00:00,45,0,3,0,15398,2.0,1,-1902,310,2212,45,2023-08-26
2,2023-09-03,Sun,4,Away,L 1–3,Manchester Utd,Arsenal,Y,CB,83,0,0,0,0,0,0,1,0,72,0,0,3,0.0,0.0,0.0,0,0,67,69,0,49,0,0,0,1061,241,30,30,35,35,1,2,0.0,0,1,0,0,63,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,7,45,27,0,0,224.0,93.0,0,0,0,0,60,0,0,9,0,0.6,1.2,11.0,2023-09-03 15:30:00+00:00,83,0,4,0,16173,0.0,1,-292,1067,1359,45,2023-09-03
3,2023-09-16,Sat,5,Home,L 1–3,Manchester Utd,Brighton,Y,CB,90,0,0,0,0,1,0,0,0,69,0,1,0,0.1,0.1,0.1,3,0,62,66,3,54,0,1,1,1126,326,24,26,32,32,5,6,0.0,2,5,0,0,65,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,26,39,6,1,164.0,37.0,0,0,0,0,51,0,0,16,0,22.2,3.4,7.8,2023-09-16 14:00:00+00:00,90,0,5,0,18867,4.0,1,922,2490,1568,45,2023-09-16
4,2023-09-23,Sat,6,Away,W 1–0,Manchester Utd,Burnley,Y,"CB,LB",90,0,0,0,0,0,0,0,0,68,1,0,0,0.0,0.0,0.0,1,1,57,64,1,40,0,0,0,946,90,26,28,27,27,3,7,0.0,0,1,0,0,64,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,2,1,0,0,2,0,4,25,39,4,0,233.0,90.0,0,0,0,0,56,0,0,26,1,5.3,1.1,5.6,2023-09-23 19:00:00+00:00,90,0,6,0,19955,0.0,6,525,2082,1557,45,2023-09-23
5,2023-09-30,Sat,7,Home,L 0–1,Manchester Utd,Crystal Palace,Y,CB,87,0,0,0,0,0,0,0,0,103,2,0,0,0.0,0.0,0.0,0,0,91,96,6,80,3,0,0,1446,395,36,36,53,56,1,3,0.2,0,4,1,0,92,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,0,3,1,6,44,55,4,0,461.0,277.0,0,0,1,1,84,0,0,13,0,5.7,1.8,11.8,2023-09-30 14:00:00+00:00,87,0,7,0,25973,0.0,2,4847,6496,1649,45,2023-09-30
6,2023-10-07,Sat,8,Home,W 2–1,Manchester Utd,Brentford,Y,LB,70,0,0,0,0,0,0,0,0,67,0,2,2,0.0,0.0,0.0,1,0,53,58,3,40,2,0,0,643,227,36,39,10,12,2,2,0.0,1,6,1,0,48,10,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,4,13,29,25,2,219.0,124.0,1,0,0,1,46,5,0,13,0,16.1,2.7,7.2,2023-10-07 14:00:00+00:00,70,0,8,0,27614,4.0,2,1169,4360,3191,45,2023-10-07
7,2023-10-21,Sat,9,Away,W 2–1,Manchester Utd,Sheffield Utd,Y,LB,90,0,1,0,0,0,0,0,0,82,1,1,1,0.0,0.0,0.0,3,2,56,72,1,52,1,0,0,934,220,28,34,17,22,7,11,0.0,1,6,0,0,62,10,0,0,1,0,10,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,5,36,33,14,1,223.0,111.0,1,0,1,1,44,1,0,21,0,13.3,4.3,28.0,2023-10-21 19:00:00+00:00,90,0,9,0,31283,2.0,5,2752,4817,2065,45,2023-10-21
8,2023-10-29,Sun,10,Home,L 0–3,Manchester Utd,Manchester City,Y,LB,72,0,0,0,0,0,0,0,0,47,0,2,1,0.0,0.0,0.0,0,0,36,42,1,24,0,0,0,621,130,15,16,15,20,4,4,0.0,0,1,0,0,35,7,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,25,17,5,1,105.0,29.0,1,0,0,0,32,1,0,11,0,1.3,1.3,9.8,2023-10-29 15:30:00+00:00,73,0,10,0,30816,2.0,1,-664,2423,3087,45,2023-10-29
9,2023-11-11,Sat,12,Home,W 1–0,Manchester Utd,Luton Town,Y,"CB,LB",90,1,0,0,0,1,1,0,0,119,1,1,1,0.1,0.1,0.0,0,0,109,115,10,81,6,0,0,1890,574,42,45,59,61,5,6,0.0,0,23,0,0,112,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,3,0,6,29,73,18,1,597.0,456.0,7,0,0,0,95,0,3,43,1,7.7,8.2,56.8,2023-11-11 15:00:00+00:00,90,0,12,0,28766,17.0,15,-2039,1267,3306,45,2023-11-11
10,2023-11-26,Sun,13,Away,W 3–0,Manchester Utd,Everton,Y,CB,90,0,0,0,0,0,0,0,0,68,3,1,4,0.0,0.0,0.0,2,0,41,52,0,27,0,0,0,697,241,21,27,13,15,5,8,0.0,0,1,0,0,44,8,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,3,1,8,0,19,60,8,0,0,100.0,49.0,1,0,0,0,31,0,0,26,1,0.0,3.9,39.4,2023-11-26 16:30:00+00:00,90,0,13,0,58701,0.0,6,24466,26734,2268,45,2023-11-26
11,2023-12-06,Wed,15,Home,W 2–1,Manchester Utd,Chelsea,Y,CB,45,0,0,0,0,1,0,0,0,39,2,0,0,0.0,0.0,0.0,0,0,32,35,0,28,0,0,0,504,141,13,14,13,14,4,5,0.0,0,1,0,0,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4,18,19,2,1,144.0,65.0,0,0,0,0,28,0,0,12,0,0.7,1.2,4.0,2023-12-06 20:15:00+00:00,45,0,15,0,70152,7.0,1,264,6719,6455,45,2023-12-06
12,2024-02-04,Sun,23,Home,W 3–0,Manchester Utd,West Ham,N,LB,3,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,8,8,0,6,0,0,0,100,20,5,5,2,2,0,0,0.0,0,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,3,0,39.0,22.0,0,0,0,0,8,1,0,2,0,0.8,0.1,0.0,2024-02-04 14:00:00+00:00,2,0,23,0,28147,0.0,1,-685,18,703,45,2024-02-04
13,2024-02-11,Sun,24,Away,W 2–1,Manchester Utd,Aston Villa,N,LB,45,0,0,0,0,0,0,0,0,37,1,1,0,0.0,0.0,0.0,1,0,24,31,1,12,0,0,0,372,120,12,12,11,15,1,3,0.0,0,1,0,0,27,4,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,5,20,14,3,0,68.0,6.0,0,0,0,0,20,2,0,6,0,1.1,1.0,9.2,2024-02-11 16:30:00+00:00,45,0,24,0,27999,0.0,1,-270,321,591,45,2024-02-11
14,2024-02-18,Sun,25,Away,W 2–1,Manchester Utd,Luton Town,N,LB,46,0,0,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.0,0,0,8,14,0,4,0,0,0,168,38,3,6,4,5,1,1,0.0,0,0,0,0,12,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,9,3,2,0,11.0,3.0,0,0,0,0,6,0,0,1,0,0.0,0.0,0.0,2024-02-18 16:30:00+00:00,45,0,25,0,28349,0.0,0,86,784,698,45,2024-02-18
15,2024-02-24,Sat,26,Home,L 1–2,Manchester Utd,Fulham,Y,LB,89,0,0,0,0,1,1,0,0,65,0,0,0,0.1,0.1,0.0,4,0,55,58,4,34,3,0,0,837,276,29,30,25,25,1,1,0.1,2,4,0,0,53,5,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,20,29,16,4,159.0,96.0,3,0,1,0,43,5,0,15,0,25.3,6.5,16.6,2024-02-24 15:00:00+00:00,90,0,26,0,30168,23.0,1,1109,1856,747,45,2024-02-24
16,2024-03-03,Sun,27,Away,L 1–3,Manchester Utd,Manchester City,Y,"LB,CB",90,0,0,0,0,0,0,0,0,37,0,2,1,0.0,0.0,0.0,0,0,21,30,2,20,0,0,0,307,101,14,17,4,7,2,3,0.0,0,0,1,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,25,9,3,0,75.0,43.0,0,0,0,0,22,0,0,7,0,0.9,0.9,8.0,2024-03-03 15:30:00+00:00,90,0,27,0,29517,0.0,1,-384,624,1008,45,2024-03-03
17,2024-03-09,Sat,28,Home,W 2–0,Manchester Utd,Everton,Y,"LB,CB",90,0,0,0,0,2,2,0,0,52,2,0,1,0.4,0.4,0.0,0,0,44,47,2,20,0,0,0,695,235,25,26,15,16,4,5,0.0,0,2,0,0,38,9,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,2,0,6,26,22,5,2,55.0,15.0,0,0,0,0,30,0,1,29,1,2.3,5.8,13.8,2024-03-09 12:30:00+00:00,90,0,28,0,32354,42.0,7,2375,3076,701,45,2024-03-09
18,2024-03-30,Sat,30,Away,D 1–1,Manchester Utd,Brentford,Y,CB,68,0,0,0,0,0,0,0,0,48,1,1,3,0.0,0.0,0.0,1,0,32,35,4,24,1,0,0,416,189,21,22,10,10,0,1,0.0,0,4,0,0,34,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,2,6,0,12,22,25,2,0,95.0,64.0,0,0,2,0,24,0,3,30,1,1.8,1.9,16.8,2024-03-30 20:00:00+00:00,68,0,30,0,33358,0.0,9,1315,2158,843,45,2024-03-30
19,2022-10-02,Sun,9,Away,L 3–6,Manchester Utd,Manchester City,N,CB,51,0,0,0,0,0,0,0,0,44,1,0,1,0.0,0.0,0.0,0,0,40,41,1,26,0,0,0,716,174,15,16,23,23,2,2,0.0,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,5,25,19,0,0,125.0,67.0,0,0,0,0,38,0,0,12,0,0.7,1.2,11.2,2022-10-02 13:00:00+00:00,50,0,9,0,8950,0.0,0,-39,271,310,43,2022-10-02
20,2022-10-09,Sun,10,Away,W 2–1,Manchester Utd,Everton,Y,CB,90,0,0,0,0,0,0,0,0,74,1,2,0,0.0,0.0,0.0,0,0,62,66,5,54,1,0,0,1100,430,24,24,34,34,3,7,0.0,0,6,0,0,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,4,0,8,30,42,2,0,268.0,147.0,0,0,0,0,57,0,0,17,0,1.3,1.9,17.8,2022-10-09 18:00:00+00:00,90,0,10,0,9836,0.0,2,557,990,433,43,2022-10-09
21,2022-10-22,Sat,13,Away,D 1–1,Manchester Utd,Chelsea,N,CB,31,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,12,13,0,11,0,0,0,213,50,4,4,7,7,1,2,0.0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,10,5,1,0,47.0,25.0,0,0,0,0,12,0,0,3,0,0.3,0.3,3.0,2022-10-22 16:30:00+00:00,30,0,13,0,11066,0.0,1,-219,349,568,43,2022-10-22
