,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-10-05,Sat,8,Home,W 2–1,Liverpool,Leicester City,Y,CB,90,0,0,0,0,1,0,0,0,59,2,3,0,0.1,0.1,0.0,1,0,38,43,0,33,0,0,0,726,380,13,13,22,24,3,6,0.0,0,1,1,0,42,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3,1,0,0,8,0,12,34,24,2,2,163.0,38.0,0,0,0,0,31,0,0,18,0,0.0,2.6,19.8,2019-10-05 14:00:00+00:00,90,0,8,0,12209,6.0,2,-198,317,515,53,2019-10-05
1,2019-10-27,Sun,10,Home,W 2–1,Liverpool,Tottenham,Y,CB,90,0,0,0,0,1,1,1,0,113,1,1,1,0.0,0.0,0.0,1,0,84,102,10,73,3,0,0,1577,528,30,35,46,52,8,13,0.0,0,4,0,0,100,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,0,8,42,66,5,2,359.0,238.0,3,0,0,0,74,2,0,14,0,2.3,4.7,26.0,2019-10-27 16:30:00+00:00,90,0,10,0,13304,19.0,1,-137,387,524,53,2019-10-27
2,2019-11-02,Sat,11,Away,W 2–1,Liverpool,Aston Villa,Y,CB,90,0,0,0,0,1,0,0,0,83,1,0,0,0.1,0.1,0.0,1,0,65,77,7,46,1,0,0,1198,422,24,26,37,39,4,10,0.1,0,5,0,0,74,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,7,33,46,5,4,205.0,138.0,1,0,0,0,53,1,0,15,0,1.8,2.6,13.8,2019-11-02 15:00:00+00:00,90,0,11,0,22564,10.0,2,8357,9211,854,53,2019-11-02
3,2019-11-10,Sun,12,Home,W 3–1,Liverpool,Manchester City,Y,CB,90,0,0,0,0,1,0,0,0,61,1,1,2,0.1,0.1,0.0,0,0,35,47,0,34,0,1,1,722,166,9,12,22,24,4,11,0.0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,5,0,12,42,16,3,3,142.0,53.0,0,0,1,0,34,0,0,13,0,0.4,3.0,19.0,2019-11-10 16:30:00+00:00,90,0,12,0,22599,11.0,2,293,2198,1905,53,2019-11-10
4,2019-11-23,Sat,13,Away,W 2–1,Liverpool,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,94,2,0,1,0.0,0.0,0.0,0,0,72,84,10,68,2,0,0,1267,487,27,31,42,44,2,8,0.0,0,6,0,0,83,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,1,0,4,0,9,30,60,4,2,311.0,185.0,0,0,0,0,66,0,0,13,0,2.1,2.9,22.8,2019-11-23 15:00:00+00:00,90,0,13,0,33974,4.0,2,9811,11634,1823,53,2019-11-23
5,2019-11-30,Sat,14,Home,W 2–1,Liverpool,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,60,1,1,2,0.0,0.0,0.0,0,0,43,53,1,42,0,0,0,894,260,11,13,28,29,4,10,0.0,0,3,0,0,52,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,2,2,0,5,33,26,1,1,159.0,53.0,0,0,0,0,42,0,0,15,0,0.5,1.4,11.0,2019-11-30 15:00:00+00:00,90,0,14,0,43283,2.0,2,8830,11104,2274,53,2019-11-30
6,2019-12-04,Wed,15,Home,W 5–2,Liverpool,Everton,Y,CB,90,0,1,0,0,0,0,0,0,104,2,2,1,0.0,0.0,0.3,1,1,79,90,2,66,0,0,0,1538,550,23,24,48,51,8,14,0.2,1,2,1,0,85,5,5,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,1,0,8,0,16,68,36,0,0,296.0,165.0,0,0,0,0,69,0,0,33,0,13.0,6.1,47.6,2019-12-04 20:15:00+00:00,90,0,15,0,44239,0.0,4,1387,4267,2880,53,2019-12-04
7,2019-12-07,Sat,16,Away,W 3–0,Liverpool,Bournemouth,Y,CB,39,0,0,0,0,0,0,0,0,53,0,0,1,0.0,0.0,0.0,1,1,43,51,5,39,0,0,0,662,266,31,35,10,11,2,4,0.0,0,3,0,0,51,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,14,39,0,0,258.0,204.0,0,0,0,0,39,0,0,9,0,0.6,1.3,12.0,2019-12-07 15:00:00+00:00,39,0,16,0,50718,0.0,1,5619,8174,2555,53,2019-12-07
8,2020-02-29,Sat,28,Away,L 0–3,Liverpool,Watford,Y,CB,90,0,0,0,0,0,0,0,0,130,3,1,1,0.0,0.0,0.0,0,0,97,119,10,92,2,0,0,1908,536,28,37,58,64,9,14,0.1,0,8,2,0,117,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,3,0,0,1,3,0,8,39,88,3,0,455.0,332.0,3,0,0,0,97,0,0,13,0,7.2,2.8,20.4,2020-02-29 17:30:00+00:00,90,0,28,0,14663,0.0,1,-45,37,82,53,2020-02-29
9,2020-06-21,Sun,30,Away,D 0–0,Liverpool,Everton,N,CB,18,0,0,0,0,1,0,0,0,21,0,1,0,0.0,0.0,0.0,0,0,13,17,1,9,0,0,0,264,81,3,3,8,10,2,4,0.0,0,2,0,0,15,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,4,15,2,2,47.0,37.0,0,0,0,0,13,0,0,4,0,0.2,2.4,4.2,2020-06-21 18:00:00+00:00,17,0,39,0,15160,20.0,1,37,304,267,53,2020-06-21
10,2018-10-07,Sun,8,Home,D 0–0,Liverpool,Manchester City,Y,CB,90,0,0,0,0,1,0,0,0,89,5,0,0,0.1,0.1,0.0,1,0,68,78,2,55,0,0,0,1420,409,16,17,42,44,8,14,0.0,0,3,1,1,76,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,2,4,2,0,0,4,0,9,50,38,2,1,251.0,174.0,0,0,0,0,66,0,3,31,1,4.3,3.0,21.6,2018-10-07 15:30:00+00:00,90,0,8,0,92054,4.0,9,-2371,324,2695,49,2018-10-07
11,2018-10-20,Sat,9,Away,W 1–0,Liverpool,Huddersfield,Y,CB,90,0,0,0,0,0,0,0,0,61,2,0,2,0.0,0.0,0.0,0,0,40,46,1,32,0,0,0,866,316,11,12,25,26,4,8,0.0,0,1,0,0,44,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,2,2,2,0,10,1,9,30,31,0,0,84.0,22.0,0,0,1,1,38,0,3,30,1,0.4,3.1,30.8,2018-10-20 16:30:00+00:00,90,0,9,0,105485,0.0,9,10775,13966,3191,49,2018-10-20
12,2018-10-27,Sat,10,Home,W 4–1,Liverpool,Cardiff City,Y,CB,90,0,0,0,0,0,0,0,0,112,1,1,1,0.0,0.0,0.0,0,0,95,104,4,70,1,0,0,1562,780,45,47,43,45,5,8,0.0,0,2,0,0,103,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,5,0,4,42,68,2,1,332.0,222.0,1,0,0,0,85,1,0,14,0,0.6,2.6,23.2,2018-10-27 14:00:00+00:00,90,0,10,0,139540,2.0,2,32079,35620,3541,49,2018-10-27
13,2018-11-24,Sat,13,Away,W 3–0,Liverpool,Watford,Y,CB,90,0,0,0,0,0,0,0,0,98,0,3,0,0.0,0.0,0.0,2,1,71,87,3,62,0,0,0,1309,402,25,30,43,49,3,6,0.1,0,4,0,0,86,1,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,39,56,3,2,297.0,182.0,1,0,1,0,68,0,0,28,1,5.8,3.2,21.8,2018-11-24 15:00:00+00:00,90,0,13,0,121589,4.0,6,-12180,1284,13464,49,2018-11-24
14,2018-12-16,Sun,17,Home,W 3–1,Liverpool,Manchester Utd,Y,CB,90,0,0,0,0,3,0,0,0,68,2,0,0,0.5,0.5,0.0,1,0,43,57,2,28,0,0,0,784,403,22,23,19,25,2,8,0.0,0,1,0,0,54,2,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,5,0,3,40,24,4,2,113.0,72.0,0,0,0,0,35,1,0,6,0,0.3,5.1,12.0,2018-12-16 16:00:00+00:00,90,0,17,0,114037,39.0,2,5203,11853,6650,49,2018-12-16
15,2018-12-21,Fri,18,Away,W 2–0,Liverpool,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,74,1,0,1,0.0,0.0,0.0,0,0,60,65,1,44,0,0,0,1311,354,11,11,36,38,12,15,0.0,0,1,0,0,63,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,1,6,0,4,35,38,1,0,154.0,74.0,0,0,0,0,55,0,0,27,1,1.4,1.8,17.0,2018-12-21 20:00:00+00:00,90,0,18,0,147146,0.0,6,31724,34289,2565,49,2018-12-21
16,2018-12-26,Wed,19,Home,W 4–0,Liverpool,Newcastle Utd,Y,CB,90,1,0,0,0,1,1,0,0,88,0,1,0,0.0,0.0,0.1,1,0,74,81,2,48,0,0,0,1544,567,19,21,48,49,6,9,0.2,1,3,0,0,81,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,28,59,1,1,146.0,87.0,0,0,0,0,65,0,3,43,1,13.8,8.1,49.8,2018-12-26 15:00:00+00:00,90,0,19,0,172930,17.0,15,24038,27572,3534,49,2018-12-26
17,2018-12-29,Sat,20,Home,W 5–1,Liverpool,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,56,0,0,2,0.0,0.0,0.0,1,1,41,50,2,37,0,0,0,734,303,18,18,21,24,2,8,0.0,0,0,0,0,49,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,4,34,22,0,0,148.0,90.0,0,0,0,0,40,0,0,21,0,0.1,1.4,12.2,2018-12-29 17:30:00+00:00,90,0,20,0,184349,2.0,5,11254,18870,7616,49,2018-12-29
18,2019-01-03,Thu,21,Away,L 1–2,Liverpool,Manchester City,Y,CB,90,0,0,0,0,0,0,1,0,89,1,1,0,0.0,0.0,0.0,0,0,64,82,3,55,0,0,0,1106,304,19,24,41,47,1,7,0.0,0,2,1,0,80,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4,1,6,50,38,1,0,251.0,90.0,0,0,1,0,61,0,0,7,0,0.3,0.9,8.4,2019-01-03 20:00:00+00:00,90,0,21,0,200581,0.0,0,15395,27955,12560,49,2019-01-03
19,2019-03-31,Sun,32,Home,W 2–1,Liverpool,Tottenham,N,"CB,FW",1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2019-03-31 15:30:00+00:00,1,0,32,0,94307,0.0,1,-528,324,852,49,2019-03-31
20,2019-04-05,Fri,33,Away,W 3–1,Liverpool,Southampton,N,LM,3,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.1,1.0,2019-04-05 19:00:00+00:00,2,0,33,0,94460,0.0,1,-162,250,412,49,2019-04-05
21,2019-04-26,Fri,36,Home,W 5–0,Liverpool,Huddersfield,Y,CB,90,0,0,0,0,1,0,0,0,116,2,3,3,0.1,0.1,0.0,0,0,90,101,2,82,1,1,0,1459,642,44,45,43,49,3,7,0.0,0,3,0,0,96,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,1,2,0,7,58,56,2,1,446.0,326.0,0,0,0,0,83,0,0,31,1,0.8,3.3,28.4,2019-04-26 19:00:00+00:00,90,0,36,0,92936,4.0,6,-663,51,714,49,2019-04-26
22,2019-05-04,Sat,37,Away,W 3–2,Liverpool,Newcastle Utd,Y,CB,82,0,0,0,0,0,0,0,0,88,1,1,2,0.0,0.0,0.0,0,0,69,77,5,61,0,0,0,1316,381,20,24,43,46,4,5,0.0,0,2,0,0,76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,0,5,0,8,27,62,0,0,320.0,214.0,0,0,0,0,63,0,0,14,0,1.3,3.1,29.6,2019-05-04 18:45:00+00:00,83,0,37,0,93660,0.0,1,565,835,270,49,2019-05-04
23,2017-08-12,Sat,1,Away,D 3–3,Liverpool,Watford,Y,CB,90,0,0,0,0,1,1,0,0,76,1,2,1,0.1,0.1,0.0,1,0,56,67,7,34,1,0,0,1072,426,17,21,35,39,4,7,0.0,1,4,0,0,63,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,1,0,4,0,3,40,35,1,1,190.0,138.0,0,0,0,0,44,0,0,17,0,10.3,5.6,28.8,2017-08-12 11:30:00+00:00,90,0,1,0,80102,17.0,1,0,0,0,55,2017-08-12
24,2017-08-19,Sat,2,Home,W 1–0,Liverpool,Crystal Palace,N,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2017-08-19 14:00:00+00:00,1,0,2,0,89903,0.0,1,-2920,4684,7604,55,2017-08-19
25,2017-08-27,Sun,3,Home,W 4–0,Liverpool,Arsenal,Y,CB,90,0,0,0,0,0,0,1,0,70,2,1,1,0.0,0.0,0.0,0,0,55,61,1,45,0,0,0,1031,305,16,16,36,37,3,8,0.0,0,0,0,0,59,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3,0,5,34,35,1,1,147.0,50.0,0,0,0,0,57,0,0,21,1,0.1,1.6,13.6,2017-08-27 15:00:00+00:00,90,0,3,0,78391,2.0,5,-13291,608,13899,55,2017-08-27
26,2017-09-23,Sat,6,Away,W 3–2,Liverpool,Leicester City,Y,CB,90,0,0,0,0,1,0,1,0,59,2,1,0,0.1,0.1,0.0,0,0,32,49,2,21,0,0,0,551,212,9,12,21,28,1,7,0.0,0,3,0,0,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0,6,0,5,38,19,2,1,75.0,43.0,0,0,1,0,34,0,0,7,0,0.4,1.8,14.0,2017-09-23 16:30:00+00:00,90,0,6,0,55619,4.0,0,-15086,239,15325,54,2017-09-23
27,2017-10-01,Sun,7,Away,D 1–1,Liverpool,Newcastle Utd,Y,CB,90,0,0,0,0,1,0,0,0,106,1,1,0,0.1,0.1,0.0,2,0,86,97,9,55,1,0,0,1805,695,18,20,58,63,10,14,0.0,0,6,0,0,94,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,2,33,73,2,2,307.0,198.0,1,0,0,0,74,0,0,12,0,1.4,4.6,24.8,2017-10-01 15:30:00+00:00,90,0,7,0,51429,20.0,2,-4577,608,5185,54,2017-10-01
28,2017-10-14,Sat,8,Home,D 0–0,Liverpool,Manchester Utd,Y,CB,90,0,0,0,0,1,0,0,0,91,2,1,0,0.1,0.1,0.0,0,0,69,76,0,50,2,0,0,1312,519,25,25,38,41,5,9,0.0,0,3,0,0,73,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,12,0,7,49,40,2,1,211.0,154.0,0,0,0,0,62,0,1,30,1,0.5,3.4,29.0,2017-10-14 11:30:00+00:00,90,0,8,0,47673,4.0,7,-4055,284,4339,54,2017-10-14
29,2017-10-22,Sun,9,Away,L 1–4,Liverpool,Tottenham,Y,CB,30,0,0,0,0,0,0,0,0,32,0,1,1,0.0,0.0,0.0,0,0,23,26,0,18,0,0,0,568,214,2,3,18,18,3,5,0.0,0,0,0,0,25,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,23,9,0,0,79.0,28.0,0,0,0,0,21,0,0,2,0,0.0,0.8,8.0,2017-10-22 15:00:00+00:00,31,0,9,0,48522,0.0,0,446,1571,1125,54,2017-10-22
30,2017-11-04,Sat,11,Away,W 4–1,Liverpool,West Ham,N,"AM,CB",4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,0,0,0,0,0,22,4,0,0,1,2,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.2,2.2,2017-11-04 17:30:00+00:00,3,0,11,0,41767,0.0,1,-4654,105,4759,54,2017-11-04
31,2017-11-18,Sat,12,Home,W 3–0,Liverpool,Southampton,Y,CB,90,0,0,0,0,0,0,1,0,76,0,2,3,0.0,0.0,0.0,2,0,56,63,2,26,0,0,0,1162,548,18,19,29,33,9,11,0.0,0,2,0,0,60,3,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,0,6,45,31,0,0,104.0,60.0,0,0,0,0,48,0,0,22,1,0.5,2.5,24.6,2017-11-18 15:00:00+00:00,90,0,12,0,41632,0.0,5,-436,975,1411,53,2017-11-18
32,2017-11-29,Wed,14,Away,W 3–0,Liverpool,Stoke City,Y,CB,90,0,0,0,0,0,0,0,0,77,0,1,2,0.0,0.0,0.0,0,0,61,66,2,53,1,0,0,1006,388,28,28,32,33,1,5,0.0,0,1,0,0,65,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,0,4,36,41,0,0,222.0,114.0,0,0,0,0,58,0,0,30,1,0.5,2.8,27.0,2017-11-29 20:00:00+00:00,90,0,14,0,39856,0.0,6,-1928,125,2053,53,2017-11-29
33,2017-12-02,Sat,15,Away,W 5–1,Liverpool,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,96,1,2,0,0.0,0.0,0.0,0,0,81,89,1,58,0,0,0,1538,626,29,29,44,46,8,14,0.0,0,3,0,0,88,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,5,0,5,48,48,0,0,279.0,161.0,0,0,0,0,73,0,0,20,0,0.9,2.1,20.0,2017-12-02 15:00:00+00:00,90,0,15,0,41464,0.0,2,1379,2113,734,53,2017-12-02
34,2017-12-10,Sun,16,Home,D 1–1,Liverpool,Everton,Y,CB,90,0,0,0,0,1,0,1,0,80,1,2,0,0.1,0.1,0.0,1,0,69,76,2,58,1,0,0,1308,636,18,19,47,51,3,5,0.0,0,0,0,0,73,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,6,44,35,2,1,256.0,150.0,1,0,0,0,56,0,0,9,0,0.5,1.3,8.4,2017-12-10 14:15:00+00:00,90,0,16,0,44766,4.0,1,2705,3969,1264,53,2017-12-10
35,2017-12-13,Wed,17,Home,D 0–0,Liverpool,West Brom,Y,CB,90,0,0,0,0,0,0,0,0,112,0,2,2,0.0,0.0,0.1,1,0,95,103,9,83,3,0,0,1684,603,36,36,52,56,6,10,0.0,1,13,0,0,102,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,4,31,79,2,0,530.0,463.0,1,0,0,0,85,0,0,27,1,12.7,3.9,26.4,2017-12-13 20:00:00+00:00,90,0,17,0,45897,0.0,6,827,2168,1341,53,2017-12-13
36,2017-12-17,Sun,18,Away,W 4–0,Liverpool,Bournemouth,Y,CB,90,1,0,0,0,1,1,0,0,99,1,1,0,0.3,0.3,0.0,0,0,86,95,4,64,0,0,0,1698,540,25,26,50,54,10,14,0.0,0,5,1,0,92,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,3,0,2,57,39,3,1,261.0,174.0,0,0,0,0,80,1,1,38,1,1.1,8.6,51.8,2017-12-17 16:30:00+00:00,90,0,18,0,48098,33.0,13,1782,2881,1099,53,2017-12-17
37,2017-12-22,Fri,19,Away,D 3–3,Liverpool,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,62,4,3,1,0.0,0.0,0.0,0,0,31,43,2,29,0,0,0,619,184,9,11,17,21,5,8,0.0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,2,0,0,1,10,0,6,28,32,2,2,105.0,50.0,1,0,1,0,31,0,0,20,0,0.2,3.5,30.8,2017-12-22 19:45:00+00:00,90,0,19,0,63301,4.0,1,13373,16095,2722,53,2017-12-22
