,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-13,Fri,1,Away,L 0–2,Arsenal,Brentford,Y,CB,90,0,0,0,0,1,0,0,0,72,1,1,0,0.1,0.1,0.0,1,0,50,60,7,48,0,0,0,959,250,18,22,29,29,3,8,0.0,0,5,0,0,59,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,2,0,0,7,0,5,25,46,1,1,251.0,155.0,0,0,1,0,48,0,0,14,0,1.3,2.5,16.6,2021-08-13 19:00:00+00:00,90,0,1,0,9359,7.0,1,0,0,0,45,2021-08-13
1,2021-08-22,Sun,2,Home,L 0–2,Arsenal,Chelsea,Y,CB,90,0,0,0,0,0,0,1,0,48,4,2,5,0.0,0.0,0.1,1,0,29,32,2,20,0,0,0,478,231,15,15,11,12,2,3,0.3,1,1,0,0,32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,3,1,4,1,3,0,9,21,25,3,2,112.0,47.0,0,0,1,0,19,0,0,21,0,11.0,5.4,38.8,2021-08-22 15:30:00+00:00,90,0,2,0,12789,4.0,0,-1056,849,1905,45,2021-08-22
2,2020-12-26,Sat,15,Home,W 3–1,Arsenal,Chelsea,Y,CB,90,0,0,0,0,0,0,1,0,42,2,1,1,0.0,0.0,0.0,0,0,19,30,1,16,0,0,0,349,121,7,7,9,13,3,10,0.0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,1,0,7,0,8,28,14,0,0,67.0,13.0,0,0,0,0,19,0,0,5,0,0.1,1.4,14.0,2020-12-26 17:30:00+00:00,90,0,15,0,1047,0.0,1,-26,88,114,44,2020-12-26
3,2020-12-29,Tue,16,Away,W 1–0,Arsenal,Brighton,Y,CB,90,0,0,0,0,1,0,0,0,84,1,0,4,0.0,0.0,0.0,1,0,67,74,3,57,1,0,0,1412,379,16,18,40,40,11,15,0.0,1,2,0,0,73,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,1,2,0,11,33,50,1,1,221.0,136.0,0,0,0,0,61,0,1,29,1,10.8,4.1,26.4,2020-12-29 18:00:00+00:00,90,0,16,0,3105,4.0,7,1883,2047,164,44,2020-12-29
4,2021-01-02,Sat,17,Away,W 4–0,Arsenal,West Brom,Y,CB,90,0,0,0,0,0,0,0,0,88,2,0,0,0.0,0.0,0.0,0,0,71,82,3,65,1,0,0,1412,519,19,20,46,52,5,9,0.0,0,1,0,0,81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,7,59,28,1,0,243.0,150.0,1,0,1,0,70,0,0,29,1,0.8,1.9,18.6,2021-01-02 20:00:00+00:00,90,0,17,0,11068,0.0,6,7658,8505,847,44,2021-01-02
5,2021-02-21,Sun,25,Home,L 0–1,Arsenal,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,62,1,0,1,0.0,0.0,0.0,0,0,53,59,2,51,0,2,2,854,293,28,29,20,23,3,5,0.0,0,0,0,0,58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,1,0,0,1,9,40,21,1,0,193.0,131.0,1,0,0,0,52,0,0,14,0,0.3,1.0,10.0,2021-02-21 16:30:00+00:00,90,0,25,0,5384,0.0,2,-395,136,531,44,2021-02-21
6,2021-02-28,Sun,26,Away,W 3–1,Arsenal,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,62,1,1,0,0.0,0.0,0.2,1,0,46,57,0,29,0,0,0,871,273,15,16,27,30,4,10,0.3,1,1,0,0,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,3,37,24,1,1,152.0,105.0,0,0,0,0,47,0,0,14,0,10.4,2.7,14.2,2021-02-28 12:00:00+00:00,90,0,26,0,5222,2.0,2,-219,335,554,44,2021-02-28
7,2021-03-06,Sat,27,Away,D 1–1,Arsenal,Burnley,Y,CB,90,0,0,0,0,1,0,0,0,79,2,1,0,0.0,0.0,0.0,0,0,62,71,2,44,0,0,0,944,283,34,36,24,27,4,8,0.0,0,2,0,0,69,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,9,41,36,2,0,205.0,125.0,1,0,0,0,51,0,0,14,0,0.8,2.7,18.4,2021-03-06 12:30:00+00:00,90,0,27,0,6468,8.0,2,1069,1445,376,44,2021-03-06
8,2021-03-21,Sun,29,Away,D 3–3,Arsenal,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,83,2,3,0,0.0,0.0,0.0,0,0,62,75,4,59,2,0,0,866,329,34,41,24,24,2,7,0.0,0,2,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,3,0,5,36,46,2,1,387.0,301.0,1,0,0,0,58,0,0,13,0,1.7,2.1,16.8,2021-03-21 15:00:00+00:00,90,0,29,0,6614,2.0,1,-271,345,616,44,2021-03-21
9,2021-04-11,Sun,31,Away,W 3–0,Arsenal,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,1,0,65,1,0,0,0.0,0.0,0.0,1,0,57,61,0,46,0,1,1,1058,368,19,19,33,33,4,7,0.0,0,0,0,0,60,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,12,33,32,0,0,223.0,123.0,0,0,0,0,55,0,0,24,1,0.2,1.3,12.4,2021-04-11 18:00:00+00:00,90,0,31,0,6487,0.0,5,-197,423,620,44,2021-04-11
