,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-11-07,Sun,11,Home,W 3–2,West Ham,Liverpool,N,LW,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,0,2,0,1,0,13,14,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6.0,4.0,0,0,0,0,1,1,0,2,0,0.0,0.0,0.2,2021-11-07 16:30:00+00:00,4,0,11,0,3863,0.0,1,-103,75,178,44,2021-11-07
1,2021-11-28,Sun,13,Away,L 1–2,West Ham,Manchester City,Y,LW,73,0,0,0,0,0,0,0,0,33,2,1,0,0.0,0.0,0.0,0,0,19,26,2,17,2,2,1,303,98,10,12,7,11,2,2,0.0,0,4,0,0,24,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,5,19,9,0,108.0,73.0,2,0,2,0,17,0,0,13,0,1.8,1.0,7.8,2021-11-28 14:00:00+00:00,73,0,13,0,3953,0.0,2,-95,81,176,44,2021-11-28
2,2021-12-01,Wed,14,Home,D 1–1,West Ham,Brighton,N,LW,14,0,0,0,0,0,0,0,0,19,1,1,0,0.0,0.0,0.0,1,0,12,14,2,7,0,1,0,165,48,8,8,3,5,1,1,0.0,0,0,1,0,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,4,14,1,30.0,14.0,0,0,1,0,12,2,0,3,0,2.4,0.8,3.2,2021-12-01 19:30:00+00:00,13,0,14,0,4112,2.0,1,126,220,94,44,2021-12-01
3,2021-12-04,Sat,15,Home,W 3–2,West Ham,Chelsea,N,"WB,LB",46,1,0,0,0,1,1,0,0,36,5,0,1,0.0,0.0,0.0,1,1,19,27,1,13,1,1,1,261,112,11,13,7,9,0,2,0.0,0,1,0,0,17,9,2,0,0,1,7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,4,1,0,3,4,1,1,0,2,0,5,10,19,7,0,70.0,32.0,0,0,0,0,15,0,0,20,0,0.9,6.1,53.2,2021-12-04 12:30:00+00:00,45,0,15,0,4147,7.0,7,-6,154,160,44,2021-12-04
4,2021-12-12,Sun,16,Away,D 0–0,West Ham,Burnley,Y,LB,90,0,0,0,0,1,0,0,0,71,2,0,0,0.0,0.0,0.0,1,0,50,64,7,46,3,5,5,596,201,29,34,14,17,1,5,0.0,0,5,1,0,59,5,1,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,2,0,3,22,30,20,2,181.0,103.0,1,2,1,0,46,4,3,30,1,4.8,2.8,14.2,2021-12-12 14:00:00+00:00,90,0,16,0,10903,9.0,9,5442,6013,571,44,2021-12-12
5,2021-12-15,Wed,17,Away,L 0–2,West Ham,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,71,6,4,2,0.0,0.0,0.0,1,0,39,55,2,30,0,2,2,553,119,21,25,12,20,3,4,0.0,1,1,0,0,44,11,0,0,0,2,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,3,5,2,0,2,3,0,4,22,33,16,1,99.0,39.0,1,0,2,1,35,2,0,20,0,13.8,4.1,25.4,2021-12-15 20:00:00+00:00,90,0,17,0,15903,2.0,1,5402,6285,883,44,2021-12-15
6,2021-12-26,Sun,19,Home,L 2–3,West Ham,Southampton,Y,LB,90,0,0,0,0,1,0,0,0,80,4,1,2,0.0,0.0,0.0,1,0,53,69,7,23,3,0,0,864,358,31,33,15,18,6,14,0.0,0,8,1,1,62,7,1,0,0,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,3,0,2,2,0,2,26,27,28,1,119.0,94.0,2,1,0,0,41,7,0,16,0,9.4,3.0,18.0,2021-12-26 15:00:00+00:00,90,0,19,0,38756,3.0,1,9064,10947,1883,44,2021-12-26
7,2021-12-28,Tue,20,Away,W 4–1,West Ham,Watford,N,LB,9,0,0,0,0,0,0,0,0,9,2,1,0,0.0,0.0,0.0,0,0,5,7,2,5,0,0,0,78,44,2,2,1,2,1,2,0.0,0,1,1,0,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,3,2,4,0,24.0,12.0,0,0,0,0,4,1,0,7,0,0.8,0.6,5.4,2021-12-28 15:00:00+00:00,8,0,20,0,31944,0.0,1,2796,5138,2342,44,2021-12-28
8,2022-01-01,Sat,21,Away,W 3–2,West Ham,Crystal Palace,N,LB,45,0,0,0,0,0,0,1,0,37,6,1,2,0.0,0.0,0.0,1,0,16,24,1,22,2,0,0,232,85,9,9,6,9,0,3,0.0,0,4,0,0,19,4,1,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,4,5,1,0,2,3,0,4,12,21,4,0,97.0,39.0,0,0,1,1,18,0,0,3,0,0.8,1.7,15.8,2022-01-01 17:30:00+00:00,45,0,21,0,44042,0.0,-1,11752,17241,5489,44,2022-01-01
9,2022-01-12,Wed,18,Home,W 2–0,West Ham,Norwich City,N,LW,13,0,1,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.8,1,1,7,8,2,6,3,0,0,124,20,5,5,1,2,1,1,0.6,1,1,0,0,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,57.0,42.0,0,1,0,1,10,2,0,15,0,11.4,3.5,17.6,2022-01-12 19:45:00+00:00,12,0,21,0,44042,6.0,4,11752,17241,5489,44,2022-01-12
