,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–2,Nott'ham Forest,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,32,2,2,0,0.0,0.0,0.0,0,0,13,21,0,10,0,0,0,248,121,5,6,6,11,2,4,0.0,0,0,0,0,17,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,4,14,17,1,0,29.0,13.0,0,0,0,0,10,0,0,8,0,0.3,1.2,12.0,2023-08-12 12:00:00+00:00,90,0,1,0,6801,0.0,1,0,0,0,45,2023-08-12
1,2023-08-18,Fri,2,Home,W 2–1,Nott'ham Forest,Sheffield Utd,Y,CB,90,0,0,0,0,1,0,0,0,71,2,1,1,0.2,0.2,0.0,0,0,37,57,4,28,1,0,0,753,337,9,13,22,34,6,10,0.0,0,5,0,0,49,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,1,6,0,9,27,42,3,1,128.0,60.0,0,0,2,0,27,0,0,12,0,0.8,2.5,17.2,2023-08-18 18:45:00+00:00,90,0,2,0,9642,7.0,2,777,1756,979,45,2023-08-18
2,2023-08-26,Sat,3,Away,L 2–3,Nott'ham Forest,Manchester Utd,Y,CB,56,0,0,0,0,0,0,0,0,39,0,1,2,0.0,0.0,0.0,0,0,21,27,0,14,0,0,0,472,295,6,8,12,15,3,4,0.0,0,2,1,0,25,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,11,33,4,2,1,66.0,53.0,0,0,0,0,15,0,0,7,0,0.2,2.0,18.0,2023-08-26 14:00:00+00:00,56,0,3,0,8663,2.0,0,-1454,214,1668,45,2023-08-26
3,2023-09-02,Sat,4,Away,W 1–0,Nott'ham Forest,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,30,0,0,2,0.0,0.0,0.1,1,0,16,21,2,11,0,0,0,317,225,3,4,12,15,1,2,0.1,2,0,1,0,18,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,6,23,5,2,1,58.0,21.0,0,0,1,0,9,0,1,24,1,20.3,4.6,24.0,2023-09-02 14:00:00+00:00,90,0,4,0,7088,2.0,7,-1693,39,1732,45,2023-09-02
4,2023-09-18,Mon,5,Home,D 1–1,Nott'ham Forest,Burnley,Y,CB,90,0,0,0,0,1,0,0,0,72,0,1,1,0.0,0.0,0.0,1,0,50,60,4,39,0,0,0,979,302,15,17,30,34,5,8,0.1,1,3,1,0,59,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,13,45,24,3,2,84.0,30.0,0,0,0,0,46,0,0,13,0,10.8,3.5,17.8,2023-09-18 18:45:00+00:00,90,0,5,0,9493,6.0,2,867,1294,427,45,2023-09-18
5,2022-08-06,Sat,1,Away,L 0–2,Nott'ham Forest,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,40,0,1,3,0.0,0.0,0.0,0,0,22,29,1,18,0,2,1,442,209,3,5,18,20,1,4,0.0,0,2,0,0,25,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,12,26,13,1,1,65.0,16.0,1,0,1,1,23,0,0,9,0,0.2,2.9,26.8,2022-08-06 14:00:00+00:00,90,0,1,0,10896,2.0,1,0,0,0,45,2022-08-06
6,2022-08-14,Sun,2,Home,W 1–0,Nott'ham Forest,West Ham,Y,CB,90,0,0,0,0,0,0,1,0,36,0,1,2,0.0,0.0,0.0,0,0,13,27,1,9,0,1,0,219,124,7,12,5,11,1,3,0.0,0,1,0,0,21,5,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,5,20,11,5,1,36.0,12.0,0,0,0,0,9,0,0,12,1,0.5,0.6,5.6,2022-08-14 13:00:00+00:00,90,0,2,0,11158,0.0,5,-1144,289,1433,45,2022-08-14
7,2022-08-20,Sat,3,Away,D 1–1,Nott'ham Forest,Everton,Y,CB,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,33,47,1,25,1,1,1,586,178,15,16,16,23,2,7,0.0,0,2,0,0,45,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,18,30,1,1,113.0,67.0,0,0,0,0,28,1,0,10,0,0.8,0.7,4.6,2022-08-20 14:00:00+00:00,90,0,3,0,11885,2.0,2,-222,1103,1325,45,2022-08-20
8,2022-08-28,Sun,4,Home,L 0–2,Nott'ham Forest,Tottenham,Y,CB,90,0,0,0,0,0,0,1,0,74,3,0,3,0.0,0.0,0.1,2,0,58,65,6,25,1,0,0,1131,402,19,22,36,39,3,4,0.1,2,7,2,1,60,5,2,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,2,1,3,0,8,24,43,7,1,69.0,42.0,0,0,0,0,49,0,0,17,0,26.3,5.7,28.8,2022-08-28 15:30:00+00:00,90,0,4,0,12085,2.0,0,-641,534,1175,45,2022-08-28
9,2022-08-31,Wed,5,Away,L 0–6,Nott'ham Forest,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,36,2,2,2,0.0,0.0,0.0,0,0,18,25,1,12,0,0,0,303,105,10,10,7,9,1,6,0.0,0,0,0,0,23,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,1,1,5,0,8,22,12,2,0,39.0,15.0,0,0,0,0,15,0,0,11,0,0.3,1.9,19.0,2022-08-31 18:30:00+00:00,90,0,5,0,11895,0.0,-1,-801,306,1107,45,2022-08-31
