,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-08-11,Sun,1,Away,W 1–0,Arsenal,Newcastle Utd,Y,LB,90,0,0,0,0,0,0,0,0,99,1,1,0,0.0,0.0,0.3,1,0,87,92,8,57,1,2,0,1148,387,61,63,24,26,2,3,0.1,1,1,1,0,78,14,1,0,0,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,2,0,2,27,47,26,2,196.0,132.0,2,1,0,0,71,4,1,27,1,15.6,3.4,14.0,2019-08-11 13:00:00+00:00,90,0,1,0,56083,4.0,7,0,0,0,50,2019-08-11
1,2019-08-17,Sat,2,Home,W 2–1,Arsenal,Burnley,Y*,"LB,CB",90,0,0,0,0,0,0,0,0,74,0,0,1,0.0,0.0,0.1,3,0,53,64,3,40,3,2,2,724,295,32,38,16,18,1,1,0.0,2,3,0,0,61,2,0,0,1,2,2,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,9,31,25,18,2,179.0,113.0,1,2,1,0,51,6,0,18,0,24.0,5.1,23.2,2019-08-17 11:30:00+00:00,90,0,2,0,79442,4.0,2,8069,13820,5751,50,2019-08-17
2,2019-08-24,Sat,3,Away,L 1–3,Arsenal,Liverpool,Y,LB,90,0,0,0,0,1,0,0,0,60,0,2,2,0.0,0.0,0.0,0,0,38,51,1,31,0,0,0,525,220,22,25,13,16,1,5,0.0,0,2,0,0,41,10,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,5,30,17,13,1,133.0,50.0,1,0,2,1,37,4,0,9,0,1.2,1.5,10.0,2019-08-24 16:30:00+00:00,90,0,3,0,78265,4.0,1,-4490,7056,11546,50,2019-08-24
3,2018-08-18,Sat,2,Away,L 2–3,Arsenal,Chelsea,Y,LB,90,0,0,0,0,1,0,0,0,55,0,1,1,0.1,0.1,0.1,4,1,38,44,6,29,2,2,0,570,188,19,19,18,22,0,1,0.1,1,1,2,1,35,9,2,0,0,2,7,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,4,0,3,17,23,17,3,106.0,65.0,2,0,2,0,33,6,0,14,0,16.2,5.3,15.2,2018-08-18 16:30:00+00:00,90,0,2,0,36147,22.0,1,-9556,407,9963,55,2018-08-18
4,2018-08-25,Sat,3,Home,W 3–1,Arsenal,West Ham,Y,LB,90,1,0,0,0,1,1,0,0,58,3,0,0,0.6,0.6,0.0,2,0,45,50,3,24,1,0,0,570,196,27,29,16,17,0,0,0.0,0,1,0,0,42,8,1,0,0,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3,4,1,0,0,1,0,0,12,33,13,3,92.0,62.0,3,0,1,0,34,5,2,27,0,2.9,11.4,43.4,2018-08-25 14:00:00+00:00,90,0,3,0,46967,68.0,10,7407,13108,5701,55,2018-08-25
5,2018-09-02,Sun,4,Away,W 3–2,Arsenal,Cardiff City,Y,LB,90,0,0,0,0,2,2,1,0,81,1,1,1,0.5,0.5,0.0,3,0,58,68,4,39,1,1,1,781,296,32,36,18,19,2,6,0.0,0,2,1,0,54,14,2,0,0,3,12,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5,0,4,23,28,31,4,96.0,35.0,0,0,1,0,51,10,0,9,0,5.8,5.5,18.8,2018-09-02 12:30:00+00:00,90,0,4,0,105115,30.0,0,45778,55182,9404,55,2018-09-02
6,2018-09-15,Sat,5,Away,W 2–1,Arsenal,Newcastle Utd,Y,LB,90,0,0,0,0,0,0,0,0,85,1,1,2,0.0,0.0,0.0,1,0,63,74,3,30,1,1,0,739,254,46,49,11,16,2,2,0.0,0,1,1,0,64,10,0,0,0,2,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6,0,4,23,38,24,1,91.0,50.0,2,0,0,0,53,9,0,12,0,5.2,2.6,19.0,2018-09-15 14:00:00+00:00,90,0,5,0,106453,2.0,2,471,16803,16332,55,2018-09-15
7,2018-09-23,Sun,6,Home,W 2–0,Arsenal,Everton,Y,LB,90,0,0,0,0,1,1,0,0,83,4,2,2,0.1,0.1,0.0,2,0,61,73,5,37,1,1,0,705,222,37,40,14,20,2,3,0.0,1,4,1,0,54,19,1,0,0,3,18,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,3,0,1,1,3,2,0,2,0,0,1,14,29,40,4,102.0,39.0,0,0,0,2,47,10,0,20,1,15.2,5.4,15.4,2018-09-23 15:00:00+00:00,90,0,6,0,110773,23.0,6,2757,12157,9400,55,2018-09-23
8,2018-09-29,Sat,7,Home,W 2–0,Arsenal,Watford,Y,LB,90,0,0,0,0,1,0,0,0,85,1,0,1,0.0,0.0,0.0,1,0,60,75,2,52,3,1,1,679,237,46,51,13,18,0,3,0.0,1,1,1,0,65,10,0,0,0,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,5,0,5,22,27,36,5,192.0,108.0,0,0,1,0,55,8,0,22,1,16.5,4.2,13.4,2018-09-29 14:00:00+00:00,90,0,7,0,129735,12.0,6,14712,19891,5179,55,2018-09-29
9,2018-10-07,Sun,8,Away,W 5–1,Arsenal,Fulham,Y,LB,90,0,1,0,0,0,0,0,0,75,3,1,0,0.0,0.0,0.3,2,1,49,64,3,25,0,0,0,681,267,28,30,17,24,1,4,0.1,1,0,0,0,49,15,2,0,0,0,13,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,0,1,1,0,0,4,0,3,35,26,14,2,91.0,40.0,2,1,1,0,40,4,0,20,0,13.3,4.1,24.0,2018-10-07 11:00:00+00:00,90,0,8,0,137768,4.0,5,7587,13052,5465,55,2018-10-07
10,2018-12-08,Sat,16,Home,W 1–0,Arsenal,Huddersfield,N,CB,25,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,14,15,3,8,0,0,0,273,80,3,4,10,10,1,1,0.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,2,5,11,1,0,43.0,27.0,0,0,0,0,10,0,0,3,0,0.4,0.4,4.0,2018-12-08 15:00:00+00:00,24,0,16,0,50340,0.0,1,-2299,265,2564,54,2018-12-08
