,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-08-10,Sat,1,Away,W 3–0,Brighton,Watford,Y,"RM,RB",90,0,0,0,0,0,0,0,0,63,2,1,1,0.0,0.0,0.1,2,1,32,50,5,29,2,3,1,498,219,21,28,7,16,4,4,0.1,1,3,2,0,42,8,1,0,0,2,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,2,0,1,20,21,22,1,159.0,62.0,2,0,4,3,37,8,0,21,1,12.6,2.8,13.0,2019-08-10 14:00:00+00:00,90,0,1,0,33714,2.0,6,0,0,0,45,2019-08-10
1,2019-08-17,Sat,2,Home,D 1–1,Brighton,West Ham,Y,RM,90,0,0,0,0,0,0,0,0,85,4,0,0,0.0,0.0,0.2,1,0,57,70,1,41,7,2,0,964,259,33,40,17,20,7,9,0.3,1,0,3,3,57,13,1,0,1,4,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,4,2,0,0,2,0,1,13,45,27,1,282.0,201.0,3,0,5,2,58,10,0,11,0,26.0,4.7,19.4,2019-08-17 14:00:00+00:00,90,0,2,0,50184,2.0,2,8345,12095,3750,45,2019-08-17
2,2019-08-24,Sat,3,Home,L 0–2,Brighton,Southampton,Y,"RB,RM",90,0,0,0,0,1,0,1,0,60,2,4,1,0.1,0.1,0.0,0,0,34,51,1,23,2,1,1,547,190,18,23,15,22,1,5,0.0,0,0,0,0,38,13,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,1,24,25,12,4,134.0,60.0,1,0,1,0,28,4,0,8,0,1.8,2.0,8.0,2019-08-24 14:00:00+00:00,90,0,3,0,66000,10.0,0,11863,23262,11399,45,2019-08-24
3,2019-08-31,Sat,4,Away,L 0–4,Brighton,Manchester City,Y,RM,90,0,0,0,0,0,0,0,0,67,6,0,1,0.0,0.0,0.1,1,0,49,56,5,31,1,0,0,870,240,25,25,19,21,5,7,0.4,1,2,3,1,47,8,2,0,1,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,3,4,1,0,1,3,0,4,22,31,17,1,161.0,115.0,2,0,0,1,46,7,0,12,0,17.4,4.0,20.2,2019-08-31 14:00:00+00:00,90,0,4,0,59252,2.0,0,-6276,3703,9979,45,2019-08-31
4,2019-09-21,Sat,6,Away,D 0–0,Brighton,Newcastle Utd,Y,RM,90,0,0,0,0,0,0,0,0,69,2,1,1,0.0,0.0,0.0,2,0,47,63,8,40,3,1,1,754,218,30,33,11,15,5,9,0.0,0,3,1,0,55,8,0,0,1,2,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,2,1,0,1,0,2,13,33,24,1,134.0,82.0,1,1,1,1,47,6,0,20,1,4.1,2.1,15.2,2019-09-21 16:30:00+00:00,90,0,6,0,50983,2.0,6,-7281,436,7717,45,2019-09-21
5,2019-09-28,Sat,7,Away,L 0–2,Brighton,Chelsea,Y,"RB,WB",90,0,0,0,0,0,0,0,0,67,4,2,0,0.0,0.0,0.1,2,0,43,53,2,31,3,2,0,735,161,25,31,13,16,5,6,0.0,2,0,1,0,45,8,0,1,3,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,2,0,0,0,2,0,4,23,29,15,0,180.0,105.0,2,0,3,0,43,5,0,14,0,25.3,4.4,18.4,2019-09-28 14:00:00+00:00,90,0,7,0,47122,0.0,1,-4349,861,5210,45,2019-09-28
6,2019-10-05,Sat,8,Home,W 3–0,Brighton,Tottenham,Y,"RB,RM,WB",90,0,0,0,0,1,0,0,0,72,4,1,1,0.0,0.0,0.0,2,0,46,58,7,32,2,1,0,666,215,29,33,15,17,2,6,0.1,0,3,3,0,51,7,0,0,0,1,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,2,0,1,0,0,2,12,36,24,1,173.0,111.0,1,0,1,1,47,6,0,15,1,4.1,2.3,8.4,2019-10-05 11:30:00+00:00,90,0,8,0,44570,10.0,6,-2819,535,3354,45,2019-10-05
7,2019-10-19,Sat,9,Away,L 1–2,Brighton,Aston Villa,Y,RB,69,0,0,0,0,2,1,1,0,55,2,0,0,0.3,0.3,0.1,4,1,40,48,4,25,5,1,1,678,220,17,21,21,24,2,2,0.2,1,1,3,1,42,6,0,0,0,2,6,0,0,3,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,1,3,2,0,0,2,0,2,15,14,27,2,178.0,110.0,5,0,0,0,35,5,0,10,0,18.8,5.0,11.0,2019-10-19 14:00:00+00:00,69,0,9,0,45708,20.0,1,405,2771,2366,45,2019-10-19
8,2019-10-26,Sat,10,Home,W 3–2,Brighton,Everton,Y,RB,65,0,0,0,0,0,0,0,0,54,1,1,0,0.0,0.0,0.0,0,0,34,46,3,25,1,1,0,450,213,22,28,11,13,1,5,0.0,0,3,0,0,38,8,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,1,0,1,19,18,17,1,108.0,64.0,2,0,3,1,38,4,0,5,0,2.5,0.9,4.6,2019-10-26 14:00:00+00:00,65,0,10,0,45123,2.0,2,-681,941,1622,45,2019-10-26
9,2019-11-02,Sat,11,Home,W 2–0,Brighton,Norwich City,Y,RB,90,0,1,0,0,0,0,0,0,78,4,4,1,0.0,0.0,0.4,2,0,58,67,7,32,1,1,1,1021,376,32,36,17,18,8,10,0.1,2,7,1,0,58,9,0,0,1,2,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,3,2,0,1,1,0,3,16,35,28,2,143.0,81.0,0,0,0,0,44,7,3,50,1,29.1,7.3,39.6,2019-11-02 15:00:00+00:00,90,0,11,0,45117,4.0,12,-343,1665,2008,45,2019-11-02
