,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2024-02-03,Sat,23,Away,L 1–4,Crystal Palace,Brighton,Y,RB,90,0,0,0,0,0,0,1,0,53,5,1,3,0.0,0.0,0.0,2,1,41,43,1,17,0,1,0,551,84,28,29,13,14,0,0,0.0,1,0,0,0,34,9,0,0,0,0,9,0,0,2,0,0,0,0,0,1,0,0,0,0,0,5,5,0,0,2,2,0,2,1,0,0,3,18,28,7,0,42.0,8.0,0,0,0,0,30,2,0,18,0,11.8,3.3,21.0,2024-02-03 15:00:00+00:00,90,0,23,0,1744,0.0,-1,1056,1196,140,45,2024-02-03
1,2024-02-12,Mon,24,Home,L 1–3,Crystal Palace,Chelsea,Y,RB,90,0,0,0,0,0,0,1,0,45,3,1,1,0.0,0.0,0.1,2,0,19,29,2,16,0,1,0,253,112,11,12,6,11,1,4,0.0,2,0,0,0,23,6,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,4,3,1,0,7,0,8,19,15,12,3,73.0,44.0,0,0,1,0,16,5,0,7,0,21.4,5.3,23.4,2024-02-12 20:00:00+00:00,90,0,24,0,2000,8.0,0,134,453,319,45,2024-02-12
2,2024-02-19,Mon,25,Away,D 1–1,Crystal Palace,Everton,Y,WB,90,0,0,0,0,0,0,0,0,54,1,0,0,0.0,0.0,0.2,2,0,30,43,1,22,0,0,0,494,243,16,22,11,17,3,4,0.1,2,1,0,0,32,11,0,0,0,1,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,5,0,7,19,24,11,2,85.0,37.0,0,0,1,0,25,4,0,14,0,22.0,4.1,15.2,2024-02-19 20:00:00+00:00,90,0,25,0,2242,4.0,2,115,390,275,45,2024-02-19
3,2024-02-24,Sat,26,Home,W 3–0,Crystal Palace,Burnley,Y,WB,90,0,0,0,0,2,0,0,0,72,2,1,3,0.3,0.3,0.0,3,0,47,60,5,32,3,2,2,587,179,33,38,12,17,1,2,0.0,1,1,2,0,54,6,0,0,0,4,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3,1,1,2,3,0,2,15,23,34,4,133.0,75.0,1,0,1,0,43,13,1,25,1,16.6,4.9,16.8,2024-02-24 15:00:00+00:00,90,0,26,0,10763,16.0,7,5376,5840,464,45,2024-02-24
4,2024-03-02,Sat,27,Away,L 1–3,Crystal Palace,Tottenham,Y,WB,90,0,0,0,0,0,0,0,0,43,1,3,2,0.0,0.0,0.0,1,0,17,23,2,16,1,6,3,213,68,13,15,4,6,0,1,0.0,0,1,0,0,19,4,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,2,1,1,2,0,6,13,16,14,0,65.0,34.0,0,0,1,0,18,3,0,8,0,1.8,1.8,15.8,2024-03-02 15:00:00+00:00,90,0,27,0,7876,0.0,1,-105,1397,1502,45,2024-03-02
5,2024-03-09,Sat,28,Home,D 1–1,Crystal Palace,Luton Town,Y,RM,90,0,1,0,0,1,0,1,0,46,0,2,1,0.4,0.4,0.2,2,2,29,34,2,22,2,2,2,436,246,16,20,12,13,1,1,0.1,1,1,0,0,24,10,0,0,0,0,10,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,3,0,1,5,0,3,14,20,13,3,126.0,56.0,2,1,1,1,21,1,0,13,0,11.8,4.8,23.0,2024-03-09 15:00:00+00:00,90,0,28,0,9853,13.0,4,1704,2233,529,45,2024-03-09
6,2024-03-30,Sat,30,Away,D 1–1,Crystal Palace,Nott'ham Forest,Y,WB,90,0,0,0,0,1,0,0,0,49,4,2,3,0.1,0.1,0.0,2,0,18,30,1,18,1,1,0,258,122,9,12,7,11,1,3,0.0,0,1,0,0,23,7,0,0,0,0,7,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,3,1,0,0,1,1,0,3,5,0,5,14,23,12,2,116.0,24.0,2,0,3,0,17,3,0,12,0,1.3,2.6,15.2,2024-03-30 15:00:00+00:00,90,0,30,0,23290,9.0,2,13536,17395,3859,45,2024-03-30
7,2024-04-02,Tue,31,Away,L 0–1,Crystal Palace,Bournemouth,Y,RM,90,0,0,0,0,0,0,0,0,56,3,3,2,0.0,0.0,0.0,0,0,33,46,0,20,1,0,0,387,129,23,25,7,16,0,0,0.0,0,4,0,0,29,16,1,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,4,3,0,2,2,0,1,17,21,19,0,102.0,38.0,2,0,1,1,19,2,0,11,0,3.8,1.4,10.0,2024-04-02 18:45:00+00:00,90,0,31,0,27074,0.0,2,3716,5730,2014,45,2024-04-02
8,2024-04-06,Sat,32,Home,L 2–4,Crystal Palace,Manchester City,Y,RM,90,0,0,0,0,0,0,0,0,45,3,2,4,0.0,0.0,0.0,1,0,20,31,2,19,2,0,0,290,101,12,14,8,10,0,5,0.0,0,0,0,0,26,4,0,0,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,2,2,0,0,4,1,0,2,18,16,12,1,71.0,29.0,1,1,0,0,16,4,0,9,0,2.6,1.4,9.4,2024-04-06 11:30:00+00:00,90,0,32,0,26294,2.0,0,-883,1517,2400,45,2024-04-06
9,2024-04-14,Sun,33,Away,W 1–0,Crystal Palace,Liverpool,Y,RM,90,0,0,0,0,0,0,0,0,56,6,1,2,0.0,0.0,0.0,2,0,23,38,0,15,2,2,1,296,164,16,20,7,13,0,4,0.0,0,0,0,0,28,10,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,3,5,2,2,0,5,0,5,32,21,4,1,61.0,29.0,0,1,2,0,17,1,0,20,1,0.8,3.3,30.4,2024-04-14 13:00:00+00:00,90,0,33,0,29210,2.0,6,2785,4992,2207,45,2024-04-14
