,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-09-14,Mon,1,Home,L 0–2,Sheffield Utd,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,63,2,1,2,0.0,0.0,0.0,0,0,39,53,5,27,0,1,0,673,223,17,18,16,21,5,11,0.0,0,4,1,0,53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,2,0,0,0,1,19,30,14,0,104.0,64.0,3,1,2,0,44,1,0,8,0,2.3,2.2,19.2,2020-09-14 17:00:00+00:00,90,0,1,0,46550,0.0,1,0,0,0,50,2020-09-14
1,2020-09-21,Mon,2,Away,L 0–1,Sheffield Utd,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,37,1,1,2,0.0,0.0,0.0,0,0,17,26,0,10,0,0,0,328,189,5,5,9,12,3,6,0.0,0,0,0,0,24,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,7,0,10,21,15,1,0,37.0,10.0,0,0,0,0,12,1,0,11,0,0.2,2.1,21.0,2020-09-21 17:00:00+00:00,90,0,2,0,45105,0.0,2,-4336,1311,5647,50,2020-09-21
2,2019-08-10,Sat,1,Away,D 1–1,Sheffield Utd,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,61,1,2,3,0.0,0.0,0.0,1,0,35,50,2,18,0,0,0,522,212,17,19,14,18,1,9,0.2,0,2,1,0,46,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,2,0,3,27,29,5,0,70.0,25.0,0,0,2,0,39,1,0,12,0,4.6,2.0,15.6,2019-08-10 14:00:00+00:00,90,0,1,0,20821,0.0,2,0,0,0,45,2019-08-10
3,2019-08-18,Sun,2,Home,W 1–0,Sheffield Utd,Crystal Palace,Y,CB,90,0,0,0,0,3,1,0,0,63,0,0,1,0.2,0.2,0.0,1,1,33,43,3,25,1,0,0,673,293,13,15,13,15,6,11,0.0,0,2,0,0,41,2,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,5,31,23,9,3,81.0,42.0,1,0,2,1,35,2,0,23,1,1.2,7.9,22.6,2019-08-18 13:00:00+00:00,90,0,2,0,21582,55.0,6,-876,644,1520,45,2019-08-18
4,2019-08-24,Sat,3,Home,L 1–2,Sheffield Utd,Leicester City,Y,CB,90,0,0,0,0,1,0,0,0,55,1,2,1,0.1,0.1,0.0,1,0,35,45,5,17,0,1,0,627,240,17,17,14,19,3,6,0.0,1,3,1,1,44,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,2,0,2,20,23,12,3,62.0,17.0,0,0,1,0,32,2,0,13,0,15.9,4.3,16.0,2019-08-24 14:00:00+00:00,90,0,3,0,24381,11.0,1,1025,3544,2519,45,2019-08-24
5,2019-08-31,Sat,4,Away,D 2–2,Sheffield Utd,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,63,1,3,0,0.0,0.0,0.0,0,0,44,54,6,23,1,1,0,746,333,24,25,16,20,4,6,0.0,0,5,0,0,52,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,4,1,5,25,34,4,0,88.0,49.0,0,0,0,0,39,3,0,13,0,1.1,1.3,12.2,2019-08-31 14:00:00+00:00,90,0,4,0,23331,0.0,1,-1479,882,2361,45,2019-08-31
6,2019-09-14,Sat,5,Home,L 0–1,Sheffield Utd,Southampton,Y,CB,90,0,0,0,0,1,0,0,0,55,0,1,1,0.1,0.1,0.0,2,0,33,47,3,25,1,2,2,616,227,12,17,18,23,3,7,0.0,0,3,0,0,47,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3,0,4,25,21,9,2,82.0,50.0,1,0,0,0,31,4,0,13,0,1.6,2.0,12.4,2019-09-14 14:00:00+00:00,90,0,5,0,23083,6.0,2,-953,1164,2117,45,2019-09-14
7,2019-09-21,Sat,6,Away,W 2–0,Sheffield Utd,Everton,Y,CB,90,0,0,0,0,0,0,0,0,47,0,2,2,0.0,0.0,0.0,1,0,14,25,3,9,0,0,0,308,122,7,11,3,5,4,8,0.0,0,2,0,0,22,3,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,16,0,12,32,13,2,1,29.0,9.0,1,0,1,0,13,1,0,27,1,0.3,3.4,32.0,2019-09-21 14:00:00+00:00,90,0,6,0,22287,2.0,6,-1015,386,1401,45,2019-09-21
8,2019-09-28,Sat,7,Home,L 0–1,Sheffield Utd,Liverpool,Y,CB,90,0,0,0,0,1,0,1,0,37,0,1,2,0.0,0.0,0.0,1,0,16,24,2,12,0,1,0,271,121,6,10,9,11,0,2,0.0,0,0,0,0,22,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,7,15,12,11,1,57.0,27.0,1,0,1,0,18,1,0,7,0,1.3,3.7,17.6,2019-09-28 11:30:00+00:00,90,0,7,0,21726,18.0,1,-871,555,1426,45,2019-09-28
9,2019-10-05,Sat,8,Away,D 0–0,Sheffield Utd,Watford,Y,CB,90,0,0,0,0,0,0,0,0,90,1,2,0,0.0,0.0,0.0,0,0,64,77,5,47,1,0,0,1079,440,37,38,21,26,5,12,0.0,0,4,2,0,75,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,6,0,5,39,41,11,1,197.0,83.0,0,0,2,0,59,4,1,28,1,3.0,2.5,20.4,2019-10-05 14:00:00+00:00,90,0,8,0,21828,2.0,7,-216,687,903,45,2019-10-05
10,2019-10-21,Mon,9,Home,W 1–0,Sheffield Utd,Arsenal,Y,CB,90,0,1,0,0,0,0,1,0,45,1,1,0,0.0,0.0,0.6,1,1,23,35,1,17,0,0,0,414,265,12,13,7,9,4,10,0.4,1,1,0,0,28,7,2,0,0,2,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,4,0,5,19,18,9,3,44.0,23.0,0,0,0,0,19,3,3,34,1,11.2,4.3,25.8,2019-10-21 19:00:00+00:00,90,0,9,0,22459,6.0,11,224,1129,905,45,2019-10-21
11,2019-10-26,Sat,10,Away,D 1–1,Sheffield Utd,West Ham,Y,CB,90,0,0,0,0,1,0,0,0,69,2,1,2,0.0,0.0,0.5,2,0,43,57,2,23,0,0,0,745,373,22,24,18,27,3,5,0.0,2,3,1,1,52,5,0,0,0,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,2,2,0,7,35,33,2,1,91.0,46.0,0,0,0,0,33,1,0,19,0,24.3,4.4,15.4,2019-10-26 14:00:00+00:00,90,0,10,0,65069,4.0,2,38187,40032,1845,45,2019-10-26
12,2019-11-02,Sat,11,Home,W 3–0,Sheffield Utd,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,48,1,1,0,0.0,0.0,0.0,1,0,26,39,2,15,0,0,0,497,293,8,10,14,20,3,6,0.1,1,1,1,0,36,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,6,0,7,31,14,3,1,52.0,10.0,0,0,0,1,18,0,0,25,1,10.9,2.9,16.0,2019-11-02 15:00:00+00:00,90,0,11,0,111297,2.0,6,43165,48940,5775,45,2019-11-02
13,2019-11-09,Sat,12,Away,D 1–1,Sheffield Utd,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,53,1,2,0,0.0,0.0,0.0,2,0,32,46,1,32,0,1,0,535,239,18,22,11,17,3,5,0.0,1,4,1,0,44,2,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,3,19,24,10,2,75.0,43.0,0,0,0,1,35,2,0,9,0,12.3,2.8,11.4,2019-11-09 15:00:00+00:00,90,0,12,0,137154,4.0,2,24761,32452,7691,46,2019-11-09
14,2019-11-24,Sun,13,Home,D 3–3,Sheffield Utd,Manchester Utd,Y,CB,90,0,0,0,0,1,0,0,0,49,0,3,3,0.1,0.1,0.0,1,0,27,34,3,14,0,0,0,475,262,11,12,10,12,4,7,0.0,1,2,0,0,29,5,1,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,0,8,28,16,5,1,28.0,14.0,1,0,1,0,22,2,0,12,0,11.1,3.6,20.8,2019-11-24 16:30:00+00:00,90,0,13,0,142030,4.0,1,4808,14607,9799,46,2019-11-24
15,2019-12-01,Sun,14,Away,D 1–1,Sheffield Utd,Wolves,Y,CB,90,0,0,0,0,0,0,1,0,50,1,1,3,0.0,0.0,0.0,0,0,27,35,1,13,0,1,0,540,194,13,14,8,11,6,9,0.0,0,1,0,0,32,3,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,1,5,0,7,24,16,10,2,38.0,14.0,1,0,0,1,24,1,0,7,0,1.4,2.9,21.2,2019-12-01 14:00:00+00:00,90,0,14,0,140127,6.0,1,-2064,6039,8103,46,2019-12-01
16,2019-12-05,Thu,15,Home,L 0–2,Sheffield Utd,Newcastle Utd,Y,CB,90,0,0,0,0,1,1,0,0,116,1,0,0,0.2,0.2,0.0,0,0,89,110,13,77,0,0,0,1550,516,45,48,39,44,5,16,0.0,0,9,3,0,103,7,1,0,3,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,2,29,70,17,3,312.0,174.0,1,0,1,0,88,3,0,15,0,4.9,5.9,17.4,2019-12-05 19:30:00+00:00,90,0,15,0,137157,37.0,1,-3345,2629,5974,46,2019-12-05
17,2019-12-08,Sun,16,Away,W 2–1,Sheffield Utd,Norwich City,Y,CB,90,0,0,0,0,0,0,0,0,70,0,3,2,0.0,0.0,0.0,0,0,40,53,3,32,0,1,1,681,288,20,22,15,16,4,11,0.0,0,3,1,0,50,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,7,32,30,8,0,85.0,28.0,0,0,1,1,41,2,0,15,0,1.7,2.6,24.0,2019-12-08 14:00:00+00:00,90,0,16,0,132604,0.0,2,-4975,3088,8063,46,2019-12-08
18,2019-12-14,Sat,17,Home,W 2–0,Sheffield Utd,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,72,0,0,1,0.0,0.0,0.0,1,0,42,62,5,24,0,1,0,897,302,18,25,16,22,8,13,0.0,0,6,0,0,56,5,1,0,4,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,5,26,35,11,3,96.0,36.0,0,0,0,0,42,5,0,23,1,2.3,2.8,19.6,2019-12-14 15:00:00+00:00,90,0,17,0,133138,6.0,6,-488,8783,9271,46,2019-12-14
19,2019-12-21,Sat,18,Away,W 1–0,Sheffield Utd,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,59,1,0,1,0.0,0.0,0.0,1,0,33,50,0,21,2,1,1,516,272,22,22,8,13,3,12,0.0,0,0,0,0,45,5,1,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,7,0,8,34,17,9,0,91.0,48.0,2,0,0,0,22,0,1,25,1,1.2,1.7,15.6,2019-12-21 15:00:00+00:00,90,0,18,0,141018,0.0,7,6724,11259,4535,46,2019-12-21
20,2019-12-26,Thu,19,Home,D 1–1,Sheffield Utd,Watford,Y,CB,90,0,0,0,0,1,0,0,0,99,4,1,2,0.0,0.0,0.3,2,0,61,83,10,42,0,1,1,1073,458,29,31,26,34,6,16,0.3,2,4,0,0,82,1,0,0,3,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,1,0,3,4,1,0,2,4,0,7,34,50,15,3,173.0,98.0,0,0,2,1,58,3,0,14,0,22.2,5.3,23.2,2019-12-26 15:00:00+00:00,90,0,19,0,165175,8.0,2,22639,26648,4009,46,2019-12-26
21,2019-12-29,Sun,20,Away,L 0–2,Sheffield Utd,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,46,1,3,0,0.0,0.0,0.0,1,0,28,35,4,25,0,0,0,585,216,7,9,16,19,5,7,0.1,0,2,2,1,34,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4,0,6,18,20,8,0,89.0,41.0,0,0,0,0,26,2,0,14,0,5.9,2.0,13.6,2019-12-29 18:00:00+00:00,90,0,20,0,162863,0.0,1,-1473,10601,12074,46,2019-12-29
22,2020-01-02,Thu,21,Away,L 0–2,Sheffield Utd,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,51,0,2,2,0.0,0.0,0.6,1,0,27,38,3,16,0,1,1,370,138,18,19,9,11,0,7,0.4,1,0,0,0,36,2,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,0,9,18,28,5,1,56.0,22.0,0,0,2,0,21,1,0,18,0,15.2,4.1,23.8,2020-01-02 20:00:00+00:00,90,0,21,0,161484,2.0,1,-2471,12709,15180,46,2020-01-02
23,2020-01-10,Fri,22,Home,W 1–0,Sheffield Utd,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,56,1,1,0,0.0,0.0,0.0,0,0,34,50,2,18,0,0,0,560,210,14,16,12,16,4,12,0.0,0,0,0,0,44,5,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,25,26,5,0,71.0,35.0,0,0,0,0,30,1,0,21,1,1.2,0.9,7.4,2020-01-10 20:00:00+00:00,90,0,22,0,166985,0.0,6,4127,16810,12683,46,2020-01-10
