,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-01-03,Mon,21,Home,L 0–1,Manchester Utd,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,59,3,2,3,0.0,0.0,0.0,1,0,45,50,1,33,0,1,1,748,282,20,22,24,24,0,1,0.0,0,5,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,0,1,2,3,1,3,0,2,0,9,20,36,4,0,115.0,74.0,0,0,0,0,39,0,0,24,0,1.5,3.5,33.0,2022-01-03 17:30:00+00:00,90,0,21,0,1109,0.0,2,12,92,80,45,2022-01-03
1,2022-04-19,Tue,30,Away,L 0–4,Manchester Utd,Liverpool,Y,CB,45,0,0,0,0,0,0,0,0,23,1,1,0,0.0,0.0,0.0,0,0,14,17,1,15,1,0,0,248,111,6,6,7,8,1,2,0.0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,5,15,8,0,0,60.0,21.0,0,0,1,0,13,0,0,7,0,0.1,0.9,8.8,2022-04-19 19:00:00+00:00,45,0,33,0,2734,0.0,0,-6,86,92,45,2022-04-19
2,2022-04-28,Thu,37,Home,D 1–1,Manchester Utd,Chelsea,N,CB,12,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,0,2,0,0,0,22,0,0,1,1,1,0,1,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,11.0,1.0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.0,2022-04-28 18:45:00+00:00,11,0,34,0,2925,0.0,1,112,211,99,45,2022-04-28
3,2022-05-02,Mon,35,Home,W 3–0,Manchester Utd,Brentford,N,CB,16,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,0,0,11,11,0,8,0,0,0,151,55,7,7,4,4,0,0,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,3,11,5,0,0,28.0,7.0,0,0,0,0,10,0,0,7,0,0.0,1.1,11.2,2022-05-02 19:00:00+00:00,15,0,35,0,2980,0.0,1,-1,110,111,45,2022-05-02
4,2019-11-24,Sun,13,Away,D 3–3,Manchester Utd,Sheffield Utd,Y,CB,45,0,0,0,0,0,0,0,0,36,1,1,2,0.0,0.0,0.0,0,0,22,24,3,17,0,0,0,433,135,7,9,12,12,3,3,0.0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,2,5,1,5,16,18,2,0,103.0,64.0,0,0,2,0,19,0,0,4,0,0.6,0.8,7.6,2019-11-24 16:30:00+00:00,45,0,13,0,9851,0.0,1,-119,139,258,48,2019-11-24
5,2020-01-22,Wed,24,Home,L 0–2,Manchester Utd,Burnley,Y,CB,90,0,0,0,0,2,1,0,0,86,1,1,0,0.1,0.1,0.0,0,0,60,75,4,36,2,1,1,891,323,33,37,26,32,1,4,0.0,0,6,0,0,73,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,4,41,38,8,3,228.0,158.0,1,0,0,0,47,1,0,18,0,2.4,3.9,13.8,2020-01-22 20:15:00+00:00,90,0,24,0,10943,23.0,1,-48,103,151,48,2020-01-22
6,2018-08-27,Mon,3,Home,L 0–3,Manchester Utd,Tottenham,Y,CB,57,0,0,0,0,0,0,0,0,33,1,2,0,0.0,0.0,0.0,0,0,24,27,1,16,0,0,0,477,95,7,7,13,15,3,4,0.0,0,1,0,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,4,0,1,21,11,1,0,60.0,16.0,0,0,0,1,17,0,0,6,0,0.3,0.9,8.2,2018-08-27 19:00:00+00:00,57,0,3,0,73109,0.0,0,-38825,443,39268,53,2018-08-27
7,2018-12-01,Sat,14,Away,D 2–2,Manchester Utd,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,57,1,1,2,0.0,0.0,0.0,0,0,47,49,0,30,1,0,0,985,240,9,9,32,32,4,6,0.0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,4,0,7,32,24,1,0,114.0,33.0,1,0,0,0,39,0,0,20,0,0.4,2.5,24.4,2018-12-01 17:30:00+00:00,90,0,14,0,29531,0.0,1,-71,263,334,51,2018-12-01
8,2018-12-08,Sat,16,Home,W 4–1,Manchester Utd,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,83,2,1,0,0.0,0.0,0.0,0,0,70,75,4,55,1,0,0,1411,398,24,25,36,38,10,12,0.0,0,4,0,0,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,2,0,0,3,1,5,52,31,1,0,275.0,141.0,1,1,0,0,60,0,0,16,0,0.8,1.6,14.8,2018-12-08 15:00:00+00:00,90,0,16,0,29229,0.0,2,-377,171,548,51,2018-12-08
9,2018-12-22,Sat,18,Away,W 5–1,Manchester Utd,Cardiff City,Y,CB,90,0,0,0,0,1,1,0,0,72,2,1,0,0.1,0.1,0.0,0,0,55,58,2,39,0,0,0,938,335,19,20,27,29,6,6,0.0,0,1,0,0,57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,7,0,7,43,26,3,2,117.0,73.0,0,0,2,0,52,1,0,15,0,0.7,4.5,25.6,2018-12-22 17:30:00+00:00,90,0,18,0,29472,19.0,2,82,487,405,51,2018-12-22
10,2018-12-26,Wed,19,Home,W 3–1,Manchester Utd,Huddersfield,Y,CB,90,0,0,0,0,0,0,0,0,72,0,4,0,0.0,0.0,0.0,0,0,57,61,1,36,0,1,1,1065,282,15,15,33,35,6,7,0.0,0,0,0,0,57,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,27,44,1,0,184.0,91.0,0,0,1,1,44,0,0,16,0,1.8,1.7,15.2,2018-12-26 15:00:00+00:00,90,0,19,0,31223,0.0,2,1493,1963,470,51,2018-12-26
11,2018-12-30,Sun,20,Home,W 4–1,Manchester Utd,Bournemouth,N,CB,9,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,9,9,0,8,0,0,0,158,37,3,3,6,6,0,0,0.0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,21.0,9.0,0,0,0,0,9,0,0,3,0,0.1,0.1,0.6,2018-12-30 16:30:00+00:00,8,0,20,0,32023,0.0,1,615,1235,620,51,2018-12-30
12,2019-01-02,Wed,21,Away,W 2–0,Manchester Utd,Newcastle Utd,Y,CB,90,0,0,0,0,1,0,0,0,73,1,2,0,0.2,0.2,0.0,0,0,57,61,1,39,0,0,0,1037,315,19,19,29,31,7,8,0.0,0,0,0,0,60,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,4,26,45,2,2,122.0,73.0,0,0,2,0,53,0,1,28,1,0.9,2.4,13.8,2019-01-02 20:00:00+00:00,90,0,21,0,31840,9.0,7,-244,659,903,51,2019-01-02
13,2019-01-13,Sun,22,Away,W 1–0,Manchester Utd,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,27,2,1,1,0.0,0.0,0.0,0,0,17,18,1,10,0,0,0,361,106,4,4,9,10,4,4,0.0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,3,0,7,15,12,0,0,30.0,9.0,0,0,0,0,12,0,0,19,1,0.1,1.5,15.0,2019-01-13 16:30:00+00:00,90,0,22,0,32117,0.0,6,-95,1040,1135,51,2019-01-13
14,2019-01-19,Sat,23,Home,W 2–1,Manchester Utd,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,60,0,0,1,0.0,0.0,0.0,0,0,54,56,4,33,0,0,0,891,382,25,26,24,25,4,4,0.0,0,2,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,25,34,1,0,159.0,83.0,1,0,0,0,46,0,0,13,0,0.8,1.4,13.6,2019-01-19 15:00:00+00:00,90,0,23,0,34295,0.0,2,1796,2690,894,51,2019-01-19
15,2019-01-29,Tue,24,Home,D 2–2,Manchester Utd,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,91,1,1,1,0.0,0.0,0.0,1,0,79,85,4,64,3,0,0,1736,429,23,24,38,40,18,20,0.2,1,0,2,0,83,2,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,3,46,38,7,0,345.0,216.0,1,0,0,0,64,1,0,18,0,12.8,3.0,16.8,2019-01-29 20:00:00+00:00,90,0,24,0,36025,0.0,1,1517,2457,940,51,2019-01-29
16,2019-02-03,Sun,25,Away,W 1–0,Manchester Utd,Leicester City,N,RW,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.2,2.0,2019-02-03 14:05:00+00:00,1,0,25,0,35908,0.0,1,-161,696,857,51,2019-02-03
17,2019-02-09,Sat,26,Away,W 3–0,Manchester Utd,Fulham,Y,CB,90,0,1,0,0,1,1,0,0,53,1,2,2,0.0,0.0,0.1,0,0,31,37,1,19,1,0,0,544,105,12,15,13,15,5,5,0.0,1,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,8,1,9,29,22,2,0,106.0,55.0,1,0,1,0,28,0,2,40,1,10.7,6.4,46.0,2019-02-09 12:30:00+00:00,90,0,26,0,35171,7.0,11,-903,466,1369,51,2019-02-09
18,2019-03-30,Sat,32,Home,W 2–1,Manchester Utd,Watford,Y,CB,90,0,0,0,0,0,0,0,0,49,0,3,1,0.0,0.0,0.0,0,0,30,34,2,13,0,0,0,520,176,11,14,17,18,2,2,0.0,0,2,0,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,15,35,13,1,0,80.0,38.0,1,0,1,0,17,0,0,21,0,1.7,2.9,27.6,2019-03-30 15:00:00+00:00,90,0,32,0,33984,0.0,2,150,556,406,51,2019-03-30
19,2019-04-02,Tue,33,Away,L 1–2,Manchester Utd,Wolves,N,"CB,RB",26,0,0,0,0,1,0,0,0,27,2,0,2,0.0,0.0,0.0,2,0,21,21,2,10,1,2,2,363,83,8,8,11,11,2,2,0.0,0,2,0,0,19,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,1,1,0,0,1,5,19,3,0,58.0,39.0,0,0,0,0,16,0,0,11,0,1.2,1.3,11.0,2019-04-02 18:45:00+00:00,25,0,32,0,33984,1.0,1,150,556,406,51,2019-04-02
20,2019-04-13,Sat,34,Home,W 2–1,Manchester Utd,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,52,1,2,5,0.0,0.0,0.3,1,0,34,39,2,19,1,0,0,646,208,13,15,17,18,4,6,0.2,1,1,0,0,37,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,3,5,0,12,34,18,1,1,112.0,48.0,0,0,0,0,18,0,0,22,0,10.5,3.9,26.2,2019-04-13 16:30:00+00:00,90,0,34,0,34019,2.0,2,214,521,307,51,2019-04-13
21,2019-04-21,Sun,35,Away,L 0–4,Manchester Utd,Everton,Y,CB,45,0,0,0,0,0,0,0,0,27,0,1,0,0.0,0.0,0.0,0,0,21,22,0,13,0,0,0,339,86,11,12,9,9,1,1,0.0,0,0,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,19,8,0,0,54.0,15.0,0,0,1,0,16,0,0,6,0,0.0,0.8,7.6,2019-04-21 12:30:00+00:00,45,0,35,0,35407,0.0,0,1063,1479,416,51,2019-04-21
22,2019-05-05,Sun,37,Away,D 1–1,Manchester Utd,Huddersfield,Y,CB,90,0,0,0,0,1,0,1,0,95,5,1,0,0.1,0.1,0.0,0,0,74,82,9,52,3,0,0,1240,492,28,31,40,44,2,2,0.0,0,6,0,0,81,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,3,3,0,0,0,5,1,1,46,47,2,1,343.0,260.0,1,0,1,0,65,0,0,10,0,1.7,2.6,20.2,2019-05-05 13:00:00+00:00,90,0,37,0,33366,4.0,1,-710,25,735,51,2019-05-05
23,2019-05-12,Sun,38,Home,L 0–2,Manchester Utd,Cardiff City,Y,CB,45,0,0,0,0,0,0,0,0,31,0,1,1,0.0,0.0,0.0,0,0,22,25,1,13,0,0,0,400,203,7,8,12,13,2,2,0.0,0,0,0,0,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,5,20,10,1,0,71.0,44.0,1,0,0,0,14,0,0,6,0,0.3,1.3,12.2,2019-05-12 14:00:00+00:00,45,0,38,0,33867,0.0,1,363,660,297,51,2019-05-12
24,2017-08-13,Sun,1,Home,W 4–0,Manchester Utd,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,70,2,4,0,0.0,0.0,0.0,0,0,55,60,2,41,0,0,0,1137,264,15,18,31,33,9,9,0.0,0,2,0,0,59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,3,41,29,0,0,125.0,66.0,0,0,0,0,47,0,0,27,1,0.9,2.0,18.8,2017-08-13 15:00:00+00:00,90,0,1,0,28003,0.0,6,0,0,0,50,2017-08-13
25,2017-08-19,Sat,2,Away,W 4–0,Manchester Utd,Swansea City,Y,CB,90,0,0,0,0,1,0,0,0,62,1,3,0,0.4,0.4,0.0,1,0,44,46,2,28,0,0,0,816,275,13,13,25,25,4,6,0.0,0,1,0,0,46,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,0,7,35,27,1,1,70.0,27.0,0,0,0,0,35,0,0,30,1,0.4,3.2,24.8,2017-08-19 11:30:00+00:00,90,0,2,0,96051,7.0,6,46910,53195,6285,50,2017-08-19
26,2017-08-26,Sat,3,Home,W 2–0,Manchester Utd,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,62,0,1,1,0.0,0.0,0.0,0,0,52,54,6,32,1,1,1,927,393,14,14,34,35,2,2,0.0,0,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,6,0,7,25,36,2,0,140.0,70.0,1,0,0,0,39,0,1,31,1,0.8,2.4,22.8,2017-08-26 16:30:00+00:00,90,0,3,0,182295,0.0,7,76947,93948,17001,50,2017-08-26
27,2017-09-09,Sat,4,Away,D 2–2,Manchester Utd,Stoke City,Y,CB,90,0,0,0,0,0,0,0,0,64,1,1,0,0.0,0.0,0.0,0,0,58,59,0,50,1,1,0,1299,331,11,11,38,38,8,9,0.0,0,2,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,30,33,2,1,219.0,123.0,1,0,0,0,53,0,0,15,0,0.8,1.4,11.6,2017-09-09 16:30:00+00:00,90,0,4,0,298627,2.0,1,103607,126193,22586,51,2017-09-09
28,2017-09-17,Sun,5,Home,W 4–0,Manchester Utd,Everton,Y,CB,90,0,0,0,0,0,0,0,0,61,1,1,0,0.0,0.0,0.0,0,0,43,50,4,27,0,0,0,786,292,14,14,25,29,3,6,0.0,0,1,0,0,49,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,5,26,31,4,0,127.0,62.0,0,0,1,0,33,0,0,29,1,1.0,2.2,21.2,2017-09-17 15:00:00+00:00,90,0,5,0,346175,0.0,6,41566,61892,20326,51,2017-09-17
29,2017-09-23,Sat,6,Away,W 1–0,Manchester Utd,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,50,3,0,1,0.0,0.0,0.0,0,0,30,33,0,21,0,0,0,566,152,9,9,15,15,4,6,0.0,0,0,0,0,31,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,12,0,13,35,15,0,0,44.0,23.0,0,0,1,0,25,0,3,37,1,0.3,3.5,35.0,2017-09-23 14:00:00+00:00,90,0,6,0,432725,0.0,9,79617,100249,20632,51,2017-09-23
30,2017-09-30,Sat,7,Home,W 4–0,Manchester Utd,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,84,1,3,1,0.0,0.0,0.0,0,0,68,74,3,44,0,2,1,1332,357,17,20,43,44,6,8,0.0,0,1,0,0,73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,11,55,29,0,0,131.0,76.0,0,0,0,0,52,0,0,31,1,0.2,2.1,20.4,2017-09-30 14:00:00+00:00,90,0,7,0,452079,0.0,6,13193,121802,108609,52,2017-09-30
31,2017-10-14,Sat,8,Away,D 0–0,Manchester Utd,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,57,1,4,3,0.0,0.0,0.0,0,0,38,44,1,27,0,0,0,666,196,13,14,19,20,4,8,0.0,0,0,0,0,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2,1,6,1,7,41,15,1,0,54.0,26.0,0,0,0,0,30,0,1,30,1,0.1,2.7,26.4,2017-10-14 11:30:00+00:00,90,0,8,0,450647,0.0,7,-4985,46163,51148,52,2017-10-14
32,2017-10-21,Sat,9,Away,L 1–2,Manchester Utd,Huddersfield,Y,CB,22,0,0,0,0,0,0,0,0,21,0,2,0,0.0,0.0,0.0,0,0,18,19,0,13,0,0,0,425,74,1,1,10,10,5,5,0.0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,11,10,0,0,60.0,18.0,0,0,0,1,15,0,0,4,0,0.3,0.5,4.8,2017-10-21 14:00:00+00:00,22,0,9,0,598224,0.0,1,141067,163079,22012,53,2017-10-21
33,2017-10-28,Sat,10,Home,W 1–0,Manchester Utd,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,51,0,0,2,0.0,0.0,0.0,1,0,35,40,5,22,1,1,1,713,146,10,12,20,22,5,6,0.0,0,1,0,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,8,21,30,0,0,98.0,49.0,0,0,0,0,26,0,3,28,1,0.4,1.8,17.2,2017-10-28 11:30:00+00:00,90,0,10,0,588395,0.0,9,-14513,53678,68191,53,2017-10-28
34,2017-11-05,Sun,11,Away,L 0–1,Manchester Utd,Chelsea,Y,CB,61,0,0,0,0,0,0,1,0,28,0,1,1,0.0,0.0,0.0,0,0,20,23,1,13,1,0,0,296,87,11,11,7,7,1,4,0.0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,4,14,11,3,0,53.0,34.0,0,0,0,0,21,0,0,3,0,1.0,0.7,6.0,2017-11-05 16:30:00+00:00,61,0,11,0,744430,0.0,1,144554,157345,12791,54,2017-11-05
35,2017-12-13,Wed,17,Home,W 1–0,Manchester Utd,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,69,1,1,1,0.0,0.0,0.0,1,0,57,60,1,46,0,0,0,1113,326,17,17,30,32,8,9,0.0,0,1,0,0,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,0,6,0,8,33,36,0,0,186.0,71.0,0,0,0,0,56,0,2,30,1,0.6,2.6,25.4,2017-12-13 20:00:00+00:00,90,0,17,0,359642,0.0,8,22341,34983,12642,53,2017-12-13
