,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-16,Sat,5,Home,L 1–3,Manchester Utd,Brighton,Y,LB,84,0,0,0,0,0,0,0,0,55,2,0,1,0.0,0.0,0.2,1,0,36,46,4,30,2,6,2,469,130,24,26,9,13,1,3,0.0,2,0,1,0,37,9,1,0,0,5,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,1,1,0,2,10,21,24,0,217.0,131.0,1,0,0,0,31,6,0,13,0,22.2,3.5,12.4,2023-09-16 14:00:00+00:00,84,0,5,0,31424,0.0,1,9407,15493,6086,44,2023-09-16
1,2023-09-23,Sat,6,Away,W 1–0,Manchester Utd,Burnley,Y,LB,78,0,0,0,0,0,0,1,0,42,1,1,1,0.0,0.0,0.0,1,0,24,35,0,16,0,0,0,480,146,10,13,7,12,7,7,0.2,0,2,0,0,29,5,0,0,0,3,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,1,3,0,2,12,21,10,0,52.0,33.0,0,0,2,1,25,1,0,14,1,4.8,1.1,4.6,2023-09-23 19:00:00+00:00,78,0,6,0,85491,2.0,5,50884,56284,5400,44,2023-09-23
2,2023-10-29,Sun,10,Home,L 0–3,Manchester Utd,Manchester City,N,LB,18,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,8,11,1,6,0,0,0,107,56,5,6,3,4,0,0,0.0,0,1,0,0,5,5,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,5,5,0,20.0,11.0,0,0,0,0,6,0,0,3,0,0.3,0.1,0.8,2023-10-29 15:30:00+00:00,17,0,10,0,61200,0.0,1,-1612,4755,6367,44,2023-10-29
3,2023-11-11,Sat,12,Home,W 1–0,Manchester Utd,Luton Town,Y,LB,78,0,0,0,0,1,0,0,0,86,3,1,0,0.0,0.0,0.2,3,0,62,79,8,52,2,1,0,869,266,36,41,23,29,1,5,0.1,1,4,1,0,68,11,2,0,0,8,8,1,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,2,3,1,0,0,0,0,0,8,30,49,2,240.0,81.0,2,0,1,0,62,13,2,30,1,21.8,3.8,10.6,2023-11-11 15:00:00+00:00,78,0,12,0,57985,6.0,8,-6269,1686,7955,44,2023-11-11
4,2023-12-02,Sat,14,Away,L 0–1,Manchester Utd,Newcastle Utd,N,LB,11,0,0,0,0,2,0,0,0,12,0,0,1,0.1,0.1,0.0,2,0,8,9,2,7,2,0,0,103,44,5,5,3,3,0,1,0.0,0,2,0,0,8,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,5,0,56.0,42.0,1,0,0,0,6,0,0,3,0,0.9,0.6,1.2,2023-12-02 20:00:00+00:00,10,0,14,0,51713,4.0,1,-9351,402,9753,44,2023-12-02
5,2023-12-06,Wed,15,Home,W 2–1,Manchester Utd,Chelsea,N,LB,45,0,0,0,0,0,0,1,0,46,3,2,2,0.0,0.0,0.3,3,1,25,31,3,20,3,1,0,367,189,17,18,6,9,2,3,0.1,2,2,0,0,25,6,0,0,0,3,6,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,2,0,1,2,4,2,0,2,2,0,1,8,17,21,1,71.0,40.0,0,1,1,0,21,5,0,7,0,22.5,3.9,14.2,2023-12-06 20:15:00+00:00,45,0,15,0,46878,2.0,0,-5033,262,5295,44,2023-12-06
6,2023-12-09,Sat,16,Home,L 0–3,Manchester Utd,Bournemouth,Y,LB,90,0,0,0,0,1,0,1,0,100,4,1,2,0.1,0.1,0.1,3,0,64,82,5,46,2,3,1,971,423,33,38,25,32,3,5,0.1,2,5,1,1,64,18,1,0,0,7,13,4,0,2,1,0,0,0,0,0,0,0,0,0,0,3,2,1,1,2,3,1,0,2,1,0,3,25,41,34,6,152.0,79.0,0,1,4,0,55,10,0,13,0,33.5,7.0,21.0,2023-12-09 15:00:00+00:00,90,0,16,0,44727,15.0,0,-2345,1346,3691,44,2023-12-09
7,2023-12-23,Sat,18,Away,L 0–2,Manchester Utd,West Ham,N,LB,7,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,6,10,0,4,0,0,0,76,33,3,6,3,4,0,0,0.0,0,0,0,0,7,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,4,0,20.0,14.0,0,0,0,0,5,1,0,2,0,0.1,0.1,0.4,2023-12-23 12:30:00+00:00,6,0,18,0,38559,0.0,1,-2755,367,3122,44,2023-12-23
8,2023-12-30,Sat,20,Away,L 1–2,Manchester Utd,Nott'ham Forest,N,LB,1,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.1,2,0,11,11,4,3,0,0,0,227,69,4,4,5,5,2,2,0.0,1,4,1,1,9,2,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,3,0,19.0,10.0,0,0,0,0,6,2,0,5,0,14.7,2.0,5.4,2023-12-30 17:30:00+00:00,1,0,20,0,35013,0.0,1,-2221,155,2376,44,2023-12-30
9,2024-01-20,Sat,21,Home,W 3–2,Brentford,Nott'ham Forest,N,WB,17,0,0,0,0,1,0,0,0,19,0,0,2,0.0,0.0,0.0,0,0,8,12,1,7,1,2,0,123,43,6,6,1,4,1,2,0.0,0,1,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4,7,8,1,34.0,23.0,1,0,2,0,11,0,0,1,0,1.1,0.7,1.2,2024-01-20 17:30:00+00:00,16,0,21,0,30684,5.0,1,-4711,552,443,44,2024-01-20
