,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-30,Sat,7,Away,W 1–0,Crystal Palace,Manchester Utd,N,LW,13,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,2,4,1,2,0,1,0,36,31,0,0,2,2,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,1,9.0,8.0,0,0,0,0,3,0,0,2,0,0.0,0.3,1.4,2023-09-30 14:00:00+00:00,12,0,7,0,5478,2.0,1,-317,359,676,44,2023-09-30
1,2023-10-07,Sat,8,Home,D 0–0,Crystal Palace,Nott'ham Forest,Y,"CM,LM",74,0,0,0,0,0,0,0,0,46,3,1,0,0.0,0.0,0.0,0,0,30,39,2,23,1,1,1,538,82,15,16,13,16,2,7,0.0,0,1,1,0,33,6,4,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,1,0,0,0,0,0,5,23,19,2,62.0,19.0,0,1,2,1,29,0,0,8,1,3.3,1.4,7.0,2023-10-07 16:30:00+00:00,74,0,8,0,5920,4.0,3,205,745,540,44,2023-10-07
2,2023-12-03,Sun,14,Away,D 1–1,Crystal Palace,West Ham,N,LW,9,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,0,3,0,0,0,6,0,1,1,0,0,0,1,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,6.0,4.0,0,0,0,0,3,1,0,3,0,0.3,0.3,0.2,2023-12-03 14:00:00+00:00,8,0,14,0,7392,2.0,1,-253,101,354,44,2023-12-03
3,2023-12-16,Sat,17,Away,D 2–2,Crystal Palace,Manchester City,Y,CM,80,0,0,0,0,0,0,0,0,22,1,0,0,0.0,0.0,0.0,0,0,15,19,1,6,1,0,0,199,46,8,9,6,8,0,0,0.0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,12,1,0,27.0,15.0,0,0,1,1,11,0,0,5,0,1.4,0.2,0.8,2023-12-16 15:00:00+00:00,80,0,17,0,6820,0.0,2,-298,47,345,44,2023-12-16
4,2024-04-14,Sun,33,Away,W 1–0,Crystal Palace,Liverpool,N,CM,14,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,3,0,0,0.0,0.0,0,0,0,0,1,0,0,4,0,0.0,0.5,5.0,2024-04-14 13:00:00+00:00,13,0,33,0,6287,0.0,1,-79,66,145,43,2024-04-14
5,2024-04-21,Sun,34,Home,W 5–2,Crystal Palace,West Ham,N,CM,10,0,0,0,0,1,0,0,0,18,2,0,0,0.0,0.0,0.0,0,0,11,15,0,10,0,0,0,177,27,3,5,6,6,1,1,0.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,14,3,1,31.0,6.0,0,0,0,0,12,1,0,2,0,0.7,0.8,3.0,2024-04-21 14:00:00+00:00,9,0,34,0,6306,4.0,1,-32,147,179,43,2024-04-21
6,2024-04-24,Wed,29,Home,W 2–0,Crystal Palace,Newcastle Utd,N,CM,8,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,1,0,3,6,0,3,0,0,0,21,10,2,2,0,1,0,1,0.0,0,1,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,5,2,0,39.0,6.0,0,0,0,0,3,0,0,5,0,0.4,0.3,2.4,2024-04-24 19:00:00+00:00,7,0,34,0,6306,0.0,1,-32,147,179,43,2024-04-24
7,2024-05-06,Mon,36,Home,W 4–0,Crystal Palace,Manchester Utd,N,CM,23,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,0,0,16,16,5,8,0,1,0,299,109,4,4,10,10,1,1,0.0,0,2,1,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,2,12,7,0,31.0,4.0,0,0,1,0,13,0,0,3,0,2.4,0.6,4.0,2024-05-06 19:00:00+00:00,22,0,36,0,6211,0.0,1,-13,80,93,43,2024-05-06
8,2024-05-19,Sun,38,Home,W 5–0,Crystal Palace,Aston Villa,N,CM,4,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,9,9,1,8,1,0,0,146,26,4,4,3,3,1,1,0.0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,38.0,17.0,0,1,0,0,9,1,0,3,0,0.8,0.4,0.8,2024-05-19 15:00:00+00:00,3,0,38,0,6644,2.0,1,142,320,178,43,2024-05-19
9,2022-10-15,Sat,11,Away,D 0–0,Crystal Palace,Leicester City,N,LB,35,0,0,0,0,0,0,0,0,35,2,0,0,0.0,0.0,0.0,0,0,26,32,0,16,1,0,0,351,74,17,17,9,13,0,2,0.0,0,1,0,0,26,6,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,2,0,3,12,16,7,0,70.0,46.0,1,0,0,0,21,1,0,4,0,2.0,1.0,7.8,2022-10-15 11:30:00+00:00,34,0,11,0,5533,0.0,1,-151,114,265,44,2022-10-15
