,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,N,CB,79,0,0,0,0,0,0,0,0,33,0,0,2,0.0,0.0,0.0,0,0,18,22,0,17,0,0,0,348,114,5,6,9,11,3,3,0.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,12,18,15,0,0,40.0,8.0,0,0,0,0,16,0,0,11,0,0.2,1.9,18.8,2021-09-11 11:30:00+00:00,78,0,4,0,5399,0.0,1,-952,269,1221,44,2021-09-11
1,2022-05-12,Thu,22,Home,W 3–0,Tottenham,Arsenal,N,CB,9,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,11,0,5,0,0,0,150,8,3,4,6,6,0,1,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,10.0,3.0,0,0,0,0,8,0,0,3,0,0.4,0.1,0.6,2022-05-12 18:45:00+00:00,8,0,36,0,5866,0.0,1,-19,46,65,42,2022-05-12
2,2022-05-15,Sun,37,Home,W 1–0,Tottenham,Burnley,N,CB,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,0,0,0,0,0,11,11,1,1,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.1,0.0,0.2,2022-05-15 11:00:00+00:00,1,0,37,0,5898,0.0,1,7,46,39,42,2022-05-15
3,2020-10-26,Mon,6,Away,W 1–0,Tottenham,Burnley,N,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2020-10-26 20:00:00+00:00,1,0,6,0,259,0.0,1,165,198,33,50,2020-10-26
4,2020-11-21,Sat,9,Home,W 2–0,Tottenham,Manchester City,N,CB,10,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.0,8.0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.0,2020-11-21 17:30:00+00:00,9,0,9,0,841,0.0,1,-3,154,157,50,2020-11-21
5,2020-11-29,Sun,10,Away,D 0–0,Tottenham,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,56,0,3,1,0.0,0.0,0.0,0,0,41,48,2,32,0,0,0,781,172,11,12,26,28,3,6,0.0,0,2,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,15,33,23,0,0,178.0,100.0,0,0,0,0,40,0,0,26,1,0.3,1.7,16.4,2020-11-29 16:30:00+00:00,90,0,10,0,1061,0.0,6,133,199,66,50,2020-11-29
6,2020-12-06,Sun,11,Home,W 2–0,Tottenham,Arsenal,N,CB,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,4,0,0.0,0.4,4.0,2020-12-06 16:30:00+00:00,1,0,11,0,2549,0.0,1,1145,1388,243,50,2020-12-06
7,2021-01-17,Sun,19,Away,W 3–1,Tottenham,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,0,0,89,1,2,1,0.0,0.0,0.0,0,0,67,82,2,52,0,0,0,1202,417,26,30,36,37,4,12,0.0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,8,46,43,0,0,293.0,95.0,0,0,0,0,64,0,0,17,0,0.0,1.9,18.8,2021-01-17 14:00:00+00:00,90,0,19,0,1934,0.0,2,-61,32,93,50,2021-01-17
8,2021-01-28,Thu,20,Home,L 1–3,Tottenham,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,72,6,2,0,0.0,0.0,0.0,0,0,52,56,1,37,0,0,0,975,193,15,15,34,36,2,4,0.0,0,1,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,7,1,14,47,25,0,0,79.0,32.0,0,0,1,0,48,0,0,12,0,0.9,2.3,21.8,2021-01-28 20:00:00+00:00,90,0,20,0,2059,0.0,1,4,139,135,50,2021-01-28
9,2021-01-31,Sun,21,Away,L 0–1,Tottenham,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,75,1,2,1,0.0,0.0,0.0,0,0,67,71,1,54,1,0,0,1244,392,28,29,32,35,7,7,0.0,0,2,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,9,28,45,2,1,204.0,70.0,0,0,1,0,57,0,0,17,0,1.3,1.4,11.0,2021-01-31 19:15:00+00:00,90,0,21,0,2483,2.0,2,337,430,93,50,2021-01-31
