,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Home,W 3–0,Chelsea,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,95,1,0,1,0.0,0.0,0.0,0,0,80,89,7,57,2,0,0,1484,380,30,34,42,43,6,10,0.0,0,9,0,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,0,2,17,78,0,0,256.0,189.0,0,0,0,0,83,0,0,22,1,3.4,1.8,14.6,2021-08-14 14:00:00+00:00,90,0,1,0,446404,0.0,6,0,0,0,55,2021-08-14
1,2021-08-22,Sun,2,Away,W 2–0,Chelsea,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,75,0,0,0,0.0,0.0,0.0,0,0,60,71,4,44,0,0,0,959,354,34,37,18,21,6,10,0.0,0,3,0,0,70,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,8,41,30,4,1,172.0,97.0,0,0,0,0,60,0,0,23,1,1.7,1.6,11.8,2021-08-22 15:30:00+00:00,90,0,2,0,561100,2.0,6,12037,49645,37608,55,2021-08-22
2,2021-08-28,Sat,3,Away,D 1–1,Chelsea,Liverpool,Y,CB,90,0,0,0,0,0,0,1,0,45,3,1,1,0.0,0.0,0.0,0,0,19,33,2,14,0,0,0,291,158,9,12,10,13,0,5,0.0,0,0,0,0,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,2,0,0,1,3,0,11,34,10,1,0,61.0,17.0,0,0,1,0,21,0,0,8,0,3.3,1.8,14.2,2021-08-28 16:30:00+00:00,90,0,3,0,572284,0.0,1,-14441,38832,53273,55,2021-08-28
3,2021-09-11,Sat,4,Home,W 3–0,Chelsea,Aston Villa,Y,CB,90,0,0,0,0,2,0,0,0,54,1,0,0,0.0,0.0,0.0,2,0,39,45,3,29,4,0,0,790,315,13,13,21,26,5,6,0.0,0,1,1,0,43,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,7,0,9,32,17,5,1,181.0,138.0,4,0,0,0,36,1,0,24,1,1.1,1.8,11.0,2021-09-11 16:30:00+00:00,90,0,4,0,664111,6.0,6,45706,154644,108938,55,2021-09-11
4,2021-09-19,Sun,5,Away,W 3–0,Chelsea,Tottenham,Y,CB,90,1,0,0,0,2,2,0,0,60,0,2,0,0.1,0.1,0.2,3,0,47,52,5,41,0,0,0,998,294,11,13,30,32,6,7,0.1,1,2,2,1,51,1,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,25,28,7,2,133.0,24.0,1,0,0,1,48,1,2,40,1,15.6,9.9,49.4,2021-09-19 15:30:00+00:00,90,0,5,0,713395,34.0,14,30516,90297,59781,55,2021-09-19
5,2021-09-25,Sat,6,Home,L 0–1,Chelsea,Manchester City,Y,CB,90,0,0,0,0,0,0,1,0,60,0,3,3,0.0,0.0,0.0,2,0,44,50,3,35,1,1,0,850,283,12,13,30,31,2,5,0.0,2,3,1,1,47,3,2,1,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,15,36,21,3,0,162.0,116.0,1,0,0,0,42,0,0,9,0,27.8,4.6,18.6,2021-09-25 11:30:00+00:00,90,0,6,0,978164,0.0,1,222642,255819,33177,56,2021-09-25
6,2021-10-02,Sat,7,Home,W 3–1,Chelsea,Southampton,Y,CB,90,0,0,0,0,2,0,0,0,93,2,0,0,0.1,0.1,0.1,2,0,75,84,4,41,3,1,1,1364,526,30,30,38,43,7,10,0.0,1,5,1,0,82,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,2,0,8,43,48,4,1,297.0,200.0,3,0,0,1,74,0,0,16,0,11.8,4.4,17.2,2021-10-02 14:00:00+00:00,90,0,7,0,1712200,15.0,2,690820,728857,38037,57,2021-10-02
7,2021-10-23,Sat,9,Home,W 7–0,Chelsea,Norwich City,Y,CB,90,0,0,0,0,4,1,0,0,70,1,1,1,0.2,0.2,0.0,5,3,59,63,6,53,2,1,1,948,339,28,28,26,28,3,4,0.0,1,6,1,0,61,2,2,0,0,1,0,0,0,4,0,0,1,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,18,39,13,4,295.0,221.0,3,0,1,0,58,0,0,35,1,13.3,6.7,11.0,2021-10-23 11:30:00+00:00,90,0,9,0,1225343,43.0,9,-101161,76876,178037,58,2021-10-23
8,2021-10-30,Sat,10,Away,W 3–0,Chelsea,Newcastle Utd,Y,CB,90,0,0,0,0,2,0,0,0,134,1,0,0,0.1,0.1,0.0,3,1,115,128,13,106,4,1,0,1975,597,58,60,46,50,10,15,0.2,0,24,2,0,128,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,4,20,82,32,1,511.0,285.0,4,0,0,0,121,1,0,23,1,10.8,3.9,9.4,2021-10-30 14:00:00+00:00,90,0,10,0,1491165,19.0,6,232736,266611,33875,58,2021-10-30
9,2021-11-06,Sat,11,Home,D 1–1,Chelsea,Burnley,Y,CB,90,0,0,0,0,3,0,0,0,93,0,1,0,0.1,0.1,0.0,4,0,71,87,10,44,3,0,0,1487,442,21,23,39,47,11,15,0.0,2,7,1,0,85,1,1,0,3,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,47,16,6,291.0,176.0,3,1,2,2,75,2,0,9,0,24.3,6.4,7.2,2021-11-06 15:00:00+00:00,90,0,11,0,1565411,32.0,2,69185,111429,42244,59,2021-11-06
