,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-12-14,Tue,17,Home,L 0–2,Norwich City,Aston Villa,N,CM,46,0,0,0,0,0,0,1,0,25,0,3,0,0.0,0.0,0.0,0,0,14,20,1,9,0,0,0,192,40,8,10,5,8,0,1,0.0,0,1,0,0,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,12,5,0,62.0,19.0,0,0,1,0,11,1,0,2,0,2.0,0.6,4.0,2021-12-14 19:45:00+00:00,45,0,17,0,1101,0.0,0,-47,114,161,44,2021-12-14
1,2021-12-28,Tue,20,Away,L 0–3,Norwich City,Crystal Palace,Y,RB,90,0,0,0,0,1,0,1,0,63,1,0,3,0.2,0.2,0.0,3,0,30,43,3,28,0,1,0,489,194,13,14,15,21,1,4,0.0,1,3,0,0,37,6,1,0,0,3,5,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,5,0,7,21,25,17,2,100.0,42.0,0,0,3,2,34,4,0,5,0,11.9,6.9,21.4,2021-12-28 15:00:00+00:00,90,0,20,0,1158,36.0,0,15,58,43,44,2021-12-28
2,2022-01-15,Sat,22,Home,W 2–1,Norwich City,Everton,N,"RB,LB",14,0,0,0,0,0,0,0,0,13,0,2,0,0.0,0.0,0.0,0,0,5,10,1,2,1,0,0,112,61,1,2,2,5,2,2,0.0,0,0,0,0,6,4,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,5,3,0,17.0,5.0,0,0,0,0,3,1,0,3,0,0.0,0.3,3.4,2022-01-15 15:00:00+00:00,13,0,22,0,1233,0.0,1,28,100,72,44,2022-01-15
3,2022-01-21,Fri,23,Away,W 3–0,Norwich City,Watford,N,FW,4,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,3,5,2,3,0,3,1,66,41,1,3,2,2,0,0,0.0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,1,4,3,0,28.0,4.0,1,0,0,0,6,1,0,3,0,1.3,0.4,2.4,2022-01-21 20:00:00+00:00,3,0,23,0,1310,0.0,1,77,117,40,44,2022-01-21
4,2022-02-12,Sat,25,Home,L 0–4,Norwich City,Manchester City,N,RB,28,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,0,0,8,12,0,7,0,0,0,108,56,7,8,1,2,0,2,0.0,0,0,0,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,6,6,3,1,22.0,11.0,1,0,0,0,6,0,0,4,0,0.1,0.6,4.0,2022-02-12 17:30:00+00:00,27,0,25,0,1273,2.0,0,-15,20,35,44,2022-02-12
5,2022-03-05,Sat,28,Home,L 1–3,Norwich City,Brentford,Y,"RB,LB",90,0,0,0,0,2,1,0,0,85,4,1,2,0.1,0.1,0.1,2,0,53,69,2,41,0,0,0,719,242,35,40,16,24,1,1,0.0,1,0,0,0,53,16,0,0,0,3,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,3,1,0,4,6,2,1,1,1,0,3,21,31,33,5,80.0,44.0,1,0,0,0,41,3,0,18,0,13.3,7.9,22.8,2022-03-05 15:00:00+00:00,90,0,28,0,1314,43.0,1,-51,36,87,44,2022-03-05
6,2022-04-02,Sat,31,Away,D 0–0,Norwich City,Brighton,Y,RB,90,0,0,0,0,0,0,0,0,50,4,2,3,0.0,0.0,0.0,1,0,20,31,1,15,1,0,0,234,107,14,16,3,7,1,2,0.0,0,0,0,0,21,10,0,0,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,3,4,1,1,2,7,0,8,32,12,6,0,86.0,48.0,0,0,0,0,14,1,0,22,1,0.8,2.0,19.0,2022-04-02 14:00:00+00:00,90,0,31,0,1342,0.0,6,16,41,25,44,2022-04-02
7,2022-04-10,Sun,32,Home,W 2–0,Norwich City,Burnley,Y,RB,90,0,0,0,0,1,0,0,0,40,2,0,2,0.1,0.1,0.0,2,2,13,25,1,10,3,1,0,155,91,10,13,3,9,0,1,0.0,0,1,0,0,19,5,0,0,0,0,5,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,2,0,0,2,2,0,1,1,8,0,7,17,10,14,2,108.0,49.0,1,1,0,0,13,1,0,19,1,1.8,2.8,19.8,2022-04-10 13:00:00+00:00,90,0,32,0,1419,6.0,6,56,103,47,44,2022-04-10
8,2022-04-16,Sat,33,Away,L 2–3,Norwich City,Manchester Utd,Y,RB,90,0,0,0,0,2,0,0,0,60,1,1,3,0.1,0.1,0.1,2,0,42,49,4,26,2,1,1,677,240,24,27,15,17,3,3,0.1,1,1,2,0,40,9,1,0,1,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,1,3,0,10,29,20,12,2,145.0,62.0,1,1,1,0,33,2,0,15,0,11.8,5.8,21.8,2022-04-16 14:00:00+00:00,90,0,33,0,1822,24.0,1,302,418,116,44,2022-04-16
9,2022-04-23,Sat,34,Home,L 0–3,Norwich City,Newcastle Utd,Y,"RB,CB",90,0,0,0,0,0,0,0,0,56,4,2,2,0.0,0.0,0.0,0,0,37,45,2,33,2,1,0,534,179,23,25,13,15,0,3,0.0,0,1,0,0,38,7,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,1,2,3,1,0,2,2,0,4,21,22,14,0,143.0,88.0,2,0,1,0,29,1,0,14,0,1.9,1.7,15.0,2022-04-23 14:00:00+00:00,90,0,34,0,2106,0.0,1,285,479,194,44,2022-04-23
