,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-14,Sun,2,Home,W 1–0,Nott'ham Forest,West Ham,N,CB,12,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,2,3,1,0,0,0,0,49,17,0,1,1,1,1,1,0.0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,2,1,1,0.0,0.0,0,0,0,0,1,0,0,4,0,0.1,0.3,3.2,2022-08-14 13:00:00+00:00,11,0,2,0,13709,0.0,1,-2858,299,3157,45,2022-08-14
1,2022-08-20,Sat,3,Away,D 1–1,Nott'ham Forest,Everton,Y,CB,90,0,0,0,0,0,0,0,0,75,3,0,2,0.0,0.0,0.0,0,0,56,64,2,43,0,0,0,1198,438,12,12,39,44,5,8,0.0,0,2,0,0,63,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,2,0,6,0,17,46,29,0,0,159.0,68.0,0,0,0,0,52,0,0,21,0,0.4,3.1,30.4,2022-08-20 14:00:00+00:00,90,0,3,0,12421,0.0,2,-1961,490,2451,45,2022-08-20
2,2022-08-28,Sun,4,Home,L 0–2,Nott'ham Forest,Tottenham,Y,CB,74,0,0,0,0,0,0,1,0,52,1,5,1,0.0,0.0,0.0,1,0,36,43,2,20,0,0,0,783,246,6,8,26,28,4,7,0.2,1,3,0,0,43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,2,12,38,2,2,106.0,22.0,0,0,0,0,36,0,0,7,0,11.0,2.5,10.4,2022-08-28 15:30:00+00:00,74,0,4,0,12806,4.0,1,-667,553,1220,45,2022-08-28
3,2022-09-03,Sat,6,Home,L 2–3,Nott'ham Forest,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,59,0,1,1,0.0,0.0,0.0,0,0,45,50,3,37,1,0,0,1022,335,4,4,35,38,6,8,0.0,0,1,0,0,49,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,6,27,30,2,0,108.0,67.0,0,0,0,1,43,0,0,15,0,0.4,2.0,20.0,2022-09-03 14:00:00+00:00,90,0,6,0,13283,0.0,1,-431,968,1399,45,2022-09-03
4,2022-09-16,Fri,8,Home,L 2–3,Nott'ham Forest,Fulham,Y,CB,62,0,0,0,0,0,0,1,0,28,1,1,2,0.0,0.0,0.0,0,0,15,21,0,12,0,0,0,352,87,3,6,8,9,4,6,0.0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,3,0,5,16,12,0,0,75.0,45.0,0,0,0,0,14,0,0,5,0,0.2,1.4,14.2,2022-09-16 19:00:00+00:00,62,0,8,0,13852,0.0,0,183,628,445,45,2022-09-16
5,2022-10-03,Mon,9,Away,L 0–4,Nott'ham Forest,Leicester City,Y*,CB,90,0,0,0,0,1,0,1,0,87,1,2,1,0.0,0.0,0.0,0,0,63,75,4,47,0,0,0,1364,464,14,16,40,42,9,16,0.0,0,3,0,0,73,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,6,0,12,60,26,2,1,219.0,70.0,0,0,1,1,60,0,0,12,0,0.3,2.6,19.2,2022-10-03 19:00:00+00:00,90,0,9,0,13149,6.0,-1,-770,251,1021,44,2022-10-03
6,2022-10-10,Mon,10,Home,D 1–1,Nott'ham Forest,Aston Villa,Y,CB,90,0,0,0,0,0,0,1,0,49,1,0,3,0.0,0.0,0.0,0,0,27,40,1,19,0,0,0,594,197,6,8,15,18,5,10,0.0,0,2,0,0,37,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,0,12,31,17,1,1,62.0,17.0,0,0,0,0,23,0,0,5,0,0.3,1.2,9.8,2022-10-10 19:00:00+00:00,90,0,10,0,12775,2.0,1,-516,235,751,44,2022-10-10
7,2022-10-15,Sat,11,Away,L 0–1,Nott'ham Forest,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,43,0,1,0,0.0,0.0,0.2,1,0,29,37,0,27,0,0,0,592,134,7,11,17,19,4,6,0.2,1,0,0,0,35,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,23,18,2,2,102.0,42.0,0,0,0,0,28,0,0,12,0,10.5,2.6,11.0,2022-10-15 14:00:00+00:00,90,0,11,0,12835,4.0,2,-42,479,521,44,2022-10-15
8,2022-10-18,Tue,12,Away,D 0–0,Nott'ham Forest,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.0,0,0,32,43,1,32,0,0,0,504,217,16,18,12,14,3,10,0.0,0,1,0,0,41,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,13,42,11,0,0,235.0,129.0,0,0,2,0,35,0,0,23,1,0.1,1.4,14.0,2022-10-18 18:30:00+00:00,90,0,12,0,12678,0.0,6,-193,346,539,44,2022-10-18
9,2022-10-22,Sat,13,Home,W 1–0,Nott'ham Forest,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,20,0,1,0,0.0,0.0,0.3,1,0,9,12,0,4,0,0,0,219,93,2,2,4,5,3,5,0.2,1,0,1,1,11,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,15,4,1,0,12.0,3.0,0,0,0,0,6,0,0,27,1,14.1,2.9,15.0,2022-10-22 11:30:00+00:00,90,0,13,0,12834,0.0,6,-13,466,479,44,2022-10-22
10,2022-10-30,Sun,14,Away,L 0–5,Nott'ham Forest,Arsenal,Y,CB,90,0,0,0,0,1,0,0,0,33,1,1,5,0.1,0.1,0.0,0,0,18,23,0,15,0,1,1,375,101,3,4,13,15,2,4,0.0,0,0,0,0,22,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,2,2,0,7,19,10,4,2,74.0,44.0,1,0,0,0,18,0,0,8,0,0.3,2.9,21.0,2022-10-30 14:00:00+00:00,90,0,14,0,13139,8.0,0,124,626,502,44,2022-10-30
11,2022-11-05,Sat,15,Home,D 2–2,Nott'ham Forest,Brentford,Y,CB,89,0,0,0,0,1,0,0,0,52,0,0,1,0.0,0.0,0.0,3,0,37,48,5,28,0,0,0,832,182,7,9,24,28,5,10,0.0,0,4,1,0,47,1,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,9,25,23,4,1,141.0,70.0,2,0,0,0,34,0,0,10,0,1.6,1.5,9.2,2022-11-05 15:00:00+00:00,89,0,15,0,14872,4.0,1,1523,2256,733,44,2022-11-05
12,2019-08-10,Sat,1,Home,D 1–1,Bournemouth,Sheffield Utd,Y*,CB,90,0,0,0,0,1,0,0,0,78,0,2,0,0.1,0.1,0.0,0,0,60,69,2,54,0,0,0,1400,453,11,14,37,40,12,15,0.0,0,0,0,0,64,5,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,44,32,3,1,239.0,99.0,0,0,0,0,54,0,0,12,0,0.1,1.8,14.2,2019-08-10 14:00:00+00:00,90,0,1,0,11475,4.0,2,0,0,0,50,2019-08-10
13,2019-08-17,Sat,2,Away,W 2–1,Bournemouth,Aston Villa,Y*,CB,90,0,0,0,0,0,0,0,0,32,0,2,3,0.0,0.0,0.0,0,0,10,20,0,13,0,1,1,174,81,3,4,5,9,1,6,0.0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,7,0,12,23,9,0,0,30.0,10.0,0,0,0,0,11,0,0,11,0,0.1,2.9,28.8,2019-08-17 14:00:00+00:00,90,0,2,0,14443,0.0,2,-495,865,1360,50,2019-08-17
