,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Home,W 4–1,Tottenham,Southampton,Y,WB,65,1,0,0,0,2,1,1,0,58,2,0,2,0.4,0.4,0.0,1,0,36,48,1,13,1,0,0,564,60,20,21,14,22,2,4,0.0,0,0,1,0,34,14,0,0,0,4,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,5,18,19,21,2,47.0,27.0,2,0,1,1,28,10,0,19,0,3.0,9.4,38.4,2022-08-06 14:00:00+00:00,65,0,1,0,40034,53.0,7,0,0,0,45,2022-08-06
1,2022-08-14,Sun,2,Away,D 2–2,Tottenham,Chelsea,Y,WB,56,0,0,0,0,1,1,0,0,29,0,1,1,0.1,0.1,0.0,0,0,11,16,0,9,0,2,0,135,30,7,8,3,5,0,1,0.0,0,0,0,0,9,7,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,3,17,8,4,1,38.0,14.0,0,0,0,1,8,1,0,-3,0,0.5,2.1,3.2,2022-08-14 15:30:00+00:00,56,0,2,0,167626,17.0,1,80745,95968,15223,45,2022-08-14
2,2022-08-20,Sat,3,Home,W 1–0,Tottenham,Wolves,N,WB,15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,7,0,0,0,0,0,95,41,0,1,3,4,1,1,0.0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,5,3,1,0.0,0.0,0,0,0,0,1,1,0,4,0,0.1,0.2,0.2,2022-08-20 11:30:00+00:00,14,0,3,0,219677,2.0,1,42700,77634,34934,45,2022-08-20
3,2022-08-28,Sun,4,Away,W 2–0,Tottenham,Nott'ham Forest,N,"LB,WB",17,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,6,8,0,4,1,0,0,88,32,4,6,2,2,0,0,0.0,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,8,1,48.0,23.0,0,1,0,2,6,3,0,1,0,0.6,0.6,3.0,2022-08-28 15:30:00+00:00,16,0,4,0,173321,2.0,1,-46700,8651,55351,45,2022-08-28
4,2022-09-03,Sat,6,Home,W 2–1,Tottenham,Fulham,Y,WB,90,0,0,0,0,6,2,0,0,65,3,1,0,0.5,0.5,0.2,6,1,35,50,3,45,5,1,0,494,139,25,29,9,13,1,4,0.0,1,3,1,0,43,7,0,0,0,5,7,0,0,2,0,0,4,0,0,0,0,0,1,0,0,2,2,1,0,0,0,0,0,0,1,0,2,14,23,28,6,277.0,140.0,3,0,2,0,41,9,0,13,0,12.7,11.1,12.8,2022-09-03 14:00:00+00:00,90,0,6,0,122235,85.0,5,-22579,4645,27224,45,2022-09-03
5,2022-09-17,Sat,8,Home,W 6–2,Tottenham,Leicester City,Y,WB,90,0,0,0,0,0,0,0,0,49,0,1,0,0.0,0.0,0.0,2,0,32,48,2,24,4,1,1,427,113,20,27,8,13,2,3,0.0,0,1,1,0,43,5,0,0,0,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,16,14,4,192.0,135.0,1,2,0,0,36,4,0,7,0,2.4,1.3,2.6,2022-09-17 16:30:00+00:00,90,0,8,0,127134,8.0,1,1833,9157,7324,45,2022-09-17
6,2022-10-01,Sat,9,Away,L 1–3,Tottenham,Arsenal,N,LB,20,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,3,4,0,2,1,0,0,35,18,2,2,1,2,0,0,0.0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,5,2,0,0,25.0,24.0,0,0,0,0,2,0,0,3,0,0.2,0.4,4.2,2022-10-01 11:30:00+00:00,19,0,9,0,118110,0.0,1,-6915,4177,11092,45,2022-10-01
7,2022-10-08,Sat,10,Away,W 1–0,Tottenham,Brighton,Y,WB,90,0,0,0,0,0,0,0,0,45,1,1,0,0.0,0.0,0.1,3,0,30,38,3,20,0,1,1,460,122,14,16,14,17,1,4,0.0,1,1,1,1,32,6,1,0,1,3,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,3,1,4,15,18,14,1,120.0,76.0,1,0,0,1,23,5,0,25,1,15.8,2.7,8.8,2022-10-08 16:30:00+00:00,90,0,10,0,114183,2.0,6,-4604,4853,9457,45,2022-10-08
8,2022-10-19,Wed,12,Away,L 0–2,Tottenham,Manchester Utd,N,WB,9,0,0,0,0,1,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,5,0,2,0,0,0,59,9,3,3,0,1,1,1,0.0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,6,1,20.0,8.0,0,0,1,1,2,0,0,1,0,0.5,0.4,0.0,2022-10-19 19:15:00+00:00,8,0,12,0,118019,4.0,1,-6435,2130,8565,45,2022-10-19
9,2022-10-23,Sun,13,Home,L 1–2,Tottenham,Newcastle Utd,Y,WB,60,0,0,0,0,2,0,1,0,42,2,0,2,0.2,0.2,0.1,3,0,20,30,1,16,1,0,0,345,123,13,17,5,10,2,2,0.4,1,1,2,1,24,6,0,1,0,3,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,1,1,0,2,4,2,1,1,2,0,3,21,11,10,1,70.0,46.0,0,0,2,0,19,5,0,8,0,21.8,8.2,17.8,2022-10-23 15:30:00+00:00,60,0,13,0,117087,42.0,0,-8125,1522,9647,45,2022-10-23
