,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-10-05,Sat,8,Away,L 0–1,Everton,Burnley,N,RB,32,0,0,0,0,0,0,1,0,28,1,0,0,0.0,0.0,0.0,0,0,22,26,1,18,1,0,0,311,81,11,13,9,11,1,1,0.0,0,0,0,0,20,6,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,0,0,0,5,13,11,1,116.0,80.0,1,0,0,0,18,3,0,1,0,1.5,0.4,0.8,2019-10-05 14:00:00+00:00,31,0,8,0,10944,2.0,0,-438,159,597,53,2019-10-05
1,2019-10-19,Sat,9,Home,W 2–0,Everton,West Ham,Y,RB,90,0,0,0,0,0,0,0,0,62,4,1,1,0.0,0.0,0.4,2,0,41,56,7,30,5,0,0,809,292,15,20,20,27,6,8,0.1,1,1,4,2,45,10,4,0,0,5,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,4,2,0,1,1,0,2,14,35,15,1,197.0,119.0,3,1,0,0,29,6,3,32,1,20.6,4.1,18.8,2019-10-19 11:30:00+00:00,90,0,9,0,11076,2.0,9,-70,357,427,53,2019-10-19
2,2019-10-26,Sat,10,Away,L 2–3,Everton,Brighton,Y,RB,90,0,0,0,0,0,0,0,0,84,5,3,0,0.0,0.0,0.0,1,0,48,73,7,42,2,0,0,827,325,25,31,17,26,6,11,0.0,1,4,0,0,56,16,0,1,1,1,16,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,2,3,1,0,0,2,0,2,18,53,13,0,170.0,97.0,2,0,0,0,43,2,0,11,0,15.5,3.7,21.0,2019-10-26 14:00:00+00:00,90,0,10,0,12996,0.0,1,1565,1872,307,53,2019-10-26
3,2019-11-03,Sun,11,Home,D 1–1,Everton,Tottenham,Y,RB,90,0,0,0,0,0,0,0,0,61,3,1,0,0.0,0.0,0.0,3,0,38,53,6,33,3,2,2,674,240,13,18,19,23,4,5,0.0,0,4,1,0,42,11,0,0,1,3,11,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,1,0,0,0,0,0,12,26,24,1,176.0,108.0,4,0,2,1,32,6,0,10,0,3.2,1.7,11.4,2019-11-03 16:30:00+00:00,90,0,11,0,13056,2.0,2,-41,780,821,53,2019-11-03
4,2019-11-09,Sat,12,Away,W 2–1,Everton,Southampton,Y,RB,90,0,1,0,0,1,0,1,0,51,7,1,0,0.0,0.0,0.3,3,1,33,37,4,19,0,1,0,558,203,13,13,16,19,4,5,0.1,1,2,1,1,27,10,0,0,0,1,10,0,0,3,0,0,0,0,0,1,0,0,0,0,0,5,4,2,1,3,5,2,0,0,1,0,1,15,22,14,3,63.0,16.0,0,1,2,0,21,3,0,22,0,15.3,7.0,33.0,2019-11-09 15:00:00+00:00,90,0,12,0,14119,22.0,4,685,1270,585,53,2019-11-09
5,2019-11-23,Sat,13,Home,L 0–2,Everton,Norwich City,Y,RB,65,0,0,0,0,0,0,0,0,54,4,0,0,0.0,0.0,0.0,1,0,33,43,5,27,2,0,0,525,235,17,19,13,17,2,6,0.0,0,2,2,2,33,10,0,0,0,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,3,4,1,0,0,2,0,2,18,26,10,0,141.0,91.0,1,0,1,0,27,6,0,11,0,9.4,2.1,12.0,2019-11-23 15:00:00+00:00,65,0,13,0,19055,0.0,2,3856,4864,1008,53,2019-11-23
6,2019-12-01,Sun,14,Away,L 1–2,Everton,Leicester City,Y,"RM,WB",90,0,1,0,0,1,0,0,0,48,4,3,1,0.0,0.0,0.3,1,1,28,34,2,22,3,0,0,372,182,18,20,6,7,1,2,0.2,1,1,1,1,28,6,0,0,0,6,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,1,2,3,1,0,1,3,0,3,20,12,16,2,143.0,95.0,2,1,0,1,20,5,0,19,0,19.3,5.7,33.0,2019-12-01 16:30:00+00:00,90,0,14,0,16322,5.0,4,-2111,324,2435,53,2019-12-01
7,2019-12-04,Wed,15,Away,L 2–5,Everton,Liverpool,Y,RB,34,0,0,0,0,0,0,0,0,18,2,2,0,0.0,0.0,0.0,0,0,8,14,0,8,1,1,1,122,69,4,6,2,4,1,1,0.0,0,0,0,0,12,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,1,12,3,4,0,39.0,8.0,0,0,1,1,6,0,0,5,0,0.2,0.9,8.6,2019-12-04 20:15:00+00:00,34,0,15,0,16595,0.0,0,88,704,616,53,2019-12-04
8,2019-12-07,Sat,16,Home,W 3–1,Everton,Chelsea,Y,RB,90,0,1,0,0,0,0,0,0,67,7,4,3,0.0,0.0,0.7,5,2,30,46,4,24,1,0,0,549,311,18,21,8,17,4,7,0.5,3,4,0,0,32,14,1,0,0,2,13,0,0,3,1,0,0,0,1,2,0,0,0,0,0,4,2,3,2,5,7,2,0,3,3,0,4,21,30,16,2,103.0,42.0,0,0,2,2,22,2,1,28,0,35.9,8.6,45.6,2019-12-07 12:30:00+00:00,90,0,16,0,16301,4.0,6,-439,672,1111,53,2019-12-07
9,2019-12-21,Sat,18,Home,D 0–0,Everton,Arsenal,Y,RB,90,0,0,0,0,0,0,0,0,78,3,6,0,0.0,0.0,0.0,1,0,46,63,9,40,1,6,4,837,373,17,21,26,32,3,8,0.0,0,6,2,0,47,16,2,0,0,4,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,3,5,2,0,0,2,0,1,21,38,20,0,173.0,74.0,2,0,1,1,37,3,0,27,1,6.3,2.9,22.4,2019-12-21 12:30:00+00:00,90,0,18,0,19064,0.0,6,-1964,819,2783,53,2019-12-21
10,2019-12-26,Thu,19,Home,W 1–0,Everton,Burnley,Y,WB,89,0,1,0,0,2,1,0,0,59,3,1,0,0.1,0.1,0.1,6,1,37,48,1,37,2,3,1,524,197,22,26,14,16,1,3,0.1,3,3,2,2,43,5,1,1,0,5,4,0,0,4,0,0,0,1,1,1,0,0,0,0,0,2,1,2,0,2,2,0,0,0,0,0,0,5,34,20,4,141.0,93.0,3,0,2,0,43,10,3,36,1,44.8,11.4,37.8,2019-12-26 15:00:00+00:00,89,0,19,0,25814,31.0,12,5622,6475,853,53,2019-12-26
11,2019-12-28,Sat,20,Away,W 2–1,Everton,Newcastle Utd,Y,"RB,WB,RM",90,0,0,0,0,2,0,0,0,93,2,2,3,0.1,0.1,0.1,4,0,64,80,6,42,5,0,0,1101,473,31,37,29,32,4,7,0.1,2,2,2,2,69,11,0,0,1,4,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,6,4,1,2,4,0,4,30,39,25,0,223.0,109.0,2,0,1,0,58,1,0,23,0,31.2,6.9,29.2,2019-12-28 15:00:00+00:00,90,0,20,0,83974,9.0,2,53820,55792,1972,53,2019-12-28
12,2020-01-01,Wed,21,Away,L 1–2,Everton,Manchester City,Y,"WB,RB",90,0,0,0,0,0,0,0,0,57,5,2,1,0.0,0.0,0.1,2,0,38,45,2,32,2,3,1,631,206,23,24,11,13,4,4,0.0,1,1,1,1,40,4,1,1,2,1,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,1,4,3,0,1,1,0,2,19,22,17,0,130.0,54.0,2,0,2,0,31,1,2,23,0,20.1,4.1,21.0,2020-01-01 17:30:00+00:00,90,0,21,0,92545,0.0,3,9907,25374,15467,53,2020-01-01
13,2020-01-11,Sat,22,Home,W 1–0,Everton,Brighton,Y,"RB,RM,RW",90,0,0,0,0,1,0,0,0,80,1,0,2,0.0,0.0,0.0,2,0,53,69,5,53,6,4,2,864,294,28,31,19,26,4,7,0.0,0,6,0,0,58,10,2,0,1,6,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,3,10,46,24,0,316.0,165.0,2,0,2,1,52,6,0,22,1,3.2,1.2,8.2,2020-01-11 15:00:00+00:00,90,0,22,0,155494,1.0,6,59784,71684,11900,54,2020-01-11
14,2020-01-18,Sat,23,Away,D 1–1,Everton,West Ham,N,RM,34,0,0,0,0,0,0,0,0,30,3,1,0,0.0,0.0,0.0,0,0,19,26,1,25,0,0,0,235,74,10,11,6,10,0,1,0.0,0,2,0,0,25,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,7,11,13,0,71.0,44.0,1,0,0,0,18,2,0,7,0,3.7,1.2,8.2,2020-01-18 15:00:00+00:00,33,0,23,0,173809,0.0,1,17113,31089,13976,54,2020-01-18
