,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-08-11,Sun,1,Away,W 1–0,Arsenal,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,81,0,0,0,0.0,0.0,0.0,0,0,67,73,1,52,0,0,0,1324,581,23,23,35,39,9,10,0.0,0,1,0,0,71,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,16,57,24,0,0,155.0,76.0,0,0,0,0,61,0,2,28,1,0.4,2.1,20.2,2019-08-11 13:00:00+00:00,90,0,1,0,79581,0.0,8,0,0,0,50,2019-08-11
1,2019-08-17,Sat,2,Home,W 2–1,Arsenal,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,66,1,1,1,0.0,0.0,0.1,1,0,46,55,1,36,0,0,0,820,225,19,19,19,20,6,11,0.1,1,2,1,0,51,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,6,0,17,39,22,5,1,141.0,64.0,0,0,0,0,39,1,0,20,0,11.4,3.7,24.0,2019-08-17 11:30:00+00:00,90,0,2,0,120270,2.0,2,10172,19403,9231,50,2019-08-17
2,2019-08-24,Sat,3,Away,L 1–3,Arsenal,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,72,2,2,3,0.0,0.0,0.0,0,0,58,62,0,43,0,0,0,1094,473,24,24,25,27,7,8,0.0,0,0,0,0,59,2,2,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,3,0,3,0,22,58,15,0,0,180.0,117.0,0,0,0,0,51,0,0,16,0,0.3,3.4,33.4,2019-08-24 16:30:00+00:00,90,0,3,0,121345,0.0,1,-6542,10002,16544,50,2019-08-24
3,2019-09-01,Sun,4,Home,D 2–2,Arsenal,Tottenham,Y,CB,90,0,0,0,0,0,0,1,0,36,3,0,1,0.0,0.0,0.0,0,0,23,28,1,17,0,0,0,493,128,6,7,14,16,3,5,0.0,0,0,0,0,25,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,1,1,0,1,18,16,2,0,108.0,49.0,1,0,1,1,18,0,0,9,0,0.2,0.8,8.0,2019-09-01 15:30:00+00:00,90,0,4,0,124969,0.0,0,-3108,9514,12622,50,2019-09-01
4,2019-09-15,Sun,5,Away,D 2–2,Arsenal,Watford,Y,CB,90,0,0,0,0,0,0,0,0,44,2,0,1,0.0,0.0,0.0,0,0,33,38,0,29,0,0,0,657,224,7,8,17,17,7,11,0.0,0,0,0,0,36,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,3,1,11,26,18,0,0,104.0,42.0,0,0,0,0,36,0,0,10,0,0.2,1.4,13.8,2019-09-15 15:30:00+00:00,90,0,5,0,135300,0.0,1,4377,17808,13431,50,2019-09-15
5,2019-09-22,Sun,6,Home,W 3–2,Arsenal,Aston Villa,Y,CB,90,0,0,0,0,1,0,0,0,56,0,2,1,0.1,0.1,0.2,1,0,35,44,1,38,0,0,0,623,213,13,15,19,21,3,7,0.0,1,1,0,0,41,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,10,33,21,3,3,148.0,78.0,0,0,0,1,33,0,0,12,0,10.5,3.7,18.6,2019-09-22 15:30:00+00:00,90,0,6,0,133852,8.0,1,-3067,6209,9276,50,2019-09-22
6,2019-09-30,Mon,7,Away,D 1–1,Arsenal,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,31,0,0,2,0.0,0.0,0.0,0,0,22,25,0,19,0,0,0,475,165,7,7,11,11,3,5,0.0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,25,6,0,0,109.0,57.0,0,0,1,0,22,0,0,7,0,0.3,1.5,14.6,2019-09-30 19:00:00+00:00,90,0,7,0,124166,0.0,2,-10276,2893,13169,50,2019-09-30
7,2019-10-06,Sun,8,Home,W 1–0,Arsenal,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,62,2,3,2,0.0,0.0,0.0,1,0,36,49,1,38,0,0,0,770,180,13,13,11,14,11,20,0.0,0,0,0,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,2,1,1,3,0,5,24,38,0,0,172.0,86.0,0,0,0,0,39,0,0,24,1,0.7,1.8,17.6,2019-10-06 13:00:00+00:00,90,0,8,0,125237,0.0,6,-728,5475,6203,50,2019-10-06
8,2019-10-21,Mon,9,Away,L 0–1,Arsenal,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,1,0,75,1,0,0,0.0,0.0,0.0,0,0,61,68,3,48,0,0,0,1197,394,19,22,33,35,8,10,0.0,0,2,0,0,67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,10,47,27,2,1,221.0,131.0,0,0,1,0,54,0,0,8,0,0.8,1.2,9.2,2019-10-21 19:00:00+00:00,90,0,9,0,128763,2.0,1,2072,6641,4569,50,2019-10-21
9,2019-10-27,Sun,10,Home,D 2–2,Arsenal,Crystal Palace,Y,CB,90,1,0,0,0,1,1,0,0,71,2,2,2,0.1,0.1,0.0,0,0,50,56,3,47,1,0,0,936,405,17,17,29,32,4,6,0.0,0,2,0,0,55,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,1,1,1,8,0,9,43,26,2,2,253.0,127.0,0,0,0,1,50,0,0,27,0,0.3,7.8,58.8,2019-10-27 16:30:00+00:00,90,0,10,0,128277,19.0,7,-908,3080,3988,50,2019-10-27
