,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2024-02-17,Sat,25,Away,D 1–1,Chelsea,Manchester City,N,CB,20,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,1,2,0,0,0,0,0,10,2,1,1,0,0,0,1,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,1,0,2,3,1,1,0,0.0,0.0,0,0,0,0,3,0,0,6,0,0.1,0.8,8.0,2024-02-17 17:30:00+00:00,19,0,25,0,4736,0.0,1,86,131,45,43,2024-02-17
1,2024-03-02,Sat,27,Away,D 2–2,Chelsea,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,75,0,2,0,0.0,0.0,0.0,1,0,60,70,1,33,0,0,0,1112,229,18,22,40,42,2,6,0.0,1,0,0,0,68,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,34,41,1,0,87.0,13.0,0,0,0,0,45,0,0,15,0,10.8,2.3,11.8,2024-03-02 15:00:00+00:00,90,0,27,0,5178,0.0,1,159,220,61,43,2024-03-02
2,2024-03-11,Mon,28,Home,W 3–2,Chelsea,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,54,1,1,1,0.0,0.0,0.0,0,0,29,42,0,25,0,0,0,502,75,12,13,15,19,1,9,0.0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,7,0,15,46,8,0,0,78.0,12.0,0,0,2,0,29,0,0,11,0,0.1,1.9,18.6,2024-03-11 20:00:00+00:00,90,0,28,0,5352,0.0,1,131,222,91,43,2024-03-11
3,2024-04-04,Thu,31,Home,W 4–3,Chelsea,Manchester Utd,N,CB,16,0,0,0,0,0,0,0,0,25,0,1,0,0.0,0.0,0.0,0,0,23,25,1,16,0,0,0,431,105,7,8,15,16,1,1,0.0,0,0,0,0,24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,9,1,0,46.0,27.0,0,0,0,0,19,0,0,4,0,0.5,0.4,3.8,2024-04-04 19:15:00+00:00,15,0,31,0,5460,0.0,1,-182,9,191,43,2024-04-04
4,2024-04-07,Sun,32,Away,D 2–2,Chelsea,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,1,0,108,0,1,1,0.0,0.0,0.0,0,0,91,100,3,76,2,0,0,1505,547,45,51,38,39,7,9,0.0,0,0,0,0,99,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,10,53,49,6,0,263.0,130.0,1,0,1,0,82,0,0,13,0,1.8,2.2,20.6,2024-04-07 16:30:00+00:00,90,0,32,0,5496,0.0,0,26,108,82,43,2024-04-07
5,2024-04-15,Mon,33,Home,W 6–0,Chelsea,Everton,Y,CB,90,0,0,0,0,0,0,0,0,104,1,0,1,0.0,0.0,0.0,0,0,85,92,2,73,0,0,0,1582,415,24,25,56,57,3,7,0.0,0,1,0,0,90,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,0,19,75,29,0,0,236.0,100.0,0,0,1,0,83,0,0,29,1,0.5,2.9,28.6,2024-04-15 19:00:00+00:00,90,0,33,0,5731,0.0,6,183,258,75,43,2024-04-15
6,2024-04-23,Tue,29,Away,L 0–5,Chelsea,Arsenal,N,"RB,CB",24,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,21,23,2,21,0,0,0,267,138,12,12,8,8,0,2,0.0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9,8,0,66.0,38.0,1,0,0,0,20,4,0,4,0,2.3,0.4,2.0,2024-04-23 19:00:00+00:00,23,0,34,0,6381,0.0,1,575,744,169,43,2024-04-23
7,2024-04-27,Sat,35,Away,D 2–2,Chelsea,Aston Villa,Y,RB,90,0,0,0,0,0,0,0,0,112,6,0,0,0.0,0.0,0.0,1,0,92,102,11,55,1,0,0,1488,494,37,42,53,57,2,3,0.0,1,10,1,0,94,8,2,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,1,3,2,2,0,0,0,2,0,1,23,69,20,0,168.0,110.0,2,0,3,1,79,3,1,22,0,16.4,4.1,24.8,2024-04-27 19:00:00+00:00,90,0,35,0,10359,0.0,2,3867,4553,686,43,2024-04-27
8,2024-05-02,Thu,26,Home,W 2–0,Chelsea,Tottenham,Y,CB,90,1,0,0,0,1,1,0,0,53,0,0,1,0.1,0.1,0.0,0,0,37,45,1,22,0,0,0,702,183,10,12,24,26,3,6,0.0,0,3,0,0,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,7,29,24,1,1,75.0,28.0,0,0,1,0,38,0,3,38,1,1.1,6.2,43.4,2024-05-02 18:30:00+00:00,90,0,35,0,10359,17.0,15,3867,4553,686,43,2024-05-02
9,2024-05-05,Sun,36,Home,W 5–0,Chelsea,West Ham,Y,RB,82,0,0,0,0,1,1,0,0,81,1,1,0,0.1,0.1,0.0,3,1,69,72,5,28,0,0,0,1080,362,38,38,27,28,2,3,0.3,0,8,1,0,68,4,1,1,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,2,0,0,5,0,11,34,37,11,1,96.0,58.0,1,0,0,0,62,0,0,29,1,6.8,4.2,18.2,2024-05-05 13:00:00+00:00,82,0,36,0,61907,17.0,6,50810,52497,1687,43,2024-05-05
