,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,W 1–0,Fulham,Everton,Y,RB,90,0,0,0,0,0,0,1,0,84,1,2,1,0.0,0.0,0.1,3,0,58,72,6,52,2,3,1,851,309,35,39,17,22,4,7,0.0,1,2,1,1,59,13,2,0,0,2,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,6,0,7,41,33,12,0,197.0,84.0,2,0,0,1,51,4,0,24,1,16.6,4.1,24.2,2023-08-12 14:00:00+00:00,90,0,1,0,51675,0.0,5,0,0,0,45,2023-08-12
1,2023-08-19,Sat,2,Home,L 0–3,Fulham,Brentford,Y,RB,85,0,0,0,0,0,0,0,0,55,3,1,0,0.0,0.0,0.0,1,0,36,44,3,26,4,4,3,517,125,23,23,11,11,2,5,0.1,0,5,1,0,35,9,0,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,0,5,0,4,18,25,13,0,161.0,94.0,3,0,1,1,28,5,0,19,0,3.5,1.9,15.4,2023-08-19 14:00:00+00:00,85,0,2,0,62758,0.0,1,3145,5892,2747,45,2023-08-19
2,2023-08-26,Sat,3,Away,D 2–2,Fulham,Arsenal,Y,RB,90,0,0,0,0,0,0,1,0,33,3,1,0,0.0,0.0,0.0,0,0,17,22,1,7,1,0,0,333,182,6,9,8,10,3,3,0.0,0,1,0,0,17,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,4,0,6,24,6,3,0,23.0,14.0,1,0,0,0,10,0,0,1,0,0.7,0.9,8.6,2023-08-26 14:00:00+00:00,90,0,3,0,59146,0.0,0,-4814,1666,6480,45,2023-08-26
3,2023-09-02,Sat,4,Away,L 1–5,Fulham,Manchester City,Y,RB,72,0,0,0,0,0,0,0,0,38,2,1,1,0.0,0.0,0.0,0,0,23,28,4,8,0,0,0,409,240,10,12,8,9,4,5,0.0,0,4,0,0,21,7,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,1,2,0,1,13,19,6,2,27.0,5.0,0,0,2,0,18,2,0,5,0,0.9,1.2,6.8,2023-09-02 14:00:00+00:00,72,0,4,0,55610,4.0,0,-4709,1455,6164,45,2023-09-02
4,2023-09-16,Sat,5,Home,W 1–0,Fulham,Luton Town,Y,RB,90,0,0,0,0,1,0,0,0,113,0,2,0,0.2,0.2,0.0,1,0,92,105,10,77,4,4,1,1359,325,56,60,32,36,3,6,0.1,0,8,3,3,93,12,1,1,0,7,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,61,46,2,289.0,97.0,3,0,0,1,91,16,0,22,1,24.1,4.6,13.0,2023-09-16 14:00:00+00:00,90,0,5,0,60605,9.0,6,2315,6776,4461,45,2023-09-16
5,2023-12-03,Sun,14,Away,L 3–4,Fulham,Liverpool,Y,RB,74,1,0,0,0,1,1,0,0,45,2,4,1,0.5,0.5,0.0,0,0,15,28,3,13,1,1,0,159,73,12,17,3,8,0,0,0.0,0,2,0,0,21,7,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,1,5,0,5,19,18,8,1,51.0,27.0,0,0,1,0,17,1,0,21,0,1.8,8.2,47.4,2023-12-03 14:00:00+00:00,74,0,14,0,29961,33.0,7,-313,208,521,44,2023-12-03
6,2023-12-16,Sat,17,Away,L 0–3,Fulham,Newcastle Utd,N,RB,30,0,0,0,0,0,0,0,0,20,3,0,0,0.0,0.0,0.0,1,0,9,12,0,9,0,1,0,148,52,5,6,4,5,0,0,0.0,1,1,1,1,11,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,3,1,0,0,3,0,4,8,6,6,0,49.0,23.0,0,0,0,0,11,0,0,7,0,14.8,3.1,15.8,2023-12-16 15:00:00+00:00,29,0,17,0,32623,0.0,0,-250,936,1186,44,2023-12-16
7,2023-12-26,Tue,19,Away,L 0–3,Fulham,Bournemouth,Y,RB,72,0,0,0,0,1,0,0,0,57,2,2,2,0.0,0.0,0.0,2,0,40,48,7,20,3,3,2,632,291,26,30,10,11,3,6,0.0,0,6,0,0,43,5,0,0,0,2,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,2,2,0,3,21,23,13,2,119.0,65.0,1,1,1,0,26,3,0,18,0,3.3,2.1,9.8,2023-12-26 15:00:00+00:00,72,0,19,0,32353,8.0,1,-402,486,888,44,2023-12-26
8,2024-01-13,Sat,21,Away,L 0–1,Fulham,Chelsea,Y,RB,63,0,0,0,0,0,0,0,0,41,4,3,2,0.0,0.0,0.0,0,0,18,29,1,14,0,1,0,232,141,12,14,5,11,1,2,0.0,0,2,0,0,20,9,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,3,5,2,2,0,3,0,6,20,9,13,1,88.0,35.0,0,0,1,0,13,2,0,10,0,1.6,2.4,20.8,2024-01-13 12:30:00+00:00,63,0,21,0,31074,2.0,2,-833,603,1436,44,2024-01-13
9,2024-02-03,Sat,23,Away,D 2–2,Fulham,Burnley,N,RB,6,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,2,3,0,0,0,0,0,23,23,2,3,0,0,0,0,0.0,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,3,0,0.0,0.0,0,0,0,0,1,0,0,3,0,0.1,0.2,2.2,2024-02-03 15:00:00+00:00,5,0,23,0,30976,0.0,1,-286,318,604,44,2024-02-03
10,2024-03-16,Sat,29,Home,W 3–0,Fulham,Tottenham,N,RB,9,0,0,0,0,0,0,0,0,10,0,0,2,0.0,0.0,0.0,0,0,4,7,0,3,2,1,1,53,30,2,4,2,3,0,0,0.0,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,3,0,44.0,39.0,1,0,1,0,4,0,0,4,0,0.5,0.2,1.4,2024-03-16 17:30:00+00:00,8,0,29,0,30186,0.0,1,318,613,295,44,2024-03-16
11,2024-03-30,Sat,30,Away,D 3–3,Fulham,Sheffield Utd,N,RB,6,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,11,2,6,1,0,0,152,37,4,4,4,6,1,1,0.0,0,2,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,6,0,36.0,24.0,1,0,0,0,9,0,0,2,0,1.4,0.2,0.4,2024-03-30 15:00:00+00:00,5,0,30,0,28762,0.0,1,-70,297,367,44,2024-03-30
12,2024-04-02,Tue,31,Away,L 1–3,Fulham,Nott'ham Forest,Y,RB,90,0,0,0,0,1,0,0,0,65,1,0,1,0.1,0.1,0.3,3,0,50,58,10,32,1,1,1,879,348,18,21,26,30,4,5,0.1,1,7,2,1,52,6,0,0,0,3,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,3,14,34,18,1,204.0,81.0,1,0,1,0,39,3,0,16,0,17.5,3.7,12.0,2024-04-02 18:30:00+00:00,90,0,31,0,28758,7.0,1,-46,166,212,44,2024-04-02
13,2024-05-19,Sun,38,Away,W 4–2,Fulham,Luton Town,Y,RB,90,0,0,0,0,0,0,0,0,70,5,0,0,0.0,0.0,0.0,3,2,45,56,7,36,1,1,0,666,438,25,27,16,19,2,4,0.0,0,4,2,1,47,8,2,0,0,2,6,0,1,2,0,0,0,1,0,1,0,0,0,1,0,2,4,1,0,2,2,0,0,0,2,0,1,28,32,11,2,112.0,62.0,2,1,2,0,48,2,0,9,0,6.6,2.8,17.4,2024-05-19 15:00:00+00:00,90,0,38,0,28030,4.0,1,-95,153,248,44,2024-05-19
14,2022-08-06,Sat,1,Home,D 2–2,Fulham,Liverpool,Y,RB,90,0,1,0,0,0,0,1,0,58,5,2,1,0.0,0.0,0.1,1,1,30,47,1,18,1,0,0,415,214,21,26,6,13,2,3,0.1,1,3,1,1,31,15,2,0,0,3,13,0,1,1,0,0,0,0,0,1,0,0,0,0,0,5,3,0,2,2,2,0,0,1,5,0,4,13,29,16,0,40.0,12.0,0,0,0,0,15,1,0,27,0,15.0,5.4,39.0,2022-08-06 11:30:00+00:00,90,0,1,0,6670,0.0,3,0,0,0,45,2022-08-06
15,2022-08-13,Sat,2,Away,D 0–0,Fulham,Wolves,Y,RB,89,0,0,0,0,0,0,0,0,53,2,2,0,0.0,0.0,0.0,1,0,30,46,3,23,1,0,0,462,180,17,20,10,16,3,6,0.0,0,0,0,0,31,15,2,0,0,1,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,0,1,0,1,15,28,11,0,84.0,17.0,1,0,2,3,20,0,0,16,1,0.8,0.8,7.6,2022-08-13 14:00:00+00:00,90,0,2,0,26241,0.0,6,7640,10179,2539,45,2022-08-13
16,2022-08-20,Sat,3,Home,W 3–2,Fulham,Brentford,Y,RB,76,0,0,0,0,0,0,1,0,58,3,1,1,0.0,0.0,0.0,1,0,38,45,0,14,1,0,0,545,271,22,24,14,18,1,2,0.0,0,3,0,0,28,17,1,0,0,1,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,3,0,2,28,18,12,0,53.0,7.0,0,0,2,1,19,0,0,5,0,1.4,1.7,15.8,2022-08-20 14:00:00+00:00,76,0,3,0,39773,0.0,0,8668,13404,4736,45,2022-08-20
17,2022-08-27,Sat,4,Away,L 1–2,Fulham,Arsenal,Y,RB,78,0,0,0,0,0,0,0,0,40,4,1,2,0.0,0.0,0.0,2,0,18,30,1,13,0,0,0,248,129,10,13,7,12,0,2,0.0,0,1,0,0,24,6,0,0,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,0,2,0,3,0,6,18,18,4,0,44.0,19.0,1,0,1,0,12,0,0,7,0,0.7,2.2,21.4,2022-08-27 16:30:00+00:00,78,0,4,0,32881,0.0,2,-7499,1763,9262,45,2022-08-27
18,2022-08-30,Tue,5,Home,W 2–1,Fulham,Brighton,Y,RB,90,0,0,0,0,0,0,0,0,45,3,1,1,0.0,0.0,0.0,2,0,23,34,1,15,1,2,0,329,167,11,11,12,17,0,3,0.0,0,2,0,0,22,12,1,0,1,1,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,1,5,0,3,23,14,9,0,74.0,37.0,0,0,0,0,17,0,0,9,0,0.8,1.7,15.8,2022-08-30 18:30:00+00:00,90,0,5,0,35782,0.0,2,900,4573,3673,45,2022-08-30
19,2022-09-03,Sat,6,Away,L 1–2,Fulham,Tottenham,Y,RB,90,0,1,0,0,1,0,1,0,65,5,2,3,0.0,0.0,0.1,2,1,38,48,6,36,2,0,0,742,287,16,16,17,22,5,8,0.1,2,7,1,1,39,9,2,0,0,3,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,4,1,0,4,4,0,2,1,3,0,2,17,39,10,1,126.0,74.0,2,0,1,1,37,5,0,19,0,25.7,7.7,46.8,2022-09-03 14:00:00+00:00,90,0,6,0,34493,4.0,3,-2460,2573,5033,45,2022-09-03
20,2022-09-16,Fri,8,Away,W 3–2,Fulham,Nott'ham Forest,Y,RB,90,0,1,0,0,1,1,1,0,94,3,0,2,0.0,0.0,0.0,2,1,65,83,5,51,5,0,0,1013,303,38,46,22,28,5,6,0.0,1,2,2,1,71,11,0,0,0,5,11,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,1,2,1,2,0,1,0,2,14,54,26,2,234.0,174.0,6,0,2,0,60,5,0,18,0,18.8,8.0,42.2,2022-09-16 19:00:00+00:00,90,0,8,0,63953,19.0,3,14969,18293,3324,45,2022-09-16
21,2022-10-29,Sat,14,Home,D 0–0,Fulham,Everton,N,RB,15,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.1,1,0,8,10,0,3,0,0,0,118,36,5,5,3,4,0,0,0.0,1,0,1,1,9,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,7,2,0,8.0,0.0,0,0,0,0,6,0,0,7,0,14.2,2.1,6.4,2022-10-29 16:30:00+00:00,14,0,14,0,26695,0.0,1,-2133,161,2294,44,2022-10-29
22,2022-11-05,Sat,15,Away,L 1–2,Fulham,Manchester City,Y,RB,90,0,0,0,0,1,1,1,0,36,3,3,1,0.0,0.0,0.0,0,0,17,22,3,16,1,0,0,270,59,9,11,8,9,0,1,0.0,0,0,1,0,19,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,2,0,0,1,3,0,3,15,14,7,1,105.0,50.0,2,0,0,0,19,1,0,6,0,1.3,2.2,11.6,2022-11-05 15:00:00+00:00,90,0,15,0,26167,9.0,0,-662,249,911,44,2022-11-05
23,2022-12-26,Mon,17,Away,W 3–0,Fulham,Crystal Palace,Y,RB,90,0,0,0,0,1,1,0,0,100,2,1,1,0.1,0.1,0.2,7,1,66,92,14,56,12,0,0,883,309,45,51,18,28,2,8,0.2,3,4,3,2,82,9,0,1,2,11,9,0,1,6,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,1,1,0,2,10,50,40,5,499.0,362.0,5,1,0,0,69,10,0,27,1,50.5,9.3,25.0,2022-12-26 15:00:00+00:00,90,0,17,0,24983,17.0,6,221,3543,3322,44,2022-12-26
