,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-10-01,Sun,7,Home,D 1–1,Nott'ham Forest,Brentford,N,LB,31,0,1,0,0,0,0,0,0,11,0,0,3,0.0,0.0,0.0,1,1,4,6,0,1,0,0,0,108,58,1,1,1,1,2,4,0.0,1,0,1,1,5,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,5,8,3,1,0,1.0,0.0,0,0,0,0,2,1,0,17,0,14.0,4.3,29.2,2023-10-01 13:00:00+00:00,30,0,7,0,4326,0.0,4,-147,45,192,44,2023-10-01
1,2023-10-07,Sat,8,Away,D 0–0,Nott'ham Forest,Crystal Palace,Y,LB,90,0,0,0,0,1,1,0,0,67,4,2,1,0.0,0.0,0.0,1,0,41,53,6,34,1,1,0,610,279,22,27,12,17,4,6,0.1,1,9,1,1,48,5,0,0,0,3,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,4,2,1,0,2,0,3,17,32,18,2,131.0,72.0,1,0,0,0,39,5,0,26,1,17.4,5.8,29.8,2023-10-07 16:30:00+00:00,90,0,8,0,4706,11.0,6,233,404,171,44,2023-10-07
2,2023-10-21,Sat,9,Home,D 2–2,Nott'ham Forest,Luton Town,Y,LB,90,0,0,0,0,1,1,0,0,51,0,4,2,0.3,0.3,0.1,1,0,29,38,2,14,0,1,0,450,203,15,19,12,14,2,4,0.1,1,1,1,1,29,9,1,0,0,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,4,22,19,10,1,51.0,16.0,0,0,2,0,21,7,0,10,0,15.3,6.7,18.6,2023-10-21 14:00:00+00:00,90,0,9,0,7921,33.0,1,2722,3125,403,44,2023-10-21
3,2023-10-29,Sun,10,Away,L 0–3,Nott'ham Forest,Liverpool,N,LB,22,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,5,1,2,0,0,0,23,8,1,1,1,3,0,1,0.0,0,1,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1.0,0.0,0,0,0,0,3,0,0,2,0,0.1,0.0,0.0,2023-10-29 14:00:00+00:00,21,0,10,0,8209,0.0,1,447,1535,1088,44,2023-10-29
4,2023-11-05,Sun,11,Home,W 2–0,Nott'ham Forest,Aston Villa,Y,LB,70,0,2,0,0,0,0,0,0,31,3,0,1,0.0,0.0,0.1,2,2,17,23,1,16,0,0,0,335,137,6,6,7,10,4,6,0.0,2,1,0,0,21,2,1,0,0,2,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,3,0,0,3,3,0,1,0,2,0,2,15,11,5,0,28.0,18.0,0,0,1,0,18,0,3,45,1,20.9,6.7,46.2,2023-11-05 14:00:00+00:00,70,0,11,0,7854,0.0,15,-350,285,635,44,2023-11-05
5,2023-11-12,Sun,12,Away,L 2–3,Nott'ham Forest,West Ham,Y,LB,90,0,0,0,0,0,0,0,0,52,1,0,3,0.0,0.0,0.2,3,0,33,46,3,28,1,0,0,533,203,17,21,11,15,4,7,0.2,2,2,3,3,37,9,2,0,0,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,2,0,1,14,30,9,0,72.0,31.0,1,0,0,1,27,2,0,13,0,33.8,5.3,19.4,2023-11-12 14:00:00+00:00,90,0,12,0,9273,0.0,1,1256,2001,745,44,2023-11-12
6,2023-11-25,Sat,13,Home,L 2–3,Nott'ham Forest,Brighton,Y,LB,90,0,0,0,0,1,1,1,0,60,3,0,1,0.0,0.0,0.1,5,1,42,51,4,23,0,0,0,739,276,15,16,19,20,4,9,0.2,4,5,0,0,41,10,2,0,0,8,5,3,0,1,4,0,0,0,0,1,0,0,0,0,0,1,1,2,0,2,3,1,0,1,2,0,2,13,24,24,0,68.0,31.0,0,0,0,1,33,2,0,15,0,60.2,9.0,22.4,2023-11-25 15:00:00+00:00,90,0,13,0,15975,7.0,0,5993,6898,905,44,2023-11-25
7,2023-12-02,Sat,14,Home,L 0–1,Nott'ham Forest,Everton,Y,LB,81,0,0,0,0,0,0,0,0,71,0,2,3,0.0,0.0,0.2,2,0,40,59,4,20,0,0,0,651,304,24,27,12,18,3,11,0.1,1,6,0,0,47,12,2,0,0,3,7,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,6,30,30,11,0,66.0,22.0,0,0,1,0,35,1,0,13,0,15.3,3.7,21.8,2023-12-02 17:30:00+00:00,81,0,14,0,21111,0.0,2,5098,6462,1364,44,2023-12-02
8,2023-12-06,Wed,15,Away,L 0–5,Nott'ham Forest,Fulham,Y,LB,90,0,0,0,0,0,0,0,0,58,2,1,1,0.0,0.0,0.0,0,0,36,45,2,20,0,0,0,653,250,13,13,21,26,2,6,0.0,0,3,0,0,36,9,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,1,0,4,0,6,24,27,7,0,54.0,14.0,0,0,1,0,26,0,0,20,0,1.8,1.9,17.4,2023-12-06 19:30:00+00:00,90,0,15,0,19733,0.0,0,-1238,1408,2646,44,2023-12-06
9,2023-12-09,Sat,16,Away,D 1–1,Nott'ham Forest,Wolves,Y,WB,90,1,0,0,0,2,1,0,0,39,0,0,2,0.9,0.9,0.0,1,0,17,31,2,13,0,0,0,304,124,9,11,4,7,3,11,0.0,0,1,1,1,25,6,3,0,0,5,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,3,11,14,14,2,41.0,12.0,0,0,0,1,22,4,0,12,0,5.2,11.1,35.0,2023-12-09 15:00:00+00:00,90,0,16,0,18098,71.0,8,-1613,366,1979,44,2023-12-09
