,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,W 1–0,Crystal Palace,Sheffield Utd,N,CB,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,8,6,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.2,2023-08-12 14:00:00+00:00,1,0,1,0,73828,0.0,1,0,0,0,40,2023-08-12
1,2024-01-20,Sat,21,Away,L 0–5,Crystal Palace,Arsenal,N,CB,4,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,5,6,0,2,0,0,0,54,17,5,6,0,0,0,0,0.0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3,0,0,5.0,2.0,0,0,0,0,3,0,0,3,0,0.1,0.2,1.4,2024-01-20 12:30:00+00:00,3,0,21,0,44729,0.0,0,-1497,229,1726,40,2024-01-20
2,2024-02-24,Sat,26,Home,W 3–0,Crystal Palace,Burnley,N,CB,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,4,0,1,0,0,0,37,6,1,1,1,3,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,1,0,6.0,3.0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.2,2024-02-24 15:00:00+00:00,1,0,26,0,43721,0.0,1,-300,345,645,40,2024-02-24
3,2024-05-19,Sun,38,Home,W 5–0,Crystal Palace,Aston Villa,N,CB,4,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,10,10,1,5,0,0,0,263,113,1,1,5,5,4,4,0.0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,0,15.0,7.0,0,0,0,0,9,0,0,3,0,0.2,0.1,1.2,2024-05-19 15:00:00+00:00,3,0,38,0,42662,0.0,1,0,588,588,39,2024-05-19
4,2022-10-01,Sat,9,Home,L 1–2,Crystal Palace,Chelsea,N,CB,48,0,0,0,0,0,0,0,0,30,1,0,0,0.0,0.0,0.0,0,0,19,25,1,18,1,1,1,381,86,3,5,15,16,1,4,0.0,0,0,0,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,4,17,13,0,0,61.0,39.0,0,0,1,0,14,0,0,7,0,0.2,0.7,6.6,2022-10-01 14:00:00+00:00,46,0,9,0,62257,0.0,1,2314,5264,2950,39,2022-10-01
5,2022-12-26,Mon,17,Home,L 0–3,Crystal Palace,Fulham,Y,CB,56,0,0,0,0,0,0,2,1,69,0,2,0,0.0,0.0,0.0,0,0,58,65,0,41,0,0,0,969,407,30,32,25,27,3,6,0.0,0,0,0,0,62,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,6,54,15,0,0,199.0,138.0,1,0,1,0,56,0,0,-2,0,0.0,0.3,2.8,2022-12-26 15:00:00+00:00,56,0,17,0,116239,0.0,-3,-10114,14771,24885,39,2022-12-26
6,2023-01-15,Sun,20,Away,L 0–1,Crystal Palace,Chelsea,N,CB,53,0,0,0,0,1,0,0,0,29,0,1,1,0.0,0.0,0.0,0,0,13,21,0,13,0,0,0,291,88,2,5,9,11,2,4,0.0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,4,18,8,3,0,36.0,9.0,0,0,0,0,15,1,0,5,0,0.3,1.2,9.4,2023-01-15 14:00:00+00:00,52,0,20,0,106849,2.0,1,-1387,2474,3861,39,2023-01-15
7,2023-02-11,Sat,23,Home,D 1–1,Crystal Palace,Brighton,Y,CB,90,1,0,0,0,1,1,0,0,32,2,0,1,0.8,0.8,0.0,0,0,21,25,0,15,0,0,0,459,140,6,6,12,13,3,6,0.0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,4,0,8,22,9,1,1,30.0,3.0,0,0,0,1,18,0,1,25,0,0.3,8.2,48.2,2023-02-11 15:00:00+00:00,90,0,23,0,104251,33.0,9,-753,2066,2819,39,2023-02-11
8,2023-03-19,Sun,28,Away,L 1–4,Crystal Palace,Arsenal,Y,CB,90,0,0,0,0,1,1,1,0,48,1,2,1,0.1,0.1,0.0,0,0,27,35,1,30,0,0,0,545,101,6,7,18,20,3,7,0.0,0,1,0,0,32,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,8,0,12,31,14,3,2,103.0,31.0,0,0,0,0,27,0,0,12,0,0.3,4.2,23.0,2023-03-19 14:00:00+00:00,90,0,28,0,111897,19.0,-1,-3384,1332,4716,39,2023-03-19
9,2023-04-15,Sat,31,Away,W 2–0,Crystal Palace,Southampton,N,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2023-04-15 14:00:00+00:00,1,0,31,0,106702,0.0,1,-867,774,1641,39,2023-04-15
10,2021-10-18,Mon,8,Away,D 2–2,Crystal Palace,Arsenal,N,CB,9,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.2,2.0,2021-10-18 19:00:00+00:00,8,0,8,0,8318,0.0,1,-258,141,399,44,2021-10-18
11,2021-11-27,Sat,13,Home,L 1–2,Crystal Palace,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,83,0,1,1,0.0,0.0,0.1,2,0,73,78,3,51,1,1,1,1572,487,19,20,40,42,13,14,0.0,1,2,0,0,76,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11,52,30,1,1,158.0,49.0,0,0,0,0,59,0,0,18,0,10.7,3.0,17.6,2021-11-27 15:00:00+00:00,90,0,13,0,8101,2.0,1,-124,143,267,43,2021-11-27
12,2021-11-30,Tue,14,Away,L 0–1,Crystal Palace,Leeds United,Y,CB,90,0,0,0,0,0,0,0,0,46,1,2,2,0.0,0.0,0.0,0,0,24,36,0,26,0,0,0,525,320,6,8,14,17,4,11,0.0,0,0,0,0,33,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,2,0,0,0,12,39,6,1,1,124.0,78.0,0,0,0,0,24,1,0,8,0,0.0,1.8,15.8,2021-11-30 20:15:00+00:00,90,0,14,0,8158,2.0,2,16,147,131,43,2021-11-30
13,2021-12-05,Sun,15,Away,L 0–1,Crystal Palace,Manchester Utd,Y,CB,90,0,0,0,0,1,0,0,0,50,3,0,1,0.0,0.0,0.1,1,0,29,40,1,18,0,0,0,584,256,8,10,17,20,3,9,0.1,1,1,0,0,33,7,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,2,0,1,0,5,0,12,34,14,2,1,64.0,31.0,0,0,0,0,24,0,0,17,0,10.4,4.4,23.6,2021-12-05 14:00:00+00:00,90,0,15,0,8120,10.0,2,-79,130,209,43,2021-12-05
14,2021-12-12,Sun,16,Home,W 3–1,Crystal Palace,Everton,Y,CB,90,1,0,0,0,1,1,0,0,63,0,0,0,0.3,0.3,0.0,0,0,58,59,0,40,0,0,0,1241,268,11,11,41,41,6,7,0.0,0,0,0,0,57,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,45,17,1,1,189.0,66.0,0,0,0,0,54,0,2,29,0,0.0,7.6,42.6,2021-12-12 16:30:00+00:00,90,0,16,0,8695,33.0,10,414,634,220,43,2021-12-12
15,2021-12-15,Wed,17,Home,D 2–2,Crystal Palace,Southampton,Y,CB,80,0,0,0,0,1,1,1,0,69,2,1,3,0.2,0.2,0.0,0,0,40,52,1,31,0,0,0,997,267,4,9,26,29,10,14,0.0,0,1,0,0,51,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1,3,0,8,0,22,55,13,1,1,153.0,52.0,0,0,0,0,41,0,0,11,0,0.2,6.3,29.6,2021-12-15 19:30:00+00:00,80,0,17,0,16988,33.0,0,7169,7537,368,43,2021-12-15
16,2021-12-26,Sun,19,Away,L 0–3,Crystal Palace,Tottenham,Y,CB,90,0,0,0,0,1,0,1,0,51,0,0,1,0.0,0.0,0.0,0,0,45,46,3,40,0,0,0,949,240,8,8,34,34,3,4,0.0,0,1,0,0,44,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,26,23,2,2,91.0,33.0,0,0,2,0,42,0,0,8,0,0.4,1.3,6.8,2021-12-26 15:00:00+00:00,90,0,19,0,16413,6.0,0,536,1554,1018,43,2021-12-26
17,2021-12-28,Tue,20,Home,W 3–0,Crystal Palace,Norwich City,N,CB,8,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,8,9,0,5,0,0,0,153,19,2,2,5,5,1,2,0.0,0,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,8,1,1,1,18.0,4.0,0,0,0,0,5,0,0,3,0,0.3,0.5,2.4,2021-12-28 15:00:00+00:00,7,0,20,0,23549,2.0,1,3694,4422,728,43,2021-12-28
18,2020-12-19,Sat,14,Home,L 0–7,Crystal Palace,Liverpool,N,CB,28,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,8,11,1,5,0,0,0,120,36,5,5,3,4,0,2,0.0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,4,0,0,14.0,3.0,0,0,0,0,4,0,0,4,0,0.0,0.3,3.0,2020-12-19 12:30:00+00:00,27,0,14,0,1700,0.0,0,-12,93,105,45,2020-12-19
