,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-09-20,Sun,2,Home,L 0–2,Chelsea,Liverpool,N,CB,45,0,0,0,0,0,0,0,0,41,2,2,1,0.0,0.0,0.0,0,0,28,29,0,13,0,0,0,527,155,7,7,20,20,0,1,0.0,0,0,0,0,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,8,0,16,36,5,0,0,45.0,23.0,0,0,0,0,22,0,0,8,0,0.1,2.7,26.6,2020-09-20 15:30:00+00:00,45,0,2,0,21982,0.0,0,-4131,565,4696,50,2020-09-20
1,2019-08-31,Sat,4,Home,D 2–2,Chelsea,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,0,0,106,3,0,2,0.0,0.0,0.1,3,1,94,99,3,80,0,0,0,1666,657,35,35,53,54,6,10,0.1,1,2,0,0,98,1,1,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,2,2,0,1,1,1,0,5,67,38,1,0,331.0,156.0,1,0,0,0,89,0,0,14,0,13.8,4.0,25.8,2019-08-31 14:00:00+00:00,90,0,4,0,2372,0.0,1,44,401,357,45,2019-08-31
2,2019-09-14,Sat,5,Away,W 5–2,Chelsea,Wolves,Y,CB,90,1,0,0,0,1,1,0,0,85,3,8,1,0.0,0.0,0.0,1,1,58,69,2,56,3,1,1,987,262,24,25,27,32,5,8,0.0,0,0,1,0,69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,2,3,1,1,0,3,0,4,47,36,3,0,343.0,182.0,2,0,1,0,56,0,2,33,0,0.8,7.2,63.8,2019-09-14 14:00:00+00:00,90,0,5,0,4187,7.0,9,1030,1829,799,45,2019-09-14
3,2019-09-22,Sun,6,Home,L 1–2,Chelsea,Liverpool,Y,CB,90,0,0,0,0,1,0,1,0,66,5,1,0,0.1,0.1,0.0,3,0,43,53,3,39,1,1,1,828,260,14,17,21,22,6,12,0.0,1,5,0,0,51,2,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,1,0,8,35,28,4,3,188.0,73.0,0,0,0,0,41,0,0,16,0,10.8,5.0,17.0,2019-09-22 15:30:00+00:00,90,0,6,0,47587,22.0,0,38938,44394,5456,45,2019-09-22
4,2019-09-28,Sat,7,Home,W 2–0,Chelsea,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,97,1,3,0,0.0,0.0,0.0,4,0,82,91,8,77,0,1,1,1653,576,17,21,61,62,4,7,0.1,0,5,1,0,88,3,2,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,7,48,45,4,0,408.0,199.0,1,0,0,0,80,0,1,28,1,1.1,1.8,16.6,2019-09-28 14:00:00+00:00,90,0,7,0,174368,0.0,7,120047,128521,8474,46,2019-09-28
5,2019-10-06,Sun,8,Away,W 4–1,Chelsea,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,79,3,2,1,0.0,0.0,0.0,0,0,53,68,2,52,1,1,0,1010,270,14,20,34,37,4,9,0.0,0,2,0,0,67,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,0,0,1,3,1,5,45,34,0,0,169.0,72.0,0,0,0,1,51,0,0,8,0,0.8,1.3,11.8,2019-10-06 13:00:00+00:00,90,0,8,0,341651,0.0,2,157252,163889,6637,47,2019-10-06
6,2019-10-19,Sat,9,Home,W 1–0,Chelsea,Newcastle Utd,Y,CB,90,0,0,0,0,1,0,1,0,93,1,2,1,0.1,0.1,0.0,0,0,73,81,8,61,0,0,0,1529,387,17,19,52,56,4,5,0.0,0,4,0,0,79,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4,0,3,28,61,4,2,304.0,159.0,1,0,3,1,68,1,0,24,1,1.8,2.7,19.4,2019-10-19 14:00:00+00:00,90,0,9,0,427927,6.0,5,85592,102604,17012,47,2019-10-19
7,2019-10-26,Sat,10,Away,W 4–2,Chelsea,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,88,2,0,1,0.0,0.0,0.0,1,0,64,75,2,57,0,0,0,1235,383,22,25,32,36,8,12,0.0,1,2,0,0,75,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,6,0,13,52,34,2,0,164.0,72.0,0,0,0,0,65,0,0,14,0,11.1,4.0,29.2,2019-10-26 16:30:00+00:00,90,0,10,0,474501,0.0,1,46873,56805,9932,48,2019-10-26
8,2019-11-02,Sat,11,Away,W 2–1,Chelsea,Watford,Y,CB,90,0,0,0,0,0,0,0,0,96,3,0,2,0.0,0.0,0.0,2,0,76,84,0,66,0,0,0,1282,444,28,29,44,46,3,7,0.0,1,0,0,0,84,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0,1,1,5,0,16,63,33,0,0,259.0,109.0,0,0,2,0,76,0,0,18,0,10.7,4.0,28.8,2019-11-02 17:30:00+00:00,90,0,11,0,522309,0.0,2,43001,58648,15647,48,2019-11-02
9,2019-11-09,Sat,12,Home,W 2–0,Chelsea,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,89,2,1,1,0.0,0.0,0.0,2,0,74,83,4,61,2,1,1,1249,437,33,33,36,41,3,5,0.0,0,5,0,0,83,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,6,39,47,3,0,388.0,220.0,3,0,0,0,67,0,3,30,1,4.9,2.7,21.6,2019-11-09 12:30:00+00:00,90,0,12,0,533390,0.0,9,9333,29429,20096,48,2019-11-09
