,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 5–1,Newcastle Utd,Aston Villa,Y*,RB,90,0,0,0,0,0,0,0,0,91,0,1,1,0.0,0.0,0.4,6,0,68,83,5,58,0,1,1,1268,507,33,34,25,29,10,17,0.3,4,5,1,0,64,18,5,0,0,7,7,6,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,4,33,35,24,1,180.0,78.0,1,0,1,0,55,1,0,22,0,55.8,7.5,17.0,2023-08-12 16:30:00+00:00,90,0,1,0,2707037,2.0,2,0,0,0,65,2023-08-12
1,2023-08-19,Sat,2,Away,L 0–1,Newcastle Utd,Manchester City,Y*,RB,90,0,0,0,0,0,0,0,0,84,0,2,4,0.0,0.0,0.0,2,0,61,75,6,51,0,2,2,1171,496,25,26,26,33,10,13,0.1,1,3,1,1,63,12,4,0,0,2,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,7,39,35,10,1,105.0,51.0,0,0,0,0,46,3,0,19,0,19.5,4.9,27.6,2023-08-19 19:00:00+00:00,90,0,2,0,2916692,2.0,2,-96548,78901,175449,65,2023-08-19
2,2023-08-27,Sun,3,Home,L 1–2,Newcastle Utd,Liverpool,Y*,RB,90,0,0,0,0,0,0,1,0,110,2,1,0,0.0,0.0,0.3,8,0,86,105,11,63,5,3,2,1373,480,42,47,38,45,4,9,0.2,4,4,2,0,91,14,4,0,0,7,6,4,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1,2,4,2,0,0,0,0,1,26,57,28,2,209.0,124.0,4,1,1,0,77,7,0,15,0,61.4,8.8,22.2,2023-08-27 15:30:00+00:00,90,0,3,0,2967715,4.0,0,-47049,115111,162160,65,2023-08-27
3,2023-09-02,Sat,4,Away,L 1–3,Newcastle Utd,Brighton,Y*,RB,90,0,0,0,0,0,0,0,0,82,3,1,2,0.0,0.0,0.0,2,0,60,75,5,36,1,0,0,1112,424,21,21,31,35,7,16,0.0,1,3,0,0,57,18,8,0,0,5,7,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,3,4,1,2,0,2,0,5,34,38,10,0,88.0,42.0,2,0,0,0,51,2,0,12,0,15.3,4.0,25.0,2023-09-02 16:30:00+00:00,90,0,4,0,2984483,0.0,1,-40432,121964,162396,65,2023-09-02
4,2023-09-16,Sat,5,Home,W 1–0,Newcastle Utd,Brentford,Y*,RB,90,0,0,0,0,1,0,0,0,104,1,1,0,0.0,0.0,0.2,3,0,71,95,7,32,2,1,1,1207,602,38,44,25,35,8,13,0.2,2,6,2,1,76,19,6,0,1,12,8,5,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,0,2,39,36,29,3,134.0,54.0,2,0,2,1,60,0,2,29,1,36.2,6.2,19.2,2023-09-16 16:30:00+00:00,90,0,5,0,2989121,7.0,8,-57126,145531,202657,65,2023-09-16
5,2023-09-24,Sun,6,Away,W 8–0,Newcastle Utd,Sheffield Utd,Y*,RB,69,0,3,0,0,0,0,0,0,74,2,0,1,0.0,0.0,0.9,5,3,57,70,7,46,2,1,1,1111,417,25,28,24,26,8,15,0.7,5,4,2,0,60,10,2,0,2,6,5,3,0,3,2,0,0,0,0,1,2,0,0,0,0,2,1,1,0,2,2,0,1,0,0,0,1,18,39,18,1,157.0,67.0,1,0,1,1,51,4,3,67,1,65.1,13.7,69.6,2023-09-24 15:30:00+00:00,69,0,6,0,3217379,2.0,18,188585,249499,60914,65,2023-09-24
6,2023-09-30,Sat,7,Home,W 2–0,Newcastle Utd,Burnley,Y,RB,90,0,1,0,0,1,0,0,0,116,4,0,1,0.0,0.0,0.7,6,1,84,110,6,39,0,0,0,1510,498,31,33,47,54,6,18,0.6,5,2,2,1,88,22,9,1,0,12,8,5,0,1,3,0,0,1,1,0,0,0,0,0,1,3,1,2,1,3,5,2,0,1,0,0,2,34,49,34,1,128.0,46.0,0,0,1,0,80,7,3,44,1,69.2,11.3,39.8,2023-09-30 14:00:00+00:00,90,0,7,0,4127650,4.0,12,810354,850872,40518,67,2023-09-30
7,2023-10-08,Sun,8,Away,D 2–2,Newcastle Utd,West Ham,Y,RB,90,0,1,0,0,0,0,0,0,117,1,0,5,0.0,0.0,0.9,7,2,101,115,10,55,3,0,0,1914,555,45,50,44,46,12,17,0.4,5,8,5,1,98,16,5,0,3,7,9,2,1,5,2,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,1,1,0,5,0,0,1,42,47,29,2,306.0,192.0,3,0,0,0,82,12,2,33,0,72.2,11.3,36.8,2023-10-08 13:00:00+00:00,90,0,8,0,4611041,4.0,6,478922,597929,119007,68,2023-10-08
8,2023-10-21,Sat,9,Home,W 4–0,Newcastle Utd,Crystal Palace,Y,RB,68,0,1,0,0,0,0,1,0,108,1,0,3,0.0,0.0,0.3,4,2,82,100,8,65,2,0,0,1484,389,34,38,33,39,11,17,0.5,2,6,4,2,85,15,1,0,1,9,8,6,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,1,0,0,3,0,0,1,18,57,33,0,235.0,135.0,3,0,1,1,76,14,2,36,1,42.2,6.9,27.0,2023-10-21 14:00:00+00:00,68,0,9,0,4898315,0.0,10,264001,307726,43725,69,2023-10-21
9,2023-10-28,Sat,10,Away,D 2–2,Newcastle Utd,Wolves,Y,RB,90,0,0,0,0,0,0,1,0,94,1,0,1,0.0,0.0,0.2,3,0,69,90,6,46,2,1,1,1229,475,29,33,32,39,7,17,0.6,2,3,2,2,67,23,1,0,0,9,15,7,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,5,4,0,1,1,1,4,17,51,26,2,170.0,77.0,2,2,0,2,58,3,0,9,0,39.7,5.6,12.0,2023-10-28 16:30:00+00:00,90,0,10,0,5077713,4.0,0,161242,249401,88159,70,2023-10-28
