,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-09-01,Sun,4,Away,D 2–2,Tottenham,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,39,0,1,1,0.0,0.0,0.0,0,0,32,36,0,14,0,0,0,551,84,11,12,20,20,1,3,0.0,0,0,0,0,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,2,0,12,28,11,0,0,29.0,5.0,0,0,0,0,30,0,0,12,0,0.1,1.4,13.4,2019-09-01 15:30:00+00:00,90,0,4,0,127900,0.0,1,-20775,3508,24283,53,2019-09-01
1,2019-09-14,Sat,5,Home,W 4–0,Tottenham,Crystal Palace,Y,CB,90,0,0,0,0,0,0,1,0,116,1,1,1,0.0,0.0,0.0,1,1,96,103,7,89,0,0,0,1774,607,36,37,56,57,4,6,0.0,0,5,0,0,101,2,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,6,0,10,38,78,0,0,470.0,319.0,0,0,1,1,89,0,0,25,1,1.7,2.8,26.0,2019-09-14 14:00:00+00:00,90,0,5,0,133069,0.0,5,564,11821,11257,53,2019-09-14
2,2019-09-21,Sat,6,Away,L 1–2,Tottenham,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,52,3,0,0,0.0,0.0,0.0,0,0,36,43,0,32,0,0,0,624,279,13,14,18,20,3,5,0.0,0,0,0,0,38,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0,0,0,6,0,15,35,18,0,0,141.0,78.0,0,0,0,0,25,0,0,16,0,0.2,1.9,19.2,2019-09-21 11:30:00+00:00,90,0,6,0,140009,0.0,1,4594,9915,5321,53,2019-09-21
3,2019-09-28,Sat,7,Home,W 2–1,Tottenham,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,46,1,3,1,0.0,0.0,0.0,0,0,34,35,2,28,0,0,0,626,246,12,13,19,19,3,3,0.0,0,1,0,0,34,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,11,30,15,1,1,93.0,67.0,0,0,1,0,26,0,0,17,0,0.0,2.0,17.6,2019-09-28 14:00:00+00:00,90,0,7,0,142535,2.0,2,708,8158,7450,53,2019-09-28
4,2019-10-05,Sat,8,Away,L 0–3,Tottenham,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,79,4,4,1,0.0,0.0,0.0,0,0,62,69,4,60,2,1,0,1130,462,27,29,28,29,6,8,0.0,0,3,0,0,67,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,2,0,1,0,1,0,18,50,29,0,0,346.0,195.0,0,0,0,0,61,0,0,11,0,0.9,2.4,22.6,2019-10-05 11:30:00+00:00,90,0,8,0,142627,0.0,1,-1181,5246,6427,53,2019-10-05
5,2019-10-19,Sat,9,Home,D 1–1,Tottenham,Watford,Y,CB,90,0,0,0,0,0,0,0,0,112,0,0,0,0.0,0.0,0.0,0,0,97,111,4,87,4,1,1,1777,506,38,42,56,60,3,8,0.0,0,8,0,0,107,4,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,34,71,7,1,405.0,240.0,3,0,0,0,88,2,0,14,0,4.2,1.9,12.4,2019-10-19 14:00:00+00:00,90,0,9,0,138208,2.0,2,-5502,3348,8850,53,2019-10-19
6,2019-11-30,Sat,14,Home,W 3–2,Tottenham,Bournemouth,Y,LB,90,0,0,0,0,0,0,0,0,71,1,3,2,0.0,0.0,0.0,0,0,51,61,5,36,0,0,0,1025,311,14,16,29,36,7,7,0.0,0,3,0,0,57,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,3,0,8,27,42,2,0,167.0,111.0,1,1,1,0,42,0,0,15,0,1.7,2.5,23.6,2019-11-30 15:00:00+00:00,90,0,14,0,99438,0.0,1,-2028,712,2740,52,2019-11-30
7,2019-12-04,Wed,15,Away,L 1–2,Tottenham,Manchester Utd,Y,LB,90,0,0,0,0,0,0,0,0,63,3,3,0,0.0,0.0,0.0,0,0,37,55,3,39,3,2,1,593,174,19,20,14,24,3,6,0.0,0,1,0,0,43,12,1,0,0,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,1,0,0,1,0,3,15,40,9,0,146.0,69.0,1,0,1,3,33,2,0,11,0,1.1,1.5,14.0,2019-12-04 19:30:00+00:00,90,0,15,0,99637,0.0,1,-88,956,1044,52,2019-12-04
8,2019-12-07,Sat,16,Home,W 5–0,Tottenham,Burnley,Y,LB,90,0,1,0,0,0,0,0,0,79,5,3,1,0.0,0.0,0.7,1,0,57,68,4,51,0,2,2,905,304,25,28,30,34,0,3,0.0,2,1,0,0,63,5,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,3,3,0,0,1,3,0,4,33,42,4,0,235.0,137.0,0,0,0,0,47,0,2,49,1,21.1,6.4,43.0,2019-12-07 15:00:00+00:00,90,0,16,0,101325,0.0,11,1275,2456,1181,52,2019-12-07
9,2019-12-15,Sun,17,Away,W 2–1,Tottenham,Wolves,Y,LB,90,1,0,0,0,1,1,0,0,58,3,1,2,0.0,0.0,0.0,0,0,25,43,2,12,0,0,0,387,192,12,16,11,21,1,3,0.0,0,1,0,0,29,14,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,4,3,2,0,5,0,5,21,34,3,1,76.0,33.0,0,0,1,1,16,0,2,26,0,0.6,7.8,60.0,2019-12-15 14:00:00+00:00,90,0,17,0,112044,17.0,10,9337,10768,1431,52,2019-12-15
