,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Away,L 1–4,Southampton,Tottenham,Y,RB,89,0,0,0,0,0,0,0,0,48,2,1,1,0.0,0.0,0.0,1,0,26,35,2,23,2,3,2,336,70,20,22,6,9,0,2,0.0,0,1,2,0,30,5,0,0,0,3,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,5,0,7,12,15,22,2,157.0,42.0,1,1,2,1,28,5,0,10,0,4.2,2.8,20.2,2022-08-06 14:00:00+00:00,90,0,1,0,98712,4.0,0,0,0,0,45,2022-08-06
1,2022-08-13,Sat,2,Home,D 2–2,Southampton,Leeds United,Y,"WB,RB",90,1,0,0,0,2,1,0,0,50,1,0,0,0.4,0.4,0.1,2,0,22,36,4,28,4,5,3,399,245,8,9,11,17,2,6,0.1,1,3,2,1,23,13,1,0,0,5,12,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,0,3,0,5,9,20,21,3,252.0,120.0,2,1,2,5,25,5,0,20,0,15.4,10.1,48.6,2022-08-13 14:00:00+00:00,90,0,2,0,102654,37.0,7,-4366,5059,9425,45,2022-08-13
2,2022-08-20,Sat,3,Away,W 2–1,Southampton,Leicester City,Y,RB,90,0,0,0,0,0,0,0,0,52,0,0,1,0.0,0.0,0.1,4,1,29,44,3,31,6,4,2,466,135,15,16,10,18,3,5,0.1,2,1,2,2,35,9,0,0,0,7,9,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,1,12,18,24,3,291.0,167.0,3,1,0,1,25,9,0,9,0,31.4,5.0,13.0,2022-08-20 14:00:00+00:00,90,0,3,0,118330,6.0,2,8258,15565,7307,45,2022-08-20
3,2022-08-27,Sat,4,Home,L 0–1,Southampton,Manchester Utd,Y,RB,90,0,0,0,0,1,0,0,0,60,1,3,2,0.2,0.2,0.1,3,0,34,47,2,27,3,4,1,421,171,24,27,10,18,0,2,0.1,1,1,1,0,31,16,1,0,0,1,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,9,24,28,3,203.0,93.0,5,0,0,3,27,5,0,8,0,14.1,3.8,16.2,2022-08-27 11:30:00+00:00,90,0,4,0,124217,8.0,2,1973,11546,9573,45,2022-08-27
4,2022-08-30,Tue,5,Home,W 2–1,Southampton,Chelsea,Y,RB,90,0,0,0,0,1,0,0,0,52,2,1,2,0.0,0.0,0.0,1,0,29,41,2,25,3,2,2,502,303,13,19,12,15,3,4,0.0,0,2,1,0,26,15,0,0,0,1,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,2,2,0,3,8,28,17,0,211.0,122.0,4,0,1,4,24,2,0,6,0,1.8,2.1,11.4,2022-08-30 18:45:00+00:00,90,0,5,0,124280,8.0,2,-2358,7866,10224,45,2022-08-30
5,2022-09-03,Sat,6,Away,L 0–1,Southampton,Wolves,Y,RB,90,0,0,0,0,0,0,0,0,54,3,1,1,0.0,0.0,0.0,1,0,38,47,5,34,5,3,1,551,237,19,20,16,20,1,1,0.0,0,4,0,0,41,6,1,0,0,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,3,1,0,1,1,0,2,9,26,20,3,209.0,164.0,3,1,0,1,39,5,0,14,0,4.2,2.2,11.8,2022-09-03 14:00:00+00:00,90,0,6,0,139979,6.0,2,11238,21748,10510,45,2022-09-03
6,2022-09-16,Fri,8,Away,L 0–1,Southampton,Aston Villa,Y,RB,90,0,0,0,0,0,0,0,0,55,5,0,0,0.0,0.0,0.0,0,0,29,40,2,30,4,6,1,339,153,21,22,5,10,1,3,0.0,0,1,0,0,33,7,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,1,2,1,0,0,0,0,0,18,29,10,1,205.0,109.0,3,1,4,1,32,2,0,14,0,1.8,1.4,10.4,2022-09-16 19:00:00+00:00,90,0,8,0,169248,2.0,2,15914,22941,7027,45,2022-09-16
7,2022-10-01,Sat,9,Home,L 1–2,Southampton,Everton,Y,RB,90,0,0,0,0,1,1,0,0,73,0,2,1,0.0,0.0,0.2,4,0,35,55,6,31,3,5,2,457,190,25,29,8,16,1,6,0.2,2,4,0,0,45,10,0,0,0,4,10,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,5,12,35,27,6,210.0,104.0,2,1,1,4,39,9,0,6,0,23.2,6.0,17.6,2022-10-01 14:00:00+00:00,90,0,9,0,159611,19.0,1,-2449,9731,12180,45,2022-10-01
8,2022-10-08,Sat,10,Away,L 0–4,Southampton,Manchester City,Y,RB,78,0,0,0,0,0,0,1,0,43,2,2,2,0.0,0.0,0.0,0,0,24,30,0,24,2,0,0,422,88,11,12,10,11,3,5,0.0,0,0,0,0,27,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,3,1,1,1,2,0,7,18,15,11,0,139.0,63.0,1,1,2,0,22,1,0,9,0,1.8,1.4,12.6,2022-10-08 14:00:00+00:00,78,0,10,0,148084,0.0,-1,-11252,3583,14835,45,2022-10-08
9,2022-10-16,Sun,11,Home,D 1–1,Southampton,West Ham,Y,RB,90,0,0,0,0,0,0,1,0,55,3,0,4,0.0,0.0,0.0,2,1,29,43,3,20,1,1,1,422,232,16,19,10,13,1,5,0.0,0,3,1,1,31,12,0,0,0,2,12,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,3,2,0,2,18,19,19,0,91.0,34.0,1,0,1,2,21,0,0,4,0,6.0,2.2,15.6,2022-10-16 13:00:00+00:00,90,0,11,0,144299,0.0,1,-4765,4103,8868,45,2022-10-16
10,2022-10-19,Wed,12,Away,W 1–0,Southampton,Bournemouth,Y,RB,65,0,0,0,0,0,0,0,0,62,2,0,1,0.0,0.0,0.3,1,0,43,53,1,28,3,2,0,693,284,24,24,13,17,4,7,0.5,1,1,0,0,43,10,1,0,1,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,1,0,1,31,22,11,1,134.0,92.0,1,1,1,1,39,0,0,24,1,11.9,2.3,8.8,2022-10-19 18:30:00+00:00,65,0,12,0,146426,2.0,6,1104,6245,5141,45,2022-10-19
11,2022-12-26,Mon,17,Home,L 1–3,Southampton,Brighton,Y,RB,90,0,0,0,0,0,0,0,0,43,2,0,0,0.0,0.0,0.0,2,0,30,36,4,19,4,3,1,418,160,20,23,5,8,3,3,0.1,1,2,2,1,28,8,0,0,0,1,8,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,2,0,0,1,0,0,11,20,12,1,135.0,72.0,3,0,0,1,23,3,0,7,0,16.5,3.2,13.0,2022-12-26 15:00:00+00:00,90,0,17,0,78212,2.0,1,-2420,9988,12408,44,2022-12-26
12,2022-12-31,Sat,18,Away,L 1–2,Southampton,Fulham,Y,"RB,WB",90,0,0,0,0,0,0,0,0,50,1,1,1,0.0,0.0,0.0,1,0,29,41,1,18,1,1,1,411,143,20,25,8,11,1,2,0.0,0,2,0,0,32,9,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,16,26,9,0,71.0,36.0,1,0,3,1,21,3,0,8,0,1.6,0.5,3.8,2022-12-31 15:00:00+00:00,90,0,18,0,78464,0.0,1,70,1609,1539,44,2022-12-31
13,2023-01-04,Wed,19,Home,L 0–1,Southampton,Nott'ham Forest,Y,"RW,WB,CB",90,0,0,0,0,1,0,0,0,69,0,0,1,0.0,0.0,0.2,4,0,48,59,8,52,9,4,1,655,222,32,35,12,15,2,4,0.1,2,4,4,0,52,7,0,0,0,2,7,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,22,37,3,422.0,222.0,5,1,0,3,52,7,0,12,0,26.0,5.5,7.0,2023-01-04 19:30:00+00:00,90,0,19,0,79277,22.0,2,564,1949,1385,44,2023-01-04
14,2023-01-14,Sat,20,Away,W 2–1,Southampton,Everton,Y,"RB,LB",90,0,0,0,0,0,0,0,0,47,1,1,3,0.0,0.0,0.0,1,0,23,38,2,21,4,0,0,366,152,11,15,7,12,3,7,0.0,0,1,1,0,28,10,1,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,2,0,0,10,21,16,1,211.0,118.0,3,1,1,1,23,6,0,6,0,1.9,0.8,3.8,2023-01-14 15:00:00+00:00,90,0,20,0,80624,2.0,2,1204,4160,2956,44,2023-01-14
15,2023-01-21,Sat,21,Home,L 0–1,Southampton,Aston Villa,Y,"LB,WB",90,0,0,0,0,0,0,0,0,53,5,0,3,0.0,0.0,0.0,2,0,25,34,3,32,1,6,2,311,98,20,22,4,5,0,3,0.1,0,2,2,1,27,5,0,0,0,2,5,0,2,1,0,0,0,1,0,0,0,0,0,0,0,2,3,2,0,1,2,1,0,3,2,0,2,22,22,10,0,167.0,72.0,2,0,2,3,24,1,0,6,0,5.4,2.3,17.4,2023-01-21 15:00:00+00:00,90,0,21,0,82949,0.0,2,2016,4942,2926,44,2023-01-21
16,2023-02-25,Sat,25,Away,L 0–1,Southampton,Leeds United,N,LB,20,0,0,0,0,0,0,0,0,13,3,0,1,0.0,0.0,0.0,0,0,5,7,1,4,0,2,2,56,35,3,4,1,2,0,0,0.0,0,2,0,0,5,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,3,3,0,1,0,0,0,2,6,4,4,0,37.0,6.0,1,0,2,0,4,0,0,7,0,0.2,1.4,13.4,2023-02-25 15:00:00+00:00,19,0,25,0,71348,0.0,1,-223,1387,1610,44,2023-02-25
17,2023-03-04,Sat,26,Home,W 1–0,Southampton,Leicester City,Y,LB,90,0,0,0,0,0,0,0,0,51,2,1,4,0.0,0.0,0.0,2,0,27,33,4,18,1,5,3,373,185,20,20,6,9,1,4,0.0,0,3,1,0,23,10,0,0,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,4,2,0,7,21,22,8,0,115.0,62.0,4,0,0,0,17,1,0,21,1,0.9,1.5,14.2,2023-03-04 17:30:00+00:00,90,0,26,0,70429,0.0,6,-964,611,1575,44,2023-03-04
