,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-08-11,Sun,1,Home,L 0–1,Newcastle Utd,Arsenal,N,WB,37,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,1,0,17,21,3,7,0,0,0,244,150,10,12,7,9,0,0,0.0,1,1,1,0,16,5,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,13,7,1,35.0,20.0,1,0,1,0,16,1,0,6,0,11.2,1.9,5.4,2019-08-11 13:00:00+00:00,36,0,1,0,10377,2.0,1,0,0,0,45,2019-08-11
1,2019-08-31,Sat,4,Home,D 1–1,Newcastle Utd,Watford,Y,LB,90,0,0,0,0,1,0,0,0,55,3,1,0,0.0,0.0,0.0,1,0,37,49,3,39,3,2,2,491,127,22,25,13,17,0,4,0.0,0,1,0,0,42,7,0,0,0,4,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,1,1,3,2,0,0,1,0,1,11,27,18,1,185.0,117.0,0,1,0,1,38,4,0,17,0,3.3,2.4,10.6,2019-08-31 14:00:00+00:00,90,0,4,0,9646,10.0,2,-1298,146,1444,45,2019-08-31
2,2019-09-14,Sat,5,Away,L 1–3,Newcastle Utd,Liverpool,Y,LB,90,1,0,0,0,1,1,0,0,44,1,0,0,0.0,0.0,0.0,1,0,27,37,2,22,1,0,0,423,182,16,17,8,12,3,7,0.0,1,2,0,0,29,7,1,0,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,3,0,5,22,18,5,1,73.0,40.0,0,1,2,0,22,2,0,27,0,12.3,7.1,41.8,2019-09-14 11:30:00+00:00,90,0,5,0,9654,17.0,7,-438,319,757,45,2019-09-14
3,2019-09-21,Sat,6,Home,D 0–0,Newcastle Utd,Brighton,Y,LB,81,0,0,0,0,1,0,0,0,35,1,1,4,0.0,0.0,0.0,0,0,18,27,2,23,0,0,0,176,54,12,15,3,5,0,2,0.0,0,2,1,0,23,4,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,1,5,20,12,1,86.0,46.0,0,0,2,0,18,3,0,18,1,1.9,2.2,1.6,2019-09-21 16:30:00+00:00,81,0,6,0,20835,18.0,6,9101,10756,1655,45,2019-09-21
4,2019-10-06,Sun,8,Home,W 1–0,Newcastle Utd,Manchester Utd,Y,LB,90,0,1,0,0,1,0,0,0,38,3,2,1,0.0,0.0,0.1,5,2,18,27,1,18,2,5,3,314,164,8,9,9,16,1,2,0.0,3,2,0,0,18,9,0,0,0,2,9,0,0,4,0,1,0,0,0,1,0,1,0,0,0,3,3,0,0,2,3,1,0,1,2,0,1,15,12,11,2,115.0,62.0,1,1,0,0,19,2,3,38,1,30.6,9.0,35.8,2019-10-06 15:30:00+00:00,90,0,8,0,17998,24.0,12,-2139,742,2881,45,2019-10-06
5,2019-10-19,Sat,9,Away,L 0–1,Newcastle Utd,Chelsea,Y,LB,90,0,0,0,0,1,0,0,0,44,1,0,3,0.0,0.0,0.0,0,0,14,29,1,17,1,1,0,264,101,5,7,8,15,1,4,0.0,0,3,0,0,21,8,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,5,0,6,17,16,11,2,89.0,36.0,2,0,2,0,13,1,0,9,0,1.9,1.6,8.2,2019-10-19 14:00:00+00:00,90,0,9,0,45212,6.0,2,21504,25262,3758,45,2019-10-19
6,2019-10-27,Sun,10,Home,D 1–1,Newcastle Utd,Wolves,Y,LB,90,0,0,0,0,2,1,0,0,49,5,0,2,0.1,0.1,0.0,1,0,25,38,3,26,2,2,2,406,222,9,14,13,19,1,2,0.0,1,2,1,1,32,6,0,0,0,3,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,3,5,2,1,1,2,0,2,19,19,12,2,153.0,118.0,0,0,0,0,25,2,0,14,0,15.8,6.5,29.4,2019-10-27 14:00:00+00:00,90,0,10,0,60817,20.0,2,15396,18380,2984,45,2019-10-27
7,2019-11-02,Sat,11,Away,W 3–2,Newcastle Utd,West Ham,Y,LB,86,0,1,0,0,0,0,0,0,37,2,2,1,0.0,0.0,0.5,4,1,19,28,3,20,1,3,2,338,206,6,9,7,8,3,5,0.3,4,2,2,0,27,1,0,1,0,1,1,0,0,3,1,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,4,2,0,1,2,0,5,15,18,5,1,60.0,37.0,0,1,1,0,15,1,3,35,0,41.1,7.9,35.6,2019-11-02 15:00:00+00:00,86,0,11,0,66986,2.0,8,5892,10507,4615,45,2019-11-02
8,2019-11-09,Sat,12,Home,W 2–1,Newcastle Utd,Bournemouth,Y,LB,90,0,0,0,0,4,3,0,0,50,6,1,2,0.1,0.1,0.0,1,0,20,32,0,20,3,2,1,258,121,13,15,7,13,0,0,0.0,0,1,0,0,21,10,0,0,0,2,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,4,4,0,1,1,2,0,4,11,20,20,2,141.0,95.0,3,0,1,1,15,1,0,8,0,1.1,7.9,28.4,2019-11-09 15:00:00+00:00,90,0,12,0,132812,49.0,2,57049,61161,4112,45,2019-11-09
9,2019-11-25,Mon,13,Away,L 0–2,Newcastle Utd,Aston Villa,Y,LB,90,0,0,0,0,0,0,0,0,51,1,1,3,0.0,0.0,0.0,2,0,26,35,1,23,0,2,1,390,203,15,16,9,12,1,4,0.0,0,2,0,0,28,7,1,0,1,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,4,0,6,21,23,9,0,82.0,54.0,0,0,2,0,20,2,0,10,0,1.5,2.1,19.8,2019-11-25 20:00:00+00:00,90,0,13,0,148348,0.0,1,19182,29256,10074,46,2019-11-25
10,2019-11-30,Sat,14,Home,D 2–2,Newcastle Utd,Manchester City,Y,LB,90,1,0,0,0,1,1,0,0,40,1,1,0,0.1,0.1,0.0,1,1,21,29,5,18,1,1,1,324,136,14,14,6,12,1,3,0.0,0,2,1,0,22,7,0,0,0,1,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,0,0,5,0,7,19,13,8,1,94.0,46.0,1,0,1,0,18,1,0,22,0,1.3,6.4,45.6,2019-11-30 12:30:00+00:00,90,0,14,0,138615,17.0,7,-8133,6595,14728,46,2019-11-30
11,2019-12-05,Thu,15,Away,W 2–0,Newcastle Utd,Sheffield Utd,Y,LB,90,0,0,0,0,0,0,0,0,36,1,1,0,0.0,0.0,0.0,1,0,20,32,2,8,0,1,1,327,155,14,18,4,10,2,4,0.0,0,0,1,0,19,13,1,0,0,2,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,2,11,14,11,1,39.0,15.0,0,0,0,0,10,0,0,20,1,5.3,1.4,6.2,2019-12-05 19:30:00+00:00,90,0,15,0,164259,2.0,6,23121,25806,2685,46,2019-12-05
12,2019-12-08,Sun,16,Home,W 2–1,Newcastle Utd,Southampton,Y,LB,90,0,0,0,0,0,0,0,0,69,4,1,1,0.0,0.0,0.0,5,0,36,54,2,27,1,2,1,567,342,18,20,17,30,1,1,0.1,0,1,1,0,37,17,1,0,0,1,16,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,1,0,1,5,1,7,20,28,22,1,89.0,52.0,2,0,2,1,29,2,0,10,0,3.2,2.4,18.6,2019-12-08 14:00:00+00:00,90,0,16,0,230894,2.0,2,61665,65060,3395,46,2019-12-08
