,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-12-12,Sat,12,Home,W 2–1,Newcastle Utd,West Brom,N,RB,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,0,0,0,0,0,16,14,0,0,1,1,0,2,0.0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.2,2.0,2020-12-12 15:00:00+00:00,4,0,12,0,16198,0.0,1,-171,277,448,43,2020-12-12
1,2020-12-19,Sat,14,Home,D 1–1,Newcastle Utd,Fulham,Y,RB,90,0,0,0,0,0,0,0,0,59,0,3,0,0.0,0.0,0.0,2,0,39,51,6,37,2,0,0,665,245,20,21,16,22,3,6,0.1,1,1,4,1,46,5,0,0,0,5,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,4,19,21,19,1,151.0,68.0,0,1,1,1,37,5,0,15,0,17.0,3.3,14.0,2020-12-19 20:00:00+00:00,90,0,14,0,16099,2.0,2,-166,212,378,43,2020-12-19
2,2020-12-26,Sat,15,Away,L 0–2,Newcastle Utd,Manchester City,Y,RB,90,0,0,0,0,1,0,0,0,45,2,1,2,0.0,0.0,0.0,2,0,23,37,0,24,2,1,0,317,133,15,20,8,12,0,3,0.0,1,0,0,0,30,7,0,0,0,4,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,1,1,0,2,9,13,23,1,110.0,67.0,2,0,3,0,25,3,0,7,0,11.8,3.3,11.6,2020-12-26 20:00:00+00:00,90,0,15,0,16553,10.0,1,285,792,507,43,2020-12-26
3,2020-12-30,Wed,16,Home,D 0–0,Newcastle Utd,Liverpool,Y,RB,90,0,0,0,0,1,0,0,0,37,2,2,1,0.1,0.1,0.0,3,0,14,24,3,15,2,1,1,219,128,8,11,3,5,2,6,0.0,1,2,1,0,18,6,0,0,0,1,6,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,1,7,0,7,17,13,7,1,102.0,39.0,1,0,0,0,18,1,0,23,1,11.3,3.2,16.8,2020-12-30 20:00:00+00:00,90,0,16,0,16845,4.0,6,254,588,334,43,2020-12-30
4,2021-01-03,Sun,17,Home,L 1–2,Newcastle Utd,Leicester City,Y,RB,78,0,0,0,0,0,0,0,0,41,2,0,1,0.0,0.0,0.0,1,0,16,33,2,25,0,0,0,200,91,11,15,3,11,1,3,0.0,0,2,0,0,30,3,0,0,0,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,2,0,2,13,16,12,1,65.0,36.0,0,0,1,0,24,5,0,7,0,1.1,0.7,4.0,2021-01-03 14:15:00+00:00,78,0,17,0,19851,2.0,1,2830,3655,825,43,2021-01-03
5,2021-01-12,Tue,18,Away,L 0–1,Newcastle Utd,Sheffield Utd,Y,RB,83,0,0,0,0,0,0,0,0,42,3,1,1,0.0,0.0,0.0,1,0,20,31,1,6,0,0,0,234,122,15,21,4,7,0,2,0.0,0,0,1,0,21,10,1,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,3,1,0,1,2,0,2,21,16,5,1,23.0,11.0,0,0,2,0,11,1,0,13,0,0.6,1.3,10.2,2021-01-12 18:00:00+00:00,83,0,18,0,111869,2.0,2,13991,19100,5109,43,2021-01-12
6,2019-09-29,Sun,7,Away,L 0–5,Newcastle Utd,Leicester City,N,RW,17,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,2,3,0,2,0,1,0,23,12,1,1,1,1,0,0,0.0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1.0,0.0,0,0,0,0,3,1,0,3,0,0.3,0.2,1.2,2019-09-29 15:30:00+00:00,16,0,7,0,2439,0.0,1,-49,81,130,44,2019-09-29
7,2019-10-06,Sun,8,Home,W 1–0,Newcastle Utd,Manchester Utd,Y,RB,90,0,0,0,0,0,0,1,0,44,1,2,1,0.0,0.0,0.0,2,0,26,34,2,20,1,1,1,409,231,16,16,6,11,4,6,0.1,0,1,1,1,25,9,0,0,0,1,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,3,0,3,18,20,6,1,111.0,33.0,1,1,1,3,17,2,0,18,1,5.0,1.7,7.8,2019-10-06 15:30:00+00:00,90,0,8,0,2724,4.0,5,130,210,80,44,2019-10-06
8,2019-10-19,Sat,9,Away,L 0–1,Newcastle Utd,Chelsea,Y,RB,90,0,0,0,0,0,0,0,0,46,4,0,1,0.0,0.0,0.0,1,0,23,35,2,24,1,0,0,254,75,14,16,2,4,1,6,0.0,0,2,1,1,33,2,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,3,2,1,0,2,0,5,15,18,13,0,65.0,45.0,1,0,2,0,24,1,0,13,0,7.4,2.6,18.8,2019-10-19 14:00:00+00:00,90,0,9,0,3447,0.0,2,501,620,119,44,2019-10-19
9,2019-10-27,Sun,10,Home,D 1–1,Newcastle Utd,Wolves,Y,RB,90,0,0,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.1,2,0,31,45,2,28,3,0,0,416,121,17,21,8,10,2,4,0.1,1,0,2,1,37,8,0,0,0,5,8,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,9,26,14,0,152.0,83.0,3,0,0,0,31,6,0,12,0,18.3,2.7,8.2,2019-10-27 14:00:00+00:00,90,0,10,0,4354,0.0,2,746,898,152,44,2019-10-27
