,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-09-16,Mon,5,Away,D 0–0,West Ham,Aston Villa,N,LB,22,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,8,12,1,9,0,0,0,117,95,5,6,3,4,0,1,0.1,0,0,1,0,9,3,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,0,27.0,1.0,0,0,0,1,8,2,0,2,0,0.4,0.2,1.2,2019-09-16 19:00:00+00:00,21,0,5,0,41178,0.0,1,-2124,1821,3945,44,2019-09-16
1,2019-09-22,Sun,6,Home,W 2–0,West Ham,Manchester Utd,N,RB,11,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,6,9,2,3,0,0,0,117,77,2,2,4,5,0,1,0.0,0,0,0,0,5,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,3,7,0,0,14.0,9.0,0,0,0,0,3,0,0,5,0,0.1,0.3,2.6,2019-09-22 13:00:00+00:00,10,0,6,0,40509,0.0,1,-1186,791,1977,44,2019-09-22
2,2019-10-05,Sat,8,Home,L 1–2,West Ham,Crystal Palace,N,LB,7,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,6,8,0,4,0,1,1,67,40,5,5,1,2,0,0,0.0,0,0,0,0,6,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,1,3,0,16.0,12.0,0,0,0,0,5,3,0,4,0,0.5,0.4,3.4,2019-10-05 16:30:00+00:00,6,0,8,0,38416,0.0,1,-1434,540,1974,44,2019-10-05
3,2019-10-26,Sat,10,Home,D 1–1,West Ham,Sheffield Utd,Y,RB,90,0,0,0,0,0,0,0,0,83,2,3,1,0.0,0.0,0.1,1,0,49,70,4,50,4,0,0,674,212,34,39,13,20,1,5,0.0,1,3,1,0,64,6,0,0,0,5,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,1,0,4,0,3,22,45,16,3,219.0,141.0,2,1,0,0,53,10,0,15,0,13.8,4.0,20.2,2019-10-26 14:00:00+00:00,90,0,10,0,37605,6.0,2,-549,457,1006,43,2019-10-26
4,2019-11-02,Sat,11,Home,L 2–3,West Ham,Newcastle Utd,Y,RB,71,0,0,0,0,0,0,0,0,55,0,1,0,0.0,0.0,0.0,0,0,39,48,7,30,3,1,1,554,192,23,25,13,18,2,3,0.0,0,6,1,0,41,7,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,14,27,14,1,125.0,60.0,0,0,1,0,32,6,0,12,0,3.5,1.2,6.6,2019-11-02 15:00:00+00:00,71,0,11,0,37945,2.0,1,-19,1055,1074,43,2019-11-02
5,2019-12-26,Thu,19,Away,L 1–2,West Ham,Crystal Palace,Y,RB,90,0,0,0,0,0,0,1,0,50,7,5,1,0.0,0.0,0.0,0,0,21,31,6,14,1,0,0,337,194,10,13,9,11,2,7,0.0,0,3,0,0,24,7,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,0,5,10,5,0,1,4,0,10,18,26,7,0,76.0,53.0,3,0,0,0,17,5,0,6,0,1.8,2.5,23.2,2019-12-26 15:00:00+00:00,90,0,19,0,33970,0.0,0,-248,262,510,42,2019-12-26
6,2020-01-10,Fri,22,Away,L 0–1,West Ham,Sheffield Utd,Y,WB,90,0,0,0,0,0,0,0,0,54,4,1,1,0.0,0.0,0.0,0,0,37,43,2,30,1,0,0,546,166,21,23,16,18,0,1,0.0,0,2,0,0,38,5,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,1,1,1,0,3,0,3,17,30,7,1,119.0,49.0,0,0,1,0,34,6,0,20,0,2.3,2.4,19.6,2020-01-10 20:00:00+00:00,90,0,22,0,34052,2.0,2,158,1044,886,42,2020-01-10
7,2020-01-18,Sat,23,Home,D 1–1,West Ham,Everton,Y,RB,90,0,0,0,0,0,0,1,0,71,3,3,0,0.0,0.0,0.3,2,0,39,54,5,24,1,1,0,575,272,23,26,15,20,1,5,0.1,2,5,2,1,42,12,1,0,0,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,3,0,5,16,38,18,1,98.0,51.0,1,0,2,0,29,6,0,15,0,27.1,5.0,20.4,2020-01-18 15:00:00+00:00,90,0,23,0,34915,2.0,1,675,1496,821,42,2020-01-18
8,2020-01-22,Wed,24,Away,L 1–4,West Ham,Leicester City,Y,RB,90,0,0,0,0,0,0,0,0,46,0,0,2,0.0,0.0,0.0,0,0,26,40,2,14,0,0,0,433,279,16,22,8,13,2,2,0.0,0,3,0,0,24,16,2,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,6,17,23,6,0,50.0,13.0,0,0,0,0,13,3,0,8,0,0.4,0.9,9.0,2020-01-22 19:30:00+00:00,90,0,24,0,36463,0.0,0,1149,1746,597,42,2020-01-22
9,2020-02-19,Wed,26,Away,L 0–2,West Ham,Manchester City,N,RB,31,0,0,0,0,0,0,0,0,19,1,1,0,0.0,0.0,0.0,0,0,11,15,0,6,0,0,0,124,65,7,7,2,4,0,1,0.0,0,0,0,0,8,7,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,4,7,5,7,0,25.0,6.0,0,0,0,0,6,0,0,3,0,0.6,0.5,4.2,2020-02-19 19:30:00+00:00,30,0,26,0,34873,0.0,1,-833,211,1044,42,2020-02-19
10,2018-08-18,Sat,2,Home,L 1–2,West Ham,Bournemouth,Y,RB,90,0,0,0,0,0,0,1,0,66,4,0,1,0.0,0.0,0.1,1,0,44,56,6,31,5,1,1,793,290,26,30,13,16,5,9,0.0,1,5,0,0,50,6,0,0,0,3,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,2,4,2,0,1,4,0,5,16,31,19,3,159.0,108.0,1,2,0,0,40,5,0,11,0,18.2,4.6,21.8,2018-08-18 14:00:00+00:00,90,0,2,0,163954,6.0,0,-21487,1956,23443,45,2018-08-18
11,2018-09-16,Sun,5,Away,W 3–1,West Ham,Everton,Y,RB,90,0,0,0,0,0,0,1,0,52,0,2,3,0.0,0.0,0.0,0,0,22,37,1,18,0,2,2,260,136,17,19,4,9,0,6,0.0,0,4,0,0,25,12,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,0,7,21,23,8,2,55.0,34.0,0,0,0,0,16,2,0,9,0,0.9,1.9,14.4,2018-09-16 15:00:00+00:00,90,0,5,0,111501,4.0,1,-14909,593,15502,43,2018-09-16
12,2018-09-23,Sun,6,Home,D 0–0,West Ham,Chelsea,Y,RB,90,0,0,0,0,0,0,0,0,44,2,3,1,0.0,0.0,0.0,0,0,21,30,1,20,1,0,0,366,183,11,11,7,10,3,7,0.0,0,2,0,0,23,7,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,4,3,1,0,9,1,10,25,15,6,0,120.0,57.0,1,0,1,0,16,2,1,27,1,0.9,2.3,22.0,2018-09-23 12:30:00+00:00,90,0,6,0,106705,0.0,7,-5784,1061,6845,43,2018-09-23
13,2018-09-29,Sat,7,Home,W 3–1,West Ham,Manchester Utd,Y,RB,90,0,1,0,0,0,0,0,0,54,3,1,3,0.0,0.0,0.7,1,1,35,45,9,28,2,0,0,535,274,20,21,11,14,2,5,0.3,1,7,1,1,44,1,0,0,0,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2,0,1,1,3,2,2,1,2,0,3,14,23,18,3,153.0,79.0,2,0,0,0,35,5,3,32,0,17.6,6.6,42.0,2018-09-29 11:30:00+00:00,90,0,7,0,108361,6.0,8,443,3980,3537,43,2018-09-29
14,2018-10-05,Fri,8,Away,L 0–1,West Ham,Brighton,Y,RB,90,0,0,0,0,0,0,0,0,49,2,2,1,0.0,0.0,0.0,1,0,28,38,3,19,0,0,0,429,161,15,19,12,18,1,1,0.0,0,0,1,1,29,9,0,0,0,2,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,1,2,1,0,1,4,0,1,10,24,15,1,105.0,32.0,0,0,0,1,24,7,0,7,0,6.2,2.4,15.4,2018-10-05 19:00:00+00:00,90,0,8,0,134406,2.0,2,21744,24930,3186,43,2018-10-05
15,2018-10-20,Sat,9,Home,L 0–1,West Ham,Tottenham,Y,RB,90,0,0,0,0,0,0,0,0,55,2,2,0,0.0,0.0,0.0,0,0,37,46,4,21,1,0,0,522,240,22,23,9,13,3,5,0.0,0,3,0,0,37,9,1,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,1,0,0,4,0,4,13,28,14,1,98.0,45.0,1,0,0,0,25,4,0,15,0,2.8,1.9,14.6,2018-10-20 14:00:00+00:00,90,0,9,0,142833,2.0,2,8050,15976,7926,43,2018-10-20
16,2018-10-27,Sat,10,Away,D 1–1,West Ham,Leicester City,Y,RB,90,0,0,0,0,0,0,1,0,60,1,3,5,0.0,0.0,0.0,1,0,27,40,3,18,2,2,1,378,143,19,21,7,13,1,2,0.0,0,0,0,0,28,12,0,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,4,9,0,6,27,20,13,1,84.0,62.0,2,0,0,0,24,2,0,10,0,1.6,2.7,23.8,2018-10-27 16:30:00+00:00,90,0,10,0,148345,2.0,1,4855,10338,5483,43,2018-10-27
17,2018-11-03,Sat,11,Home,W 4–2,West Ham,Burnley,Y*,RB,90,0,0,0,0,1,0,0,0,68,1,0,0,0.0,0.0,0.0,2,0,50,58,8,28,0,2,2,744,182,30,32,18,21,2,4,0.0,0,3,0,0,44,14,0,0,0,2,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0,2,8,34,26,2,106.0,56.0,2,0,0,1,38,7,0,13,0,3.6,3.1,15.6,2018-11-03 15:00:00+00:00,90,0,11,0,154551,12.0,1,5199,10606,5407,43,2018-11-03
18,2018-11-10,Sat,12,Away,D 1–1,West Ham,Huddersfield,Y*,RB,72,0,0,0,0,0,0,0,0,41,2,1,1,0.0,0.0,0.0,0,0,26,34,1,15,0,1,1,290,65,16,18,7,10,0,1,0.1,0,0,0,0,25,9,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,1,0,1,6,25,10,1,40.0,4.0,0,0,2,2,16,3,0,7,0,2.1,0.9,4.6,2018-11-10 15:00:00+00:00,72,0,12,0,155141,2.0,2,81,5561,5480,43,2018-11-10
19,2018-11-24,Sat,13,Home,L 0–4,West Ham,Manchester City,Y*,RB,90,0,0,0,0,0,0,0,0,58,4,6,2,0.0,0.0,0.0,0,0,36,43,5,19,1,1,1,496,192,23,23,9,11,3,6,0.0,0,3,0,0,34,8,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,1,3,2,1,1,3,0,5,20,27,12,2,89.0,43.0,0,0,0,1,22,4,0,16,0,2.3,3.5,28.4,2018-11-24 15:00:00+00:00,90,0,13,0,150052,4.0,0,-4809,2967,7776,43,2018-11-24
20,2018-12-01,Sat,14,Away,W 3–0,West Ham,Newcastle Utd,Y,RB,90,0,0,0,0,0,0,1,0,52,1,1,1,0.0,0.0,0.0,1,1,28,40,2,25,0,3,2,380,175,18,21,8,12,1,3,0.0,0,4,0,0,32,7,1,0,0,1,6,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,7,0,7,16,33,4,0,120.0,53.0,0,0,0,0,30,3,0,23,1,1.5,2.3,21.2,2018-12-01 15:00:00+00:00,90,0,14,0,149395,0.0,5,-1325,2707,4032,43,2018-12-01
21,2018-12-08,Sat,16,Home,W 3–2,West Ham,Crystal Palace,Y,RB,90,0,0,0,0,1,0,0,0,85,3,2,4,0.0,0.0,0.0,3,1,45,62,4,43,4,2,0,671,201,24,26,14,24,5,8,0.0,0,5,1,1,54,8,0,0,0,4,8,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,2,1,0,2,3,1,1,3,3,0,8,25,36,24,2,166.0,111.0,0,0,3,0,46,7,0,15,0,7.9,3.2,19.4,2018-12-08 15:00:00+00:00,90,0,16,0,156594,5.0,1,-2030,3461,5491,43,2018-12-08
22,2018-12-15,Sat,17,Away,W 2–0,West Ham,Fulham,Y,RB,90,0,0,0,0,0,0,0,0,64,3,4,0,0.0,0.0,0.1,2,0,41,55,3,30,0,1,0,674,298,21,28,15,20,4,5,0.1,1,3,1,0,40,15,2,0,1,3,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,4,0,6,22,22,23,3,105.0,29.0,1,0,2,0,25,5,0,25,1,17.2,4.6,23.0,2018-12-15 17:30:00+00:00,90,0,17,0,157081,6.0,6,-111,5007,5118,43,2018-12-15
23,2018-12-22,Sat,18,Home,L 0–2,West Ham,Watford,Y,RB,90,0,0,0,0,0,0,0,0,67,3,0,1,0.0,0.0,0.0,1,0,38,54,7,29,2,2,2,567,228,22,29,13,15,2,7,0.0,0,5,2,1,43,11,0,0,0,5,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,1,1,0,3,0,3,16,30,21,1,105.0,52.0,0,0,1,0,33,8,0,15,0,6.5,3.8,29.0,2018-12-22 15:00:00+00:00,90,0,18,0,169539,2.0,1,11061,13936,2875,43,2018-12-22
24,2019-01-02,Wed,21,Home,D 2–2,West Ham,Brighton,Y*,RB,90,0,0,0,0,0,0,0,0,53,2,2,1,0.0,0.0,0.0,0,0,33,40,2,29,1,1,0,487,169,18,18,9,12,4,8,0.0,0,1,0,0,31,9,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,2,1,0,2,0,6,17,25,11,0,118.0,52.0,1,0,1,0,22,1,0,14,0,1.8,1.9,16.8,2019-01-02 19:45:00+00:00,90,0,21,0,141050,0.0,1,-12899,335,13234,43,2019-01-02
25,2019-01-12,Sat,22,Home,W 1–0,West Ham,Arsenal,Y,RB,90,0,0,0,0,0,0,0,0,44,0,3,1,0.0,0.0,0.0,1,0,30,36,3,14,3,1,1,484,126,17,18,10,10,2,4,0.0,1,2,0,0,28,8,1,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,4,0,3,9,25,10,1,63.0,33.0,2,0,1,0,23,1,0,23,1,11.9,2.8,14.0,2019-01-12 12:30:00+00:00,90,0,22,0,132691,2.0,6,-9000,1503,10503,43,2019-01-12
26,2019-01-19,Sat,23,Away,L 0–2,West Ham,Bournemouth,Y,RB,90,0,0,0,0,0,0,0,0,68,0,3,0,0.0,0.0,0.0,1,0,49,59,5,37,3,0,0,713,270,30,31,15,21,2,2,0.1,0,4,1,0,47,12,0,0,1,4,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,16,32,22,2,162.0,93.0,2,1,2,1,39,7,0,12,0,4.5,1.7,8.0,2019-01-19 15:00:00+00:00,90,0,23,0,132125,4.0,1,-1260,4420,5680,43,2019-01-19
27,2019-01-29,Tue,24,Away,L 0–3,West Ham,Wolves,Y,RB,90,0,0,0,0,1,0,0,0,63,2,2,0,0.0,0.0,0.0,0,0,33,49,6,23,0,0,0,503,190,19,21,13,19,1,6,0.0,0,4,0,0,38,11,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,8,0,6,15,36,12,0,73.0,38.0,0,0,0,1,32,2,0,13,0,2.2,1.9,15.8,2019-01-29 19:45:00+00:00,90,0,24,0,130586,1.0,1,-1901,1799,3700,43,2019-01-29
28,2019-02-09,Sat,26,Away,D 1–1,West Ham,Crystal Palace,N,RB,7,0,0,0,0,0,0,0,0,9,0,1,2,0.0,0.0,0.0,0,0,1,4,0,0,0,0,0,15,16,0,2,1,1,0,1,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,8,1,0,0,0.0,0.0,0,0,0,0,0,0,0,4,0,0.0,0.7,7.2,2019-02-09 15:00:00+00:00,6,0,26,0,126438,0.0,1,-2392,1029,3421,43,2019-02-09
