,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–4,Luton Town,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,36,3,2,3,0.0,0.0,0.0,0,0,17,19,1,16,0,2,0,379,144,9,10,5,5,3,4,0.0,0,1,0,0,17,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,1,2,4,0,9,23,11,2,0,48.0,7.0,0,0,0,0,16,0,0,10,0,0.7,2.2,21.2,2023-08-12 14:00:00+00:00,90,0,1,0,773157,0.0,0,0,0,0,40,2023-08-12
1,2023-08-25,Fri,3,Away,L 0–3,Luton Town,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,63,7,0,1,0.0,0.0,0.0,0,0,37,49,4,43,0,0,0,691,309,17,20,17,18,3,9,0.0,0,6,0,0,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,1,2,1,1,0,5,0,8,24,39,1,0,266.0,153.0,0,0,1,0,39,0,0,14,0,0.9,3.1,30.4,2023-08-25 19:00:00+00:00,90,0,3,0,709311,0.0,1,-43829,15992,59821,40,2023-08-25
2,2023-09-01,Fri,4,Home,L 1–2,Luton Town,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,54,2,0,1,0.0,0.0,0.0,3,1,36,43,5,18,0,0,0,544,214,21,23,13,15,2,5,0.0,0,5,2,0,38,5,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,2,5,3,0,1,5,0,8,21,29,4,0,125.0,62.0,1,0,0,0,28,0,0,15,0,1.4,1.5,13.8,2023-09-01 19:00:00+00:00,90,0,4,0,650293,0.0,1,-60354,8086,68440,40,2023-09-01
3,2023-09-16,Sat,5,Away,L 0–1,Luton Town,Fulham,Y,LB,90,0,0,0,0,1,1,0,0,29,3,1,2,0.2,0.2,0.0,0,0,8,14,0,12,0,0,0,127,49,5,5,2,6,1,3,0.0,0,1,0,0,12,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,2,1,0,2,3,0,2,16,11,2,1,84.0,52.0,0,0,2,0,10,2,0,4,0,0.0,4.5,12.4,2023-09-16 14:00:00+00:00,90,0,5,0,623741,33.0,2,-30976,17822,48798,40,2023-09-16
4,2023-09-23,Sat,6,Home,D 1–1,Luton Town,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,65,4,2,0,0.0,0.0,0.0,2,0,41,55,9,44,6,4,3,649,263,26,30,11,13,4,10,0.0,1,6,0,0,52,3,2,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,4,2,0,0,0,0,1,12,42,12,0,337.0,255.0,6,0,1,1,43,1,0,14,0,13.1,3.2,19.2,2023-09-23 14:00:00+00:00,90,0,6,0,607684,0.0,2,-17732,16095,33827,40,2023-09-23
5,2023-09-30,Sat,7,Away,W 2–1,Luton Town,Everton,Y,CB,90,0,0,0,0,0,0,0,0,24,3,0,2,0.0,0.0,0.0,1,0,8,17,1,10,0,1,0,235,136,0,0,5,6,3,7,0.0,0,1,1,0,15,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,3,0,0,2,0,0,2,16,6,2,0,46.0,26.0,1,0,1,0,8,0,0,8,0,0.6,0.8,7.2,2023-09-30 14:00:00+00:00,90,0,7,0,604496,0.0,2,-4827,26648,31475,40,2023-09-30
6,2023-10-03,Tue,2,Home,L 1–2,Luton Town,Burnley,Y,CB,20,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,7,0,2,0,0,0,36,7,3,4,0,3,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,1,0,9.0,0.0,0,0,0,0,2,0,0,3,0,0.1,0.0,0.2,2023-10-03 18:30:00+00:00,20,0,7,0,604496,0.0,1,-4827,26648,31475,40,2023-10-03
7,2023-11-25,Sat,13,Home,W 2–1,Luton Town,Crystal Palace,Y,WB,90,0,0,0,0,1,1,0,0,60,3,1,3,0.0,0.0,0.3,2,0,28,41,3,27,3,2,0,407,173,15,19,13,20,0,2,0.2,2,2,0,0,30,11,0,1,0,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,3,1,1,2,7,0,5,27,18,15,1,140.0,69.0,2,0,3,1,28,2,0,10,0,29.0,6.7,29.2,2023-11-25 15:00:00+00:00,90,0,13,0,316847,9.0,2,-13110,2082,15192,39,2023-11-25
8,2023-12-02,Sat,14,Away,L 1–3,Luton Town,Brentford,Y,"CB,WB",90,0,0,0,0,0,0,0,0,52,2,2,3,0.0,0.0,0.0,3,1,27,37,2,25,2,0,0,396,204,13,15,13,14,0,5,0.0,0,0,0,0,32,4,0,0,0,0,4,0,1,3,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,2,2,0,2,1,3,0,5,28,22,2,0,136.0,83.0,0,0,1,0,23,0,0,18,0,0.8,2.4,23.0,2023-12-02 15:00:00+00:00,90,0,14,0,318215,0.0,1,-322,4770,5092,39,2023-12-02
9,2023-12-05,Tue,15,Home,L 3–4,Luton Town,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,32,1,0,2,0.0,0.0,0.0,1,0,18,23,0,14,0,0,0,303,84,9,10,7,8,1,4,0.0,1,1,0,0,21,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,2,0,4,0,7,16,15,1,0,47.0,30.0,1,0,1,0,16,0,0,11,0,13.3,3.4,20.4,2023-12-05 20:15:00+00:00,90,0,15,0,326286,0.0,0,6806,10671,3865,39,2023-12-05
