,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–2,Nott'ham Forest,Arsenal,Y,LM,71,0,0,0,0,1,0,1,0,23,3,0,0,0.0,0.0,0.0,1,0,9,14,0,8,1,2,1,228,172,3,7,3,4,3,3,0.0,0,0,0,0,10,4,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0,0,2,2,0,0,0,4,0,2,12,8,3,0,59.0,33.0,1,0,0,1,9,1,0,9,0,0.3,1.3,10.4,2023-08-12 12:00:00+00:00,71,0,1,0,9138,2.0,0,0,0,0,45,2023-08-12
1,2023-08-26,Sat,3,Away,L 2–3,Nott'ham Forest,Manchester Utd,Y,WB,90,0,0,0,0,0,0,1,0,43,3,2,1,0.0,0.0,0.0,1,0,22,35,1,16,1,3,2,379,145,11,12,8,12,3,9,0.0,0,1,0,0,28,7,1,0,0,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,1,2,0,5,19,15,10,0,128.0,79.0,2,0,0,1,22,0,0,9,0,0.5,1.3,12.6,2023-08-26 14:00:00+00:00,90,0,3,0,9643,0.0,0,-4563,151,4714,45,2023-08-26
2,2023-09-02,Sat,4,Away,W 1–0,Nott'ham Forest,Chelsea,Y,WB,72,0,0,0,0,0,0,1,0,22,1,0,1,0.0,0.0,0.0,1,0,5,11,0,11,1,3,0,73,40,2,5,3,3,0,2,0.0,0,0,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,4,12,7,3,0,73.0,35.0,1,0,1,1,8,0,0,13,1,0.1,0.6,5.8,2023-09-02 14:00:00+00:00,72,0,4,0,9792,0.0,5,-506,641,1147,45,2023-09-02
3,2023-09-18,Mon,5,Home,D 1–1,Nott'ham Forest,Burnley,Y,"LB,RB",90,0,0,0,0,1,0,0,0,61,3,0,0,0.0,0.0,0.0,4,0,37,49,6,30,4,2,1,602,207,18,19,18,24,1,5,0.0,1,4,0,0,39,9,1,0,0,2,8,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,2,3,1,0,0,4,0,7,18,29,14,0,155.0,100.0,2,0,1,0,32,1,0,12,0,11.5,2.8,15.8,2023-09-18 18:45:00+00:00,90,0,5,0,12901,1.0,2,1623,2324,701,45,2023-09-18
4,2023-09-23,Sat,6,Away,L 0–2,Nott'ham Forest,Manchester City,Y,"RB,LB",74,0,0,0,0,0,0,0,0,37,2,1,0,0.0,0.0,0.0,0,0,24,32,4,20,2,1,1,318,99,17,19,6,8,0,2,0.0,0,2,0,0,28,4,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,4,2,0,0,2,0,1,13,11,13,1,126.0,78.0,3,2,0,0,24,2,0,13,0,2.4,1.5,10.4,2023-09-23 14:00:00+00:00,74,0,6,0,13357,2.0,1,294,1353,1059,45,2023-09-23
5,2023-10-21,Sat,9,Home,D 2–2,Nott'ham Forest,Luton Town,N,RB,3,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,5,7,0,4,1,0,0,72,12,3,3,2,3,0,0,0.0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,7,0,0,41.0,29.0,0,0,0,0,5,0,0,3,0,0.6,0.2,1.6,2023-10-21 14:00:00+00:00,2,0,9,0,11163,0.0,1,-1422,70,1492,45,2023-10-21
6,2023-10-29,Sun,10,Away,L 0–3,Nott'ham Forest,Liverpool,Y,LB,68,0,0,0,0,0,0,0,0,27,1,0,1,0.0,0.0,0.0,0,0,9,16,2,11,1,1,0,99,27,6,6,3,6,0,3,0.0,0,1,0,0,14,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4,0,3,14,12,1,0,87.0,26.0,0,0,1,0,14,1,0,10,0,3.4,1.5,11.6,2023-10-29 14:00:00+00:00,68,0,10,0,11076,0.0,1,-258,265,523,45,2023-10-29
7,2023-11-05,Sun,11,Home,W 2–0,Nott'ham Forest,Aston Villa,Y,"RB,LB",85,1,0,0,0,1,1,0,0,40,3,0,1,0.0,0.0,0.2,1,0,18,27,2,21,1,1,1,295,162,10,10,6,7,2,9,0.1,1,1,0,0,24,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,4,2,0,1,5,0,4,26,12,2,1,125.0,81.0,0,0,0,1,15,0,2,41,1,10.7,6.9,48.8,2023-11-05 14:00:00+00:00,85,0,11,0,11198,9.0,14,-66,363,429,45,2023-11-05
8,2023-11-12,Sun,12,Away,L 2–3,Nott'ham Forest,West Ham,Y,RB,75,0,1,0,0,0,0,0,0,49,1,0,3,0.0,0.0,0.1,2,1,33,40,2,27,2,1,0,491,211,20,22,10,15,2,2,0.1,1,3,0,0,34,6,0,0,0,1,6,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,2,3,1,2,24,20,5,1,140.0,99.0,0,1,0,1,28,1,0,21,0,11.4,3.9,25.8,2023-11-12 14:00:00+00:00,75,0,12,0,22968,2.0,4,10263,10928,665,45,2023-11-12
9,2023-11-25,Sat,13,Home,L 2–3,Nott'ham Forest,Brighton,Y,RB,89,0,0,0,0,1,0,0,0,59,1,2,0,0.0,0.0,0.0,3,0,40,52,5,29,5,0,0,666,174,14,16,22,24,1,5,0.1,0,4,2,0,45,7,0,0,0,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,3,14,32,14,1,181.0,122.0,2,1,0,0,37,5,0,8,0,6.3,1.5,6.0,2023-11-25 15:00:00+00:00,89,0,13,0,46065,3.0,1,20285,22482,2197,45,2023-11-25
