,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2017-08-12,Sat,1,Home,W 1–0,Everton,Stoke City,Y,CB,45,0,0,0,0,0,0,0,0,46,0,3,1,0.0,0.0,0.0,0,0,36,37,0,29,0,0,0,842,231,7,7,26,26,3,3,0.0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,5,31,15,0,0,121.0,59.0,1,0,1,0,32,0,0,10,0,0.1,1.8,17.8,2017-08-12 14:00:00+00:00,45,0,1,0,226751,0.0,1,0,0,0,55,2017-08-12
1,2017-08-21,Mon,2,Away,D 1–1,Everton,Manchester City,Y,CB,60,0,0,0,0,1,0,0,0,24,1,2,0,0.0,0.0,0.0,0,0,10,12,0,7,0,0,0,221,46,1,2,8,8,1,2,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,7,0,6,15,8,1,1,7.0,1.0,0,0,1,0,11,0,2,23,1,0.0,1.7,13.0,2017-08-21 19:00:00+00:00,60,0,2,0,217375,4.0,8,-22741,2143,24884,55,2017-08-21
2,2017-08-27,Sun,3,Away,L 0–2,Everton,Chelsea,Y,CB,90,0,0,0,0,2,0,0,0,68,1,5,3,0.1,0.1,0.0,0,0,38,47,1,30,0,0,0,652,249,14,15,22,23,0,6,0.0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,2,1,10,1,8,40,26,2,1,109.0,36.0,0,0,0,0,34,0,0,16,0,0.2,3.3,28.2,2017-08-27 12:30:00+00:00,90,0,3,0,210231,5.0,1,-12649,5066,17715,55,2017-08-27
3,2017-09-09,Sat,4,Home,L 0–3,Everton,Tottenham,Y,CB,90,0,0,0,0,0,0,1,0,66,2,2,1,0.0,0.0,0.0,0,0,50,58,1,37,0,0,0,999,236,15,15,29,32,5,9,0.0,0,0,0,0,54,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,1,0,2,0,5,34,31,1,1,134.0,74.0,0,0,0,0,41,0,0,6,0,0.2,1.7,14.6,2017-09-09 14:00:00+00:00,90,0,4,0,200282,2.0,0,-13768,2322,16090,55,2017-09-09
4,2017-09-17,Sun,5,Away,L 0–4,Everton,Manchester Utd,Y,CB,90,0,0,0,0,0,0,1,0,50,2,2,3,0.0,0.0,0.0,0,0,23,32,0,18,0,0,0,448,143,5,6,17,19,1,6,0.0,0,0,0,0,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,2,1,12,1,10,32,18,0,0,84.0,35.0,0,0,0,0,21,0,0,7,0,0.1,3.0,29.4,2017-09-17 15:00:00+00:00,90,0,5,0,183408,0.0,-1,-18098,944,19042,54,2017-09-17
5,2017-09-23,Sat,6,Home,W 2–1,Everton,Bournemouth,Y,CB,90,0,0,0,0,2,0,0,0,52,2,0,2,0.1,0.1,0.0,1,0,35,40,2,29,0,1,1,890,217,7,8,14,15,12,15,0.0,0,4,1,0,40,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,1,2,0,6,0,5,27,22,3,3,149.0,75.0,0,0,1,0,33,0,0,18,0,0.8,5.3,28.6,2017-09-23 14:00:00+00:00,90,0,6,0,167543,24.0,2,-16784,2833,19617,54,2017-09-23
6,2017-10-01,Sun,7,Home,L 0–1,Everton,Burnley,Y,CB,90,0,0,0,0,2,0,0,0,75,1,0,1,0.1,0.1,0.0,2,0,48,57,4,37,1,0,0,972,228,10,11,34,38,4,8,0.1,1,3,0,0,55,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,13,0,8,31,37,8,4,244.0,164.0,2,0,0,0,42,1,0,18,0,12.1,6.8,31.4,2017-10-01 13:15:00+00:00,90,0,7,0,158756,24.0,2,-9607,4054,13661,54,2017-10-01
7,2017-10-22,Sun,9,Home,L 2–5,Everton,Arsenal,Y,CB,45,0,0,0,0,0,0,1,0,8,0,0,1,0.0,0.0,0.0,0,0,3,5,0,2,0,0,0,53,0,1,3,2,2,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4,4,0,0,9.0,2.0,0,0,0,1,4,0,0,-2,0,0.0,0.5,5.0,2017-10-22 12:30:00+00:00,45,0,9,0,138246,0.0,0,-8699,497,9196,53,2017-10-22
8,2017-10-29,Sun,10,Away,L 0–2,Everton,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,47,0,0,1,0.0,0.0,0.0,0,0,34,39,3,22,0,0,0,677,211,12,13,17,19,5,6,0.0,0,2,0,0,38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,5,19,25,3,2,69.0,26.0,0,0,1,0,27,0,0,14,0,0.7,2.1,16.4,2017-10-29 16:00:00+00:00,90,0,10,0,127916,4.0,1,-10722,563,11285,53,2017-10-29
9,2017-11-26,Sun,13,Away,L 1–4,Everton,Southampton,N,"CB,LB",64,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,0,0,15,20,2,13,0,0,0,377,162,2,3,10,12,3,4,0.0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11,0,12,19,14,0,0,21.0,7.0,0,0,0,0,14,0,0,10,0,0.1,2.0,20.0,2017-11-26 13:30:00+00:00,63,0,13,0,113647,0.0,1,-4817,336,5153,52,2017-11-26
