,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,L 0–1,Everton,Fulham,Y,LB,90,0,0,0,0,0,0,0,0,55,1,0,0,0.0,0.0,0.0,3,0,34,50,1,28,0,2,1,612,219,13,14,18,20,3,13,0.1,0,3,1,1,34,14,2,0,0,6,11,1,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,2,11,26,18,0,120.0,33.0,0,0,0,0,30,1,0,10,0,9.8,2.0,10.2,2023-08-12 14:00:00+00:00,90,0,1,0,58505,0.0,2,0,0,0,45,2023-08-12
1,2023-08-20,Sun,2,Away,L 0–4,Everton,Aston Villa,Y,LB,90,0,0,0,0,0,0,0,0,57,2,0,0,0.0,0.0,0.1,3,0,39,53,8,31,3,1,0,745,346,12,12,21,23,5,13,0.0,2,3,1,0,42,11,1,0,0,5,7,3,0,2,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,0,0,0,1,1,1,15,31,12,0,105.0,69.0,2,0,0,0,31,1,0,18,0,25.2,3.4,9.0,2023-08-20 13:00:00+00:00,90,0,2,0,61190,0.0,0,-2589,1987,4576,45,2023-08-20
2,2023-08-26,Sat,3,Home,L 0–1,Everton,Wolves,Y,LB,90,0,0,0,0,0,0,0,0,72,1,1,0,0.0,0.0,0.2,4,0,50,67,3,28,0,0,0,921,375,21,23,22,26,6,17,0.3,3,3,2,0,39,28,11,0,1,11,10,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,2,0,1,16,30,26,0,134.0,42.0,2,0,1,2,30,0,0,17,0,50.8,6.8,16.8,2023-08-26 14:00:00+00:00,90,0,3,0,55776,0.0,2,-6534,1222,7756,45,2023-08-26
3,2023-09-02,Sat,4,Away,D 2–2,Everton,Sheffield Utd,Y,LB,90,0,0,0,0,1,1,0,0,98,4,1,2,0.1,0.1,0.1,2,0,50,82,6,50,3,1,0,861,419,26,33,18,27,6,16,0.1,2,3,2,0,60,21,3,0,0,9,12,6,1,0,2,0,0,0,0,0,0,0,0,0,0,4,3,1,0,3,6,3,0,2,2,0,1,24,50,24,0,234.0,170.0,2,0,0,0,49,4,0,22,0,38.8,6.8,22.4,2023-09-02 11:30:00+00:00,90,0,4,0,56224,7.0,1,-1333,5010,6343,45,2023-09-02
4,2023-09-17,Sun,5,Home,L 0–1,Everton,Arsenal,Y,RB,86,0,0,0,0,0,0,1,0,33,1,2,0,0.0,0.0,0.0,0,0,15,27,2,16,0,0,0,315,163,4,4,9,11,2,11,0.0,0,2,0,0,18,9,2,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,5,13,16,4,0,49.0,27.0,0,0,0,0,15,0,0,4,0,0.8,0.4,3.2,2023-09-17 15:30:00+00:00,86,0,5,0,48592,0.0,1,-8409,1196,9605,44,2023-09-17
5,2023-09-23,Sat,6,Away,W 3–1,Everton,Brentford,Y,RB,90,0,0,0,0,0,0,1,0,44,2,0,1,0.0,0.0,0.0,0,0,26,36,0,16,3,1,0,415,149,14,16,10,12,2,7,0.0,0,1,0,0,29,7,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,1,1,0,2,0,5,18,13,13,1,98.0,73.0,1,1,0,0,17,2,0,2,0,1.5,1.4,10.2,2023-09-23 16:30:00+00:00,90,0,6,0,46645,2.0,1,-2584,1858,4442,44,2023-09-23
6,2023-09-30,Sat,7,Home,L 1–2,Everton,Luton Town,Y,RB,77,0,0,0,0,1,0,0,0,59,1,1,2,0.0,0.0,0.0,4,0,42,51,6,28,3,2,0,710,298,23,25,14,16,4,7,0.0,1,6,1,0,42,9,0,0,0,4,9,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,2,1,1,4,13,26,21,0,244.0,155.0,2,0,0,0,34,2,0,9,0,16.9,2.5,5.6,2023-09-30 14:00:00+00:00,77,0,7,0,51365,2.0,1,3523,7664,4141,44,2023-09-30
7,2023-10-07,Sat,8,Home,W 3–0,Everton,Bournemouth,Y,RB,90,0,0,0,0,2,0,1,0,69,2,1,1,0.1,0.1,0.0,3,0,44,59,5,30,3,3,2,760,388,19,20,15,16,7,15,0.0,0,2,0,0,45,14,1,2,0,2,13,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,2,1,0,1,1,0,3,22,32,16,0,164.0,97.0,0,0,0,1,33,0,0,16,1,7.6,1.5,5.2,2023-10-07 14:00:00+00:00,90,0,8,0,47158,2.0,5,-3903,2419,6322,44,2023-10-07
8,2023-10-21,Sat,9,Away,L 0–2,Everton,Liverpool,Y,RB,36,0,0,0,0,0,0,2,1,20,1,0,2,0.0,0.0,0.0,0,0,8,16,3,3,0,0,0,144,110,2,4,6,9,0,3,0.0,0,2,1,0,13,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,2,0,0,0,2,9,9,2,0,17.0,14.0,0,0,1,0,8,0,0,-5,0,0.4,0.7,6.2,2023-10-21 11:30:00+00:00,36,0,9,0,46274,0.0,-3,-1427,3301,4728,44,2023-10-21
9,2023-11-04,Sat,11,Home,D 1–1,Everton,Brighton,Y,RB,89,0,0,0,0,0,0,0,0,37,1,0,0,0.0,0.0,0.0,1,0,21,31,1,14,0,0,0,394,208,11,11,7,11,3,9,0.0,0,0,1,1,23,8,0,0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4,0,0,3,0,2,17,17,3,0,45.0,25.0,0,0,0,0,12,0,0,7,0,4.6,0.8,3.2,2023-11-04 15:00:00+00:00,89,1,11,0,35746,0.0,0,-1918,657,2575,44,2023-11-04
