,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Home,L 0–3,Norwich City,Liverpool,Y,CB,90,0,0,0,0,2,1,0,0,95,0,2,0,0.9,0.9,0.0,2,0,66,77,5,58,0,1,0,1254,611,27,28,29,32,9,15,0.0,0,4,0,0,73,4,4,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,21,67,26,2,2,249.0,146.0,0,0,0,0,63,0,0,15,0,0.6,8.4,32.4,2021-08-14 16:30:00+00:00,90,0,1,0,6190,51.0,1,0,0,0,45,2021-08-14
1,2021-08-21,Sat,2,Away,L 0–5,Norwich City,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,53,0,0,2,0.0,0.0,0.0,0,0,40,42,1,29,0,1,0,673,282,19,20,19,19,2,3,0.0,0,0,0,0,39,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,0,22,47,5,1,1,120.0,52.0,0,0,0,0,38,0,0,16,0,0.2,3.0,27.4,2021-08-21 14:00:00+00:00,90,0,2,0,7357,2.0,0,-389,432,821,45,2021-08-21
2,2021-08-28,Sat,3,Home,L 1–2,Norwich City,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,65,1,4,2,0.0,0.0,0.0,0,0,38,52,1,42,0,0,0,779,371,14,15,16,20,8,15,0.0,0,2,0,0,50,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,3,0,9,44,18,3,1,229.0,165.0,2,0,1,0,43,0,0,15,0,0.8,2.5,21.8,2021-08-28 14:00:00+00:00,90,0,3,0,7085,2.0,1,-754,286,1040,45,2021-08-28
3,2021-09-25,Sat,6,Away,L 0–2,Norwich City,Everton,Y,CB,90,0,0,0,0,1,0,0,0,75,1,3,1,0.2,0.2,0.0,1,0,62,69,10,55,3,0,0,1248,594,18,20,37,39,6,9,0.0,0,8,0,0,67,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,2,31,42,2,1,342.0,295.0,1,0,0,0,57,0,0,13,0,1.4,2.6,17.2,2021-09-25 14:00:00+00:00,90,0,6,0,6677,7.0,1,-406,138,544,44,2021-09-25
4,2021-10-02,Sat,7,Away,D 0–0,Norwich City,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,54,1,0,1,0.0,0.0,0.0,0,0,38,47,0,30,0,0,0,717,323,14,14,22,26,1,5,0.0,0,1,1,0,45,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,4,0,10,36,17,2,2,133.0,71.0,0,0,1,1,31,0,0,27,1,0.5,2.1,14.4,2021-10-02 14:00:00+00:00,90,0,7,0,6585,6.0,6,-197,153,350,44,2021-10-02
5,2021-10-16,Sat,8,Home,D 0–0,Norwich City,Brighton,Y,CB,90,0,0,0,0,1,1,0,0,45,0,0,4,0.0,0.0,0.0,1,0,26,36,1,19,0,1,1,558,275,8,10,15,19,3,7,0.0,1,3,0,0,33,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,12,27,16,3,1,59.0,33.0,0,0,0,0,26,0,0,24,1,10.4,3.9,19.2,2021-10-16 14:00:00+00:00,90,0,8,0,6654,9.0,6,-65,190,255,44,2021-10-16
6,2021-10-23,Sat,9,Away,L 0–7,Norwich City,Chelsea,Y,CB,64,0,0,0,0,0,0,2,1,51,2,2,0,0.0,0.0,0.0,0,0,35,43,3,27,0,0,0,738,281,11,12,19,21,5,9,0.0,0,2,0,0,41,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,2,0,7,34,17,0,0,81.0,29.0,0,0,1,0,33,0,0,2,0,0.3,0.7,7.0,2021-10-23 11:30:00+00:00,64,0,9,0,6931,0.0,-4,153,324,171,44,2021-10-23
7,2021-11-06,Sat,11,Away,W 2–1,Norwich City,Brentford,Y*,CB,90,0,0,0,0,0,0,0,0,47,0,0,1,0.0,0.0,0.0,0,0,27,31,1,13,0,0,0,564,358,9,10,15,16,3,4,0.0,0,3,0,0,28,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,11,35,12,0,0,33.0,11.0,0,0,0,0,16,0,0,19,0,0.3,2.4,23.4,2021-11-06 15:00:00+00:00,90,0,11,0,5951,0.0,2,-48,187,235,44,2021-11-06
8,2021-11-20,Sat,12,Home,W 2–1,Norwich City,Southampton,Y,CB,90,0,0,0,0,1,0,0,0,42,1,1,3,0.1,0.1,0.0,0,0,20,30,1,21,0,0,0,355,144,8,10,10,11,2,9,0.0,0,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3,0,6,0,11,25,15,2,1,90.0,29.0,0,0,0,0,23,0,0,13,0,0.3,3.6,31.2,2021-11-20 15:00:00+00:00,90,0,12,0,5961,4.0,2,-84,164,248,44,2021-11-20
9,2021-11-27,Sat,13,Home,D 0–0,Norwich City,Wolves,Y,CB,90,0,0,0,0,0,0,1,0,67,1,1,0,0.0,0.0,0.0,0,0,50,62,3,48,2,1,1,944,457,18,19,28,33,4,9,0.0,0,3,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,4,32,34,1,0,345.0,287.0,0,0,0,0,49,0,0,25,1,1.0,1.2,11.4,2021-11-27 15:00:00+00:00,90,0,13,0,6087,0.0,5,60,282,222,44,2021-11-27
