Unnamed: 0,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-01-19,Sat,23,Home,D 0–0,Watford,Burnley,N,CB,14,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,2,4,0,2,0,0,0,53,31,0,0,1,2,1,2,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0,0,9.0,3.0,0,0,0,0,2,0,0,3,0,0.0,0.1,1.2,2019-01-19 15:00:00+00:00,13,0,23,0,2374,0.0,1,-20,35,55,44,2019-01-19
1,2019-03-09,Sat,30,Away,L 1–3,Watford,Manchester City,Y,CB,81,0,0,0,0,0,0,0,0,34,2,0,0,0.0,0.0,0.0,0,0,19,24,1,17,0,2,1,395,129,5,7,11,13,3,4,0.0,0,0,0,0,23,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,6,0,9,24,9,1,0,71.0,19.0,0,0,1,0,18,0,0,9,0,0.1,1.5,14.8,2019-03-09 17:30:00+00:00,81,0,30,0,2380,0.0,1,-1,17,18,43,2019-03-09
2,2019-03-30,Sat,32,Away,L 1–2,Watford,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,44,2,2,1,0.0,0.0,0.0,0,0,26,32,3,19,0,1,0,451,225,14,15,10,13,2,4,0.0,0,3,0,0,32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,2,1,0,4,1,4,26,15,3,0,68.0,29.0,0,0,0,0,18,0,0,10,0,0.2,1.3,12.4,2019-03-30 15:00:00+00:00,90,0,32,0,2425,0.0,1,27,58,31,43,2019-03-30
3,2017-08-12,Sat,1,Home,D 3–3,Watford,Liverpool,Y,CB,90,1,0,0,0,2,2,0,0,51,1,0,3,0.7,0.7,0.0,1,0,29,40,2,24,1,0,0,634,190,7,7,17,20,5,13,0.0,0,2,0,0,40,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,5,0,1,24,26,2,1,130.0,78.0,0,0,0,0,30,0,0,24,0,0.3,9.0,49.2,2017-08-12 11:30:00+00:00,90,0,1,0,19335,40.0,7,0,0,0,45,2017-08-12
4,2017-08-19,Sat,2,Away,W 2–0,Watford,Bournemouth,Y,CB,90,0,0,0,0,0,0,1,0,44,0,2,2,0.0,0.0,0.0,2,0,25,32,4,20,0,2,1,494,139,9,9,12,14,3,5,0.0,0,2,0,0,29,1,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,8,20,21,3,1,98.0,50.0,0,0,2,0,23,0,0,23,1,0.7,2.1,17.8,2017-08-19 14:00:00+00:00,90,0,2,0,59183,2.0,5,16775,21624,4849,45,2017-08-19
5,2017-08-26,Sat,3,Home,D 0–0,Watford,Brighton,Y,LB,23,0,0,0,0,0,0,0,1,20,0,0,0,0.0,0.0,0.0,0,0,18,19,4,13,0,0,0,303,156,8,8,10,11,0,0,0.0,0,3,0,0,15,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,14,1,0,74.0,50.0,1,0,1,0,14,2,0,-7,0,0.8,0.0,0.0,2017-08-26 14:00:00+00:00,23,0,3,0,149520,0.0,-2,73989,88763,14774,45,2017-08-26
6,2017-10-14,Sat,8,Home,W 2–1,Watford,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,55,0,2,1,0.0,0.0,0.0,0,0,41,48,6,28,0,0,0,879,381,9,9,25,28,7,9,0.0,0,4,1,0,46,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,22,31,2,0,130.0,40.0,1,1,0,0,29,1,0,14,0,0.9,1.6,15.0,2017-10-14 16:30:00+00:00,90,0,8,0,56952,0.0,2,-4211,171,4382,45,2017-10-14
7,2017-10-21,Sat,9,Away,L 2–4,Watford,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,48,5,3,0,0.0,0.0,0.3,1,0,25,36,1,28,0,2,1,480,210,10,11,12,15,3,8,0.3,1,0,1,1,34,1,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,1,1,0,0,2,1,4,18,21,9,2,129.0,19.0,1,0,0,1,27,1,0,14,0,14.9,3.6,19.2,2017-10-21 11:30:00+00:00,90,0,9,0,55543,2.0,0,-1465,307,1772,45,2017-10-21
8,2017-10-28,Sat,10,Home,L 0–1,Watford,Stoke City,Y,CB,90,0,0,0,0,1,0,0,0,75,1,2,0,0.0,0.0,0.1,1,0,62,70,8,45,1,0,0,1363,459,14,16,38,38,10,14,0.3,1,4,1,0,67,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,3,0,0,33,40,3,1,208.0,131.0,0,0,0,0,48,0,0,21,0,11.6,3.4,16.8,2017-10-28 14:00:00+00:00,90,0,10,0,54455,6.0,2,-1217,929,2146,45,2017-10-28
9,2017-11-05,Sun,11,Away,L 2–3,Watford,Everton,Y,CB,90,0,0,0,0,0,0,1,0,51,1,1,0,0.0,0.0,0.0,1,0,33,40,8,25,1,0,0,736,424,10,12,14,17,9,11,0.0,0,7,1,0,38,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,6,0,4,20,31,0,0,160.0,119.0,0,0,0,0,25,0,0,9,0,0.8,1.3,12.6,2017-11-05 16:30:00+00:00,90,0,11,0,53469,0.0,0,-1079,424,1503,45,2017-11-05
