,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 5–1,Newcastle Utd,Aston Villa,Y,LB,90,0,0,0,0,1,0,0,0,89,4,1,3,0.2,0.2,0.0,1,0,58,75,2,54,0,0,0,891,388,31,34,26,35,1,2,0.0,0,4,0,0,65,9,2,0,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,2,2,1,2,2,0,3,37,40,12,2,162.0,72.0,1,0,0,0,54,1,0,9,0,1.3,3.2,21.4,2023-08-12 16:30:00+00:00,90,0,1,0,282988,9.0,2,0,0,0,45,2023-08-12
1,2023-08-19,Sat,2,Away,L 0–1,Newcastle Utd,Manchester City,Y,LB,90,0,0,0,0,0,0,0,0,54,2,1,1,0.0,0.0,0.0,0,0,43,51,0,33,2,0,0,667,283,24,26,18,20,1,4,0.0,0,2,0,0,44,6,3,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,3,1,0,0,0,5,25,24,6,0,179.0,109.0,0,0,0,0,34,0,0,12,0,1.8,1.6,14.0,2023-08-19 19:00:00+00:00,90,0,2,0,289167,0.0,2,-11219,12033,23252,45,2023-08-19
2,2023-08-27,Sun,3,Home,L 1–2,Newcastle Utd,Liverpool,Y,"LB,CB",90,0,0,0,0,0,0,0,0,66,3,0,1,0.0,0.0,0.1,2,0,51,57,3,38,1,0,0,771,271,25,27,25,26,0,1,0.0,1,7,0,0,49,8,3,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,3,2,1,0,4,0,6,22,38,6,1,115.0,63.0,0,0,1,0,40,0,0,15,0,12.2,3.7,23.2,2023-08-27 15:30:00+00:00,90,0,3,0,283304,2.0,1,-11656,9177,20833,45,2023-08-27
3,2023-09-02,Sat,4,Away,L 1–3,Newcastle Utd,Brighton,Y,"CB,LB",90,0,0,0,0,0,0,1,0,48,0,0,3,0.0,0.0,0.0,0,0,37,42,1,27,0,0,0,826,251,4,8,27,27,6,7,0.0,0,0,0,0,37,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,1,0,7,28,17,3,2,158.0,57.0,0,0,0,0,30,0,0,4,0,0.3,0.5,0.2,2023-09-02 16:30:00+00:00,90,0,4,0,285799,4.0,0,-2094,17617,19711,45,2023-09-02
4,2023-09-16,Sat,5,Home,W 1–0,Newcastle Utd,Brentford,Y,LB,90,0,0,0,0,0,0,0,0,80,2,3,1,0.0,0.0,0.1,2,0,51,66,4,25,0,1,0,714,393,29,33,17,24,2,3,0.0,1,3,1,0,48,18,2,0,0,2,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,4,0,3,23,34,23,1,65.0,12.0,0,0,0,1,37,2,0,25,1,12.6,3.4,19.8,2023-09-16 16:30:00+00:00,90,0,5,0,304755,2.0,6,13344,43255,29911,45,2023-09-16
5,2023-09-24,Sun,6,Away,W 8–0,Newcastle Utd,Sheffield Utd,Y,"LB,CB",90,1,0,0,0,2,1,0,0,77,2,1,0,0.4,0.4,0.0,1,0,53,66,5,47,2,1,1,763,299,34,37,18,24,1,4,0.0,0,3,2,1,56,10,0,0,0,4,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,1,2,1,0,0,4,0,4,25,36,16,3,205.0,89.0,1,0,0,1,52,5,0,42,1,5.7,9.9,50.6,2023-09-24 15:30:00+00:00,90,0,6,0,343621,43.0,12,35721,48374,12653,45,2023-09-24
6,2023-09-30,Sat,7,Home,W 2–0,Newcastle Utd,Burnley,Y,LB,90,0,0,0,0,1,0,0,0,67,0,0,4,0.2,0.2,0.0,0,0,45,58,3,12,0,0,0,733,321,23,25,20,30,2,3,0.0,0,3,0,0,49,9,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,1,1,3,33,25,9,1,46.0,7.0,0,0,0,0,27,4,0,20,1,1.1,1.6,11.0,2023-09-30 14:00:00+00:00,90,0,7,0,429291,4.0,6,84965,127020,42055,45,2023-09-30
7,2023-10-08,Sun,8,Away,D 2–2,Newcastle Utd,West Ham,Y,LB,90,0,0,0,0,3,1,0,0,77,0,1,2,0.2,0.2,0.4,2,0,51,61,5,30,0,0,0,812,242,29,32,19,24,3,4,0.2,1,3,1,1,51,10,1,1,0,1,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,5,0,2,25,39,13,3,110.0,57.0,1,0,1,1,43,1,0,15,0,18.8,6.0,14.8,2023-10-08 13:00:00+00:00,90,0,8,0,1002483,26.0,1,547502,616582,69080,46,2023-10-08
8,2023-10-21,Sat,9,Home,W 4–0,Newcastle Utd,Crystal Palace,Y,LB,90,0,0,0,0,0,0,0,0,60,3,1,2,0.0,0.0,0.0,0,0,44,52,4,37,1,0,0,668,230,23,26,19,22,1,2,0.0,0,1,1,0,49,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,2,1,0,2,2,0,2,16,37,7,0,111.0,46.0,0,0,1,0,41,2,0,26,1,1.9,1.7,15.0,2023-10-21 14:00:00+00:00,90,0,9,0,1208039,0.0,6,204838,243717,38879,47,2023-10-21
9,2023-10-28,Sat,10,Away,D 2–2,Newcastle Utd,Wolves,Y,LB,90,0,0,0,0,1,1,1,0,76,0,2,2,0.1,0.1,0.0,0,0,54,61,4,35,1,0,0,840,269,29,31,24,27,1,2,0.0,0,2,0,0,51,10,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,0,6,33,36,7,1,133.0,73.0,0,1,1,1,45,0,0,7,0,1.0,3.4,15.6,2023-10-28 16:30:00+00:00,90,0,10,0,1332171,17.0,0,122166,185594,63428,47,2023-10-28
