,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Home,W 3–2,Watford,Aston Villa,Y,RB,90,0,0,0,0,0,0,0,0,46,2,1,1,0.0,0.0,0.0,0,0,26,39,4,21,1,0,0,444,227,11,18,13,13,2,7,0.0,0,4,0,0,25,14,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,2,0,3,22,13,11,0,78.0,49.0,0,0,0,0,18,0,0,6,0,0.8,1.3,11.8,2021-08-14 14:00:00+00:00,90,0,1,0,10383,0.0,1,0,0,0,45,2021-08-14
1,2021-08-21,Sat,2,Away,L 0–2,Watford,Brighton,Y,RB,64,0,0,0,0,0,0,0,0,49,2,0,0,0.0,0.0,0.0,0,0,32,41,3,19,0,0,0,532,226,16,17,13,17,2,3,0.0,0,2,0,0,30,11,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1,5,11,24,14,0,47.0,17.0,0,0,2,0,25,0,0,7,0,1.7,0.9,7.2,2021-08-21 16:30:00+00:00,64,0,2,0,12032,0.0,1,-166,1086,1252,45,2021-08-21
2,2021-08-29,Sun,3,Away,L 0–1,Watford,Tottenham,Y*,RB,50,0,0,0,0,0,0,0,0,37,0,2,2,0.0,0.0,0.0,0,0,22,25,2,7,2,0,0,406,184,7,8,13,14,2,3,0.0,0,0,0,0,20,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,9,18,17,2,1,38.0,31.0,0,0,1,0,15,0,0,7,0,0.4,2.7,24.2,2021-08-29 13:00:00+00:00,50,0,3,0,10978,2.0,1,-1366,411,1777,45,2021-08-29
3,2021-09-18,Sat,5,Away,W 3–1,Watford,Norwich City,Y,CB,90,0,0,0,0,1,0,1,0,58,0,2,1,0.1,0.1,0.0,0,0,39,45,2,35,0,0,0,932,158,8,9,25,28,6,7,0.0,0,1,0,0,45,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,0,9,28,27,3,2,156.0,46.0,0,0,0,0,37,0,0,10,0,0.3,2.2,15.2,2021-09-18 14:00:00+00:00,90,0,5,0,9305,6.0,1,-813,521,1334,44,2021-09-18
4,2021-09-25,Sat,6,Home,D 1–1,Watford,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,1,0,51,1,1,1,0.0,0.0,0.0,2,0,39,45,5,38,1,0,0,753,346,12,12,24,26,3,6,0.0,0,3,0,0,45,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,1,9,28,25,0,0,280.0,171.0,0,0,0,0,37,0,0,8,0,0.4,0.8,8.0,2021-09-25 14:00:00+00:00,90,0,6,0,9194,0.0,1,-280,526,806,44,2021-09-25
5,2021-10-16,Sat,8,Home,L 0–5,Watford,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,33,0,2,0,0.0,0.0,0.0,0,0,12,22,0,12,0,0,0,258,128,3,4,8,10,1,6,0.0,0,0,0,0,16,4,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,0,9,24,9,0,0,16.0,5.0,1,0,0,0,12,0,0,12,0,0.0,1.3,13.2,2021-10-16 11:30:00+00:00,90,0,8,0,8480,0.0,0,-828,144,972,44,2021-10-16
6,2021-10-23,Sat,9,Away,W 5–2,Watford,Everton,Y,"CB,RB",90,0,1,0,0,0,0,0,0,50,0,0,1,0.0,0.0,0.7,0,0,39,44,5,32,1,0,0,842,287,12,13,17,21,10,10,0.0,1,5,1,1,39,5,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,25,22,4,1,97.0,55.0,1,0,0,1,27,0,0,29,0,14.2,4.7,30.4,2021-10-23 14:00:00+00:00,90,0,9,0,8268,2.0,4,-271,299,570,44,2021-10-23
7,2021-10-30,Sat,10,Home,L 0–1,Watford,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,45,0,2,4,0.0,0.0,0.0,0,0,24,30,2,15,0,0,0,566,129,6,9,14,15,4,6,0.0,0,1,0,0,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,12,26,18,1,0,43.0,4.0,0,0,0,0,15,0,0,19,0,0.5,3.7,36.6,2021-10-30 14:00:00+00:00,90,0,10,0,8954,0.0,2,405,1029,624,44,2021-10-30
8,2021-11-07,Sun,11,Away,L 0–1,Watford,Arsenal,Y,CB,89,0,0,0,0,0,0,0,0,41,0,1,1,0.0,0.0,0.0,0,0,32,35,3,21,0,0,0,712,149,7,7,20,21,5,7,0.0,0,2,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,5,0,6,19,21,1,0,69.0,39.0,0,0,0,0,27,0,0,15,0,0.7,1.1,10.0,2021-11-07 14:00:00+00:00,90,0,11,0,8596,0.0,2,-306,243,549,44,2021-11-07
9,2021-11-20,Sat,12,Home,W 4–1,Watford,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,38,1,0,1,0.0,0.0,0.0,0,0,22,30,0,11,0,0,0,429,158,6,8,12,15,3,6,0.0,0,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,3,1,0,5,0,7,15,22,1,0,52.0,13.0,1,0,0,0,20,0,0,14,0,0.4,1.8,17.4,2021-11-20 15:00:00+00:00,90,0,12,0,8674,0.0,2,-49,448,497,44,2021-11-20
