,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2024-01-21,Sun,21,Away,W 4–0,Liverpool,Bournemouth,Y,RB,82,0,1,0,0,3,1,1,0,71,3,1,3,0.3,0.3,0.1,2,1,32,50,2,28,0,5,1,417,175,18,20,11,21,1,4,0.1,1,1,2,1,36,14,1,0,0,4,13,0,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,2,0,1,3,2,0,3,4,0,3,20,28,23,3,117.0,54.0,0,0,1,2,32,7,0,24,1,15.9,7.4,30.4,2024-01-21 16:30:00+00:00,82,0,21,0,8634,28.0,8,7471,8967,1496,40,2024-01-21
1,2024-01-31,Wed,22,Home,W 4–1,Liverpool,Chelsea,Y,RB,67,1,2,0,0,1,1,0,0,58,3,0,2,0.1,0.1,0.6,4,1,33,40,2,36,4,3,1,581,215,15,15,13,15,4,7,0.4,4,2,3,2,34,6,0,2,1,3,6,0,0,3,0,0,0,1,0,1,0,0,0,0,0,2,0,2,1,3,3,0,0,2,1,0,1,7,20,32,1,257.0,180.0,4,1,4,1,39,7,3,62,1,58.0,15.6,81.4,2024-01-31 20:15:00+00:00,67,0,22,0,13484,17.0,21,4801,6562,1761,40,2024-01-31
2,2024-02-17,Sat,25,Away,W 4–1,Liverpool,Brentford,Y,RB,82,0,0,0,0,2,1,0,0,75,1,1,0,0.2,0.2,0.0,2,0,57,70,3,53,5,2,1,825,209,36,43,18,23,3,3,0.1,0,6,1,0,62,8,1,0,0,1,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,1,0,1,12,41,23,2,283.0,140.0,3,1,0,0,53,3,0,13,0,7.1,3.7,8.0,2024-02-17 12:30:00+00:00,82,0,25,0,595514,22.0,2,355836,389386,33550,41,2024-02-17
3,2024-02-21,Wed,26,Home,W 4–1,Liverpool,Luton Town,Y,RB,67,0,0,0,0,1,1,0,0,48,3,0,1,0.1,0.1,0.2,7,1,28,40,3,27,4,2,2,370,156,15,21,10,13,1,4,0.2,3,0,3,0,36,4,0,1,0,3,4,0,0,3,1,2,0,0,1,0,1,0,0,0,0,3,2,0,1,1,2,1,0,1,1,0,2,13,13,22,5,172.0,82.0,4,0,2,2,29,2,0,22,0,36.0,8.2,20.6,2024-02-21 19:30:00+00:00,67,0,25,0,595514,25.0,2,355836,389386,33550,41,2024-02-21
4,2024-03-02,Sat,27,Away,W 1–0,Liverpool,Nott'ham Forest,Y,RB,83,0,0,0,0,0,0,0,0,82,5,1,2,0.0,0.0,0.2,2,0,49,63,4,49,0,6,2,780,228,25,31,20,26,2,2,0.0,2,3,0,0,52,11,1,0,0,1,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,4,1,0,4,7,3,0,2,0,0,0,17,39,28,4,232.0,67.0,4,0,5,0,48,11,2,28,1,27.5,5.6,20.4,2024-03-02 15:00:00+00:00,83,0,27,0,678074,8.0,8,83803,98587,14784,41,2024-03-02
5,2024-03-10,Sun,28,Home,D 1–1,Liverpool,Manchester City,Y,RB,60,0,0,0,0,1,0,0,0,49,4,2,2,0.0,0.0,0.0,1,0,27,36,2,24,3,1,0,394,70,14,19,10,12,1,2,0.0,0,0,1,0,29,7,1,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,3,5,2,1,1,2,0,2,13,21,15,3,108.0,63.0,1,2,1,0,23,7,0,16,0,2.9,2.9,17.0,2024-03-10 15:45:00+00:00,60,0,28,0,681374,9.0,2,4730,32683,27953,41,2024-03-10
6,2024-03-31,Sun,30,Home,W 2–1,Liverpool,Brighton,Y,RB,90,0,0,0,0,2,0,0,0,71,6,3,2,0.1,0.1,0.3,7,0,47,55,4,43,8,6,4,595,147,31,35,14,14,1,2,0.2,4,1,2,0,49,6,1,0,0,1,5,0,0,6,0,0,0,0,1,0,0,0,0,0,0,5,2,3,1,5,6,1,0,2,2,0,2,17,24,33,10,346.0,213.0,6,3,0,2,44,11,2,24,0,45.8,10.3,30.6,2024-03-31 13:00:00+00:00,90,0,30,0,856609,27.0,4,183491,215018,31527,42,2024-03-31
7,2024-04-04,Thu,31,Home,W 3–1,Liverpool,Sheffield Utd,Y,RB,90,0,0,0,0,1,0,0,0,93,3,1,2,0.0,0.0,0.0,0,0,72,80,3,61,6,0,0,1151,295,43,44,26,30,3,5,0.0,0,8,0,0,73,7,1,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,2,0,2,2,0,3,19,52,24,4,331.0,128.0,2,2,1,1,63,8,0,6,0,5.5,2.1,6.4,2024-04-04 18:30:00+00:00,90,1,31,0,1067554,9.0,0,209372,223157,13785,42,2024-04-04
8,2024-04-07,Sun,32,Away,D 2–2,Liverpool,Manchester Utd,Y,RB,65,0,0,0,0,1,0,1,0,55,3,0,2,0.1,0.1,0.1,2,0,34,43,4,29,3,3,1,560,235,17,21,15,18,2,3,0.2,1,5,0,0,35,8,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,2,3,1,0,2,0,0,0,8,24,23,5,168.0,86.0,2,3,2,2,27,3,0,6,0,14.1,3.7,9.4,2024-04-07 14:30:00+00:00,65,0,32,0,1062621,13.0,1,-3971,33928,37899,43,2024-04-07
9,2024-04-14,Sun,33,Home,L 0–1,Liverpool,Crystal Palace,Y,RB,47,0,0,0,0,0,0,0,0,41,1,1,1,0.0,0.0,0.0,0,0,25,37,2,18,1,1,1,327,85,16,18,7,13,1,2,0.0,0,1,1,0,30,7,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,1,0,0,12,18,13,1,95.0,44.0,2,0,1,0,21,4,0,7,0,2.0,0.9,5.0,2024-04-14 13:00:00+00:00,47,0,33,0,1055064,2.0,1,-8435,46357,54792,43,2024-04-14
