,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2024-02-11,Sun,24,Away,W 6–0,Arsenal,West Ham,N,RB,14,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,10,1,7,0,0,0,151,25,3,3,4,5,1,2,0.0,0,1,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,13.0,4.0,0,0,0,0,9,2,0,3,0,0.7,0.1,0.4,2024-02-11 14:00:00+00:00,13,0,24,0,40053,0.0,1,-409,270,679,39,2024-02-11
1,2024-02-17,Sat,25,Away,W 5–0,Arsenal,Burnley,N,RB,22,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,19,22,0,17,0,0,0,313,65,11,13,5,5,3,4,0.0,0,0,0,0,17,5,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,8,0,79.0,41.0,0,0,0,0,16,2,0,3,0,1.3,0.2,0.6,2024-02-17 15:00:00+00:00,21,0,25,0,40285,0.0,1,-363,696,1059,39,2024-02-17
2,2024-03-04,Mon,27,Away,W 6–0,Arsenal,Sheffield Utd,N,RB,26,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,33,37,2,13,0,0,0,441,67,25,25,6,7,1,2,0.0,0,3,0,0,34,3,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,29,2,0,47.0,24.0,0,0,0,0,31,2,0,9,0,2.3,0.3,1.0,2024-03-04 20:00:00+00:00,25,0,27,0,41624,0.0,1,1809,2886,1077,38,2024-03-04
3,2022-10-30,Sun,14,Home,W 5–0,Arsenal,Nott'ham Forest,N,"RB,LB",28,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.0,1,0,19,23,3,14,1,0,0,257,54,10,10,8,10,0,2,0.0,0,0,0,0,22,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,2,7,9,10,0,87.0,67.0,2,0,0,0,20,0,0,2,0,1.6,0.4,2.4,2022-10-30 14:00:00+00:00,27,0,14,0,14398,0.0,1,-247,137,384,42,2022-10-30
4,2022-11-12,Sat,16,Away,W 2–0,Arsenal,Wolves,N,LB,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2022-11-12 19:45:00+00:00,1,0,16,0,14299,0.0,1,-168,171,339,42,2022-11-12
5,2023-02-11,Sat,23,Home,W 2–0,Fulham,Nott'ham Forest,N,RB,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,2,1,0,0,0,27,20,2,2,0,0,0,0,0.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2.0,2.0,0,0,0,0,1,0,0,3,0,0.1,0.1,0.4,2023-02-11 15:00:00+00:00,1,0,23,0,14828,0.0,1,78,234,156,42,2023-02-11
6,2023-03-06,Mon,26,Away,L 2–3,Fulham,Brentford,N,RB,8,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,6,12,0,7,0,0,0,80,33,4,5,2,4,0,2,0.0,0,0,0,0,8,3,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,3,6,5,0,20.0,12.0,0,0,1,0,7,0,0,5,0,0.3,0.5,4.2,2023-03-06 20:00:00+00:00,7,0,26,0,15056,0.0,1,-71,151,222,42,2023-03-06
7,2023-04-01,Sat,29,Away,L 1–2,Fulham,Bournemouth,N,RB,9,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,11,1,4,0,0,0,135,33,5,6,4,4,0,1,0.0,0,0,0,0,9,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,35.0,25.0,0,0,0,0,8,0,0,3,0,0.4,0.1,0.8,2023-04-01 14:00:00+00:00,8,0,29,0,14836,0.0,1,27,163,136,42,2023-04-01
8,2023-04-08,Sat,30,Home,L 0–1,Fulham,West Ham,Y,RB,67,0,0,0,0,1,0,0,0,86,2,0,0,0.0,0.0,0.1,1,0,63,81,2,58,2,0,0,1011,253,37,41,19,25,6,10,0.1,1,6,3,2,70,11,1,0,0,14,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,2,0,0,0,2,0,2,11,36,39,2,218.0,96.0,1,1,0,0,64,6,0,19,0,32.4,5.9,20.2,2023-04-08 14:00:00+00:00,67,0,30,0,14876,6.0,2,9,129,120,42,2023-04-08
9,2023-04-25,Tue,33,Away,L 0–1,Fulham,Aston Villa,N,RB,23,0,0,0,0,0,0,0,0,28,2,0,1,0.0,0.0,0.0,0,0,17,21,4,14,1,1,1,273,57,8,8,8,9,1,4,0.0,0,2,0,0,20,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,7,13,8,1,59.0,34.0,0,0,0,0,20,1,0,4,0,1.2,0.9,6.2,2023-04-25 18:45:00+00:00,22,0,33,0,15223,2.0,1,0,130,130,42,2023-04-25
