Unnamed: 0,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2018-08-11,Sat,1,Home,L 0–3,Huddersfield,Chelsea,Y,WB,70,0,0,0,0,0,0,0,0,35,1,0,1,0.0,0.0,0.0,2,0,22,31,4,20,4,0,0,475,126,7,8,9,11,5,9,0.0,1,2,1,1,24,7,1,0,1,4,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,3,0,1,1,0,1,8,13,14,0,141.0,78.0,1,0,0,0,22,5,0,9,0,15.8,2.3,7.6,2018-08-11 14:00:00+00:00,70,0,1,0,8906,0.0,1,0,0,0,45,2018-08-11
1,2018-08-19,Sun,2,Away,L 1–6,Huddersfield,Manchester City,Y,LB,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,2,0,15,30,2,18,0,0,0,205,109,11,13,3,9,1,6,0.0,0,2,0,0,22,8,3,0,0,5,3,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,5,14,12,12,0,61.0,26.0,0,0,1,0,18,5,0,10,0,1.0,1.2,10.6,2018-08-19 12:30:00+00:00,90,0,2,0,9470,0.0,-1,-489,319,808,45,2018-08-19
2,2018-09-01,Sat,4,Away,D 1–1,Huddersfield,Everton,Y,LB,90,0,0,0,0,0,0,0,0,54,1,2,0,0.0,0.0,0.0,1,1,33,47,1,15,0,0,0,580,292,16,19,12,16,4,10,0.0,0,0,1,1,34,13,2,0,1,7,9,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,0,0,16,22,17,0,65.0,25.0,0,0,0,0,22,2,1,25,0,6.2,1.9,12.4,2018-09-01 14:00:00+00:00,90,0,4,0,8396,0.0,6,-1163,48,1211,45,2018-09-01
3,2018-09-15,Sat,5,Home,L 0–1,Huddersfield,Crystal Palace,Y,"LM,LB",90,0,0,0,0,0,0,0,0,69,1,1,0,0.0,0.0,0.4,5,0,49,67,1,33,3,2,2,954,327,22,23,18,24,9,17,0.2,3,3,6,5,49,18,4,0,0,16,10,4,0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,16,26,27,0,217.0,130.0,2,0,0,2,39,6,0,22,0,57.3,8.1,23.4,2018-09-15 14:00:00+00:00,90,0,5,0,8650,0.0,2,-100,447,547,45,2018-09-15
4,2018-09-22,Sat,6,Away,L 1–3,Huddersfield,Leicester City,Y,LB,90,0,0,0,0,1,0,0,0,60,2,3,0,0.0,0.0,0.0,2,0,39,53,4,30,0,2,1,606,215,17,20,14,16,3,9,0.0,0,3,0,0,43,10,3,0,1,3,6,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,3,14,30,17,2,190.0,65.0,2,0,0,1,34,4,0,9,0,3.3,3.0,13.0,2018-09-22 14:00:00+00:00,90,0,6,0,8392,14.0,1,-322,153,475,44,2018-09-22
5,2018-09-29,Sat,7,Home,L 0–2,Huddersfield,Tottenham,Y,"CB,WB",90,0,0,0,0,2,1,0,0,58,3,1,0,0.1,0.1,0.0,1,0,33,48,9,21,0,0,0,729,268,12,13,14,21,7,12,0.0,0,6,0,0,42,6,3,0,0,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,2,0,2,21,27,11,1,47.0,7.0,0,0,2,1,32,2,0,6,0,0.9,2.3,12.0,2018-09-29 14:00:00+00:00,90,0,7,0,8128,10.0,1,-323,105,428,44,2018-09-29
6,2018-10-06,Sat,8,Away,D 1–1,Huddersfield,Burnley,Y,LB,85,0,1,0,0,0,0,0,0,90,4,0,2,0.0,0.0,0.2,4,1,56,84,5,41,2,0,0,1119,342,28,37,18,29,9,14,0.2,4,1,4,3,65,19,2,0,1,12,12,5,0,3,1,0,0,0,0,1,0,0,0,0,0,2,2,2,0,4,5,1,0,2,0,0,1,28,41,23,1,225.0,147.0,1,0,0,0,47,4,2,25,0,66.7,10.9,40.6,2018-10-06 14:00:00+00:00,85,0,8,0,8077,2.0,7,-122,185,307,44,2018-10-06
7,2018-10-20,Sat,9,Home,L 0–1,Huddersfield,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,59,3,2,1,0.0,0.0,0.0,1,0,33,45,2,26,0,0,0,761,256,11,15,13,16,9,12,0.0,1,2,1,1,41,3,2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,2,3,1,0,1,5,0,3,32,27,1,0,99.0,49.0,0,0,1,0,27,0,0,14,0,14.3,3.4,20.0,2018-10-20 16:30:00+00:00,90,0,9,0,7637,0.0,2,-464,306,770,44,2018-10-20
8,2018-10-27,Sat,10,Away,L 0–3,Huddersfield,Watford,Y,LB,90,0,0,0,0,2,2,0,0,67,5,1,0,0.1,0.1,0.0,1,0,46,57,2,30,5,1,1,746,175,26,27,16,21,4,7,0.1,0,3,1,1,48,9,1,0,0,5,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,3,3,0,0,1,0,1,10,41,17,1,192.0,150.0,3,0,1,0,45,6,0,24,0,6.8,5.4,23.2,2018-10-27 14:00:00+00:00,90,0,10,0,7762,24.0,1,51,274,223,44,2018-10-27
9,2018-11-05,Mon,11,Home,W 1–0,Huddersfield,Fulham,Y,"WB,DM,LB",90,0,0,0,0,0,0,0,0,45,2,0,1,0.0,0.0,0.1,2,0,26,42,1,15,3,0,0,453,152,15,15,4,11,5,11,0.1,1,2,1,1,37,5,1,0,0,8,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,3,2,0,1,1,0,1,13,17,17,0,128.0,99.0,5,0,0,1,19,0,3,30,1,16.2,2.7,11.0,2018-11-05 20:00:00+00:00,90,0,11,0,8283,0.0,9,405,721,316,44,2018-11-05
