,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-13,Sun,1,Home,D 1–1,Chelsea,Liverpool,Y,"CB,LB",90,0,0,0,0,1,0,0,0,78,2,1,2,0.1,0.1,0.3,3,0,57,69,5,59,1,1,1,965,361,29,33,24,24,4,9,0.0,2,7,0,0,67,2,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,4,28,46,6,2,352.0,218.0,3,0,2,1,54,0,0,19,0,22.5,4.7,17.8,2023-08-13 15:30:00+00:00,90,0,1,0,249349,7.0,2,0,0,0,45,2023-08-13
1,2023-08-20,Sun,2,Away,L 1–3,Chelsea,West Ham,Y,CB,90,0,0,0,0,2,0,0,0,84,1,0,0,0.1,0.1,0.0,2,0,63,75,2,49,1,2,2,754,179,44,48,15,17,1,6,0.0,0,6,1,0,66,9,1,0,0,2,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,20,39,25,4,142.0,49.0,1,0,0,1,60,2,0,10,0,5.0,2.3,7.4,2023-08-20 15:30:00+00:00,90,0,2,0,340133,11.0,1,59841,77309,17468,45,2023-08-20
2,2023-08-25,Fri,3,Home,W 3–0,Chelsea,Luton Town,Y,"LB,CB",90,0,0,0,0,1,0,0,0,85,1,0,2,0.1,0.1,0.0,2,0,67,75,4,50,0,0,0,1186,459,30,32,33,34,4,9,0.1,1,5,2,0,67,8,1,1,0,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,2,4,0,8,38,42,5,1,162.0,94.0,0,0,0,0,62,3,0,26,1,14.4,3.7,17.4,2023-08-25 19:00:00+00:00,90,0,3,0,384501,5.0,6,36683,67085,30402,45,2023-08-25
3,2023-09-02,Sat,4,Home,L 0–1,Chelsea,Nott'ham Forest,Y,"CB,LB",90,0,0,0,0,0,0,0,0,67,1,3,0,0.0,0.0,0.0,1,0,48,58,1,37,1,0,0,628,239,33,34,11,14,2,5,0.0,0,2,0,0,50,8,1,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,2,18,40,10,1,178.0,70.0,0,0,1,0,36,3,0,12,0,2.6,1.2,7.4,2023-09-02 14:00:00+00:00,90,0,4,0,395606,2.0,2,4943,37019,32076,45,2023-09-02
4,2023-09-17,Sun,5,Away,D 0–0,Chelsea,Bournemouth,Y,LB,79,0,0,0,0,2,2,0,0,70,1,0,3,0.5,0.5,0.0,2,0,44,62,1,44,2,0,0,751,257,22,24,20,30,2,4,0.0,0,2,0,0,52,10,1,0,0,1,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,2,1,0,1,36,24,10,3,198.0,126.0,3,0,2,0,44,0,0,21,1,1.1,8.4,14.6,2023-09-17 13:00:00+00:00,79,0,5,0,390119,68.0,6,-12221,24374,36595,45,2023-09-17
5,2023-09-24,Sun,6,Home,L 0–1,Chelsea,Aston Villa,Y,"LB,CB",90,0,0,0,0,0,0,0,0,63,2,0,2,0.0,0.0,0.0,1,0,46,57,2,37,1,1,1,796,333,21,23,21,24,3,7,0.0,0,2,0,0,50,6,2,0,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,2,0,3,0,7,34,27,3,0,238.0,121.0,0,0,0,0,37,0,0,18,0,0.6,2.5,24.8,2023-09-24 13:00:00+00:00,90,0,6,0,392056,0.0,2,-821,24865,25686,45,2023-09-24
6,2023-10-02,Mon,7,Away,W 2–0,Chelsea,Fulham,Y,LB,90,0,1,0,0,0,0,0,0,56,3,1,2,0.0,0.0,0.5,1,1,35,44,4,31,3,0,0,515,216,21,21,13,18,0,1,0.0,1,5,0,0,36,8,3,0,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,0,0,1,1,3,0,4,22,30,4,1,148.0,115.0,2,0,1,0,29,1,3,38,1,11.3,4.8,34.4,2023-10-02 19:00:00+00:00,90,0,7,0,401224,2.0,12,6171,39963,33792,45,2023-10-02
7,2023-10-07,Sat,8,Away,W 4–1,Chelsea,Burnley,Y,LB,90,0,0,0,0,0,0,0,0,59,5,1,0,0.0,0.0,0.0,2,1,42,50,5,34,1,0,0,675,145,19,22,23,23,0,5,0.0,0,4,0,0,45,5,0,0,0,4,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,2,1,2,2,3,1,0,0,0,0,2,16,23,20,1,88.0,50.0,1,0,3,0,42,7,0,20,0,3.4,1.9,13.4,2023-10-07 14:00:00+00:00,90,0,8,0,658033,2.0,2,220817,267884,47067,46,2023-10-07
8,2023-10-21,Sat,9,Home,D 2–2,Chelsea,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,91,0,3,1,0.0,0.0,0.0,0,0,63,76,3,60,0,0,0,1305,445,16,17,39,40,7,16,0.0,0,3,0,0,71,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,13,69,21,1,0,172.0,23.0,0,0,3,1,60,0,0,15,0,0.4,2.5,25.0,2023-10-21 16:30:00+00:00,90,0,9,0,613410,0.0,1,-19274,45499,64773,46,2023-10-21
9,2023-10-28,Sat,10,Home,L 0–2,Chelsea,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,79,2,1,0,0.0,0.0,0.0,0,0,61,70,7,50,0,0,0,1186,366,19,23,37,40,5,7,0.0,0,10,0,0,69,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,3,0,4,20,48,11,1,244.0,120.0,1,0,0,0,56,0,0,17,0,4.8,2.3,16.0,2023-10-28 11:30:00+00:00,90,0,10,0,611423,2.0,1,-5393,46193,51586,46,2023-10-28
10,2023-11-06,Mon,11,Away,W 4–1,Chelsea,Tottenham,Y,LB,45,0,0,0,0,0,0,1,0,32,1,2,2,0.0,0.0,0.0,0,0,19,26,0,17,1,0,0,241,89,10,12,5,7,1,4,0.0,0,1,0,0,23,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,2,1,0,1,8,21,3,1,81.0,54.0,0,0,0,0,20,0,0,2,0,0.4,0.6,3.8,2023-11-06 20:00:00+00:00,45,0,11,0,546185,2.0,0,-63663,11567,75230,46,2023-11-06
11,2023-11-25,Sat,13,Away,L 1–4,Chelsea,Newcastle Utd,N,LB,16,0,0,0,0,0,0,1,0,9,0,0,0,0.0,0.0,0.0,0,0,5,5,0,4,0,1,0,58,31,4,4,1,1,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,3,6,1,2,0,5.0,3.0,0,0,0,0,4,0,0,-1,0,0.5,0.2,1.6,2023-11-25 15:00:00+00:00,15,0,13,0,470592,0.0,0,-49798,8427,58225,45,2023-11-25
12,2023-12-03,Sun,14,Home,W 3–2,Chelsea,Brighton,Y,LB,90,1,0,0,0,1,1,0,0,40,1,2,1,0.2,0.2,0.0,0,0,20,25,0,16,0,0,0,338,120,8,9,12,14,0,1,0.0,0,0,0,0,21,4,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,4,0,7,16,18,6,1,44.0,24.0,0,0,2,0,18,2,0,22,0,1.0,7.8,44.2,2023-12-03 14:00:00+00:00,90,0,14,0,451811,33.0,7,-23575,7515,31090,45,2023-12-03
13,2023-12-06,Wed,15,Away,L 1–2,Chelsea,Manchester Utd,Y*,LB,90,0,0,0,0,2,0,0,0,41,2,3,1,0.0,0.0,0.3,2,0,25,30,2,22,1,0,0,413,131,12,13,12,14,1,1,0.0,1,2,0,0,25,5,1,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,1,3,0,4,22,14,5,2,111.0,51.0,0,0,1,0,21,1,0,10,0,11.1,3.1,10.6,2023-12-06 20:15:00+00:00,90,0,15,0,480227,9.0,1,26206,34700,8494,45,2023-12-06
