,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-18,Mon,5,Away,D 1–1,Burnley,Nott'ham Forest,Y,LB,90,0,0,0,0,1,0,0,0,66,2,1,1,0.0,0.0,0.0,1,0,42,53,6,38,0,1,0,836,360,19,24,14,17,8,8,0.0,0,8,0,0,42,10,1,0,2,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,1,0,1,5,0,5,21,30,15,1,184.0,49.0,0,0,0,0,36,0,0,10,0,1.8,1.5,9.8,2023-09-18 18:45:00+00:00,90,0,5,0,70528,3.0,2,-3764,1391,5155,40,2023-09-18
1,2023-09-23,Sat,6,Home,L 0–1,Burnley,Manchester Utd,Y,LB,90,0,0,0,0,0,0,0,0,61,1,2,4,0.0,0.0,0.0,1,0,40,50,3,34,1,0,0,771,171,18,19,18,22,4,7,0.0,0,4,1,1,45,5,2,0,0,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,3,2,0,7,19,22,20,0,142.0,85.0,2,0,2,0,40,2,0,13,0,8.1,2.5,17.0,2023-09-23 19:00:00+00:00,90,0,6,0,73582,0.0,2,1707,5268,3561,39,2023-09-23
2,2023-09-30,Sat,7,Away,L 0–2,Burnley,Newcastle Utd,Y,LB,90,0,0,0,0,0,0,1,0,66,1,0,1,0.0,0.0,0.0,0,0,52,58,1,38,0,1,0,783,264,33,35,16,19,2,3,0.0,0,2,0,0,51,7,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,3,0,7,41,19,7,0,110.0,43.0,0,0,0,0,37,0,0,13,0,1.5,1.6,14.8,2023-09-30 14:00:00+00:00,90,0,7,0,138069,0.0,0,51272,62518,11246,39,2023-09-30
3,2023-10-03,Tue,2,Away,W 2–1,Burnley,Luton Town,Y,LB,90,0,0,0,0,0,0,1,0,75,2,0,2,0.0,0.0,0.0,1,0,40,60,1,28,3,1,1,768,332,20,26,16,23,4,9,0.1,0,3,0,0,51,8,1,0,1,3,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,4,3,1,1,9,0,5,29,24,22,1,151.0,55.0,0,1,2,0,37,6,0,10,0,3.8,2.8,21.8,2023-10-03 18:30:00+00:00,90,0,7,0,138069,2.0,1,51272,62518,11246,39,2023-10-03
4,2023-10-07,Sat,8,Home,L 1–4,Burnley,Chelsea,Y,LB,90,0,0,0,0,2,0,0,0,74,2,0,1,0.1,0.1,0.0,2,0,48,64,3,41,0,2,1,752,309,30,34,14,20,4,9,0.0,1,2,0,0,51,13,2,0,0,1,11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,1,2,0,3,28,35,13,0,181.0,73.0,1,0,2,1,49,1,0,9,0,11.8,2.4,9.2,2023-10-07 14:00:00+00:00,90,0,8,0,302601,3.0,0,161789,201808,40019,39,2023-10-07
5,2023-10-21,Sat,9,Away,L 0–3,Burnley,Brentford,Y,LB,90,0,0,0,0,0,0,0,0,61,1,1,1,0.0,0.0,0.0,2,0,40,51,3,29,1,1,0,669,137,21,22,15,20,3,7,0.0,0,0,0,0,45,6,0,0,1,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,3,0,9,26,29,7,0,132.0,69.0,2,0,2,0,39,4,0,12,0,1.8,1.8,16.0,2023-10-21 14:00:00+00:00,90,0,9,0,367176,0.0,1,67249,84034,16785,39,2023-10-21
6,2023-10-28,Sat,10,Away,L 1–2,Burnley,Bournemouth,Y,LB,90,1,0,0,0,2,1,1,0,54,0,0,1,0.0,0.0,0.0,1,1,36,47,4,28,1,3,2,569,149,20,22,14,19,1,3,0.0,0,1,0,0,37,10,0,0,0,2,10,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,32,8,0,166.0,79.0,0,0,1,1,30,0,0,21,0,1.1,4.5,34.8,2023-10-28 14:00:00+00:00,90,0,10,0,486109,9.0,6,113701,136170,22469,39,2023-10-28
7,2023-11-04,Sat,11,Home,L 0–2,Burnley,Crystal Palace,Y,LB,90,0,0,0,0,1,0,0,0,91,2,0,0,0.0,0.0,0.1,3,0,67,81,5,62,2,0,0,1195,294,27,29,33,36,6,13,0.1,2,6,2,1,72,8,0,0,0,5,8,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,0,1,0,1,20,52,19,2,251.0,110.0,1,0,1,2,64,4,0,12,0,27.4,4.7,13.4,2023-11-04 15:00:00+00:00,90,0,11,0,572246,6.0,1,81654,93335,11681,39,2023-11-04
8,2023-11-11,Sat,12,Away,L 1–3,Burnley,Arsenal,Y,LB,90,0,0,0,0,0,0,0,0,40,1,3,2,0.0,0.0,0.0,1,0,23,32,5,21,2,0,0,458,106,10,11,8,12,5,7,0.0,0,3,0,0,25,6,0,0,0,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,2,0,2,0,5,12,20,8,0,93.0,68.0,1,0,0,0,20,3,0,10,0,1.8,2.1,19.6,2023-11-11 15:00:00+00:00,90,0,12,0,559070,0.0,1,-5415,14092,19507,40,2023-11-11
9,2023-11-25,Sat,13,Home,L 1–2,Burnley,West Ham,Y,LB,90,0,0,0,0,0,0,0,0,64,4,1,2,0.0,0.0,0.0,1,0,35,48,3,25,1,1,0,594,205,16,20,15,20,3,4,0.0,0,2,0,0,38,10,2,0,1,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,3,0,1,2,1,1,1,5,0,6,18,38,8,1,89.0,38.0,1,0,1,2,32,0,0,18,0,1.7,2.8,24.0,2023-11-25 15:00:00+00:00,90,0,13,0,567475,2.0,1,6731,20416,13685,40,2023-11-25
