,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-19,Sat,2,Away,L 0–2,Manchester Utd,Tottenham,N,RB,25,0,0,0,0,0,0,0,0,26,2,0,2,0.0,0.0,0.0,1,0,19,21,1,14,1,2,1,351,43,9,9,9,10,1,1,0.0,0,2,0,0,18,3,0,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,2,5,9,12,1,87.0,47.0,0,1,0,0,18,2,0,4,0,2.2,1.1,6.6,2023-08-19 16:30:00+00:00,24,0,2,0,146811,2.0,1,-32377,4362,36739,50,2023-08-19
1,2023-08-26,Sat,3,Home,W 3–2,Manchester Utd,Nott'ham Forest,Y,LB,90,0,0,0,0,0,0,0,0,88,1,2,0,0.0,0.0,0.0,1,0,67,75,7,57,4,0,0,1099,285,35,37,21,23,8,10,0.0,0,8,1,0,66,9,1,0,1,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,7,0,6,20,41,27,0,194.0,107.0,3,0,2,0,52,5,0,15,0,7.0,2.2,15.2,2023-08-26 14:00:00+00:00,90,0,3,0,127889,0.0,1,-22431,6300,28731,49,2023-08-26
2,2023-09-03,Sun,4,Away,L 1–3,Manchester Utd,Arsenal,Y,LB,90,0,0,0,0,1,0,0,0,32,1,2,0,0.0,0.0,0.0,1,0,14,21,0,14,2,1,0,246,51,7,9,3,6,3,4,0.0,0,1,0,0,16,5,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,8,0,8,18,7,8,2,80.0,48.0,0,1,1,0,10,1,0,12,0,0.9,2.4,16.4,2023-09-03 15:30:00+00:00,90,0,4,0,117216,7.0,1,-13518,4646,18164,49,2023-09-03
3,2023-09-16,Sat,5,Home,L 1–3,Manchester Utd,Brighton,Y,"RB,CB",90,0,0,0,0,0,0,0,0,50,6,1,0,0.0,0.0,0.2,4,0,34,42,4,28,1,5,4,636,197,11,11,18,24,4,4,0.1,1,4,1,0,38,4,0,0,0,1,4,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,5,1,0,4,4,0,0,0,0,0,2,19,21,10,1,151.0,83.0,1,1,0,1,23,3,0,17,0,11.9,3.4,20.4,2023-09-16 14:00:00+00:00,90,0,5,0,117065,2.0,1,-4967,7933,12900,49,2023-09-16
4,2023-09-23,Sat,6,Away,W 1–0,Manchester Utd,Burnley,Y,RB,90,0,0,0,0,0,0,1,0,49,3,0,0,0.0,0.0,0.1,1,0,37,45,2,19,2,0,0,725,198,11,14,20,24,5,6,0.1,1,2,1,1,34,11,0,0,0,3,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,3,1,0,0,2,0,1,12,25,13,1,116.0,49.0,0,1,0,0,28,0,1,29,1,29.8,4.9,16.8,2023-09-23 19:00:00+00:00,90,0,6,0,127607,2.0,6,7704,18288,10584,49,2023-09-23
5,2023-09-30,Sat,7,Home,L 0–1,Manchester Utd,Crystal Palace,Y,RB,90,0,0,0,0,1,0,0,0,93,1,0,1,0.0,0.0,0.1,3,0,74,89,8,61,6,4,2,1072,223,42,47,29,33,1,3,0.2,2,3,2,1,75,14,2,0,0,6,12,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,2,16,36,41,3,313.0,184.0,3,1,0,1,66,8,0,16,0,32.1,6.1,19.4,2023-09-30 14:00:00+00:00,90,0,7,0,182774,9.0,2,48657,59172,10515,49,2023-09-30
6,2023-10-07,Sat,8,Home,W 2–1,Manchester Utd,Brentford,Y,"RB,CB",90,0,0,0,0,2,1,0,0,84,0,2,0,0.2,0.2,0.2,6,1,66,76,12,49,3,3,1,1054,400,33,36,21,25,7,8,0.4,4,9,5,3,61,15,2,0,0,7,13,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,27,45,6,206.0,129.0,5,0,0,1,58,7,0,19,0,62.9,11.7,25.0,2023-10-07 14:00:00+00:00,90,0,8,0,181470,29.0,2,-129,22859,22988,49,2023-10-07
7,2023-10-21,Sat,9,Away,W 2–1,Manchester Utd,Sheffield Utd,Y,RB,90,1,0,0,0,1,1,0,0,68,1,1,1,0.0,0.0,0.0,0,0,43,62,3,43,0,2,2,703,193,25,32,12,17,3,7,0.0,0,1,0,0,55,6,1,0,0,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,1,0,4,20,31,17,0,96.0,50.0,0,0,1,0,42,6,3,30,0,10.7,6.2,44.4,2023-10-21 19:00:00+00:00,90,0,9,0,213031,7.0,11,27391,40070,12679,49,2023-10-21
8,2023-10-29,Sun,10,Home,L 0–3,Manchester Utd,Manchester City,Y,RB,90,0,0,0,0,0,0,0,0,45,2,1,0,0.0,0.0,0.0,1,0,30,38,2,24,1,0,0,476,67,16,18,12,14,1,2,0.0,0,0,2,1,34,3,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,3,0,4,16,18,12,0,98.0,56.0,1,0,0,0,27,3,0,13,0,6.6,2.0,13.0,2023-10-29 15:30:00+00:00,90,0,10,0,220614,0.0,1,7709,31137,23428,49,2023-10-29
9,2023-11-04,Sat,11,Away,W 1–0,Manchester Utd,Fulham,Y,LB,90,0,0,0,0,3,0,1,0,68,2,0,1,0.1,0.1,0.2,3,0,46,57,2,37,1,0,0,961,407,16,16,19,24,10,15,0.2,2,1,1,1,48,9,2,0,2,3,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,1,0,5,0,9,38,16,14,1,113.0,35.0,0,0,0,0,38,2,1,26,1,29.7,5.5,20.2,2023-11-04 12:30:00+00:00,90,0,11,0,248917,5.0,6,24225,41510,17285,49,2023-11-04
