,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-21,Sat,2,Away,D 2–2,Everton,Leeds United,N,LM,8,0,0,0,0,0,0,0,0,11,3,1,0,0.0,0.0,0.0,1,0,7,7,0,5,0,0,0,119,2,4,4,3,3,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0,0,0,1,4,7,0,0,41.0,0.0,0,0,0,0,7,0,0,5,0,0.0,0.7,7.2,2021-08-21 14:00:00+00:00,7,0,2,0,14476,0.0,1,-641,1105,1746,45,2021-08-21
1,2021-11-01,Mon,10,Away,L 1–2,Everton,Wolves,N,CM,45,0,0,0,0,1,0,0,0,35,2,1,0,0.0,0.0,0.0,0,0,22,29,3,24,1,1,1,445,195,6,6,10,10,4,9,0.0,0,3,0,0,29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,4,3,0,0,1,0,0,5,27,3,0,166.0,89.0,0,0,1,0,25,0,0,9,0,3.8,2.0,8.4,2021-11-01 20:00:00+00:00,45,0,10,0,26313,8.0,1,-2666,406,3072,44,2021-11-01
2,2021-11-07,Sun,11,Home,D 0–0,Everton,Tottenham,Y,CM,59,0,0,0,0,0,0,1,0,48,3,2,1,0.0,0.0,0.0,1,0,34,40,6,28,0,1,0,839,291,10,11,13,16,11,12,0.0,1,9,1,0,37,3,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,0,0,1,1,0,1,13,31,5,0,102.0,31.0,0,0,1,0,29,0,0,13,0,12.6,2.7,14.0,2021-11-07 14:00:00+00:00,59,0,11,0,27392,0.0,0,346,1932,1586,44,2021-11-07
3,2021-11-21,Sun,12,Away,L 0–3,Everton,Manchester City,Y,CM,62,0,0,0,0,0,0,0,0,25,0,0,1,0.0,0.0,0.0,1,0,16,18,1,17,0,0,0,188,41,12,13,4,5,0,0,0.0,0,1,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,4,15,5,5,0,51.0,8.0,0,0,2,0,15,0,0,6,0,1.1,0.2,0.8,2021-11-21 14:00:00+00:00,62,0,12,0,28127,0.0,2,240,2035,1795,44,2021-11-21
4,2021-12-01,Wed,14,Home,L 1–4,Everton,Liverpool,N,RM,18,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,7,10,1,8,0,0,0,89,25,2,2,3,5,0,0,0.0,0,1,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,2,0,22.0,13.0,0,0,1,0,5,0,0,4,0,0.4,0.2,1.8,2021-12-01 20:15:00+00:00,17,0,14,0,27946,0.0,1,-407,546,953,44,2021-12-01
5,2021-12-12,Sun,16,Away,L 1–3,Everton,Crystal Palace,Y,DM,57,0,0,0,0,0,0,0,0,29,1,2,0,0.0,0.0,0.0,0,0,20,24,2,12,0,2,1,311,100,12,14,7,8,1,1,0.0,0,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,8,17,4,0,66.0,34.0,0,0,0,0,16,1,0,8,0,1.1,0.8,7.0,2021-12-12 16:30:00+00:00,57,0,16,0,26212,0.0,1,-1084,470,1554,44,2021-12-12
6,2022-04-09,Sat,32,Home,W 1–0,Everton,Manchester Utd,Y,CM,83,0,0,0,0,0,0,0,0,42,3,2,0,0.0,0.0,0.0,0,0,24,31,3,23,0,0,0,341,109,14,15,10,11,0,3,0.0,0,2,0,0,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0,6,0,7,17,19,6,0,96.0,43.0,1,0,1,0,19,0,0,18,1,1.1,1.9,18.0,2022-04-09 11:30:00+00:00,83,0,32,0,44262,0.0,3,6139,8473,2334,42,2022-04-09
7,2022-04-20,Wed,18,Home,D 1–1,Everton,Leicester City,Y,CM,90,0,0,0,0,0,0,0,0,48,2,1,8,0.0,0.0,0.0,1,0,28,37,6,23,0,0,0,533,192,15,20,8,8,5,6,0.0,1,8,1,0,37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5,3,0,0,5,12,30,6,0,85.0,42.0,1,0,0,0,31,0,0,13,0,11.8,4.7,35.0,2022-04-20 18:45:00+00:00,90,0,33,0,74917,0.0,2,17656,22791,5135,42,2022-04-20
8,2022-05-01,Sun,35,Home,W 1–0,Everton,Chelsea,Y,CM,70,0,0,0,0,0,0,1,0,17,1,1,0,0.0,0.0,0.0,0,0,12,14,2,6,0,0,0,150,49,7,8,4,5,0,0,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,4,0,0,0,0,0,2,9,6,0,20.0,2.0,0,0,1,0,8,0,0,4,1,1.1,0.1,0.2,2022-05-01 13:00:00+00:00,70,0,35,0,90992,0.0,2,8721,15934,7213,42,2022-05-01
9,2022-05-08,Sun,36,Away,W 2–1,Everton,Leicester City,Y,CM,90,0,0,0,0,0,0,0,0,48,1,1,2,0.0,0.0,0.0,1,0,37,39,2,24,1,3,3,510,126,23,24,10,10,2,3,0.0,1,5,0,0,39,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,2,0,0,1,14,30,5,0,80.0,39.0,0,0,1,0,29,2,0,19,0,12.3,2.3,10.8,2022-05-08 13:00:00+00:00,90,0,36,0,118180,0.0,2,13373,24045,10672,42,2022-05-08
10,2022-05-11,Wed,30,Away,D 0–0,Everton,Watford,Y,CM,80,0,0,0,0,1,0,0,0,66,2,2,0,0.0,0.0,0.0,1,0,52,60,8,45,0,0,0,1087,297,20,21,18,22,12,14,0.0,1,7,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,2,4,2,0,0,0,0,0,8,50,8,0,139.0,36.0,0,0,0,0,42,0,0,19,1,13.1,3.4,12.4,2022-05-11 18:45:00+00:00,80,0,36,0,118180,8.0,3,13373,24045,10672,42,2022-05-11
11,2020-10-03,Sat,4,Home,W 4–2,Everton,Brighton,N,CM,33,0,0,0,0,0,0,0,0,25,1,1,0,0.0,0.0,0.0,0,0,17,19,2,18,0,0,0,270,37,7,8,9,10,0,0,0.0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,3,1,4,12,12,2,0,70.0,17.0,0,0,0,0,18,0,0,6,0,0.8,0.5,4.0,2020-10-03 14:00:00+00:00,32,0,4,0,3232,0.0,1,114,481,367,49,2020-10-03
12,2020-10-25,Sun,6,Away,L 0–2,Everton,Southampton,N,"LB,DM",33,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,33,35,3,30,0,0,0,465,139,23,23,9,9,1,3,0.0,0,2,1,0,34,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,11,21,4,0,143.0,74.0,0,0,0,0,32,0,0,9,0,1.9,0.6,4.4,2020-10-25 14:00:00+00:00,32,0,6,0,3545,0.0,1,-154,200,354,49,2020-10-25
13,2020-11-01,Sun,7,Away,L 1–2,Everton,Newcastle Utd,Y,"LM,LB",90,0,0,0,0,1,0,0,0,122,1,1,1,0.0,0.0,0.0,2,0,99,111,6,71,2,3,1,1495,355,48,48,36,39,8,11,0.0,1,9,0,0,107,4,1,0,0,6,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,2,18,92,12,0,354.0,187.0,2,0,1,0,100,2,0,14,0,14.8,2.8,12.4,2020-11-01 14:00:00+00:00,90,0,7,0,3665,1.0,2,-28,205,233,49,2020-11-01
14,2020-11-28,Sat,10,Home,L 0–1,Everton,Leeds United,N,"LM,LB",30,0,0,0,0,0,0,0,0,19,1,1,1,0.0,0.0,0.0,0,0,9,11,0,12,0,1,1,103,56,7,7,2,3,0,1,0.0,0,0,0,0,9,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,7,8,5,0,104.0,45.0,3,0,2,0,9,1,0,5,0,0.8,0.6,5.0,2020-11-28 17:30:00+00:00,29,0,10,0,3326,0.0,1,-15,112,127,49,2020-11-28
15,2020-12-05,Sat,11,Away,D 1–1,Everton,Burnley,Y,LM,28,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,15,21,0,13,0,2,2,216,33,9,9,6,7,0,3,0.0,0,0,0,0,18,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,6,0,79.0,35.0,1,0,0,0,16,1,0,4,0,0.3,0.1,0.4,2020-12-05 12:30:00+00:00,28,0,11,0,3400,0.0,1,2,135,133,49,2020-12-05
16,2021-04-23,Fri,33,Away,W 1–0,Everton,Arsenal,N,"DM,CM",25,0,0,0,0,0,0,1,0,19,0,0,0,0.0,0.0,0.0,0,0,17,18,0,10,0,1,1,241,49,10,10,5,5,1,2,0.0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,31.0,4.0,0,0,0,0,18,0,0,0,0,0.2,0.0,0.0,2021-04-23 19:00:00+00:00,24,0,33,0,2671,0.0,0,-7,8,15,48,2021-04-23
