,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Home,W 2–1,Leeds United,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,57,2,2,1,0.0,0.0,0.0,0,0,38,47,3,33,0,2,2,746,213,15,16,19,24,4,6,0.0,0,2,0,0,45,2,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,1,0,4,0,10,33,21,3,1,193.0,122.0,0,0,1,0,30,1,0,16,0,0.5,2.6,23.0,2022-08-06 14:00:00+00:00,90,0,1,0,22468,2.0,2,0,0,0,45,2022-08-06
1,2022-08-13,Sat,2,Away,D 2–2,Leeds United,Southampton,Y,CB,90,0,0,0,0,1,0,0,0,55,1,3,0,0.0,0.0,0.0,1,0,34,43,4,30,0,0,0,656,215,13,14,18,21,3,6,0.0,0,1,0,0,41,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,4,0,5,42,12,1,0,89.0,35.0,1,0,2,0,29,0,0,16,0,0.3,1.4,12.4,2022-08-13 14:00:00+00:00,90,0,2,0,25427,1.0,1,-1921,1635,3556,45,2022-08-13
2,2022-08-21,Sun,3,Home,W 3–0,Leeds United,Chelsea,Y,CB,90,0,0,0,0,1,0,0,0,44,2,2,1,0.1,0.1,0.0,1,0,24,30,2,12,0,1,0,517,200,7,9,13,15,4,5,0.0,0,1,0,0,27,3,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,1,3,0,13,30,14,2,1,37.0,8.0,0,0,1,0,17,0,2,27,1,0.2,1.6,11.6,2022-08-21 13:00:00+00:00,90,0,3,0,25037,4.0,8,-2022,813,2835,45,2022-08-21
3,2022-08-27,Sat,4,Away,L 0–1,Leeds United,Brighton,Y,CB,90,0,0,0,0,1,0,0,0,87,2,5,1,0.4,0.4,0.0,0,0,59,76,4,54,1,0,0,1156,416,19,23,35,38,5,13,0.0,0,3,0,0,74,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,10,51,34,2,1,274.0,114.0,0,0,0,0,51,0,0,17,0,0.6,2.1,13.6,2022-08-27 14:00:00+00:00,90,0,4,0,39082,7.0,2,8164,10862,2698,45,2022-08-27
4,2022-08-30,Tue,5,Home,D 1–1,Leeds United,Everton,Y,CB,90,0,0,0,0,2,0,1,0,99,4,0,1,0.1,0.1,0.0,0,0,79,87,6,70,1,0,0,1541,452,23,24,48,51,7,10,0.0,0,4,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,1,3,1,7,42,53,4,2,440.0,240.0,0,0,1,0,75,0,0,14,0,1.8,1.9,9.4,2022-08-30 19:00:00+00:00,90,0,5,0,44683,8.0,1,3495,7725,4230,45,2022-08-30
5,2022-09-03,Sat,6,Away,L 2–5,Leeds United,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,56,2,0,0,0.0,0.0,0.0,1,1,40,51,4,31,0,0,0,762,298,17,19,20,25,3,7,0.0,0,5,0,0,51,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,3,2,0,0,2,1,3,25,30,1,0,149.0,59.0,0,0,0,1,35,0,0,5,0,1.3,0.7,5.4,2022-09-03 14:00:00+00:00,90,0,6,0,43500,0.0,0,-2675,3555,6230,45,2022-09-03
6,2022-10-20,Thu,12,Away,L 0–2,Leeds United,Leicester City,Y,CB,90,0,0,0,0,1,0,0,0,95,0,3,1,0.1,0.1,0.0,3,0,74,85,3,66,0,0,0,1451,448,21,22,45,47,7,12,0.0,0,1,0,0,83,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,7,51,42,2,1,350.0,139.0,0,0,1,0,68,0,0,16,0,1.1,3.5,16.0,2022-10-20 19:15:00+00:00,90,0,12,0,33429,18.0,1,-1223,181,1404,45,2022-10-20
7,2022-12-28,Wed,17,Home,L 1–3,Leeds United,Manchester City,N,CB,19,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,8,10,1,7,0,0,0,140,42,3,3,5,7,0,0,0.0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,4,9,4,0,0,34.0,4.0,0,0,0,0,7,0,0,4,0,0.0,0.8,7.6,2022-12-28 20:00:00+00:00,18,0,17,0,28756,0.0,1,-1525,658,2183,44,2022-12-28
8,2021-08-29,Sun,3,Away,D 1–1,Leeds United,Burnley,Y,CB,64,0,0,0,0,0,0,0,0,53,3,1,2,0.0,0.0,0.0,0,0,32,42,7,31,3,1,0,668,241,9,13,19,21,4,8,0.0,0,4,1,0,41,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,2,0,3,26,27,1,0,279.0,196.0,0,0,0,0,35,0,0,10,0,1.0,1.9,18.0,2021-08-29 13:00:00+00:00,64,0,3,0,6401,0.0,2,-425,466,891,45,2021-08-29
9,2021-09-12,Sun,4,Home,L 0–3,Leeds United,Liverpool,Y,CB,32,0,0,0,0,0,0,1,0,27,1,1,1,0.0,0.0,0.0,0,0,14,23,1,22,0,0,0,253,73,5,6,8,8,1,7,0.0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,17,9,1,0,117.0,76.0,0,0,0,0,18,0,0,3,0,0.0,0.6,6.2,2021-09-12 15:30:00+00:00,33,0,4,0,8322,0.0,0,549,1404,855,45,2021-09-12
