,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-10-04,Sun,4,Home,W 7–2,Aston Villa,Liverpool,N,RB,11,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,8,8,1,4,0,0,0,97,40,5,5,2,2,0,0,0.1,1,1,1,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,2,5,3,1,12.0,3.0,0,0,1,0,7,2,0,4,0,11.1,1.7,3.6,2020-10-04 18:15:00+00:00,10,0,4,0,27770,2.0,1,-3359,639,3998,45,2020-10-04
1,2020-11-01,Sun,7,Home,L 3–4,Aston Villa,Southampton,N,RB,24,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.0,1,1,21,27,0,9,0,0,0,366,111,11,13,6,8,3,4,0.0,0,0,0,0,17,10,0,0,0,2,10,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,7,14,7,1,31.0,4.0,0,0,0,0,9,0,0,4,0,4.8,1.1,4.0,2020-11-01 12:00:00+00:00,23,0,7,0,24502,2.0,1,-1212,517,1729,44,2020-11-01
2,2020-11-30,Mon,10,Away,L 1–2,Aston Villa,West Ham,N,RB,3,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,9,0,5,0,0,0,106,3,5,5,2,3,0,0,0.0,0,0,0,0,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,23.0,0.0,0,1,1,0,6,3,0,3,0,0.9,0.3,0.0,2020-11-30 20:00:00+00:00,2,0,10,0,22517,2.0,1,-553,384,937,43,2020-11-30
3,2020-12-17,Thu,13,Home,D 0–0,Aston Villa,Burnley,Y,RB,90,0,0,0,0,2,0,0,0,76,1,2,0,0.1,0.1,0.3,10,0,49,71,8,28,0,1,1,846,398,20,23,25,34,4,12,0.3,4,1,8,3,58,13,1,0,0,6,12,0,0,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,21,32,24,1,87.0,27.0,1,0,1,1,45,3,2,29,1,55.7,9.0,19.4,2020-12-17 18:00:00+00:00,90,0,13,0,21705,15.0,8,-140,548,688,43,2020-12-17
4,2020-12-26,Sat,15,Home,W 3–0,Aston Villa,Crystal Palace,N,RW,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,0,1,0,0,0,18,8,2,3,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1.0,1.0,0,0,0,0,2,0,0,3,0,0.5,0.1,0.2,2020-12-26 15:00:00+00:00,4,0,15,0,29038,0.0,1,2221,4874,2653,43,2020-12-26
5,2021-02-13,Sat,24,Away,D 0–0,Aston Villa,Brighton,N,RB,30,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,7,14,2,7,0,0,0,127,56,2,3,5,9,0,2,0.0,0,2,0,0,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,7,6,3,0,15.0,1.0,0,0,0,0,4,0,0,7,0,0.3,0.5,4.6,2021-02-13 20:00:00+00:00,29,0,24,0,22796,0.0,1,-726,222,948,43,2021-02-13
6,2021-02-21,Sun,25,Home,L 1–2,Aston Villa,Leicester City,Y,RB,90,0,0,0,0,0,0,1,0,74,4,4,1,0.0,0.0,0.1,2,0,48,66,2,27,0,0,0,834,389,20,22,24,33,4,10,0.1,1,3,1,1,47,19,3,0,0,4,16,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,3,4,1,1,0,1,0,5,29,29,16,0,123.0,60.0,0,0,0,0,38,3,0,19,0,15.7,3.9,23.6,2021-02-21 14:05:00+00:00,90,0,25,0,24467,0.0,0,1534,2569,1035,43,2021-02-21
7,2021-02-27,Sat,26,Away,W 1–0,Aston Villa,Leeds United,Y,RB,90,0,0,0,0,1,0,1,0,36,0,2,0,0.1,0.1,0.0,0,0,15,30,2,11,0,0,0,310,173,4,5,9,17,2,7,0.0,0,0,0,0,20,10,3,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,19,12,5,1,38.0,7.0,0,0,0,0,8,0,0,17,1,0.7,1.2,6.8,2021-02-27 17:30:00+00:00,90,0,26,0,34598,4.0,5,9309,11713,2404,43,2021-02-27
8,2021-03-03,Wed,29,Away,L 0–1,Aston Villa,Sheffield Utd,Y,RB,90,0,0,0,0,1,0,0,0,109,2,1,1,0.1,0.1,0.5,2,0,85,103,4,58,2,1,0,1367,267,51,55,25,30,8,14,0.0,2,5,1,0,82,20,5,0,2,6,15,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,1,1,0,1,0,3,35,39,35,3,218.0,138.0,1,0,1,0,72,7,0,15,0,26.8,5.4,18.8,2021-03-03 18:00:00+00:00,90,0,26,0,34598,8.0,2,9309,11713,2404,43,2021-03-03
9,2021-03-06,Sat,27,Home,D 0–0,Aston Villa,Wolves,Y,RB,90,0,0,0,0,1,0,0,0,64,2,1,0,0.0,0.0,0.0,1,0,39,55,4,28,3,0,0,713,397,18,19,15,21,6,14,0.0,0,5,1,0,48,7,0,0,0,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,4,0,3,26,26,12,1,130.0,78.0,1,0,1,0,38,5,2,24,1,5.2,2.4,15.0,2021-03-06 17:30:00+00:00,90,0,27,0,34731,4.0,8,571,1699,1128,43,2021-03-06
