,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2024-02-03,Sat,23,Home,D 2–2,Burnley,Fulham,N,CB,45,0,0,0,0,0,0,0,0,53,1,2,1,0.0,0.0,0.0,0,0,38,46,2,35,0,0,0,620,151,16,18,21,22,1,4,0.0,0,3,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,4,29,23,1,0,236.0,159.0,0,0,0,0,34,0,0,8,0,1.1,1.0,8.4,2024-02-03 15:00:00+00:00,45,0,23,0,30,0.0,1,22,24,2,40,2024-02-03
1,2024-02-10,Sat,24,Away,L 1–3,Burnley,Liverpool,Y,CB,79,0,0,0,0,0,0,0,0,29,1,1,2,0.0,0.0,0.0,0,0,10,17,1,6,0,0,0,188,55,2,4,7,10,1,2,0.0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,1,7,0,12,20,9,0,0,15.0,14.0,0,0,0,1,8,0,0,13,0,0.1,1.7,16.6,2024-02-10 15:00:00+00:00,79,0,24,0,258,0.0,1,145,159,14,40,2024-02-10
2,2024-02-17,Sat,25,Home,L 0–5,Burnley,Arsenal,Y,CB,61,0,0,0,0,0,0,0,0,42,2,0,1,0.0,0.0,0.0,0,0,20,33,4,18,0,0,0,375,157,8,11,10,13,2,8,0.0,0,1,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,1,0,3,0,3,23,19,0,0,72.0,40.0,0,0,1,0,23,0,0,7,0,0.1,1.3,13.0,2024-02-17 15:00:00+00:00,61,0,25,0,584,0.0,1,181,239,58,40,2024-02-17
3,2024-02-24,Sat,26,Away,L 0–3,Burnley,Crystal Palace,Y,CB,90,0,0,0,0,0,0,1,0,56,0,0,0,0.0,0.0,0.0,0,0,37,45,1,29,1,0,0,753,217,12,16,22,24,3,5,0.0,0,1,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,7,0,6,29,25,2,0,139.0,100.0,1,0,3,0,36,0,0,9,0,0.5,1.3,12.4,2024-02-24 15:00:00+00:00,90,0,26,0,974,0.0,0,197,320,123,40,2024-02-24
4,2024-03-03,Sun,27,Home,L 0–2,Burnley,Bournemouth,Y,CB,90,0,0,0,0,2,0,0,0,85,2,0,1,0.1,0.1,0.0,0,0,69,78,3,67,2,1,1,1212,274,31,33,35,38,2,3,0.0,0,4,0,0,77,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,1,0,2,0,2,24,56,5,1,357.0,190.0,4,0,0,0,66,1,0,15,0,5.8,2.7,15.2,2024-03-03 13:00:00+00:00,90,0,27,0,845,6.0,1,-66,81,147,40,2024-03-03
5,2024-03-10,Sun,28,Away,D 2–2,Burnley,West Ham,Y,CB,90,0,0,0,0,0,0,1,0,70,4,4,2,0.0,0.0,0.0,0,0,44,56,4,35,0,0,0,798,271,14,16,25,28,4,8,0.0,0,4,0,0,54,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,4,1,0,2,3,0,6,37,32,1,0,172.0,115.0,0,0,0,0,36,0,0,9,0,0.9,1.8,17.0,2024-03-10 14:00:00+00:00,90,0,28,0,927,0.0,0,2,86,84,40,2024-03-10
6,2024-03-16,Sat,29,Home,W 2–1,Burnley,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,46,2,2,2,0.0,0.0,0.0,1,0,28,36,1,21,0,0,0,527,189,11,13,15,18,2,5,0.0,0,2,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,1,2,0,3,18,24,4,1,120.0,55.0,0,0,0,0,25,0,0,9,0,4.8,2.3,16.6,2024-03-16 15:00:00+00:00,90,0,29,0,1771,2.0,2,217,272,55,40,2024-03-16
7,2024-03-30,Sat,30,Away,D 2–2,Burnley,Chelsea,Y,CB,90,0,0,0,0,2,0,1,0,39,0,3,2,0.1,0.1,0.0,0,0,21,28,1,16,0,0,0,268,106,15,16,6,8,0,3,0.0,0,1,0,0,23,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,12,27,9,3,3,61.0,36.0,1,1,0,0,19,0,0,5,0,0.3,2.6,15.4,2024-03-30 15:00:00+00:00,90,0,30,0,1306,10.0,0,15,157,142,40,2024-03-30
8,2024-04-02,Tue,31,Home,D 1–1,Burnley,Wolves,Y,CB,90,0,0,0,0,1,0,0,0,70,1,2,2,0.0,0.0,0.0,0,0,55,61,3,47,3,0,0,845,224,29,30,24,26,1,1,0.0,0,3,0,0,56,5,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,1,1,2,0,5,25,36,10,0,211.0,116.0,2,0,1,0,46,0,0,14,0,2.8,1.8,13.6,2024-04-02 18:45:00+00:00,90,0,31,0,1668,2.0,2,309,432,123,40,2024-04-02
9,2024-04-06,Sat,32,Away,L 0–1,Burnley,Everton,Y,CB,90,0,0,0,0,0,0,0,0,93,2,2,1,0.0,0.0,0.0,1,0,70,81,2,43,2,1,0,1002,203,35,39,29,31,2,5,0.1,0,1,0,0,68,13,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,2,5,3,0,1,5,0,19,51,35,7,2,239.0,170.0,3,0,0,0,59,0,0,11,0,1.4,2.0,14.4,2024-04-06 14:00:00+00:00,90,0,32,0,2007,4.0,2,292,518,226,40,2024-04-06
